O00142 Q8N4B1
Q92604 P06727
P10767 Q5H9I0
B2RU33 P62277
Q9BRQ4 Q8IWT6
Q9Y2X8 Q8NHY3
O14977 P56555
O43399 Q15326
Q8IZQ5 Q7RTZ1
Q9P0L9 Q2KHT4
A0A0B4J2D9 Q9BWU0
Q9Y6I7 P0DJR0
O95319 O43823
Q9NVT9 Q93086
Q8TCG1 Q5JRS4
Q96PD5 O75607
P0DJI9 Q9UJA3
Q7Z465 Q9GZV3
O43508 Q9H920
Q3SY17 Q13064
Q9BTX1 P43490
Q86Z20 Q96HT8
Q6UWR7 A6NH00
Q5T5X7 Q9Y448
Q8TE54 Q6ZWB6
Q6DD87 Q96RB7
Q16877 Q6PJW8
Q93063 Q9H7F4
P15036 Q8NET6
Q8WW32 A6NEV1
A0PK11 Q12899
Q8NGR1 Q8NI28
Q8IUG1 O95563
Q07812 Q8N7R0
Q9BS86 O00461
Q9BV79 Q9NRH1
Q9Y6I9 Q96IZ5
Q9Y5P1 Q8NEC7
A2RU37 P52569
Q86TS9 Q9BQS2
P04439 Q96KP6
Q96JZ2 P62266
P52566 P29279
Q9Y5E8 Q8N6N7
P04233 E7ETH6
P07948 Q99584
P04003 O75840
Q15256 Q8IYW5
Q9NQ87 A6NLF2
Q7Z5Q5 Q92914
Q9HC47 Q5H913
Q9UMY4 Q9UP52
P63121 Q6A163
Q8NA66 P07195
Q9UIR0 P01298
O43791 P42771
O00322 Q8N4W6
Q969Z0 Q9P0N5
Q16378 Q14940
Q9H1F0 Q8IWT1
Q14344 P04278
O75712 P20674
P0CG31 Q8TAE7
P58546 Q6ZUX3
Q9BYG7 Q16581
P10144 O75973
Q9H741 O15263
Q9UNS2 Q6PI73
Q9UI95 Q9NP81
Q8IW75 Q8TE99
Q9UL52 P51857
Q13825 Q8WWM9
P61981 P45974
O43699 Q8WXF3
Q8NGN3 Q9NQR4
P48730 Q14590
P50213 Q9BVC6
Q96LJ7 Q9UNG2
P62952 P25208
Q9HCG7 Q9BW30
P62745 Q8IWL3
Q719I0 Q8IXB1
Q5FYB1 Q4G0J3
P33316 Q9NVD3
P59103 P62745
Q12980 A0A183
Q6PIV7 O95183
P30990 P10643
P0C672 P13928
Q8NCK3 Q9H6K4
O00746 Q9UKB5
Q8WUW1 P59089
Q8TAL5 Q8NE35
Q6B9Z1 Q9Y5E1
P20700 A8MY62
P59534 Q8N4F4
Q14210 Q96EE3
A0A1B0GTK4 P48023
P27701 Q9NY33
Q496F6 Q6ZWE6
Q9P0M4 P21583
Q5VT33 Q3LI67
P48764 Q8NH51
P42167 Q9UDX5
Q9H5V7 Q6UY27
Q6UW15 P10696
P00738 Q9Y5Z4
P53990 Q96LP2
P21964 Q9HD34
Q9UBI6 Q9UK45
P61647 P10415
Q9Y5G1 P07320
Q14642 Q8WUD6
P16452 P02765
Q9BZE4 Q3MJ62
P0DMS9 Q96CS7
Q9BSF4 Q53GS7
P28066 Q6ISB3
O14627 O43164
Q9HBU9 Q96QD8
Q8IYM9 Q96E52
Q8N6I4 P12755
Q658K8 Q8N350
Q86XR7 Q6UWF9
P13727 Q96B01
P0DMR3 Q96GE5
P05164 Q8NGR5
Q8N349 P01814
Q15185 Q96A32
Q9GZX3 P12757
Q9H1M3 Q9Y6M9
Q9C0D0 Q9Y397
O43396 Q9GZR5
P82664 Q13046
Q9H0X6 Q6L8G9
D6RBM5 Q9NUL7
P0DPA2 O95834
P25490 Q9H1J7
P30279 Q7Z6J2
Q8WXF0 O43776
O15127 A0A1B0GVK7
Q9Y3P4 O75487
Q96KC2 P16455
Q96E93 P10966
Q15633 Q9NQ03
P40879 Q9H9E1
Q8WZA1 P12838
P17693 P32970
Q14330 Q6UY01
O94876 P10415
Q9UPY8 Q9Y334
P41221 P19256
Q2M2E5 P50395
Q9ULZ9 P13584
Q6URK8 Q04446
P31994 O43679
Q9UMX1 Q8N7L0
P20132 P27694
A6NLX4 P0CG32
O76099 Q7Z4B0
Q96C86 Q08945
Q7Z7C8 P31946
Q5T8I9 Q14943
Q6DKK2 Q96NE9
Q5T6C5 O00757
P12081 P09038
Q8IW45 P41597
Q96GA7 Q9NPJ3
Q9BXU7 A6NH57
Q86YW5 O95238
P79522 Q96A25
O75496 Q06250
Q8WTU2 O95196
Q9H223 Q8N434
P68402 Q6ZS86
A0A0B4J1V2 O75192
Q9H825 Q13443
Q9UH03 O00398
Q29974 Q5T3I0
Q8TAG6 Q5W0B1
P0C0S5 Q16623
Q9NQP4 Q9UGQ2
O94817 O95136
P06310 Q6ZW61
Q9Y6Z2 A6BM72
Q9NXC2 Q8N7M2
Q9H293 Q6NZ67
Q8WV15 Q12798
Q8NDX9 Q9H1V8
Q86SF2 Q9BXU9
P62306 Q9H0C8
P35346 Q53H82
O95456 Q05086
Q9NWH7 Q9BUL8
Q5VSG8 Q6JEL2
Q9GZV1 P36575
Q13547 P35789
P49221 Q9UNG2
Q6UWI2 P31269
B5MCN3 A0A1B0GVH7
Q6PL45 Q9UBT2
Q96K17 Q96M93
Q9BU79 Q96PM5
Q9P126 Q8NGE2
P19634 Q6FIF0
Q8NHY2 Q9HB21
Q5MJ68 O15498
Q9UHJ9 O94923
B2RBV5 Q9H1B5
P24298 Q96DC9
Q9UEW3 P56880
Q9ULC3 Q5T6V5
Q9NPF0 Q8IZ16
Q8IZ57 P62424
O60330 Q6UXR6
O43570 A0A1B0GUA7
Q96NL0 Q92624
Q6KCM7 Q96R72
Q8IZP6 P07320
Q6IED9 P41587
Q9BY27 Q9NSE7
Q7Z601 Q15131
P13994 Q14296
O75030 Q5SVS4
Q4KMX7 Q9BXW3
P10599 Q5JUQ0
P58304 O15033
Q99732 Q9P253
P63127 Q15418
O14649 Q8IYL3
Q6V9R5 Q569K4
Q14872 O94907
P55103 Q9Y6L6
Q86Y28 Q8WTU0
P25791 A6NM36
Q4G148 P23769
Q9UJ96 Q06587
Q53FD0 Q86Z20
P63220 O94992
Q9UBC9 P51993
Q14232 Q8IVP9
Q6L8H4 Q8WVC6
Q9NXL6 P59020
Q8WVV4 P32929
Q9UBD9 O95081
Q5W111 O75531
Q9UJX0 Q96F45
Q9ULX9 Q8N184
P60022 P18621
Q8NFJ5 Q96EZ4
Q96C24 Q6NSX1
O75154 Q9BYN8
P18507 Q9H9A5
P61353 P01615
Q9H6R0 Q9BUL9
Q8TBE3 Q9UGR2
Q9P0M2 Q9UH73
Q6T311 Q86UE6
Q96HP8 Q30KQ1
Q9GZU5 P48745
Q92551 Q86XS5
Q8IZV5 A6H8M9
Q9BYR8 O75936
Q9BTK2 Q96LY2
Q96H96 Q9Y330
Q9Y5B0 O00559
Q9Y2V3 Q9UMY1
Q9UKU7 Q8IWB7
Q8IUC0 O95985
Q9NRW3 Q9H8X2
Q5MJ08 Q9UBL9
Q9P2G9 Q14093
Q53T59 P0DP25
Q9H9H4 Q9BXY5
Q9Y5K1 Q8N9F8
Q9GZN7 Q8IU89
O60894 Q8IWB1
B4DX44 Q96I76
P0C6T2 Q86YQ2
P0DN26 Q96KR1
P20036 Q13889
O75593 Q16877
Q8N8Z8 P30044
Q9BV94 Q9H161
P60484 Q9H095
P26436 O60934
O60783 Q6K0P9
Q15038 Q8WVN8
Q6UX27 Q96LW1
Q9H6A0 P26715
G3V211 P09429
Q9C0K1 Q7L3B6
Q8N8P6 Q8TD06
Q96DB2 Q7L5D6
Q7Z4V5 A0A075B6K2
Q8N4L2 Q9UFV1
Q9BXH1 O75072
P16442 Q6ZP80
P10314 Q92876
P35900 P04637
O43823 Q6EEV4
Q10471 Q9H341
O43610 Q9HC58
Q6NVV7 Q8TAG9
O75112 Q12981
Q96JK4 Q8N8V4
Q9P0R6 P14598
P80303 Q9Y5E3
Q14159 A6NIK2
Q68D10 Q9BYD9
P16152 I1YAP6
Q9Y606 Q8WU68
P39019 Q9NQ84
P78396 P12724
Q6IQ16 Q14247
Q9P2W6 Q9HAW0
P14679 Q00973
Q9UBR5 Q01546
O00273 O60504
Q9H511 Q96AD5
P54709 Q9Y303
Q6PEY0 O95989
Q6P9A3 P36959
Q9GZL8 P78364
Q8NA31 P54852
Q5VTH2 P48730
Q8N9W6 A6NC57
Q6IFH4 Q96GU1
O15553 O95400
P30307 Q86YS6
P37088 O75817
Q9BRP9 P01743
P0C854 P55010
Q8N9L9 O43583
O75964 Q92845
P09544 Q9Y5V0
Q9BQG1 P0DMS9
Q08426 Q96B67
Q10588 P02729
P23677 A0A1B0GTK5
Q86VE3 Q86UD0
Q9NWW0 P30679
Q9NP64 Q96LU7
Q68CP4 P0C1S8
O15258 Q13516
Q12950 Q8IXM6
Q9NRX1 Q2QD12
Q8IX18 O60232
Q9BRK4 Q6NXT4
A0A075B6K6 P41222
A4GXA9 P78333
Q99835 P49146
Q6UWN8 Q08AI6
Q13043 Q99501
Q9NRF2 Q9NP56
P28072 Q96MY7
A6NFY7 Q9NY35
Q9BVC4 Q15008
Q9NTK5 Q9NQZ2
O15105 Q9Y6D0
P0C7Q2 Q8N6N3
Q03060 Q5HYJ3
O14786 Q9NSQ0
P34741 Q9NR19
Q9ULZ0 Q3ZAQ7
Q9NX76 O14843
Q13241 P08174
P31997 Q7Z769
O43252 P08118
Q9NP31 Q8NGA8
Q8WUB2 Q96PD6
Q8WVX3 Q9BRI3
Q15696 A6NNJ1
Q92804 Q96PX6
Q6PDA7 O14843
A8MUM7 Q6ZQY7
Q5T7V8 Q12999
P30483 Q01081
Q9Y5Z7 Q9BQ04
P17097 Q9HBI5
Q6P9A2 Q8NET6
Q6T423 Q4QY38
Q14602 Q13286
P0CB38 Q6ZN11
Q8N9E0 P17036
Q15391 Q07973
O95715 Q13114
Q00526 A2A2Y4
P40426 Q96B70
Q5BKU9 Q6ZS72
P33681 Q7Z3Z0
P43354 P42765
Q9UKR5 Q9UBW8
Q9BTX3 Q5VZ66
Q86SG2 P18465
Q9BYC5 Q969P6
O14718 Q9Y375
O75935 Q9H5H4
Q8N7S2 Q53T59
Q53EU6 Q9NX77
Q3MIN7 Q68CL5
Q8NHX9 P02724
Q8WX77 Q9HA72
O95932 Q9P272
Q9BWD3 Q8NHR9
Q9NR64 P0C7N5
Q9Y265 P02818
O76036 P01229
A8MTT3 Q5JS37
Q9HA82 Q6QHF9
Q6ZQV5 Q86UN3
Q96AB3 Q5JU69
Q96JM7 Q4QY38
Q1L5Z9 Q5T0U0
Q9Y5Z4 Q9HC96
Q96P16 Q6ZNF0
Q902F9 Q9UHQ7
P01911 Q641Q3
Q02325 Q96DA2
Q9BVK6 Q9Y324
Q9H074 Q8TC90
P28482 Q8WW14
Q9NYR8 Q13324
Q1L6U9 P13010
P52740 Q96AQ8
P10619 Q9Y3L5
P61968 C9J202
Q05940 O43741
A1L162 P30291
Q3SY05 Q8TAX7
Q06330 Q9H628
Q5SRN2 A3QJZ7
Q6IWH7 O75888
Q8N8H1 P52743
Q15006 A8MWL6
Q68BL7 O43749
P01893 Q13642
Q86SG5 Q6ZYL4
A6NM45 B2CW77
Q5T280 Q49MG5
Q13283 P25874
Q9Y6N1 O14753
Q8NBB4 A0A0B4J1Y8
Q13137 H3BTG2
Q86V85 P58062
O60481 O43294
O15371 Q93045
Q75V66 Q5VT33
Q9UBR5 P24347
Q8NGP6 P11161
H3BR10 P57073
O75818 Q9H094
P16520 P22681
Q8NAA6 Q9C0K0
Q86Y34 O75973
Q9NVN3 Q9UL19
Q96JP5 Q9BSW7
P61916 Q5TYW1
Q8NGH5 Q8WXF1
Q9Y5P1 Q8WUH6
Q6ZN84 P21281
O75952 P28324
Q9NRD5 Q9P2K2
O00221 Q6IN84
Q96S53 Q9NPJ6
Q8ND94 P25105
P42680 Q9NZ01
Q5VT79 P10276
D6RF30 Q9UQN3
Q13371 Q9H074
Q6PL24 Q9UKI8
Q6UX53 P13682
Q5W064 Q8N1L4
Q9ULP9 Q8WV07
P21941 P34903
Q13643 Q8N6H7
Q9NXW9 Q00169
P36542 A6NNM8
P24310 Q13217
Q9UBC9 Q9Y661
A6NHZ5 P0C880
B1ANY3 Q6ZVN7
O00587 Q6NVV0
Q5H9R4 P35212
P04439 Q86TM6
Q9BQ51 P10916
Q96RI0 Q15389
Q7L5A8 Q15599
O00189 Q16526
Q5JQS6 Q13886
Q8WZ82 Q9BRA2
Q8IZU0 Q3LI66
O95758 Q9NTU7
P99999 Q6P087
Q9HBT8 P58294
O76082 Q9UK99
Q69YQ0 Q8WZA8
F2Z333 P01215
Q5T6X4 Q9HA82
A8MQ11 Q9P0J6
Q96PP9 O43581
P27707 Q8IXS2
Q68DI1 Q8TDX5
Q8TCZ7 Q14188
Q9Y5M6 Q9P2Y4
Q6S8J7 Q9Y577
Q0VG99 Q15022
Q9Y279 Q9UKY3
P05186 O94941
Q2TBA0 Q96HM7
P40121 P04808
Q8TAC1 Q5VT33
P07332 Q6QHC5
O15273 Q5VZR4
Q0VAA5 A6NNH2
O60248 Q9GZY8
P0C7M8 Q14353
A8MUP6 Q8IV13
Q8TCB7 Q9H7T3
Q6VEQ5 P56377
O14735 Q6K0P9
Q8WTP9 Q9NXL6
Q9Y6I8 Q96KN2
Q5T2N8 O15321
Q3SXY7 Q9H8X9
Q6P6B7 Q8TAD8
Q9NRG7 O94768
P0DI83 Q9Y6I9
A1L1A6 Q9GZY4
P07738 Q1HG43
Q9H2W2 Q9HAQ2
Q30KP9 Q96N87
O43482 Q9H492
Q96RS6 P15391
Q96Q80 P20339
Q6ZRI8 P01562
Q15003 O75771
O76009 Q9NQR4
Q8WZ92 Q8WWZ8
P0C7X4 Q9BU79
Q96NZ1 Q14916
Q8N7M0 Q9BXB1
Q9Y5G4 A6NJI9
Q99684 P61571
Q8TBR7 Q8N4P3
Q07973 P26038
Q9Y5X1 P20290
A6NI47 Q8N9K5
W5XKT8 A6NGJ6
Q7Z7F0 Q9BQ04
Q2WGJ6 Q9GZU7
P58340 O43194
Q8NGC4 Q9NSD4
P18054 Q9Y2Q3
Q9UKY7 Q9H3S1
P11279 Q96P64
Q9BUK6 Q14397
P42229 A8MXE2
O43719 Q96QS6
Q02045 P00915
P0CG13 P57727
O60499 Q86X95
Q9UJ68 O75410
Q9H4F1 Q13823
P35410 P04222
A8MW99 O95221
A4GXA9 Q9H2A2
P26447 Q8WVE0
Q92481 P14859
P60059 P30046
Q8WUB8 Q9BPX6
Q99608 Q5VT79
Q9Y6B2 Q8IWL3
A6NHM9 Q9H0F5
P46695 Q9ULW3
O15173 Q99615
Q8IYI0 O75603
Q9NZQ0 Q14106
Q92949 Q02078
Q99571 Q9C0F3
P27105 Q9P1A2
O94955 Q9Y5P6
Q9BX79 Q96EF6
P83731 A0A0C4DH69
A6NFA0 Q7RTU7
Q14761 P30491
P03905 O95169
P00846 Q9H161
Q96JQ5 Q9HD23
P35680 P16410
Q96EW2 Q7Z3Z2
Q96BQ5 P78413
P0CJ76 Q16348
Q5JSP0 Q8N1L9
Q92609 Q96EB1
O43402 P78371
Q9UKT8 Q13427
Q8N129 Q5QJ74
Q6VAB6 Q7Z713
Q86UP9 Q8NAP1
Q9P032 P22087
Q9NRN5 Q8IWT6
O75915 O14581
Q6PGN9 Q8N813
Q9BXR5 O95455
Q6ZR52 Q6NUJ2
P31275 Q86UE8
O95948 Q8WTQ1
Q9BYT8 P40855
P28845 Q99536
Q9BWD1 Q32M92
Q08648 P28039
P09565 Q9ULH1
Q9NPB1 P78424
Q96DS6 Q9C098
P25089 P61201
Q8IYG6 L0R6Q1
Q86T96 Q12950
Q6UX53 Q92562
Q14032 Q8N4L4
P55209 Q96EN9
Q15819 Q9P2W6
Q8IYG6 Q96IQ7
Q86YH2 Q8WTV1
H3BTG2 O43147
Q9H501 P15328
P10523 Q13610
Q6DN03 Q9BYQ0
Q03013 O75531
Q5HYW3 Q9BYJ4
Q15293 Q96LB8
Q4ZJI4 P04746
Q6P3W2 P18669
O95210 Q96LR2
Q9H0R4 P10073
P23510 P00505
Q9BWV7 A0A087WW87
Q96H12 Q8WVV4
Q96A04 Q8WXQ8
Q8NBD8 O00526
Q9HA64 Q2TAC2
Q8WXF3 Q9UKL6
O00453 Q9BUL9
Q9H0N5 Q9BVL4
Q9BZL1 P0CL82
P05198 Q9NWM8
P08590 P19622
O75487 Q9Y3P4
Q12794 Q9BXR5
Q5XKP0 Q9UHW5
P63131 Q5TA50
P50135 Q8NBI5
Q9UHD2 Q9BVV7
Q8N729 Q96KG9
Q96JA3 Q9UDY6
Q96RK1 Q99733
Q8N9N2 P51159
Q96EX1 Q13007
Q9NPC1 Q8NEM2
Q658P3 A6NKU9
Q68BL8 Q13185
Q9Y2Y1 Q5NUL3
Q8NH94 Q8N2U0
P11049 A0A0J9YVY3
P41220 P29372
Q07866 P68106
Q07837 O95841
Q09160 O14908
Q6NW40 Q7Z7B8
Q8IWW8 Q9Y6X2
Q9Y2D4 P56704
P08910 P19387
Q5VVS0 Q969V4
Q8IVW1 Q8TBB6
Q96CS2 Q8NFF2
Q86WA8 Q9H488
P16619 O95125
P29353 O95376
Q86WR0 P17658
Q68CZ6 Q9NV23
Q9H082 Q15583
P11226 Q9H8V3
P35218 Q8N4K4
Q9HBY8 P27216
Q9UHJ6 Q8NH06
Q15109 Q96C86
P53680 Q9Y3E5
O43612 P36915
Q8WV37 H7C241
P23219 Q9HB96
Q14390 Q9H875
A6NK89 Q5MJ10
H0YKK7 P37287
O00481 P28300
Q96EE4 Q9UF12
Q92837 P26439
Q93086 Q9NVT9
O43665 Q494R0
Q8NG81 P60321
P61580 P56589
Q9NSK0 Q9NY93
Q9Y6N3 P35410
Q9UBE8 Q14435
Q9Y6X2 Q8IWW8
Q6ULP2 Q96BM9
P52566 Q8N4N8
P01570 Q8TCX5
Q13510 Q06265
Q96SF2 Q96MM3
Q99959 P55854
Q8N8N7 Q96EL1
A0A0U1RRE5 Q96HP8
Q9P031 Q9UGP4
Q9NS66 Q9Y241
O75594 A6NKW6
Q8N859 Q7L945
Q9NRW3 Q8WXK1
Q96N28 Q6P1K1
Q6NVV1 Q8N584
Q9H239 P14784
Q8NI60 Q9H9L7
Q5T9L3 Q96N76
Q9UH73 P30154
A6NGY1 Q96D31
Q96JD6 Q6UWI2
A6NIM6 Q14641
P61247 Q8IYR6
Q8TEZ7 P62487
P35713 Q6IPR3
O00186 P58876
P56555 O14977
P78358 B9A014
P36896 P0CG23
Q6QHC5 P07332
Q9UGP4 O00463
Q96PM5 P52797
Q9BZW8 P09067
P51571 Q86TG7
P17405 P56182
Q7RTT9 P31358
Q9P1Z3 Q9P2W9
Q9H5Q4 Q495W5
Q8N2U9 O00311
Q5TA79 P50150
Q6ZW61 P06310
O94889 P62952
Q92686 Q86Y07
P17050 Q9BX93
O15467 Q5TC79
O75569 Q96KX2
P0C853 O15551
P49770 Q9BSM1
Q8N6U2 P83110
Q13724 P22362
P14921 O96014
O15178 Q8TED4
Q9Y697 P50391
Q9HC62 A6NLJ0
Q9UBK9 Q5XLA6
P43357 O95918
Q5MJ10 A6NK89
Q9BQB4 Q9BYT1
Q96KH6 P01036
Q86XJ0 Q9H4G0
Q6P6B1 Q9NPC2
Q9Y2Q1 Q13310
P55107 P53609
P28331 Q15560
A8MV57 P26599
P05089 Q8NH04
Q99623 P40337
Q9NZZ3 Q96TA1
Q00688 Q6JEL2
Q9NR34 Q13705
Q9BT56 Q7Z5Q1
A6NCE7 P37108
Q9Y277 Q96CX6
Q8IYJ0 Q92552
P62937 Q5T9C9
Q99963 Q9Y294
Q9UH99 P0DMV2
Q5T6X4 Q96LB8
Q6ZTW0 Q9Y5F8
Q9UHD0 Q8TB40
Q02928 Q9HCU5
Q9H0N5 Q6ZTW0
Q07020 Q8IY63
P04439 Q1ED39
Q9NSP4 P16471
Q8N967 P35225
Q96BF3 P51858
O95772 Q5TA79
O60262 P63252
Q9H6F5 Q15054
P48449 O14604
Q99865 Q9H489
P0DP23 Q9BU02
Q15019 P25100
Q76B58 Q9NQ34
Q9NUP9 Q32NC0
P59533 A8MSI8
Q8NHC4 Q99877
Q9H0Y0 Q14249
Q5J5C9 O60711
Q9BY32 Q8N144
P43307 Q9NYD6
Q8NDQ6 P17302
B3KU38 P52657
P17481 Q9NUJ3
P34998 Q8NI60
Q5SQN1 Q00LT1
Q8NA69 Q9Y2T5
Q8NI32 P05814
P54868 Q9NZH6
Q9UBS3 Q30154
P0DKB6 O43257
P62857 Q6ZN54
Q495T6 Q8N4F0
Q5T280 Q86U38
Q13064 Q96C57
P53673 Q5JVS0
Q9BZD2 Q8N726
O75379 O94923
P11166 Q9NWB7
Q96FV0 Q9BUL9
Q8N8V2 Q12950
Q7Z4B0 O76099
Q9H2A9 Q9NWW7
Q9Y342 Q52M58
A0A1B0GUA6 Q9UL18
Q9NPI1 O43159
Q9Y6F9 Q96MF6
O94907 Q5GAN6
P30512 Q9P2X3
P0CW20 Q8NGJ2
Q7Z5H3 Q9UKT6
P25791 Q96K19
Q86W47 Q9BUG6
A5PLL1 Q9ULS5
A6NI28 Q9H1K1
P46976 P49643
O42043 Q6ZNE9
Q14520 Q96F05
P0CW20 Q8WXD5
Q96M93 Q92558
P59533 Q96P56
O75508 Q9BUD6
Q13094 Q96NR7
P01743 O14610
Q9BY76 P35998
Q96AG4 P0C7A2
Q86VZ2 O14683
Q6ZNG0 Q9HD42
P50747 O00194
A8MQ11 P50479
Q9GZR5 Q5VVJ2
Q9BTV4 Q96MX0
A6NHJ4 Q5GH72
Q00887 P57076
Q8WZA6 Q9NUS5
P08833 Q5K130
P01127 P15863
P02144 Q7Z713
Q9BQ87 Q03169
P12314 Q5VTH2
Q69YN2 Q96BZ4
Q17RA5 Q9Y6A9
Q68DY1 Q7L3B6
P19388 Q86TU6
Q14914 Q8TED4
Q15645 P46783
Q7L5D6 Q53QW1
Q8N2F6 B3EWF7
P0DN80 O76000
Q8NCC5 Q8WVC0
P0DOY5 Q9NZ32
O14965 Q8TCX1
Q8IV13 P35070
Q9H8T0 P48637
Q9UQC2 Q96R54
Q96BM0 Q9BY14
Q8NBL3 O75608
P09497 P13987
Q9H3G5 Q8WWR9
Q96GY3 Q9GZP9
P0C7T2 Q8WXI3
Q15165 Q8IY42
O43246 Q96GW9
P08319 Q9Y6I4
Q9Y3P8 P58743
P52564 Q9GZQ4
O60831 Q9NPD5
Q14938 O43820
Q1X8D7 Q9NWS9
Q9H813 Q14137
A6NLE4 Q9UBW5
Q9Y664 O60662
Q9NWW6 Q16775
O75716 Q8IXQ4
Q8TEL6 P58062
Q8WTR7 Q8WW36
A6NGN4 Q9UKS6
O43741 Q9NZK7
Q9NS82 P41222
Q96NG5 P23142
A0AV02 P16662
Q06432 Q68D85
Q9NY57 P55327
Q6P2C0 O95502
P08319 Q29836
Q9H2W6 Q8N468
Q8N328 Q9UNW8
A6NGB0 Q8NGC6
P30101 O75251
P23763 O14862
Q92783 P27930
O75072 Q9BXH1
Q92544 Q9BSY4
F5H4A9 Q5T655
Q6P1J9 Q8N9L1
Q9H3M0 K7EIQ3
Q15049 Q9Y3B4
P84090 Q9BQ48
Q6NUN0 Q76KD6
O76014 O15060
Q15527 Q15054
A1A4G5 Q8TAD8
Q13325 Q9Y6J8
O94907 P16989
A6NGY1 P14784
P80303 P63272
Q8N865 Q96KC8
Q5MAI5 Q3MIW9
P19419 Q96C57
Q8NHC5 Q9Y3R4
Q9NRR1 Q8NAP8
P61574 Q8NFP4
P19474 Q68DY9
Q9Y575 Q9Y271
Q8NHR9 Q5EBL8
Q9UBX3 Q17RA5
A6NGB0 O60830
A6NL82 Q8IXZ3
Q6URK8 Q9NR50
Q7L5D6 Q9NWS0
P15328 Q9H501
Q9Y6Y9 Q96PV6
Q9NS61 Q9BQ04
Q8WU67 Q8WTV1
O76095 P35321
Q6IEV9 Q9UBD9
P24387 Q96EY4
Q6ZMB0 P33240
Q9Y5I3 Q8TAC2
O95976 P53611
P48645 P40879
Q96NJ6 P08842
Q8N1D0 Q9BV40
Q9H6E5 P84077
Q9P242 Q16623
Q96J77 Q8NG77
Q13643 Q9ULF5
Q9BZ97 P62683
O14775 Q8NHS3
P14927 Q6IPR3
Q9H425 A4D0T2
B5MCN3 Q12926
Q13214 Q8TAP4
Q92598 Q71DI3
Q16836 Q8NCC3
Q9UKR8 P22090
Q9Y6P5 Q9C0F1
Q9NUQ3 Q8NHQ8
Q96FX2 P01593
Q01968 P07305
P48165 Q96A73
P08582 P43235
Q9UJ70 Q8N357
Q96D53 Q96GY3
Q96P56 Q6QAJ8
P26885 P10109
Q8N653 O75896
O43741 P51801
Q9Y5J5 Q8NB91
Q96BP3 Q9NWW0
Q8N1B3 Q96P47
Q96LR5 Q9NXZ1
Q9Y282 Q96QE5
P08861 A6PVY3
D6RF30 P40305
Q8WVK2 Q6IQ16
P31358 Q7RTT9
Q8WU49 P25787
Q05BU3 P33991
Q96RJ3 Q9H553
Q86SX6 Q9HBX9
Q9BXS1 Q9BU19
Q8NGR2 Q9Y6Z4
Q8TDY4 Q3KRB8
Q5VIY5 Q7L3T8
Q9NR19 Q10588
Q13112 P56880
Q8NBJ9 Q7Z2R9
P20042 P36402
Q9NYY3 O75563
O60906 Q9NXW9
P43307 Q9UJ68
O94766 Q643R3
Q96CM3 Q9Y5R5
Q8N8Q1 Q8N782
Q9HAU8 P62195
O95391 O43172
A6NFC5 P26045
P09871 Q8IXH6
O43827 Q15311
Q9H0L4 Q6UE05
P15863 Q8WYA0
Q8N5C8 Q5VSG8
Q96I82 Q9BWW7
P84098 Q13425
O75897 Q96NX5
O75200 Q7Z7N9
P08842 Q9H930
Q96EH8 Q70HW3
P04201 A6NFR6
Q96DY2 P02812
Q9NQZ3 Q2TBC4
Q6PCE3 P46597
Q13387 Q0VD86
Q92952 A0A087WW87
Q5JXA9 Q9H7L2
Q12905 Q96F25
Q8NA92 P19387
Q5SRD1 Q9H2W6
Q4G0J3 P54368
Q5TFE4 Q9P0W8
P36969 A6NGB7
P0C880 P32970
Q9Y284 P07686
Q7L8C5 Q5T8I9
Q9BV68 Q6NX45
Q04864 Q86XK3
Q8IVV8 L0R8F8
O00429 Q14206
P21815 Q6S9Z5
Q02928 Q8NGJ9
Q96J87 Q9H0G5
Q15935 A0A087X179
Q5VTT2 Q96EK4
Q8N535 Q99445
Q14194 Q8TD33
P56557 Q15619
P61106 Q5T752
O15217 Q96QS1
Q8NGZ6 A0PG75
Q6VVB1 Q14973
Q9BZK3 P62140
Q16625 Q5R3K3
Q5SNT2 Q13070
Q15165 P35475
P60709 Q53RY4
P35249 Q92870
Q9UFN0 O75791
Q01523 Q495W5
Q9TNN7 Q6ZTR7
O43920 Q9HCR9
Q8N1E6 P11464
Q6A163 Q96AK3
Q99811 P14770
Q99536 Q14108
Q9H098 Q13103
Q8N9N8 P10515
Q6V9R5 P78386
Q8NC60 Q8NGL6
Q99943 Q9H2W1
P62753 P22492
Q96BT7 Q6N075
Q8TBF2 Q9H4T2
P40425 P01880
P17014 Q92764
A6NLX3 Q8N895
Q9BYR0 Q8TDI8
Q8NBV8 P25874
O76031 P16662
Q969W3 Q9HCH5
Q8N3J5 Q8NHS1
Q9H6X2 Q9UIF7
Q5TC79 Q13049
P48145 P61925
Q9P2Y4 Q9NYS0
Q9UIB8 P14550
P0C7M8 P16442
Q8NG92 O00232
P22681 Q2QL34
P36941 O95954
P30953 H0YKK7
Q6L8G8 Q9H0U3
Q9HB40 Q969S9
Q13825 Q96HT8
Q6X9E4 Q9UBF6
Q9BRL6 Q99935
O76095 P30530
Q5JS54 Q4V321
P02100 O00300
P0DOX2 Q16769
Q9BYE3 Q9Y6A1
P11182 P56555
P0C5Y4 Q6PI48
Q8NH53 Q9H4A6
P53778 Q8N6V4
Q5JT25 P08493
O94889 Q5SRH9
Q8NGY3 Q9H936
