Q96EZ8 Q9H1A7
P62140 P11229
P49447 P45379
Q92544 Q15008
Q9UGB4 Q99572
Q03395 Q8TEE9
Q9NVV4 P52741
Q2M3D2 P05166
Q9UQ49 Q9GZV7
A0A183 Q12980
Q9H0F5 A6NHM9
Q8N0V1 P16383
Q86SH2 Q99967
Q9NV39 O95406
P10073 P31249
Q96SJ8 P16109
Q1A5X6 Q8TBB5
P21728 Q9NP91
Q6JEL2 O14682
P00995 Q8WUB8
Q9H993 O43617
A0PJW6 Q5GFL6
Q06520 Q9BYW3
P61225 Q9NVH6
Q14140 Q96A98
O95670 O15130
P51957 Q9BXU0
P61981 Q8IY57
Q06413 P59022
P50876 P35250
Q15466 Q8NAJ2
P60201 Q9H4F8
P01138 P11166
Q9UGN4 O60636
P13639 C9J302
Q86UY6 Q13427
A6NIE9 Q5T9Z0
A6NL88 Q9ULA0
Q6PCB7 P0C7N5
P18847 O14735
Q5TEA6 Q8NH04
Q71UI9 Q32M45
O95267 Q6P4A7
Q9UK58 P04808
Q01844 Q9UGC7
Q96QG7 P30556
Q8N131 P19022
Q9Y2T4 Q96IC2
O60320 P06028
Q86Y79 Q8TBB6
Q86YR6 Q8NHV1
P0C6C1 Q30KQ6
Q9BQE4 Q14019
Q9Y2Y0 O95639
P52747 Q13606
P61457 P08118
O43447 Q96EX3
P26651 Q96I23
Q9Y5Q0 Q9UKR8
P49223 Q9BY31
Q6ZWK6 Q8IUW3
Q4VC05 O75123
P53609 A6NJ78
Q8TBF4 P28070
A8MWL7 P0DJJ0
C9JXX5 Q14332
P54840 Q9BTE7
C9JC47 Q9HCL2
A6NCE7 Q96L15
Q9NXZ2 Q68D42
Q5T5A8 Q02509
Q9H2J4 Q9NQZ3
Q99808 Q9UQ80
P04181 Q9H4Y5
P30460 Q9C026
Q9BUL5 Q99426
P06280 Q9NZT1
Q9P2J9 Q6PJE2
Q9NZW5 Q5VV42
Q969L4 Q9NPB0
A0PJX0 Q8IZ41
Q15464 P0DKX4
Q15800 Q9UJW9
Q9Y5N6 P05121
Q9BQD7 P49448
P01825 Q96MF4
O43390 Q53H80
Q96AQ2 P10301
P63127 Q9UKF6
P0CK97 P52747
O95081 Q9UBD9
Q9UF72 P32942
P55259 Q69YL0
Q8NC96 Q3ZAQ7
Q9NS68 P27348
Q00888 P57055
Q8N9V6 Q8TE99
Q6WRX3 Q00005
P0C7N8 P78356
Q96FX2 Q16401
Q9UK85 Q5TEV5
P52888 O15173
Q5T2D3 P08621
Q8TE77 Q3SYC2
Q9HCU8 P50148
Q3LI72 P98172
Q99622 P62952
Q03721 Q9Y2T6
Q9NRA0 Q8NGF6
Q9BYC8 Q5T9Z0
P31275 Q9BS31
O00499 Q9H074
Q9P0J6 P05108
Q16763 Q8WUK0
Q15819 P11511
O76027 P42701
Q9BYQ6 P0DN77
Q8IZ16 O75425
Q01851 Q92759
Q96RB7 Q6NUI2
Q5JVL4 Q6UW49
Q07000 A6NFC5
P24593 Q8NH80
Q8NET6 O00442
A6NMN3 A2RTY3
O95400 O15553
Q8IVB5 Q49B96
Q9UN37 P22570
Q96H78 Q9UNL2
Q99618 Q4LDR2
Q96IG2 Q8N7H1
Q96LZ7 Q8NH49
Q9BUV8 Q15382
O14926 Q96R45
Q9HAA7 A6NMZ5
P59074 P06454
Q9HD64 A6NC51
O00231 Q8NGT5
A0A0B4J1Y8 Q9BUX1
P63122 Q5JUK9
Q16772 Q99733
Q8NI60 P00156
Q9Y3B7 Q96CC6
Q8N8S7 P47756
Q96MC5 Q9Y3R4
Q8TCD5 P86479
Q96E22 Q8N8D7
E7ETH6 P18084
P62502 Q8N141
Q86YN1 P04198
Q8IWF6 Q8IYJ0
Q9NPR9 Q8N1N0
Q9P209 Q8TE67
Q9NXJ5 P28072
P51114 Q8WW27
P16562 Q53H54
O60496 A8MWP4
O43251 Q9UD71
A2A368 Q5VY09
Q8NHQ1 Q16831
Q11206 P05109
Q14507 Q9UDR5
Q8NGI1 Q8NGF4
P0C7U1 O14512
Q9H6X4 Q96KN9
O14581 O43251
P84095 Q9NPA0
Q6WRX3 Q9BXW4
P07451 Q9BXI2
P19256 Q15078
Q9HB71 P61088
Q6NVV7 Q8WWF3
P05120 Q6BAA4
P55036 O43155
Q2TAA2 Q12891
P50238 O43174
Q9P2T0 Q9H6F2
P0DMU5 Q8N0Y5
P0DOX5 O60232
Q96RD1 Q8IWX7
O95471 Q16621
O95867 O00410
Q96KF7 O43825
O94772 O00472
Q8WXK3 A0A1B0GUV7
Q93083 Q9H2K0
O14638 Q9H1J7
O14662 Q9BR01
Q5TBC7 P60228
Q8TDM5 Q9BYT3
Q9BTE1 O43781
P62310 Q96G23
Q7LBR1 Q9H5K3
Q96LW9 Q13617
O15355 P11229
Q9BWK5 Q9NRW7
Q8NEY8 Q8IYX3
Q8NHQ9 Q8N6H7
Q96LA8 O00478
Q9Y3E0 Q9UPN7
Q6NT04 Q5HYW3
P56537 Q86TL2
Q8WWF3 Q9Y366
A8MWL7 Q9H898
Q3LI68 P06734
Q3LI68 O75078
Q9BYV6 Q8WVK2
P30953 A8MPS7
Q9NUS5 Q6NX45
P49903 Q8N0W4
P02760 Q9NPR2
Q9Y5I1 Q9BW11
A0AV96 Q5JQS5
P20231 Q9H244
Q8NHY0 Q8IYW4
P42765 P23582
Q9Y672 O43603
P20155 Q15696
Q6AI12 Q15800
P58658 Q8TC92
Q5TYW1 P61916
P07741 O75473
Q9UNS2 Q15435
Q9HCR9 O43920
P17342 A4D174
Q96AB3 Q00005
P07320 P62805
Q2L4Q9 P67870
Q2TAP0 Q9H939
O00410 Q3LI66
Q9BY76 Q8NHP7
Q9BRR3 Q6ZSA8
P49354 Q5HYI7
Q8IXH7 Q99717
P06733 Q9NR00
Q8NE65 Q6ZVM7
O75306 P35542
P61158 A2CJ06
Q9BQM9 H3BTG2
O76000 P0DN80
Q9HC16 Q8NAX2
Q9H343 P04217
Q8TCF1 P61916
Q8TDS5 P81274
P23141 O14548
Q9H6D7 Q8NBN7
P29084 Q6NXE6
Q12899 A0PK11
Q8NGC3 Q6PIY7
Q8N1B3 P04745
O60487 Q9BZL1
P05014 Q6UXY1
Q8WXG1 Q96RJ3
Q8N1P7 Q9BRV8
Q9UBG3 Q9H0W5
Q96LM6 Q8NFZ3
Q9Y484 P30443
Q96LR2 O95210
Q96KP1 Q5VU69
P10073 Q8NFH4
Q96J01 Q9H6R7
Q86UF1 Q8WXF8
O43543 Q9C0K7
O43617 Q6P1R4
Q9H6R6 Q9NW07
Q96GI7 Q5H913
Q8TAY7 Q86YD1
Q9BRX8 O43246
Q96JK4 Q9NZV6
Q9H8M7 Q86Y82
P03979 A6NGU7
P29466 Q96QE5
Q9H410 Q8TBP0
Q8N423 Q8TB61
A8MTQ0 Q9HAA7
Q6NSI4 P61960
Q9BX79 Q969G5
P10147 O43462
Q9NZE8 Q9UKS7
O60243 Q92785
Q49MI3 P17081
Q4W5N1 Q6P093
Q07699 P42898
P11678 Q16352
P59910 Q99755
P46778 O00744
Q86WV6 O95567
Q92769 Q96LW2
Q5EG05 Q01534
Q9BXA7 Q9BQ49
Q96ID5 Q8IZ41
Q06889 P49326
Q01860 O14810
P06241 Q9NR33
Q96K37 Q8IXE1
P07476 Q7RTT4
P45974 P61981
Q8NH18 P05109
Q9HCJ1 Q15759
Q96C74 Q96C19
Q8NGE9 Q9UJU5
Q9H3M7 P56704
Q99678 Q9HAY6
A0A075B6H9 O96024
Q9Y343 Q9Y240
Q9UGL9 P58340
Q0P651 Q9HAF1
Q8IY31 P84101
Q2TB18 P27797
Q7Z614 Q9H2A3
A5PLN9 Q9H147
Q9UHJ6 Q5VYV7
Q6P1Q9 Q96J84
Q9UKS7 Q96JF0
Q8N1L4 Q7L1T6
Q6P474 Q7L622
P20719 Q9GZQ6
P41145 O43665
Q6NVU6 Q96RD3
Q9Y2H8 Q8NF37
Q96MV8 P01825
O95164 Q5T6V5
Q7Z7G2 Q86VF5
Q8NFQ5 Q9H6R7
Q495W5 Q96EB1
Q96JN0 O43586
Q9Y546 Q96DX4
Q9H867 P36507
Q16777 P0DMN0
Q02108 O15239
P17658 Q86WR0
P25787 Q8WU49
Q9P0J1 P18124
Q01892 Q9P291
Q92985 F8WCM5
Q9P2W9 P29376
Q96E17 Q7Z5P4
Q8NGJ9 Q9UGI8
Q86YL5 A5PLN7
Q96H40 B2RU33
Q96NB3 Q9Y614
Q9BYQ6 Q9H814
P31941 O94817
Q9Y651 Q99062
O95171 Q7RTN6
P61758 A4D0Y5
P59535 P52594
Q9H7C4 Q8TD08
Q8N907 Q9NXA8
A4D1E9 P28566
Q8N8P7 Q9Y2R4
P51659 P78552
O15245 Q7L513
Q53H76 P23415
Q5CZA5 Q969Z4
Q9Y5R2 C9J2P7
P51809 Q86UN3
Q3SXM0 Q969H0
Q86SI9 Q14831
Q9H112 A6NFU0
Q96DX5 Q8TDF6
Q58A45 P01817
A0A075B6I1 Q9Y5L4
Q4VC31 Q8NGF8
Q5JRS4 O00148
P68400 P40855
P26842 Q53H54
Q8IV35 Q9BW91
P05120 P60014
P13945 Q9HC57
Q86TA1 Q7Z5M8
P10909 P61566
Q6ZWK6 Q75N03
P0DN87 Q6ZRR5
Q92558 Q5TGU0
O95208 P58549
Q5W0N0 O14772
Q58FF7 I3L273
P52823 Q6ZN19
P36952 Q9P121
Q96MI6 A6NM66
Q8NH21 Q14656
Q9BZD3 O43488
Q86YD7 Q96RR1
Q9BUL9 P38606
Q8N6C8 Q9UKL6
Q5XLA6 P22083
Q8NCL8 O15258
Q9NTJ5 Q01101
Q9Y5X2 P51508
Q9UI30 Q8IXI2
Q00537 Q8IVH2
Q9BSN7 Q9H114
Q8IXL7 Q53H82
O60870 Q14781
P54821 Q8IXJ6
Q9UBU3 Q9H4M7
A6NHX0 Q9Y5A6
Q9ULV5 Q9NYM4
Q8NCV1 Q6PI25
O43918 Q6R6M4
Q15003 Q9HCT0
P0CJ87 O60774
Q8IZT8 P19105
Q9BW72 Q9BYF1
Q9BYN0 O75496
Q8IYT3 Q6DKJ4
A0A0B4J1V2 Q13243
Q9Y3Y2 Q9UJ37
Q9BWH2 Q13875
P43166 Q9Y5Q3
O75575 P13796
P61579 Q86VR7
Q9NRR1 Q8NBM8
Q9NRP4 A0A1B0GVG4
Q5MJ68 Q9NWR8
P28070 P56381
Q9UJX5 Q9BTP6
O75031 Q8TCZ2
Q96ES6 Q96EC8
Q9HCJ6 Q5T4T1
Q03518 O76002
Q9BY42 Q8TCG5
Q7Z5S9 Q9P127
O75844 Q9Y3E1
Q8NH21 Q15796
O43927 O43830
Q9BZM3 Q13907
P50990 P61572
O15405 Q13394
O00204 Q15645
Q9UQ53 O75439
Q92504 Q3LFD5
Q6GPI1 P0C7T8
Q9NYN1 Q86X02
Q8TED9 Q92917
Q9BRV3 Q8N8U9
Q16342 Q6ZQT7
Q5HYJ1 Q9BZE4
Q7Z6M2 Q7Z3Z2
Q8N4P3 Q9NQF3
Q9UQB9 Q5NDL2
P35222 P40925
O43173 O75175
Q8TBE9 P05198
Q17RA5 Q6NVH7
Q9Y2R2 Q9UNS2
P17050 O00451
Q96M42 Q9NXR8
Q8NHH1 Q8NFV4
O75915 Q8N114
Q9UK73 A0PJW6
Q6NVV7 Q14680
I3L273 Q58FF7
O15479 Q96SL1
P84101 Q96A28
P61247 Q96RM1
P17612 A6NL46
A4D1U4 P16619
A8MTL0 O75689
Q68BL8 Q9NV35
Q6ZUX7 Q9WJR5
Q6NT55 Q30154
A6NKW6 P01871
Q15397 Q8NG81
P30559 Q6NVV9
O75469 O43316
Q13507 Q15257
Q9BR84 Q8N268
Q6PI47 Q9ULH4
P49961 Q8N239
A0A0U1RRE5 Q86XE5
P04053 P43234
Q8WTQ1 Q9H0X4
Q9H2W6 Q96ES7
Q9P0N8 Q9UJW9
O43924 Q95604
B2RXF0 H0YM25
A8MUN3 Q9BQ87
A6NIE6 P0C7V4
Q5T0D9 P43308
P78563 Q9H2R5
P34972 P08294
Q86TA1 Q96NF6
P78329 P09228
Q96RJ3 Q5TAA0
P19878 Q8IY50
B1ANH7 P0C7V4
Q13202 P32314
Q96E39 Q5HYI7
Q8IVL5 Q9Y3I1
P18847 O43865
Q6PML9 Q8IYJ0
Q96MZ0 Q9NUJ1
P11229 P18825
Q9GZR1 Q9NV29
A6NM36 Q7Z3S9
P49321 P02654
Q8NB37 Q5VXM1
Q494X3 Q8WTU0
Q5QJU3 H3BUK9
O60844 P22223
Q9UKT9 Q07666
Q9NS23 Q7Z7M8
P48230 Q9H0P7
Q6ZN28 Q8IXJ6
Q9Y587 P51674
O60565 P27169
Q569K4 Q6V9R5
Q9HCH3 Q5JU67
P62995 O43278
P31025 Q8IYM2
Q96SA4 Q96RB7
A8MWL6 Q6PKX4
Q9Y231 O95983
Q9H0M5 Q8TAA5
Q9H4W6 Q86Y82
Q9UP79 Q14982
Q9P2R7 Q96CA5
Q6UWY2 Q9NXR7
P26599 Q99442
Q9HBM1 Q9UL59
P23434 Q9ULD5
Q8NH04 Q5TEA6
Q86YH6 Q9BYQ4
P01213 Q5TA45
Q13607 P52803
Q9HCS2 P51451
A6NFD8 P85299
Q15349 Q02094
Q6UWB1 Q3SY00
Q9NYW1 Q5TA76
Q8NFH4 Q8TDU6
Q96ST8 Q8WWB3
P63151 Q14585
O75792 Q92747
O60906 Q86YG4
P22314 C9JDV5
Q8NFT8 Q5VYS4
Q86VR8 Q96PU8
Q8N7X2 O15381
Q08380 Q9NQ25
Q9NQL2 Q4V321
Q8N944 Q8NI22
Q8TBB1 Q6NVV3
P13640 Q9UKA2
Q9H467 O75838
Q9H4M7 Q9UBU3
P21964 P84090
P09923 Q8IXM7
Q96H79 Q96BP2
A0A1B0GTQ4 Q5XKP0
Q13670 Q9BRG2
P12074 Q9H3R5
Q9UJ14 Q5T230
O43829 Q96A61
Q9NZG7 Q14790
Q8N8I0 Q96N77
O76090 Q5QP82
Q9NVH0 P15813
P13010 Q1L6U9
O75144 Q9NS93
Q8N0V3 Q2KHT4
O00755 Q13572
Q13445 Q8IYK2
Q12982 Q92536
Q9BY65 O14562
P00439 P56277
Q8TE02 P45877
P00742 Q06587
O94760 P48764
Q5VYV7 P31275
Q7Z7E8 P08172
Q70EL2 Q8NGV0
A0JLT2 Q9H0X6
Q9HD34 P11712
P39748 Q9GZL8
Q12947 Q08ET2
Q8NBB4 P23511
Q6NYC1 P30519
Q96R72 Q5T2Q4
Q92546 P62945
C9JL84 P61247
P49368 P46060
Q9Y2Q5 P30405
Q6VVB1 Q969X0
Q9HAU8 O15217
Q8N954 Q9Y4H4
Q8N7R7 Q8N4K4
A2RU67 O14734
P0DI82 P43359
Q8NCX0 A0A0C4DH72
P46776 Q96B26
P02585 Q8N878
P61966 Q6NXP0
Q14003 Q8NHB7
O75438 P48023
Q08050 Q8WV48
Q8IX06 Q71F78
O15372 Q06732
O15296 P05452
Q5W5X9 Q9H1P6
P56279 Q9NUL7
Q8NCA9 Q15067
Q5T3J3 Q9UJM8
P00846 P60372
Q495M3 Q8TEW6
O00255 Q8NGV7
Q96DN0 Q5JSP0
P01817 Q58A45
Q9NPA8 Q9Y2A9
Q6ZRF8 P51648
P0C7L1 Q9GZP9
P29973 P57082
Q86VX9 P68363
Q96QD8 Q96M27
Q9UNX9 O14950
P08195 Q99878
Q495Z4 Q9H9Z2
A0AVK6 Q8IWT0
Q8NGG3 Q9UNS2
Q9NPB9 P02766
A0A1B0GTR4 O14626
Q00587 Q13554
P62979 Q5VIR6
P0CJ85 A0A087WTH1
Q9UJZ1 Q5T9L3
Q9BQG2 Q9HAB3
P98082 P40205
Q9Y6U7 Q9Y689
P12544 P49908
Q96CN4 Q5SV17
P05813 P16333
Q8TF42 Q53H80
Q6IFN5 Q14331
Q96C19 Q96C74
P09497 Q96IV0
Q9NQM4 Q6UX71
Q9UBV4 O95716
O95264 P54829
Q9NTU7 Q96EK6
O60759 O95389
Q5T160 Q2WGJ8
Q86WT6 P48551
Q9Y5H1 O00559
Q9NR81 P99999
P20382 Q92882
Q9UGQ3 Q6UWH4
P20036 Q9NPJ4
Q96PB1 Q92552
A0A1B0GUJ8 Q14511
Q96GM8 Q15744
P0CL84 Q9NR64
Q86SG2 Q49A17
Q9H2U2 P30872
Q9NTI7 Q8IZF3
P49758 Q8NGS7
P11597 P59025
P49759 Q6L8H4
Q8NHC4 O00716
Q99731 Q16534
Q86SZ2 Q15695
P28330 Q9Y2Y9
Q96ED9 Q86X51
P16402 O95965
Q9HBI5 Q96HA8
Q8TB73 Q96BH3
O60869 Q5HYK7
Q8N699 Q0VAA2
O14733 Q30134
Q9H444 Q9H4I2
P0CK97 P25100
O75752 P83369
O95685 Q9BXA6
Q9NZL9 Q9NQT4
O95397 Q9BQ90
Q9NXR7 P04150
Q8NHB1 Q9P121
P00740 Q9Y5K2
O15127 P30510
Q96EV8 Q9UKK6
O95406 Q96CU9
Q3LI70 Q9H2F3
P51151 O15321
Q969R5 O43464
O43679 P31994
O75056 Q8N5Z0
Q8NI38 Q13536
P0CI26 Q66K80
O00115 Q6NSW7
P50570 O75563
Q96MF7 Q9Y5H5
Q7Z3B1 P33241
Q96RM1 P61247
Q7RTS9 Q7RTP0
P21283 Q4G0S7
Q9UKF2 Q9UJJ9
P01225 P63104
Q8N100 P13797
Q96C23 Q9H8X9
Q9NR22 Q96BM9
Q6PKH6 O94919
Q9NWQ4 Q9UL42
Q9NYY3 Q6UWK7
Q9UL52 Q96MY1
Q5XKP0 Q02548
P17707 Q8IUK8
Q9UGI9 P01715
Q9UHU1 O95718
Q96JG8 P12314
P54646 Q7Z6M2
Q99720 Q14807
A4D2H0 Q5GH77
Q96AQ8 Q7Z628
Q8TDQ7 Q9P258
A0A0C4DH25 P80108
Q99633 Q9H3M9
O14625 Q9Y6B2
Q96A83 Q96MC5
Q9Y2D2 P18825
Q9BQY6 Q8WVX3
O75437 Q9H3Y6
Q96AN5 Q96AC1
P15882 Q7KZN9
Q15493 Q96AX1
Q96H40 Q9UHV8
Q9BVG3 P10176
Q9BQ95 Q9Y5K6
P05455 Q6UWV6
Q0D2H9 Q9BYG8
P98173 P62244
Q96I45 Q9Y606
Q96GG9 Q8WVR3
P35226 Q8N4Q1
Q92537 Q14739
Q5VSG8 Q5T0U0
Q9Y2G5 A8K855
P53611 Q9UHY7
A6NMD0 Q9BS92
Q9NZV6 O95990
Q13634 P21266
Q52M58 Q06889
Q8WU39 Q8WV41
Q9Y5M6 P13378
Q9H6W3 Q9Y679
Q3LI83 Q0WX57
Q5JTB6 Q5SZI1
P09917 A1L429
Q8N807 Q9BWX1
Q68E01 P59991
P04908 Q96GL9
Q9UHG0 P43694
Q6L8H4 P49759
Q70EL3 P02671
P24522 Q8WUD4
P0CG34 Q9BQ61
Q9BX51 Q9H0X4
A6NGU7 P0DI80
P28039 Q7Z6I8
Q9H079 O14880
Q9UND3 P02778
O60636 P01848
Q8IU60 O43581
Q9NV92 P51911
Q8IYX1 Q0P641
Q13200 Q9H061
P18847 Q8NHL6
O95376 P02728
O95718 A8K830
P63244 O14929
Q8NC96 Q9NZI6
Q6UXB1 Q7Z3Z2
Q92567 Q496F6
Q6ZUT1 Q13596
Q9NXV2 Q15466
Q9BWE0 Q9H9S4
Q0P140 Q9BYD3
P31997 Q8WYK2
Q86T20 A6NNJ1
A0M8Q6 Q6PID6
Q99593 Q9H7R0
Q9NP80 Q9UHJ9
Q9NRN9 Q8WTP9
O75478 Q6P6B1
Q16828 P54725
Q8N0S2 Q9GZU5
Q9NUQ2 P10909
Q9C0D4 Q96N28
P49771 Q9ULJ1
Q8WZA8 O75351
P30042 O95257
Q9BQD7 Q8WWH4
P62256 O14613
Q9BSK0 Q96IZ5
Q9H160 Q9H344
Q96BQ5 P40123
Q16676 P36894
Q8N128 A0A1B0GTR4
O43324 Q56UQ5
Q16816 P31274
Q8N7W2 A6NLC5
Q8NGP0 Q7Z6W1
P10412 P16260
Q9P0S9 Q9NZD8
O15528 Q9P0B6
Q8N6M5 Q15390
Q8NGW1 Q8N3E9
Q8WV99 O95772
P0DJ07 O75762
Q8WTR7 P0C604
Q6ZYL4 O94900
Q8TAT2 Q9UKD2
Q8TBZ2 P20800
Q9BXR0 Q86Y37
Q30KQ9 Q8IWW6
Q13323 Q5H943
O75688 Q9BRQ3
O60565 Q96S65
Q9H7X7 Q5VT28
O95947 O15212
Q9BY27 P55327
Q9Y250 Q9HBF5
Q7Z5D8 Q6ZMV5
O43610 Q0D2H9
Q9NQ34 P0CG48
P48735 Q75MW2
P61952 Q15109
Q8N8N0 Q13523
Q96Q80 A6NHY6
Q4G0N4 Q9P1G2
P10451 A6NF36
A0A1B0GVG4 P0C5K7
Q9Y365 Q9BYS1
Q9BTD3 Q9NPI5
B4DH59 Q96RD1
Q9NP61 Q16678
P49662 P46976
P31271 Q6ZMR5
Q9UQ07 P33121
P24298 Q8TAT6
Q9UHD9 Q96LR7
P84074 O43692
P48651 P49146
Q96H15 P28161
P49643 Q6ZMM2
Q9BXU9 Q9H9G7
O75459 Q8TCX5
Q96EU7 Q9NYW2
P0DP23 P52732
Q9Y5P4 Q9XRX5
Q6NT55 Q5XKK7
Q8NA61 P04843
B2RXF0 Q96MC9
Q96PF2 Q8IZV5
Q2TAC2 Q9HA64
Q9H490 Q96G27
P0CJ69 Q9Y4R7
O15258 Q5TAQ9
P59826 P04899
P0CW23 P04921
Q99757 Q8NAP8
Q8NF37 Q5H9L4
B0FP48 Q8TF42
O15244 P11182
Q9NQ35 Q96IZ7
Q8N328 P13994
Q3KNS6 Q9H2J7
P62888 P29350
P42772 Q13069
P14061 Q5JUK2
Q6P1M0 Q9NUQ2
P56597 P07098
Q9ULZ3 Q9BZA0
Q08AI6 Q6W3E5
Q12836 O75056
Q9UIG4 B3KS81
P01009 Q9Y6A9
Q6P589 O75629
P58511 Q96HH9
Q8NFI3 Q6ZMG9
Q14137 Q9H813
A8K554 P01210
A8MTB9 P55084
Q66PJ3 Q86Y33
Q96KX1 Q96GU1
Q9Y5X0 P43121
Q9BSK0 Q16514
P55290 P17036
Q9UKB5 Q9UHY1
Q9Y284 Q9BUB7
A0A0J9YVY3 Q9NUV7
A6NMT0 Q8NG92
Q10713 Q96RU8
Q9NYG2 Q9NYL2
P01912 Q8WXI3
P31025 Q8N3I7
Q86VF5 Q52LD8
Q6JEL2 A2RUU4
Q8TDQ7 Q86Y27
A6NIK2 Q8TCZ2
Q969Q1 Q9UHG3
P35998 Q96FH0
P09668 Q86SH4
Q5R3I4 Q16181
Q9Y2G7 Q8TBK2
O95278 P46060
O76021 Q9UJV3
P22891 Q8N4L2
Q3SXP7 P07355
P14091 Q8WXA8
Q96NY8 Q9Y692
P09693 O60479
Q14566 Q9BQ48
Q5XKP0 P15018
P0C6S8 Q8NC24
Q04323 Q9NZC4
Q9UL42 Q9UJX6
P46109 Q8NC69
Q5VW32 Q9NYL9
O95258 P0DKL9
P78362 Q6UX15
Q9Y3U8 P18031
P63145 P14061
O15033 P58304
Q6UXH0 O43143
P05141 Q695T7
O15119 Q9BYR8
Q5T7P3 Q8TDM0
E9PB15 Q29940
O14610 P01743
P18089 Q68J44
Q9BUH8 O75952
Q7Z4L0 P05534
P49447 Q8NHC6
P68104 Q9Y3B7
Q7Z6K3 P0C0P6
Q8NEX9 Q16342
Q9UHY8 O00482
Q9BV97 P55854
Q9NUD5 P30508
Q9UIW0 P47887
Q494R0 Q8N8F6
Q9Y243 O15484
P86479 Q15048
P21453 Q9P286
Q6Q0C1 Q8TCY0
Q5T754 A8MU76
Q9UKQ9 O14627
Q9P0V8 Q68D86
Q9P2G4 Q7Z4U5
Q9UPQ4 Q6PEV8
P42685 Q99543
P04440 P23677
O75752 P35900
A8MX76 P07196
Q8TAB7 Q8N3Z0
Q13572 P15927
Q16611 P01742
Q14699 Q99807
Q16048 Q6PB30
Q8WY64 O96008
Q86X60 P61513
Q4VC05 Q3SYA9
Q9NPR9 Q6UX34
Q96NZ9 Q5MJ10
Q9BXW4 Q9H3R5
Q96F83 P59796
Q93083 Q7Z5L3
P16671 Q7L523
P13995 Q9H3H9
Q05682 Q8WVX3
Q8TEV8 Q9BXU9
P14091 Q12836
P0C7P2 Q9Y230
O15266 P18847
Q8N4L2 P22891
Q06250 P11801
Q92187 Q9Y600
Q9BWW8 O14907
Q8TAQ5 P61165
P16402 Q92696
Q8NGY0 O14603
A8MTZ0 Q9BXJ9
Q07325 Q8NFZ5
P62683 Q96QU6
Q53F19 P00995
P61296 P62333
Q96BW9 Q9UID3
Q9NX52 P61081
Q7Z7G2 P43166
Q9NS84 Q6UYE1
Q8IXQ3 P09565
Q12933 A6NMN3
P63122 Q96B01
P19793 Q9BRU2
Q14CN4 Q8N5G0
Q99990 Q96NU7
P08174 Q8N8N0
A7E2F4 Q9NWT8
Q9HCL3 Q02985
P48735 Q9H310
Q9H4E7 Q8N104
Q9NP55 Q5SY68
Q9H7L2 A6NFE3
P49721 Q8WWN9
Q99440 P32927
Q9BSG1 Q9Y3Q7
Q13835 P29992
Q6ZMN8 P06126
P21964 Q9H0C1
Q9NV44 Q8N6F8
Q6P474 Q6P4A7
P58417 Q8N8I0
P55317 Q9BT04
Q9NVL8 Q8NC44
Q92613 Q9UK76
Q9Y3U8 P35557
P08908 Q14849
Q8TF09 A0A075B6I0
Q96RK1 Q9P1F3
P56277 Q9NZH8
Q9UN37 Q5VW00
P58401 O95944
Q49SQ1 Q8IW93
P20265 Q8IZC4
P28067 A6NKF2
Q9H6E4 Q8NHS2
Q6P5S2 P04908
Q9H4K1 Q9NVQ4
Q9NPC4 Q14498
Q5TA45 Q8IUS5
Q9BS18 P16860
O00142 Q96D96
Q5BKY6 Q6ZMV7
P46063 Q9BQS2
P30988 P01920
A6NF83 Q9UGV2
O94919 Q70EK9
Q17RY0 P30457
Q13070 Q9HCI7
O00204 A0A0J9YX35
Q9BYE3 Q6UWD8
Q3SXP7 Q3LI83
Q8WUA7 P0C6C1
Q96HZ7 Q8N715
Q6DKI2 Q9P242
Q6UXX9 B7U540
Q9BU02 Q68CQ7
Q6ZNM6 P13928
A8MZ26 Q06323
Q8NGG0 Q9H6Y5
Q9Y4A9 Q12834
Q92781 Q8N9W7
Q96RI8 P01817
P16152 Q8IYU4
O75340 Q9Y6W5
Q14166 Q9HD26
Q05952 Q06141
Q6P3V2 Q68D91
P20809 Q53H64
Q8NGD2 O60547
Q8IWF6 P0DMU3
Q8IVP5 A6NHT5
O14682 Q9H6X4
P15421 Q15287
Q3LI70 P23443
Q86V81 Q8TCZ2
A6NMZ2 Q8N135
A6NFR6 P04201
Q96AP4 O75953
Q9BRQ4 Q9BZD7
P48067 Q9BYS1
Q8N769 Q96M94
Q96GF1 P09341
P50458 Q9BXB7
Q8IYB0 O43759
P49788 P17987
Q7RTS1 Q9BQC3
P0CG04 O43316
A8MT33 O95214
Q8NBW4 Q9GZN8
P63120 P51659
Q8IU53 Q13323
Q147X3 Q6ZV80
P26038 Q9NUM4
P42685 P47870
Q9NP84 P63146
Q9H7L9 Q14142
Q8N9X5 Q8NAA5
Q8IV63 Q96LW9
P05161 O95639
P30501 Q8IUE1
P24347 Q9UBR5
Q9UKK9 O75204
Q9NQ60 Q86U10
P58180 Q9Y2C9
Q9H1Z9 P35236
Q8NFT8 Q8N5G0
Q86UV7 Q14CZ8
P15169 Q9UHY1
P12525 Q9BYR0
P32455 Q8N365
P0DPB3 Q9BUM1
P08631 Q9NS61
Q7Z5A7 O43557
Q92558 Q96M93
P07320 Q8IZP6
Q6IBW4 P42025
P04259 A0A1B0GTS1
P59827 O14896
P18545 O95416
Q9H1Q7 Q9H5J4
P17706 Q7L523
Q96AX2 Q14558
