P62258 Q9UKT5
O95292 Q9P0L0
Q01844 Q9BWW4
Q08117 P35711
P52736 P60409
Q6NX45 P14136
Q9Y2X8 Q8ND25
P61024 Q03989
Q7Z417 Q9BYR9
Q13490 Q96FW1
Q9HCK0 P63279
Q15323 Q07866
Q9UNE2 Q9UJV3
Q8IWX8 Q8WVK2
P04843 Q9UMX0
P63208 Q6PJ61
Q9BY11 P48023
Q8N2W9 P61956
P0CG20 P84074
Q14192 Q9BRR9
Q13976 P25791
O76003 Q9BT81
Q03989 Q14847
Q99750 Q8TAU3
Q9Y4Z2 Q99081
P38936 Q9UHC7
Q5T013 Q05519
Q5T5A8 Q9BYR7
P23769 Q13077
Q13426 Q8IZU0
Q13309 P46527
Q9NT22 Q9NVF7
Q9Y4Z0 O95777
Q9HBE1 Q13077
Q9Y243 P42574
P60409 Q9UBK9
Q9H2G9 O43741
P61586 Q9BST9
Q9UJ70 Q96HA8
Q8WWY3 P0DJD3
O43167 P60410
P61024 Q04864
Q9BRU9 O76015
P14373 Q96FQ7
P11802 P30279
Q8TBN0 Q9UPW6
Q96IZ5 Q9BYV2
Q9P289 Q9BUL8
Q9UKT9 O75934
O76015 Q8N3L3
O75603 O75360
Q06609 Q6NVH7
Q06830 P10275
O14512 Q6X4W1
Q92985 Q9UHD2
O15409 P24863
P55273 Q00534
O00560 Q8TC92
Q8N4F7 P60409
Q68D86 Q8IYX8
Q8IYX8 Q9UBU8
Q96BA8 Q9BVK8
Q9Y5X0 Q15041
Q6BCY4 P62333
Q6ZW49 Q9UKK6
Q86SE9 Q96LA8
P63208 Q7Z6M2
Q9GZV5 Q15561
Q8NI60 Q96DZ9
P05556 Q9BY76
O94907 Q99750
Q9BQ89 Q13643
P43360 O75386
P23508 P29084
Q9Y376 Q9C0K7
P19012 Q5XKE5
P0C870 Q08AM6
Q9UBK9 Q7Z3S9
Q9H211 O75496
Q8TD31 Q6A162
Q5W5X9 Q9BYV2
P15884 Q9H0A9
P05813 Q9BQY4
Q99909 Q9H4E5
Q8TD10 P55081
Q8IX15 Q15013
P49639 Q9BYD5
O95630 O75886
Q8IZU0 Q96HZ7
Q9NWS9 Q8NF99
P05412 P18846
P54274 Q6P2H3
P10809 Q8N6K7
Q9UBF1 Q7Z4N8
P05783 Q99816
Q9GZV8 Q8WW24
Q13137 Q9BXY8
P50222 P20783
Q969H8 O43765
P27986 Q86VI4
P62140 Q6NXS1
Q9BQ66 P60370
P19012 P48668
Q15714 P13693
Q8WWB5 P14136
Q15041 Q96E29
O43482 O14770
Q96T49 P62140
Q86WT6 Q8N205
Q96CS2 Q13561
P86479 Q8IUQ4
Q8TBB0 P60409
Q13257 Q9Y3Q8
P61019 Q96FJ0
Q13637 Q96D03
Q9UBB9 P48047
Q9UPT9 Q9NRN7
P98170 P40937
Q9NZU5 P47224
P55040 Q9UBB9
Q96MM6 Q15323
P49639 Q6L8G9
O75528 P24863
Q9BQA9 Q8N6L0
Q13153 P53667
Q9H115 Q8N4C7
Q96BZ8 Q8N9N5
Q9H492 Q15025
P48230 Q8TAZ6
O43251 Q8NDC0
Q9BU76 Q9NVV9
O00560 O95198
P42771 O75398
Q09FC8 Q9BQ66
Q96SQ5 O43597
Q53TS8 Q6A162
Q12933 P46527
Q6A162 O75934
Q9H3R5 P84090
O75821 Q13347
Q5TCM9 Q8IWZ5
Q13526 P60409
Q13835 P08670
P45983 P27986
Q5H9J7 Q08AF8
P60328 Q5T753
P38919 P61326
Q9ULM2 Q8NHQ1
Q04206 Q13568
Q9BRA0 O76083
Q8IZU0 Q7Z7H8
P60510 P78318
P50222 Q96HT8
Q7Z7H3 Q9P209
Q8WXK3 P27448
Q9H8M2 Q7Z7H3
Q14790 Q13546
Q00987 P42677
Q70UQ0 P15173
Q14141 Q8NDC4
P23769 P17947
Q7Z3S9 P55064
Q13137 P26196
P78352 Q09470
P50222 P04141
Q6QNY1 P78537
O96015 Q13557
O14526 Q8TCE9
O95947 O43186
Q9Y5P3 Q9NRR5
Q9NWS9 Q9H4T2
Q99816 Q8N0S2
Q0VD86 Q5HYW2
P61758 Q9NQP4
Q8TBB1 Q8TCE9
Q9NWS6 O76003
P31350 P23921
Q9Y2X8 Q9Y6K9
Q96HT8 Q9BS16
P54646 Q9NPC3
O43353 Q13114
Q8ND83 P25788
Q15654 O43734
Q9BSE2 Q9NV29
Q7KZI7 P31946
Q13829 O15160
Q8NF64 Q13526
Q9UL45 Q9NYB9
P63165 P07910
O76003 Q7Z3S9
O43296 Q9BYR9
Q96B26 Q9BRA2
Q93062 Q9UBP5
P48668 O76015
Q6A162 Q96NC0
Q96NC0 O94972
O15151 P48729
Q9NUQ9 Q9GZT8
Q86UD0 P18848
Q9H4G1 Q7Z3S9
Q8WV44 Q9UBU8
Q9NRD5 Q9HAT0
Q92569 P53672
P32969 Q9BQD3
Q8N8F7 P21145
Q9Y230 P25490
P63261 O60826
Q9NQ29 Q96SB4
Q14847 P07947
Q96B01 Q06609
P14373 Q9BQ24
O75409 Q9C0F1
Q13546 Q9ULZ3
Q8IZ26 P60370
Q96HA8 P00492
P18846 P05412
P25815 Q9UBB9
P15884 Q9UDX3
Q9UH03 Q9H8S9
P61289 Q96HA8
Q9Y448 Q9Y3C0
Q7Z412 P40855
Q8IU80 Q6ZVN8
O14639 O75031
P63104 P31947
Q8WWY3 Q9Y2D8
Q86VQ0 P40222
P49643 P49642
Q2TAL8 Q8IUQ4
Q96CS2 O14879
A8MQ03 P07510
Q08426 Q96C00
Q5T700 Q9UEU0
Q96B67 Q96DC9
P17787 P30532
A1L4K1 Q9HC52
Q9NSC5 O75604
O43172 Q92917
Q96FC7 O76083
P21145 Q5T700
O00506 O43815
P42771 Q00534
Q96HR8 O43251
Q8WWW0 Q13188
O95273 Q5TZK3
P11802 P01106
Q00987 P48729
P18848 P17676
Q9Y676 P06400
Q9H0K6 P14373
Q5JST6 Q99633
Q9NUX5 Q99795
Q96MT8 Q8TBK6
Q8WYJ6 Q8TBB1
Q13137 Q9UJV3
Q9NZD8 P19012
Q9BVL2 Q7Z3B4
P02795 P58062
P15151 Q9BRI3
Q12933 P19438
Q13501 P60520
Q9NZ81 Q53G59
Q86WV6 P51617
Q8N5F7 Q9Y388
P60409 Q14554
Q01105 Q6SJ93
P61968 Q63ZY3
Q9BYR7 P15976
O95870 Q99942
Q8WW32 Q8NHQ1
Q99571 P26371
Q5TD97 Q9BWG6
Q8N1B4 P26196
Q9NP66 Q96BS2
Q13526 Q9NYB9
Q08117 Q9HBI0
P61086 Q8N9I9
P16333 P42167
Q9Y5U2 Q9NYB0
A8MQ03 Q9BYQ3
Q15973 P60410
P60411 P61024
Q8N5L8 Q9UJV3
Q15078 Q00535
P36941 Q15326
O95777 P62310
Q9H257 Q08117
Q8WV99 Q15038
P38936 Q00526
P17544 Q8WW34
P50402 Q9NTW7
P30273 P43405
Q9H0R8 O95352
Q14192 Q8N9N5
Q96DT7 Q70IA8
P04049 P36507
Q9Y2Z4 Q8IZU0
Q9H9D4 Q8WWY3
O60256 Q14558
P07686 P06865
Q9Y3Q8 O15160
Q99417 Q92667
P60370 P41227
P00540 P14373
Q08117 O15320
Q9HAT0 Q32M84
Q6ZT89 Q9UJV3
Q9BXW4 O00410
Q8WY64 Q9Y3Q8
P31749 Q13043
P31689 Q9GZX7
Q7Z3S9 Q15040
P0C7W6 Q9BT92
Q8TBB1 Q9Y5B8
Q96SQ5 P50222
Q147X3 Q5VZE5
Q68DV7 P0CG47
Q96HA8 Q9P286
P04637 Q13362
Q96L34 Q9BYG4
Q9NRG1 P46926
P09012 P14373
P55040 Q7Z3S9
P21673 Q13330
P61978 P0DJD3
P49768 P49755
Q96HA8 Q9BXD5
P61978 Q9NYB9
Q8IUC1 Q9NZC7
Q9NRD5 Q03933
O43829 Q7L775
P60409 P60370
Q13490 Q96CA5
Q9NYB0 O00479
Q9NUL5 Q96EV8
Q8IWZ5 Q9BTL3
Q9BT78 P01100
Q6ICB0 P78358
Q14192 Q53HC0
Q8IWZ8 Q96I25
P24941 O96020
Q96F86 P26196
Q96KN1 P06132
O95150 O95407
P60411 Q9H0R8
O95881 O95198
Q9HCU9 O75190
Q5TA78 O43597
P60411 Q9P0T4
P43364 O43521
P35609 Q7Z7H8
Q9Y244 P28074
Q02040 Q6A162
O43734 Q13084
Q7L273 Q93062
Q02930 Q5TA45
P62826 Q8WUF5
P50222 Q8IYX8
Q9BYQ4 Q9NUL5
Q8WVJ2 P07900
O94817 Q9NT62
O95379 O00560
Q14D33 P25788
Q92731 P53041
Q6L8G9 O43597
Q8WV44 Q08117
Q96HA8 Q9H3F6
P25789 P25788
Q9H8W4 Q9UKJ5
Q8N6F1 Q96JQ5
Q9UQB8 Q9UFG5
Q6A162 Q9H6L2
P62877 Q13620
Q9NPQ8 O00560
P60409 Q9UJW8
Q96H20 Q9BYV2
A8MQ03 Q9UGL9
Q9NVF7 P63208
P59990 Q13643
Q15631 Q99598
P22681 P62993
Q8N8B7 Q8N1B4
O75177 O15320
Q9Y572 Q9H171
Q17RB8 Q7L273
O75478 O75431
Q9UKT5 P63208
P60409 O00560
O95503 Q99496
Q96T60 Q13422
P36406 Q8N6T3
Q9UGL9 Q6RW13
P49407 O95218
Q9UBV8 Q5JUK2
O43809 Q08379
Q15287 P78362
Q14847 Q99750
P0CG48 Q13887
O95881 Q9UMX0
Q99732 Q13137
Q6UWP7 Q9HD26
Q7Z3S9 O14817
Q15038 O15162
P10124 P10144
Q8IUH3 Q99757
P40937 O00635
P63279 Q8N3Z6
P04899 Q15323
P63261 Q08426
Q99873 Q5JVS0
O15162 Q16625
P60409 Q96IX9
Q96CG3 Q9Y4K3
Q9BRK4 Q9P2K3
Q13084 Q9BUZ4
Q8N8I6 Q93062
Q14145 P06454
Q8TAP4 Q8ND90
Q96J77 Q6RW13
Q9BYR5 Q9BYQ2
O14662 Q9H115
P54619 P35520
Q9Y5V3 Q5I0X7
Q14151 Q9GZQ8
Q9NXX6 Q96MG7
O95872 Q05516
Q9H8Y8 P02489
Q8N5Z5 Q9H5I1
Q96C28 P60370
Q9NZC7 Q8IUC1
Q6L8G9 P50222
Q9H8Y8 Q8TC92
P60409 P52736
Q16626 P63010
O95994 Q9H1M0
Q9H0E2 O75553
P25815 Q9NYB0
P43034 Q8IVD9
Q13422 Q9Y5B8
Q8WWB3 Q8N3L3
Q15973 Q8N0S2
Q9NQL9 Q15654
Q15742 Q08117
O14530 O14901
P60370 Q96E40
Q9UJX2 Q9UHA3
Q7Z3B4 Q96CS2
P63104 P68431
Q3SY46 Q7Z3S9
P35398 P14136
P30153 Q96GD4
Q8IUH5 O15530
Q6PIY7 Q13137
Q9BVG8 Q13352
Q58DX5 Q9Y287
O43524 P84022
O43829 P62081
Q9BYV2 P04259
P14136 Q8IYR0
Q14145 Q9NPC3
O95931 P35227
Q96AP0 O75821
Q14240 Q9NQ86
Q9UHX1 Q9H204
Q9Y6K9 Q9BYM8
P22736 P50552
Q9NSK0 Q8IYX8
Q8ND90 P08579
Q9UKF7 Q96DZ9
P60411 P15151
P60709 P63104
Q15836 O00161
Q96DZ9 P54886
Q96GM5 O76015
Q7L5A3 Q8NHQ1
O00623 P50542
Q13867 Q96HA8
Q9H190 Q6ZUT1
Q7Z3S9 Q9UBK9
Q96A49 Q9NUX5
P24863 P06400
Q9Y3D8 P38432
Q96CS2 P14373
P50222 Q9BWG6
A6ZKI3 Q9UHD9
P52565 Q9BSI4
Q93045 Q8IYF3
P12931 O00560
Q9UNE7 Q99933
Q8NEC5 P60328
P78560 Q9BYV2
Q9Y6H1 Q9BYV2
Q5TA78 P50222
Q8NFV4 O95231
Q9BUW7 P35900
Q9HCU9 Q9H7L9
P60410 Q9BYR5
Q9BVV2 P43365
P10721 O14543
O95229 O14777
Q9GZT8 P42773
O60684 P01583
Q13155 Q9NYB0
Q9P2A4 P25786
P25788 Q6PEX3
Q9NZ81 O95379
Q9H0T7 Q9H6J7
Q9P289 Q9P2B4
Q9GZT8 P51116
Q9NYB9 P25791
Q9UJ41 Q99757
Q96I34 Q08117
Q96L14 Q9P2A4
Q96RK4 A8MTZ0
Q96A54 Q9UKG1
Q9BYV2 P62837
P12004 P61769
Q8N5M1 Q04864
P62258 Q9Y3M2
Q9NZ01 Q6Y1H2
Q8IUQ4 Q14088
Q8N3L3 P19012
O75558 Q3B820
Q9NYB0 O15347
P25791 P37198
A5D8T8 Q7Z3S9
Q05D60 Q9NU19
E9PJI5 Q9BUZ4
O43765 Q8IW45
P42857 Q8N6L0
Q9GZM7 Q7Z3S9
Q8WXI9 P14373
O60504 P14373
Q99750 Q5W150
Q13111 P83916
P40692 P07858
Q49A26 Q8N9N8
Q9NZN3 Q9H4M9
Q96AY2 Q96NY9
Q9BSI4 O60907
Q8TBE0 Q13137
Q2WGJ6 O76015
Q86YS6 P04792
Q9BYV2 O14796
O43829 Q13895
P21673 Q9UFG5
Q14194 Q16555
Q9H6J7 Q96PV4
Q99619 Q15369
Q3SY00 Q8NHQ1
Q9BUJ2 Q9BQ04
O00214 Q13137
Q9UMX0 Q9P2K6
P36406 Q13356
P17676 P35638
P02545 Q8N0S2
P19012 P35900
P21673 Q9NQL9
O60573 P60411
P38159 P62995
O43597 Q9NUL5
Q00987 Q9UER7
Q9H190 Q15102
Q9UFF9 O75175
O96006 Q16385
Q9UPY8 P20618
P60370 Q96SQ5
P15170 P62495
Q06455 O43597
Q92831 Q9Y5W3
Q96JM7 Q9UMX2
Q9P287 P62829
Q96LA8 Q9HAQ2
Q9NVV9 O43189
Q15435 P36873
O14764 Q7Z3S9
Q8NC69 Q8WWY3
Q15797 P17844
Q13547 O95983
O76015 P35908
P60409 Q6L8G9
P08865 Q15046
Q9Y3C0 Q08379
P60891 Q9H8Y8
P17024 P60370
O75716 P60411
Q8IVP5 Q9H492
Q8IZU0 P35523
O00220 Q14790
O95751 Q15973
P67775 Q9Y2T4
P23025 Q9GZM8
Q9UH99 P50402
Q15109 P62993
Q00536 Q92624
P60520 Q9P1Z2
O75360 Q7L775
P31946 Q9UQC2
Q9H165 O43639
O96015 Q96FJ2
Q9BWG6 P60410
P50222 Q9NVM6
P09012 Q9BU61
Q15025 P40222
Q08117 P79522
Q9UJV3 P25786
Q9NQS3 Q15223
P09234 Q16610
Q07021 P01042
P60410 P16930
O43741 Q01974
P08727 O14964
Q8IXJ6 Q9Y572
P54727 P54252
P62306 P54105
O15111 P46527
P13647 P08727
Q96NC0 Q2TAC2
P04049 P14618
P35900 P19012
Q99816 Q53EZ4
Q96S59 P36873
P15884 Q0D2H9
Q86VU5 Q9UMX0
O95257 Q9BPX5
P27348 P62258
O43583 Q9ULC4
Q9H0R8 Q9NRI5
Q9BXS5 P51114
Q8N138 O15269
Q9BVP2 Q00987
Q99986 P62826
Q96EY8 Q8NA61
P01019 P30556
O43889 P50402
Q8TBK6 Q96MT8
Q13526 Q13342
Q13526 Q9H3D4
Q15418 P50552
Q15654 O75716
Q5TA82 O76003
P24941 Q969H0
Q9NX63 Q7Z3S9
P41236 Q9BSI4
P51959 Q9BRK4
Q9Y624 O43765
P60411 P08631
Q9H773 Q96HA8
P51693 P17028
P31513 O43889
Q9Y4K4 P16333
P60370 Q9BYQ0
Q14164 Q16543
P15531 P22392
P16333 O43708
Q96MT8 Q96CS2
P0C7W6 Q9H1K1
P20226 P04637
P45984 Q6P1W5
P62258 P58340
Q9BYR0 P50222
Q9Y6X2 Q9UIS9
P61077 Q9HCM9
O75914 P60953
O76003 Q9UFW8
Q8TBB1 Q9P0T4
Q8TCT0 P13196
Q99962 Q96B97
Q96SB4 Q14498
Q9BSI4 Q01995
Q9UJU6 Q96AP0
P35609 P30711
P29972 O43889
Q9BUI4 P14373
Q9GZQ8 P20700
Q99942 Q96IW7
P02042 P09105
P51116 Q13557
Q96MA6 Q96Q83
Q8N0S2 Q13515
Q01850 P36406
Q9BUZ4 P09067
Q12962 Q8WTS6
P57052 Q06547
Q8IWZ5 Q96A72
O14964 Q7Z6I5
Q8N7W2 P26196
P06748 Q86SE8
Q9BUI4 Q9HAT0
O60260 Q6NUN9
P60520 O75143
Q8N1K5 P06239
Q9Y2Z0 P08238
Q9BR76 P54274
Q9H2X0 Q9BYQ4
Q96IJ6 P02741
Q3SY00 Q6A162
Q9BYQ6 Q8NEC5
O15062 O15156
Q9P0T4 Q9BRK4
O14818 P25789
Q99836 O14836
Q6NT76 Q9BVV2
Q13418 Q9H0C8
P60411 P17024
Q9P1A6 Q9BYR5
Q9UMS4 O75934
O00560 P13489
Q9UKJ5 P50222
Q8TBZ8 Q9HD26
Q15645 Q96JB6
P07900 Q15831
P59990 P60411
P48023 Q96RU3
O95231 P59991
P26371 P60412
Q6A162 P43115
Q7RTY0 O95273
Q99750 Q03989
Q7Z6K5 O15144
Q8TBB1 P45984
O95967 Q9UBX5
P50222 P84022
P63104 Q8WUI4
Q9H2G4 Q8TAD8
P05109 P06702
O43609 P50222
Q13643 P02760
P09496 Q9NYX4
Q13137 P51946
Q9H6S1 Q9UHD2
O00506 Q9Y376
P04049 Q3ZCQ8
Q06455 P50222
P07910 Q86SE5
O14633 Q5T754
A5D8V6 P25788
Q5T5A8 Q9BYQ3
O00429 Q9Y512
P09110 Q13838
P09234 Q9GZV8
P61247 P07900
P84098 P54274
Q9NYA1 P68104
Q12983 O60313
P53667 P50281
Q99750 Q96LL4
P37235 P26371
Q6IBW4 Q8WWY3
Q9UBY9 Q8TAP6
Q96IP4 Q9NP31
P17482 Q15654
Q9UJV3 Q96M95
P60410 Q5TA76
Q99618 Q12933
Q9BRX9 Q14145
Q9H9H4 Q13131
O95971 O15151
Q9BYR0 P49639
P10636 P49841
Q9UJV3 Q96A72
P36406 Q13077
Q01968 P62820
Q86Y46 P19012
P60409 Q3B820
P07947 Q14847
Q9UBU9 Q6A162
P37840 P00414
Q15973 Q9BZW7
Q96LI6 O60248
Q9NYB9 Q14525
O60880 Q15052
P23025 Q96EB6
Q9NU19 Q13137
Q08AM6 P0C870
Q13077 Q13188
P36508 Q96PJ5
Q9BRT9 Q9Y248
Q8TAE8 P43360
P07510 Q15323
Q969F8 P67775
P31749 Q9UNE7
P35908 Q6A162
Q9UMX2 O14977
Q15427 O95817
Q86YD7 Q9Y2V7
P32246 Q04941
P60409 Q9UK11
Q9Y333 Q8N9N5
Q06547 P09012
Q9P0T4 P60411
Q6L8G9 Q7Z417
Q15691 O60828
P13688 P40199
Q71RC2 O14503
O43167 Q9H2G9
O60603 P61073
Q9BQ89 Q86WT6
P04637 P09429
Q9BRV8 P78358
P35372 Q9Y679
P62993 P22681
P63208 P25791
P08758 Q9BSI4
P31946 P55040
O43167 P32320
Q8NA61 Q9UBT7
P60410 Q5XG85
Q13422 Q9P0T4
P43115 Q04864
Q16773 Q15645
Q9UBY9 Q15427
Q96MH2 O00505
P10412 Q9Y468
P19793 P10276
P12814 P05198
Q13330 P43364
Q13049 Q13404
P49760 Q01081
Q9BPZ3 P11940
Q9BQ24 P60410
P60370 Q5TZK3
O43505 O95461
Q05639 Q14166
Q9UBB9 Q9BWG6
Q96B67 O75886
P55345 P03372
Q86XK3 Q8NHQ1
P17844 O95983
Q6A162 Q9Y2D8
Q7Z3S9 Q86TG1
Q9BYV2 P55081
P62837 Q99496
Q5T124 Q9BWG6
P08588 P21917
Q07000 P43626
O43617 A5PLN9
P63165 Q16665
Q8TC20 Q96CS2
Q99081 Q96MH2
P41182 Q9NTM9
Q13451 Q15831
O60506 Q9NR22
A9UHW6 P53673
Q9BYR3 P49901
P35638 Q9BPX1
Q9UKJ5 Q6A162
Q96GN5 Q9Y228
O95273 Q8N5A5
P68431 Q9Y294
P20226 P52657
Q9UMX0 P55036
Q99750 Q8WVV9
Q12933 Q9H788
Q8ND90 P55040
O75800 Q96FT9
Q13162 P07237
Q13137 P41227
Q9NZ81 P59022
P60411 Q8WTV0
Q14192 P78424
Q8WWB3 P56597
Q9UMY4 P16333
Q5XG85 P60409
Q13352 Q9Y5P4
Q96DZ9 O95363
Q13185 P68431
P33176 Q14192
P49715 P17676
O43829 Q96LK0
Q6UY14 Q5TA82
Q13480 P06239
Q96PN8 P24278
P16333 Q13087
Q9C0K7 Q15831
P05387 P05386
P15884 Q96A72
O14512 Q8IZP0
Q8IZU0 Q9NU23
O00505 Q9UKX7
Q6P1K8 Q13889
P05067 P02647
P43355 Q9NQG6
Q9H0I2 P36508
Q96LK0 Q92569
P61968 P19012
O60828 Q9Y2W2
Q8NHQ1 Q14584
Q13554 Q8N0Z6
Q13895 Q17RB8
Q8IX19 P07306
Q8N6P7 Q9GZX6
Q9NQL9 Q7Z3S9
P61019 Q08379
Q99623 P03372
Q6NYC1 Q01081
Q9BRK4 Q13895
Q5VWX1 P79522
P12004 P42771
Q8WWW0 Q13077
Q6A162 Q06250
O15427 Q86WQ0
P29590 P25788
Q16602 O60894
Q8WVK2 Q8IWX8
Q14D33 O43586
Q9P2K6 Q13137
Q8IYX8 Q68D86
Q8WWX8 O00505
Q13547 P62805
Q9BWN1 Q13185
Q00987 Q9UKB1
O76015 P62195
O43324 Q13137
Q15323 Q8IYX8
Q8WV22 Q96MG7
P20290 Q8N3L3
Q15836 Q9BXK5
Q02446 Q8TAP4
Q96BA8 P60201
Q9Y371 Q8IVP5
Q96D09 Q99757
Q99640 P06493
Q8IYA8 O00560
Q9HAT0 Q8TBB1
O14879 P09913
P25788 P29590
Q92567 Q9BSL1
P36406 Q9H7E9
P80098 Q9UMX0
O43581 Q8IUQ4
Q9H0R8 Q9UPU7
A1A5C7 Q7Z3S9
P17676 Q86X55
Q15415 P61978
Q7Z3S9 P43220
P63165 O14964
Q16586 O43765
Q8N883 Q14938
P26371 P17482
Q969F0 Q96QK8
Q9GZX7 Q13569
P23511 Q92624
P26371 Q9UGL9
Q9UHA3 Q9UJW3
Q13422 Q9HC98
P62993 Q9H706
Q15041 O95219
Q03135 P20936
Q9Y2V2 P60410
Q8IYF3 Q8NDB6
P42574 Q9Y243
Q9Y5Y7 O76011
O95183 O95721
P35711 P25791
Q9Y3I1 P61289
P62979 Q15038
P46527 Q9UQR0
P13489 O00560
Q8WWY3 Q08117
O43829 P55081
Q15208 Q9H8S9
Q13077 Q01664
Q9UIL1 Q6A162
Q3LI77 P57678
P09603 O43765
Q969S2 Q04864
Q6L8G8 P31785
Q9NPD3 Q15024
Q7Z3S9 Q9NXC2
P49902 O00560
Q99784 P50222
Q7Z6J0 P63000
Q9UM11 O75943
Q9GZT8 P62993
Q8N4P3 Q08AF8
Q9BTA9 Q9Y228
Q9H5Z6 Q08117
P51946 O14777
O00311 Q9BTE3
Q15109 P04271
Q9BRD0 Q92917
P60370 Q9NZ81
Q86X02 Q9NVQ4
Q96FV9 Q96BY2
P58753 P51617
Q2WGJ6 P43360
P49247 Q8TBB1
P36406 Q8TBZ8
Q9C0F1 P29972
Q8TBZ8 P13196
P15056 P63104
Q96NL3 Q8NHQ1
Q96EV8 Q9Y3C0
O15496 Q0VD86
Q96PM5 Q6UXH0
Q9Y5K6 P06729
P60410 Q13526
P46527 Q92905
Q8N114 Q9NZC7
P14373 Q9BRG1
Q8N205 Q15437
Q99750 Q5T7P3
P61244 P05549
Q8NA61 Q9UKJ5
Q13043 Q9H0R8
Q8IZU0 P49411
P29353 P28482
Q969H6 O95707
P12931 Q13177
P80188 O43765
P13805 P06753
Q6RW13 Q9NZD8
Q15415 P79522
P05556 P46109
Q14D33 Q13137
Q6NYC8 P14373
O60232 P51946
Q96G03 Q9BSI4
Q6UX06 O43557
Q13426 Q8IW19
Q8IYA8 Q06455
Q9NQR1 Q15672
P15884 Q96RJ6
P13073 O00560
Q9NR55 P17275
Q9Y316 P14373
Q9GZQ8 Q676U5
Q9GZV8 O43439
Q9HC98 Q0VD86
P11802 P42772
P29466 Q9ULZ3
P48668 Q6A162
P61764 P50222
P19012 P48047
Q12933 Q16656
Q96DZ9 O00560
Q6A162 Q9UKJ5
Q14451 Q92730
P25788 Q9Y3I1
P60370 P15976
P68400 Q9NVV9
P60410 Q8NEG0
Q9NVV9 P63010
Q06587 Q86SE9
Q04864 O43639
P28300 Q9UBX5
Q9NRQ5 P60409
Q8N2W9 P04637
Q96PN8 Q9C026
Q96NT3 P32929
O15155 Q12846
Q99816 Q8IZU0
O75832 P43358
P19012 Q8IYX1
Q8WV92 Q9HD42
Q9Y297 P18848
P30626 P40763
Q02930 Q99750
P49366 Q6ZVK8
P11021 Q96IZ0
O15305 Q96HD9
Q9UMX0 Q8IYK4
P14373 O60941
Q6P1W5 P86479
Q7Z3S9 Q6L8G9
O60941 Q96C00
P30532 P17787
O43542 O43502
O15530 Q8IUH5
P07355 P46092
Q9Y3Q8 Q13257
O60238 Q15848
Q15323 Q9BWG6
P62952 Q7Z3S9
Q6P1W5 Q6PKX4
O14933 Q7Z419
Q9UC07 Q15323
P63208 Q9NRD1
Q8N4L8 P15976
P55040 P14373
Q6NT76 Q3B820
Q53G59 Q00013
O96000 Q8IZU0
Q99932 P50221
Q9UI14 Q9UN36
O75528 Q8N2W9
Q15554 P16104
Q9BXW4 Q676U5
P11802 P46527
Q1A5X7 P08727
Q8TAU3 Q8WWY3
Q9BYR5 Q5BKY6
P10244 Q5TKA1
Q9HAC8 Q96HT8
Q9P286 Q8N5M1
Q7Z3S9 P14373
Q15560 O75553
Q96GF1 Q96LR5
Q9BQ95 P02649
P32121 O75688
P17036 Q9UDV6
P12236 Q9UJV3
Q96B02 Q8N6Y0
P01730 P06239
Q93062 Q99706
Q9Y2K5 P60410
Q9NVV9 P78424
P60410 P43353
P13196 Q7Z614
Q99732 O95817
Q9BQ66 Q9Y223
Q9H0R8 Q13043
P56545 O94818
Q15323 Q8NEF3
Q15834 Q9UFG5
Q9UJV3 Q6NX45
P07384 P18031
Q8IUH5 O60259
P60880 Q8IUH5
P60409 Q0D2H9
P60370 Q8WTP8
O95166 P27797
O15344 P62837
Q9Y3C0 O14777
P60328 O14633
Q9NQ48 Q96HA8
Q9H944 Q9BUE0
P24863 Q8WWB3
Q7L273 Q8TBB1
Q7Z7H8 Q8IZU0
Q9P2A4 Q9UI08
Q8NF64 Q9BSF0
Q8NEC5 P50402
Q9UMX0 P04155
Q15036 P16333
P43364 Q96AJ1
P50616 P11940
Q9BXY8 Q13137
Q9H467 P06401
Q13485 Q9NPI6
P26368 Q15637
P55210 Q13177
P22736 P12235
Q96K78 Q5T700
Q9HC62 Q8IVP5
Q8NDC4 P15884
O75821 P55884
Q9NRD5 Q7Z6G3
Q13077 Q8NEA9
Q13049 O76083
Q9H7X3 Q9UJV3
Q13363 Q76N32
Q9UNN8 P25116
P25713 P02766
Q9UM19 Q96GD3
Q9H4E5 O14503
Q9NRD5 Q9BV20
Q8N5M1 Q01844
Q08379 Q9BW66
Q8N9N5 Q9UL15
P36406 P23769
P47224 P61006
Q9UBV8 Q15038
Q9P121 Q9BYR7
P61586 Q9HCE7
Q8WWY3 Q8WV44
Q96L14 Q969G3
Q13351 P32780
Q2KHN1 O43395
Q9BQ66 Q16670
Q9H204 P07947
Q9NUM3 Q68CJ9
Q5T1C6 P31749
O75971 O94818
P49789 P61604
Q14161 Q15631
P57075 Q7Z6W1
Q9UKT9 Q8WYH8
Q9H0H5 P53350
P29466 O15553
Q96FJ2 Q6PF18
Q9Y2D8 Q96NC0
Q13330 Q7Z3S9
P50749 Q96LA8
Q9UJX0 O14770
O60504 O00401
Q9P2B4 Q9P289
Q8IUQ4 P86479
Q68D86 Q969H6
Q9NRD5 Q9H0I2
P26371 Q9NQX5
O76083 Q7Z3S9
Q13895 Q8N7W2
Q6L8G9 P60411
Q14192 Q86UW9
O76064 Q9BSE2
Q15323 Q96HA8
P78358 Q99932
Q9BYV2 Q96GY3
