P06730 Q9NRA8
Q9H788 Q6A162
Q9UBX5 P28300
P35609 P62140
P41208 Q8NA72
Q8N2W9 Q04206
P60409 Q8TBB0
O95848 Q8TBB1
Q9H2G4 Q8TAD8
Q8IWZ5 P50402
Q53FD0 P19012
Q9UBX3 Q9BYR5
Q92764 Q9NX04
Q96MF2 Q8N9E0
Q8N6Y0 Q9BYV2
Q8N668 P51172
O00487 Q8IZU0
Q8N684 Q06455
Q7Z6J4 Q53G59
P19013 Q6A162
Q6A162 Q9H5Z6
Q9NXJ0 Q13021
O95363 P60409
O15162 Q9NZ81
Q68CQ4 P43364
Q92997 P78337
P17544 P06734
Q5TA78 Q9BYQ4
Q6ZS27 Q13077
Q9H115 O00161
Q9BXN2 Q9BZL3
P31947 O00444
Q9UBD3 Q7Z3S9
Q99525 Q6PL24
Q13643 Q9P0M9
Q8TBB1 Q96BJ3
P78537 P25705
Q86X55 O43809
Q96GX9 P24278
Q9BWG6 Q8NA61
Q9Y3C0 Q8N0S2
P04637 O75925
Q01449 O94842
P11362 P05230
Q9Y221 Q9BRK4
A7MD48 Q15973
P63272 O00267
P48047 Q8NHQ1
Q9H4M3 Q9UJW9
Q9UBY9 Q9H8W4
P36507 P04049
Q13561 Q9UL45
Q8N6Y0 Q3SY84
P54886 Q6RW13
P30153 P30154
P62993 P55072
P63165 P09874
P37198 Q9NYB9
Q86U06 Q9Y5V3
P41181 O43889
O76011 Q9NQ94
P17544 Q9NX40
P32121 O75688
Q96BZ8 Q13137
O15379 Q9UKG1
Q96KP6 P60410
O43639 Q13153
Q9NPJ6 O95402
Q13131 O14503
Q92831 P22415
Q96CS2 Q6ZUJ4
Q9UGI8 Q8N8S7
P61019 Q8NEG0
Q8IUQ4 P53778
Q9BUZ4 Q13084
Q96HA8 P11908
P51116 Q96NC0
Q9UPU7 O95166
Q9Y5W3 Q92831
Q9BYR5 Q5TA78
Q9C0K7 Q15831
Q9BZE9 P60410
P25786 Q9Y2D8
Q9H5I1 Q9BXL8
Q86XR8 P43356
Q9H6Z4 P18754
Q9UHK0 Q15649
Q5T5B0 A8MQ03
P60372 P17041
Q9C086 P67870
P61081 Q8TBC4
O95166 Q8WWW0
O75293 O14733
Q13287 Q6PEY2
Q9HD26 Q68D86
Q8IZU0 Q99728
Q86V42 Q9NVV9
Q9NWS9 Q9H4T2
Q9NR12 Q99816
Q96JM7 P45984
Q14194 P08670
P43364 Q96AJ1
Q9NR22 O60506
O95678 Q53TS8
Q6RW13 Q6IN84
Q969L2 Q5ST30
P86480 Q01974
Q8WVF5 Q5JVL4
Q96FW1 P61088
Q9H1K1 Q8N9N5
Q5T700 Q9UEU0
P16333 O43918
P32242 Q9BYR5
Q07627 Q9NPA0
Q6L8G9 Q7Z417
O95210 O95166
Q96EV8 O00560
Q7Z3I7 Q9BYV2
Q9UQB8 Q15428
P51946 P24941
P61328 Q13422
Q5TCM9 A8MQ03
P60329 P50222
P40855 Q92968
Q9GZQ8 P20700
Q8N7W2 Q96JC9
Q9UI95 P30260
P06239 Q04759
O15119 P35219
P20618 P14373
Q9Y223 Q15323
Q04206 P22736
P17275 P15408
P35638 Q8N5M1
Q5T5A8 Q9BYR7
P98066 P13500
Q5T2D3 P60484
Q9NYJ8 Q14457
Q99750 Q8WV24
O43639 P15884
Q08117 P55081
O14964 P08727
P62308 P62304
Q02363 Q96HC4
Q96HA8 Q96GX9
Q9NS23 O95166
O15160 P15884
Q96AH0 Q12800
Q9Y468 P62805
Q9BYR3 Q02930
Q08379 P25800
Q01844 P49910
P25791 Q15691
O00560 O95751
P26368 Q01081
Q8N5M4 Q08379
P61006 P47224
P13236 P51681
Q5XKE5 Q14525
P54252 Q9BSU1
P49257 Q8NI22
O95863 O14543
Q15654 Q13227
Q9BYQ0 Q7Z417
Q969T4 Q99496
Q8TC57 Q9BT43
A8MT69 Q8N2Z9
Q13188 Q9H8S9
Q13643 P25791
Q9ULZ2 Q86VR2
Q9UJW9 P15927
Q6P597 Q6IPU0
Q9UBB6 Q08117
P60411 Q9UQ90
Q96HT8 P25786
O76011 Q8WUK0
Q8WTS6 P04637
O15379 P60510
P29692 P26641
Q96EB6 Q9NS37
Q96IW7 Q96Q45
Q9BSW7 Q9UJV3
O75558 Q969G3
P28482 Q15121
Q14790 P51572
Q9H4E5 P50222
P25791 P07910
Q9Y2T2 Q14194
Q9BYQ0 Q5T753
P36406 Q6NYC8
Q7Z3S9 Q9BZE9
Q6PID8 Q8IVD9
Q9BU61 P09012
P14373 Q7L273
O43597 P57075
P49247 Q06124
Q9H4P4 Q9UHY7
Q6PEX3 Q15645
O96006 Q9NX04
Q9BSI4 Q9Y3X0
Q14493 Q8IV48
Q8N488 Q99496
Q9BRK4 Q9BXY8
Q16584 P60953
Q9BYM8 O14933
Q6A162 P55081
Q8IZU0 O00560
Q92911 Q7Z3S9
P60409 Q0D2H9
O00635 O00560
Q6UXU4 Q9BS40
Q7Z419 O14933
P62491 Q96QF0
Q13643 O00560
P04637 Q9P0U4
Q92841 P04637
Q13077 Q9NVL1
Q13309 P01106
P53990 P13798
P54920 P46459
Q86WV6 P42226
P60411 Q9ULK2
O43865 P55957
O43304 P62333
O43463 Q5T6S3
Q96CG3 Q9Y4K3
Q9UBU8 Q6NT76
Q3SY00 Q6A162
Q969M3 O95070
Q8NI38 Q5JST6
Q96C55 Q9NQZ6
Q9BYQ6 P60411
Q6RW13 Q969F0
Q93062 Q9BVV2
Q15555 Q9UPY8
Q8TAU3 Q13422
Q96ED9 Q9BXS5
P30260 P24385
P59991 Q5BKY6
Q9NPF7 P40855
Q8WWB3 P00540
P57730 P29466
Q9NW38 P28799
Q15323 Q8WXF1
Q9UDV6 P17036
P45974 Q8WW34
Q96B67 O95817
Q8IUH5 Q14847
P15884 Q9NQL9
Q9NRS4 Q8N6L0
O00303 O15372
Q0VD86 P43115
Q8N9E0 P36406
P26371 O60896
Q13444 Q13643
Q9BSQ5 Q9BUL8
P51159 Q9BV36
Q9BRK4 Q96DC9
P14373 Q96IZ5
Q9BWG6 Q9C0F1
Q9Y287 Q8N205
O94868 Q8IZU0
Q86VI4 P27986
Q9Y2D8 Q14240
Q15038 Q8TF42
Q9UBU8 Q96C00
O43542 Q6NVH7
Q13137 P25791
P15531 Q8N9Q2
P62837 Q9Y4L5
Q9UJY4 Q9NZD8
Q9UHX1 Q969J3
Q8IUQ4 Q14088
P32242 P60329
Q8WW22 Q14249
P62913 Q15843
Q9UJM3 P31947
P24941 P06400
Q9UDV6 Q12874
P23771 Q9UL17
Q96DZ9 Q96CM8
O43251 Q13554
P43365 Q6P444
P61978 Q01081
Q8IYX8 Q96MT8
Q96JC9 O00560
P60411 Q7Z3I7
P06396 P49407
Q9H788 P62993
Q9BQ66 Q9UGL9
Q8IX15 Q8N2Z9
O43679 Q9BVM4
O15371 P21673
Q8IYX7 Q14192
Q9Y5V3 Q3LI72
Q13185 Q13263
Q9UIV1 Q96LI5
Q96HA8 Q9NQ48
P50222 P63241
O43829 Q13895
Q96BD5 Q13077
Q9GZQ8 Q9UPU7
Q9BRG1 Q7L4P6
Q9Y3Q8 P84022
P60370 Q03014
A8MQ03 Q5T754
Q15942 O14910
Q9NX04 Q8IXK0
P05062 Q8NFJ9
Q13588 P19474
A8K8V0 Q9UJV3
Q8IVS8 Q93062
Q96BN8 Q15038
P06732 Q96DX5
P50553 P15884
Q12933 Q96CG3
Q9BT43 Q8TC57
P11021 P61619
P30039 Q5JST6
Q15973 Q13077
P26371 Q92692
P51959 Q9BRK4
P25445 Q13158
Q93062 Q13131
Q9Y2K5 P60410
Q8IYI6 Q8IYX8
O43516 Q14296
Q9BTL3 P36406
Q9BSD3 Q9UBB9
Q9BSM1 Q99496
Q96GX9 Q9Y3Q8
Q9NRD5 Q9BYU1
P62993 Q13444
P0C7H8 P60370
Q13133 O43463
Q9Y4A8 Q16621
P40855 Q9Y680
P07550 P12931
Q9NP31 Q92569
O60504 Q8N4B1
Q96S82 O43747
Q9BV19 Q7L775
P19012 Q8IYX1
P50281 Q8N6L0
P63165 Q9HCK0
O00330 Q9Y6E7
P60410 O43609
P31751 P08670
P49901 Q9UGC6
Q8IXK0 Q9BT49
Q15428 Q9UQB8
Q99757 Q9UPY8
P01137 P11464
Q14657 Q6A162
Q96B26 Q9Y3B2
P31947 P10398
P62993 P29353
Q6NUQ1 Q86XK3
Q03989 Q8NAX2
Q96BA8 O43741
Q01105 P20226
P78368 P60409
Q9UQR1 Q9H8Y8
P06028 Q9UMX0
P60410 Q9HAZ1
Q9HCU8 P12004
Q9HCU8 Q96S55
O43559 O14817
P10276 P63165
Q9H0I2 P36508
Q9Y247 Q9UBB9
O14910 Q5T2T1
Q3B820 Q8TD10
Q7Z3S9 Q9BYQ0
Q14847 Q04864
O43189 Q12800
Q15323 Q9BQ89
P00540 P14136
P53004 P28482
P35711 Q9HC52
Q6IPU0 P49247
Q9C0F1 O75409
Q9UJW8 P60409
Q9C0F1 P51116
O75531 P50402
Q9Y3I1 O60260
Q7Z3S9 P48146
Q15323 Q9NSK0
Q9NVL8 O76011
Q96FA3 Q15645
Q01094 P50613
P62306 P54105
Q9UBB9 Q96LC9
O14503 Q9BVI4
Q9BXF9 Q13137
P50222 Q6L8G9
P78424 O00303
Q86YT5 Q9BYQ0
Q8NDC0 Q01844
Q13155 Q8N5A5
Q13426 Q2TB18
P57060 Q13422
Q92529 Q6A162
Q00987 Q7LG56
Q9NX24 Q9NPE3
O43463 Q9C0F3
Q8N357 P05141
Q6P1W5 Q9NWB1
Q06187 P21145
Q53EZ4 Q0D2H9
Q96GN5 Q9NRD5
Q9H190 Q96MU7
Q15014 Q96D03
O75496 Q8IYE0
Q08117 O75716
Q8TD10 P48047
P61244 P04198
O14627 O43741
Q04864 P47224
Q13137 Q9NX63
P27701 Q8TAA9
P08758 Q9BSI4
Q9BYR5 O43609
O00635 P54652
Q8WTP8 Q13422
O75886 Q15038
Q969V4 Q8TD31
P63027 Q12846
P62136 Q99459
P07196 P17661
Q01850 Q3B820
Q8N8B7 A1L4K1
Q8ND90 Q9C086
Q8NCP5 P60900
Q9BSW7 Q9GZT8
Q9Y3C5 P0CG47
P63165 Q00613
P30203 Q13094
Q9HCM9 P60900
P00540 P35609
O60941 P14373
Q9ULV5 Q9NXC2
Q9C0C4 A8MQ03
Q92993 Q96GD4
P50222 O43543
P60411 Q8WV44
Q14141 Q8NDC4
P41240 P49023
Q8IUH5 Q7Z699
Q8TD10 Q9H892
P63208 Q5FWF7
Q96E40 P60409
Q15427 O75177
P26045 P25800
Q9NPJ6 O95954
P0C1Z6 P08727
Q8IZ52 O60260
P17931 Q13427
P20042 P05198
Q8TAF8 O43889
Q15554 Q7Z4V5
Q9Y5R8 O43617
Q8TAD8 Q15025
Q9Y3C6 P0CG20
O15481 Q59EK9
P53667 Q13177
P67775 Q5FBB7
Q12846 Q9UNK0
P61328 P38432
P30874 P27986
Q9UJV3 P12236
Q15653 Q04206
Q99708 P25800
Q8N6L0 Q8N5M9
Q0VD86 Q9BWG6
Q9BZL1 Q5T7W0
Q9BRK4 Q9UBU8
P60370 Q6NUJ2
P17947 P31260
Q8WV44 P52744
Q8N668 Q9NX08
P63167 O96015
Q9UPT5 Q8IY31
P63218 Q08379
Q5T9C2 Q86WV1
P60409 Q08426
O15232 P15884
P60370 Q5HYJ3
P48023 Q15654
P50539 Q7Z3S9
Q93062 Q6PKX4
Q92997 P48730
Q8WW24 Q15654
Q99497 Q9HD26
Q15415 P49761
Q8WXE1 Q8WXB1
Q96HH9 Q9BZ67
Q99750 Q9P2T0
Q53EL6 Q04206
Q6ZVT0 Q15654
Q9UJX0 Q8IYX7
Q13190 P61764
Q16594 Q9Y6J9
P08670 Q9BQE3
O75496 Q06124
O43765 P40259
O43251 O76064
P04271 Q15109
Q7Z3S9 P57739
Q9HD26 Q6UWP7
Q9UN37 Q9HD42
Q9NYY3 Q86Y33
Q12933 P22415
Q8TAC9 Q58DX5
Q9NW61 Q14657
P31946 P61981
P08670 P63104
O14531 Q93062
O00214 Q13137
P16333 O75326
Q9BU23 Q15323
Q96A09 Q08117
P04198 Q8N726
Q53GI3 O95273
Q13643 P23769
P59991 Q14498
O14931 Q68D85
P40855 Q9NR77
P61981 P04637
P51617 Q9Y4K3
P26196 Q08117
P11309 Q8N9N5
Q16611 Q7L3V2
Q9UBQ0 O75436
Q9BQ89 P19012
Q8N8B7 Q8ND90
O95793 P05388
Q86X83 O60826
Q99946 P21145
P60410 Q06418
Q9NZD8 Q8N5M1
Q9NR81 P36406
P60410 Q8NHQ9
Q13077 P10606
P47897 Q86UY5
P52735 Q03135
Q15323 Q9H741
P19012 Q5JVL4
O94829 P62826
Q8IWZ5 P25786
P54105 P11171
O76003 O76015
Q9BYM8 P41227
Q8TD06 O43765
Q9P1Z2 Q9UII6
Q12891 Q9HAT8
O75638 Q9UMX0
P11912 Q969F0
Q9NZ01 B0YJ81
P0C7H8 Q14781
O00303 Q7L2H7
Q9UBS8 Q9UI36
Q9UIV1 P50616
Q92917 Q9NYB0
Q8N8K9 Q96EZ8
Q6N075 Q8N6L0
Q8N4Q1 Q14061
P61088 O43567
P60370 P50222
P02730 P05026
Q13503 Q9NWA0
Q8TAU3 O43597
P19525 Q9NUL3
O76003 Q96PB7
O76003 Q6L8H2
Q93062 P07498
Q13829 O14929
P60410 Q9GZP9
Q8IYX7 Q9UJX0
Q9NVV9 Q86V42
Q99598 Q99081
O60260 Q15645
O43463 Q01081
O96006 Q9Y5K5
Q13643 P09603
P19012 Q9BQ89
P50461 P35609
Q86U70 O60663
A6NFR6 Q6A162
A8MW92 P68431
O43765 O75631
Q05329 Q96B96
Q99961 Q9H788
O95396 Q9BTM9
Q9H0R8 Q8WXU2
Q6NZI2 Q969G5
Q02040 Q9NVV9
P43005 Q99942
Q8NDC4 Q9P242
Q13526 Q8ND90
Q9BSJ6 Q6RW13
P0CG48 P55036
Q99592 P56545
P46527 O15131
Q9H0F6 Q9UDY8
Q15323 P10606
Q15038 P62979
Q04917 O94921
Q9P0U3 P61956
P36507 P10398
P30203 P17931
Q9UMX0 Q8WV99
Q99750 O43609
Q8NEA9 P36406
P50222 O43707
Q96FQ7 Q08117
Q969R5 P61244
Q9BWF2 Q15555
Q6ZVT0 Q93062
O75323 P60520
P28702 P10826
Q96F24 Q8TAB5
Q96AJ1 P43364
Q6NUJ2 Q7Z3S9
O94763 Q9H6T3
Q5T7P3 Q9BYQ6
Q9NS61 Q9NZI2
Q04206 Q13547
O15266 P35712
P10124 P10144
Q12846 P25788
O00233 P50222
Q8WY98 Q96BA8
Q99750 O43745
Q0VD86 P17020
Q9Y2V2 Q7Z3S9
O95751 Q86TG7
P0CG47 Q15038
P49354 P49356
P09603 O43765
Q8N9N5 Q8TAP4
Q9NS73 Q9NYP9
Q9H1D9 Q9BT43
Q8N9Q2 Q96MF2
Q7LG56 Q9H4P4
Q15323 Q8TC90
O60826 Q86X83
Q15323 P40222
P53350 O96017
Q9NYB9 O95872
Q9UBC3 P63279
Q9P127 Q9UKI8
P54727 P54252
Q05516 Q9NP79
P35711 Q9P0T4
Q8TD17 Q9H8W4
Q96BM9 Q9UHX1
Q9UKL0 Q969G3
P60410 Q9BQ24
Q8N6Y0 Q13515
P18031 P12931
Q6RVD6 Q7Z3S9
O43187 Q9NWZ3
P50222 Q6FI81
Q9NZI2 Q9NS61
P14373 P49720
Q03135 P48995
Q07002 Q9BZW7
Q04828 P26045
Q6L8G4 Q5TA76
Q06455 Q8N684
Q8ND76 O94921
P06703 P50542
O00560 P02792
P18754 P62826
Q8N668 Q15369
Q6ZNH5 Q96BR9
Q01850 Q96BZ8
Q99986 P04637
Q8WXI9 P55273
Q8WU17 P40337
P60328 Q8NEC5
P38432 P61328
Q9NS64 Q9UHP7
Q14584 Q8NHQ1
Q8ND90 Q9BQ89
P50222 P62508
Q8IYX0 Q99750
Q9H444 Q9UQN3
P62993 Q92918
Q13114 Q16543
Q13077 Q6BCY4
O43281 Q8TAU3
Q5VWX1 Q9UQ90
Q13137 P50539
Q8TD10 P61086
Q5MCW4 Q15323
P60409 Q9HCN3
O15344 P50221
Q8WTS6 P68431
Q9NUX5 Q15554
P63279 P19419
Q6RW13 Q9NVS9
O96006 P0DI81
P25800 P14373
Q96MH2 P54274
O75865 Q96QF0
P55769 Q9UHK0
Q9UJX2 Q8NC69
P26196 P17028
Q9UHH9 Q93062
P68400 O75822
Q8NHJ6 P29350
Q494X3 P50222
P30101 Q86YB8
P54253 Q8TE02
Q7Z3S9 Q8TCT0
Q07817 O43521
P31947 Q9NYF3
Q92993 Q96BR9
Q8NHS4 P25791
Q7Z434 O43353
O15273 Q9NPC6
P55199 Q96H20
O75478 Q8TD31
P15336 Q96B26
P46108 P62333
Q9NUX5 O60496
Q15323 Q9UHP6
Q9HB07 Q96D03
Q969S0 Q96BA8
P09234 Q3LHN2
Q9Y5K5 Q9H981
O60869 O00482
Q8NEF3 Q15025
P48065 Q04864
Q15038 Q03989
O43143 Q96I25
P41182 Q08117
Q99909 Q9NPJ6
Q92734 P33240
Q96BR9 Q13895
Q9H8Y8 O76083
Q8IZU0 O75459
Q9UBB9 Q8NDB6
Q13765 P40222
P60370 Q5T5A8
Q9HC52 P35711
P37840 P49841
Q6ZUS5 Q8N6Y0
Q99750 Q96RU7
P49023 Q06124
Q14141 P09651
Q16514 Q15572
P54725 Q9H8M7
Q6PEX3 P60411
Q9H204 P12931
O95749 O00244
P52292 O75478
Q86UY5 P36406
Q13137 Q969Z0
P04637 Q96KB5
P52292 Q9HAN9
P15408 P35638
Q9Y297 P18848
Q96BD6 Q96IZ0
A6NEM1 O43167
Q96HT8 Q9P2A4
P10606 Q14525
Q9HBW0 Q15599
P45974 Q15038
Q9Y6M5 Q9BRI3
O43610 Q9BXY8
O75525 Q9UK33
Q5BJH2 P62993
Q8WUD1 Q9H2G9
P55087 O43889
O00560 Q8IX15
Q9H6L4 O75420
P17036 Q9Y2D8
P42768 P08631
P55040 Q9Y2V7
Q9Y572 Q9H171
P60370 P43353
P02649 Q53EL6
Q9BTV4 Q8IUQ4
Q6NT76 Q9BVV2
Q8N5M1 Q9UH73
Q15466 Q13547
Q13443 Q99962
P49366 Q7L8A9
Q9H6J7 Q9H0T7
Q9NS23 O60341
A8MQ03 O14817
P59022 Q9NX53
Q9NQC1 Q8WYH8
Q99619 Q99873
P35268 Q9H190
P05412 Q00987
P14373 P00540
P38646 P04637
Q5T7P2 Q5TA81
Q96LR5 Q9Y4L5
Q16630 Q9H6L4
O60504 A5D8V6
Q9UNI6 Q9Y5P8
Q9HC98 P14373
Q8IWZ5 O76003
P48047 P49902
Q13950 O15350
Q969F0 Q6RW13
Q99832 Q02575
O95994 Q8NEC5
Q9H8W4 Q9BZ67
Q15654 O43559
Q8TF63 Q99750
O76015 P40222
Q8WWY3 O95273
P26371 Q8TAU3
Q9NYF8 P50402
Q8ND90 Q9Y2V2
P13647 Q7Z3Y7
P55345 Q15637
Q14106 P11940
Q7Z6G3 O60573
P29972 Q6A162
Q8N9N5 Q9H1K1
O95995 Q96MY7
Q9H9D4 Q9NVV9
Q9UHD9 O95881
P07315 P02511
P49639 Q13077
P09132 Q9UHB9
Q9H3M7 O95905
Q8IUH5 P15336
O95154 O43488
Q96K80 P86479
P27694 Q96LW4
Q01130 Q92993
P20290 Q8N3L3
P40692 P17661
O43482 Q96CN9
P22681 P46109
O94972 Q9Y272
Q9BSI4 Q96G03
O00410 Q9H0R8
P05787 Q13835
O75934 P15884
Q15645 Q9H0W9
P47884 Q16585
P06241 Q9H204
Q9Y272 P61978
Q15041 Q9NRS6
Q9UJV3 Q9NZD8
Q9Y6K9 P21580
Q9Y3Q8 Q15365
P50052 P35625
Q13554 Q9UBU8
Q9HC52 Q9BZW7
P25786 Q9NSC5
Q8TAB5 P17661
Q96BA8 Q8N5M9
P62875 Q8IXK0
Q7Z3Y8 Q8TD31
Q6RVD6 Q6UY14
Q86UD4 P31321
P18848 Q92805
O00471 P20338
Q8IZU0 Q9H3Q1
P15884 Q9NUL5
Q86U06 P43364
Q92837 P49841
Q9BRK4 Q9NX04
P62993 O14939
P40855 O75381
P24278 Q12933
P0C7W6 Q8NE31
Q7Z3S9 P15151
P26373 P16333
P17482 Q9UJV3
Q9H2F3 P60411
Q9Y4H4 P63096
P63165 O14964
O43900 P06241
Q5JXX7 O43765
P49639 P59991
P31146 P43364
Q12933 Q8N2X6
Q9H257 O60573
Q9UKT8 P63208
P35609 P05496
P40763 P25791
P14373 P49760
P27348 O94921
P61764 P11142
Q6L8G8 Q92504
Q9BXG8 O60941
Q7Z3S9 Q9UBR2
P09012 P14373
P09603 Q7Z3S9
Q99966 P05412
P26371 Q8NE01
Q8N6L0 Q5TAB7
Q12800 Q5VVH5
P68104 Q05516
Q96E29 Q96DZ9
Q6A162 Q9H6L2
Q9Y2J4 O60573
Q96RU7 P18848
Q7L4P6 O43741
O43639 A6PVS8
P25791 Q08379
Q8IWL3 P16083
Q7Z5G4 P35609
Q15645 Q14847
O76083 P49759
Q86WH2 Q13043
O00560 Q13643
Q08379 P63218
Q96JM7 Q9BXJ3
O43296 Q9BYR9
Q96NS5 P16333
Q9H267 Q9H9C1
P62993 Q15027
Q9BYV2 P04259
Q8NHQ1 Q9BU76
P20700 Q8WWB5
Q8IZU0 Q2TBE0
P54198 Q9Y294
P35222 P63208
Q8IUQ4 P40121
Q8NHQ1 Q9H5J8
Q3SY84 Q6A162
O43889 Q99519
Q9UHD9 Q96B67
Q12982 P42685
Q99757 Q15555
P46459 P54920
P14373 Q16527
Q99750 Q9H7E9
Q9Y376 O95747
P12931 O00560
P60370 Q9Y2J4
Q6UW56 Q92832
Q9Y624 O43765
Q96HA8 Q9BPX1
Q13643 Q9BQ89
Q86UD4 Q8WV44
Q9BYQ3 P25490
Q96CW1 Q00013
P12004 Q9H160
Q9Y2J4 Q969G3
Q9Y333 P62316
P86479 O43639
O95429 Q9NPI6
Q969P0 P60410
P28702 Q13133
O95983 Q9BYV2
Q04864 Q9BW66
Q99750 Q14241
Q7Z3S9 O14764
Q08117 Q9UJX0
P06132 Q96KN1
Q8NEU8 P78560
Q13137 Q9H0I2
A9UHW6 O14964
O60260 O95140
Q9BY67 O95727
Q13363 Q96MY1
Q9P127 P60410
Q8IX15 Q9BUZ4
Q9Y2W2 Q9BUZ4
Q02535 P15884
P30086 P04049
Q13554 Q9BUE0
Q9C086 P60410
Q8TAP6 Q8N8B7
Q96T60 O43829
Q2TAL8 P50221
Q8TF42 Q92567
Q92541 Q6P1J9
Q9BYR5 Q96HA8
Q7Z3S9 Q5TA82
Q7Z3S9 P55040
P60409 Q86UN2
Q6PEX3 Q8IWZ5
Q9UK22 P63208
Q6UW32 Q9H665
Q9H4F8 P15884
P09467 O00499
P14635 O75618
Q9BYV2 Q7L775
Q7Z3S9 Q9BSW2
O00463 Q9Y4K3
Q14974 Q16637
Q9UL46 Q06323
Q8IVT2 Q12933
P63316 P19237
P31947 Q13470
Q7L804 P62491
Q1A5X7 Q8N6Y0
Q8WTR7 Q8WTP8
Q15637 Q99729
Q92569 Q9H0I2
Q96CA5 Q9H5Z6
Q9H2G9 Q9BWG6
Q9NRW3 Q15415
Q05513 Q9BYG5
Q92569 Q13480
P30291 Q9UKB1
Q9NR21 Q969Y2
Q12967 P01112
Q9HC98 P15884
P21917 P08588
Q13077 P63218
Q9H4B6 Q13188
Q49A26 Q8IYR0
P04637 Q9Y3T9
P49760 Q96EG3
O75553 Q6P1W5
P29034 P04637
P17152 Q96BA8
Q9Y4K3 P07947
Q6P1L6 Q9UMX0
P23284 Q8N9N5
Q96GS4 Q9Y2Q5
P19012 P02538
P49760 Q96MU7
Q8IZC7 P60409
Q14525 Q96ES7
Q701N4 Q02930
P42224 P15260
Q8IYI6 A8K0Z3
Q99594 Q8N8G2
O14836 Q9Y275
Q9UJV3 O43602
O15162 Q8TAU3
Q00987 P06748
Q6RW13 O95971
Q9HD36 Q13323
Q9NQL9 Q08117
P49447 Q92838
Q13123 O14965
P60059 P11686
Q9H8M2 Q7Z7H3
Q16543 O60861
Q9BTA9 Q13077
Q96IK5 Q16543
Q9BXF9 Q3LI64
Q15173 O96017
O14503 Q13131
Q15654 Q9H2R5
Q8IZU0 O96000
Q16633 P32242
Q92966 Q8NI38
Q9BVG8 Q96BZ8
Q14011 Q15415
Q96E09 Q9NYB0
P14136 P17661
P62837 Q99942
P17544 P17535
P08047 P01106
Q9H115 Q16623
Q9NX04 Q8N6Y0
Q99750 Q15973
Q8WV41 P42768
O43900 O00204
Q13526 Q6UY14
Q9C0F1 Q96CS2
Q3SY00 O60504
Q99496 Q06587
P48023 O76081
P50402 Q13895
P06241 P48023
Q9P0L0 Q9H1P3
P22626 P14866
O00180 P63165
Q8N6Y0 Q5XKE5
P12830 P62136
Q04206 P03372
Q5T7P2 A8MQ03
Q7L273 Q9H257
Q9H596 Q8IYF3
Q6NVH7 Q06609
Q13643 O15460
P17275 P15407
Q9BT49 Q12933
Q9GZL7 Q14137
O60826 P63261
P43364 Q9Y6M9
Q9NU19 Q9BYV2
Q8NHQ1 Q9BW85
Q9NXH9 P54274
P63000 P41743
P49918 P33993
P50222 Q5TBC7
Q9NZL9 O00505
Q14186 O75461
Q9H0A9 Q9BRK4
P03372 P53041
O95295 Q9UL45
Q969H0 Q16204
Q8WTR2 P13196
Q9UBH0 Q04864
Q494R4 Q9H8Y8
Q6BCY4 Q12933
P63172 Q9H2R5
Q96HH6 Q96G97
Q8N9N5 Q8NEG0
Q14032 Q0D2H9
Q9UHA4 Q9GZT8
Q8NEA9 A6NGK3
Q9BQ66 Q9BYE3
Q12933 Q9BXF9
Q96MN9 P86479
P24941 Q969H0
P36405 O43924
Q9HD26 Q9BYD6
P36406 Q8N2X6
Q15528 Q9P086
Q9UJV3 Q9BWG6
O43463 Q9NS23
Q15796 P04637
Q9NXN4 Q8TAP6
O95352 O95166
Q13586 Q9BSW2
P54257 Q96IX9
O95273 Q9BZE7
Q4V328 Q8WYH8
O75031 O14639
Q9BX10 O43463
Q92838 Q9UPQ8
Q14145 Q04206
Q9UMR2 A9UHW6
O00560 Q9NQ48
Q9UBB9 Q9Y371
P04264 Q14525
P42575 P78560
P07992 Q92889
Q9NWQ8 P63244
P40222 Q969G3
P53667 Q13153
Q8NA61 Q14D33
P08579 Q6NT76
P02538 Q9BYV2
Q9UKT9 O75716
Q8IZU0 Q9BVS5
Q15750 Q16539
Q96BR9 Q6ZNH5
P36873 Q96S65
Q08117 Q9UBB6
Q15041 Q9H115
Q6EMK4 P60328
Q96FW1 P61077
Q9C086 Q13064
Q9BSI4 Q15785
P25788 P29590
P17024 Q68D86
Q15077 P60409
P11309 P07954
Q7Z3S9 P09211
Q15645 Q969Q4
P43628 Q31612
A8MW92 P62805
Q9BYQ4 Q7Z3S9
O95503 Q3KNV8
O76003 P60411
Q08379 O15145
Q15796 Q9HAU4
P60411 Q9NUL5
O95967 Q5TA82
Q5T754 P60410
O95400 P62136
O00463 Q52MB2
O00560 P49427
P25788 Q66K80
Q9Y2D1 Q9NRI5
P78362 Q16629
Q12841 P08571
O43924 P51153
P30281 Q9BT43
P50616 Q8NE35
P50222 Q96PM5
Q9NT22 O00560
P37198 P25791
P54727 Q96IV0
Q9GZM5 P60411
P61019 Q08379
Q6UY14 P26371
Q6ISS4 Q9Y6C2
Q04864 Q9NQ94
Q9BQD3 Q9H492
P15559 Q9UK53
P53350 Q71F23
P86479 Q9NVV9
O95150 O95407
Q95604 P43626
Q9H7E9 Q8ND90
Q96CG3 P32969
Q03181 P60409
Q0VD86 Q9NQL9
O75553 Q15038
O00463 Q9NVV9
P30460 Q9BX59
P34897 Q96DZ9
