P38806 Q03096
P40055 P40302
P32945 P25604
P38113 P38859
P15790 Q99210
P40007 P16521
Q06624 P07272
Q02892 Q03656
Q04121 P40480
P53168 Q08214
Q08119 P32380
P38742 P38748
Q6Q547 P42884
P48524 P53740
P32447 Q12256
P50091 Q08285
P38766 P12962
P25644 Q05583
P07278 Q12469
Q12222 P09734
Q02260 Q03957
P25357 P35203
P22213 P38989
P25390 P28320
Q03012 O13553
P38792 Q12021
P42846 P48363
P49435 P38622
P53142 P40013
P37838 P46985
Q12517 O13565
P40302 Q06640
P21182 Q12417
Q12176 P20437
P30771 P43572
P52491 P21538
Q04048 P04807
Q07963 Q02197
P39875 P38705
P17121 P38853
P06784 P38182
Q08491 Q02775
P20486 Q02793
Q07458 Q03048
Q04894 P53912
Q07458 P38929
P40965 P38792
P41816 P33419
Q07887 P22147
Q08204 P41277
P53323 Q06648
P32802 P13663
P38254 Q03690
Q06819 P38764
Q07508 Q06410
P38429 Q08921
P25586 P21192
Q06151 P33311
P32527 P26570
P25441 P27636
Q08492 P35181
P19262 P39079
Q12315 P26448
P39944 P53185
P23624 P39081
P25441 P53271
Q02793 P24583
P38789 P25604
P25333 P46985
P19658 Q00723
Q04307 P26793
P32366 P48606
Q04964 P36022
Q12377 Q12406
P41814 P38249
P53202 P22213
Q12017 P48239
P39723 Q03818
Q12365 Q02732
P52488 P19145
P38228 P00729
Q08496 P53280
Q08119 P40473
P17255 P36015
P50094 Q08562
Q12176 O13559
P39960 Q02260
P15807 P53924
Q04067 P24482
P39994 P20604
P20967 P11709
Q12513 P14164
P38229 P34110
P38814 P36013
P48559 P07149
P32450 P41808
P33418 P47019
P40202 Q12754
P39014 P12611
P19145 P38748
Q08956 Q99385
Q12100 P39944
P39929 P53136
P53067 P53739
P07272 Q12078
Q03735 Q12327
P38861 P52593
P26793 P38737
P28707 P27895
P39735 Q06628
Q06819 Q03308
Q12315 P32590
P43565 P53883
P19145 P21374
P36012 P31109
Q04195 P33400
P02400 P40462
P07274 P47079
P53254 P28743
P25294 P53197
P17442 P38262
Q02821 Q04894
P31374 P53091
P19882 P21951
P38631 P39990
P50091 P38990
P53322 P39940
P40892 P38348
P53859 Q00955
Q04601 P39969
P00044 P13712
P38555 P48239
Q08215 P53867
P50945 P00331
Q03898 P40009
P35688 Q06412
P38861 P38132
P47116 P05986
Q12154 P32629
Q03081 Q03330
P40335 P40003
Q06324 P46956
P25615 P52593
P40339 P13663
P41800 P23293
P27796 Q08975
P41805 Q07657
P52491 Q12754
P32481 P53243
P47176 P33760
Q05080 Q12024
P22007 P53861
P33401 P38737
P43593 P17555
P47135 P42839
P04819 P53883
P40480 P38859
P39517 P47176
P32457 P53297
P30619 P53861
P26263 P52286
Q03774 P27515
P14126 Q03088
Q12347 Q03956
P53941 P40991
P35184 P38334
Q7LIF1 P32790
P40541 P38806
P32525 P39077
P38198 P38759
P53048 P47129
P38070 P33322
P47176 Q04675
P53252 Q04935
P19145 P35194
P00924 P38837
Q99257 P46957
Q02256 P22804
P40103 P24004
P19524 P00358
Q07786 P32578
P06738 P38287
Q6Q547 Q06340
P40055 P38165
P41816 P22219
P39563 P38829
P33767 Q04675
Q12230 P15873
P38705 Q12427
Q12186 Q02100
P00817 Q12330
Q03862 P53861
P39563 P39742
P53202 Q04004
Q12050 P35729
P28006 P04807
P53152 P20437
P48234 P22336
P39014 P52490
P29465 P20435
P38348 P38334
Q12264 P32263
Q03768 P12383
P32601 P38862
P36139 P36085
P21538 P32350
Q03338 P46947
P33891 P07149
P21192 P57743
P36029 P48240
P08018 P32905
P35190 Q08956
Q12329 P00729
P40327 P41697
P39081 Q06677
P06777 P23542
Q05583 P46947
P06105 P05318
P34162 P02294
P47068 P38346
P32895 P02293
P38922 P51862
Q03071 P33338
Q06408 P47041
P21243 P25045
P35189 P09624
P33891 P40574
P28007 P31374
P32481 P32581
P10081 P39990
P53691 Q99210
P40573 Q03322
P46954 P33299
Q02196 P35198
P32909 P08679
P39994 P16892
P25454 P38737
Q12163 P52490
Q08975 Q04089
P38622 P25615
P32854 P06773
P38853 P46995
P25491 Q03071
P30619 P40314
P53739 Q08204
P38960 P53068
P38082 P38779
Q03081 P30665
Q03792 P47122
P25646 Q12241
P32838 P40484
P53286 P25558
P10592 Q03208
Q08685 P28791
Q12315 Q06628
P47116 P38344
P32496 P53281
P38702 P53941
P04046 Q06340
P89886 Q08873
P40036 P40457
P46954 P21182
P50091 P00359
P13517 P38823
Q12033 Q02516
P48412 P50101
Q03862 P32578
P39531 P41811
P27636 P33339
Q06344 P40554
P39998 Q12024
P27705 Q04149
P53254 P29465
Q12449 P31688
P41921 P08458
P38291 P32468
P32855 O14467
P50945 Q06169
P09435 Q06142
P50086 O13563
Q06549 P36224
P40328 Q04894
P53199 Q12420
P28791 P40024
P32480 Q04411
P38063 P39730
P53924 P25390
P32571 Q12055
P53168 P38987
P38590 P39531
P38082 P32525
P32602 P39730
P06103 P40555
P49955 P08524
Q05610 P39077
P40202 Q06177
P38970 P38149
P40155 P33750
P38922 P11746
Q02197 P32571
P53168 Q12006
Q07844 Q07993
Q12241 P36013
P15705 P36120
P54861 Q12368
Q12335 P36000
P11484 P17119
P41810 P33399
Q03455 P32900
P53267 P29366
Q03792 P38165
Q04921 P50111
P25649 Q00723
P52593 P53905
Q06078 P47012
P39717 P38555
P14359 P20604
P53199 P25567
Q05080 P06777
P53082 P38862
P40055 P25043
P53011 P53221
P18961 P33750
P27514 Q03018
P40155 P47029
P09734 P33399
P53628 P29366
Q03081 P43603
Q03691 P40061
P41814 Q12477
P19524 P18759
P01123 Q04439
P06787 P53163
P40095 P39962
Q04493 P41800
P30656 Q04338
P35729 P23724
P32492 Q08550
P27636 P40457
Q12368 P42843
P23776 P40507
P09435 P16467
P39723 P09032
Q07844 Q00916
P25515 P11927
P32264 P05986
Q08144 Q04373
Q12020 Q08162
P18963 P53081
P42846 P33399
P34218 P28795
P41805 Q06673
P39966 P25297
Q12248 P53974
P19454 P50111
P53082 P39079
P53691 P36224
Q03735 P39958
P47053 Q12026
Q99257 P19657
P24783 P32447
P31385 P25515
P06844 P32774
P32528 P32263
P28708 P47822
P30619 Q03208
P38200 P17255
P37296 P50090
P24869 P25502
P47029 P53691
P43568 P26263
P11710 P40010
P27636 P09798
P40014 Q12499
P38352 O13565
Q04868 Q12267
Q06624 P51862
Q02773 Q12427
P38822 P21538
P31384 P24869
Q12186 P19145
P28320 P38237
P32380 P15646
P51601 P12612
O14455 P07270
P20053 P35198
P43563 P53739
P18759 P20433
P53552 P30656
P38696 P43321
P38749 P42935
P35177 P39925
Q06819 Q12347
P34240 Q05871
Q12152 P42935
Q05785 P33199
P35203 P40517
P34758 P38989
P23059 P46995
P25369 P40573
Q12041 P06779
Q12041 P40529
P32793 P53040
P38806 P42945
P35169 Q07623
Q12318 Q12315
P11710 P38273
Q02892 Q04792
P38301 P40563
P50094 P07149
P53600 Q00578
P53082 P32450
P32915 P38929
P13712 Q92317
P29465 P53150
Q12513 P33204
P39955 P38324
P27801 P07149
Q03774 P20606
P47029 P38788
P53280 P40462
P25657 P22204
P53750 P38877
P36421 P38788
P53298 P31412
P53685 P40092
Q04493 Q12199
P40541 P20133
P32591 P38228
P53252 P28495
Q02260 P20604
Q06108 P41832
Q08972 P40554
P46672 Q08601
Q12009 P19955
Q12152 P19658
P20606 P48606
Q03125 P28795
P38855 Q08119
P40010 P52490
P38590 P09032
P32793 P50278
P40567 P06773
P38228 P38902
P53939 P32828
Q07887 P32563
Q07381 P41901
P00044 P07170
P14680 Q12527
P38590 Q7LIF1
P47150 P53185
P53863 P36005
P40103 P25604
P36029 P38788
P89102 Q02773
P33306 Q00776
P29366 P43572
Q12024 P32495
P16521 P31688
P19658 P32524
P22543 P53036
P53886 P49686
P09435 P03965
P38254 Q99299
P00044 P31244
P48232 P18480
P37370 P38237
P07866 P40693
P53130 Q04477
P53859 P36013
Q04373 Q12208
Q08550 P40344
Q08746 P43619
P17555 Q08963
P38153 P22515
P25357 P10862
P17536 P22804
P53202 P39111
P50275 P51862
P38229 P26793
P52553 Q06525
P39523 P39990
Q08649 P06844
P22213 P38358
P22543 P48240
Q06436 P15303
P00937 P33400
P53124 P38837
P20449 P40515
P38801 P21192
P53278 P35718
P39940 P29469
P53743 P27637
P53124 P33895
Q05946 P39101
P38692 P38814
P38339 P00431
Q05946 P31244
P49686 P38708
P15705 P38962
P14306 P14126
P40036 P38737
Q08979 Q03957
P40155 P25336
P32491 P02293
Q12045 P38328
Q99257 P29703
Q12159 P39551
P38203 Q00618
Q05947 Q12440
P32318 P41921
Q99207 P32074
P06779 P32379
Q04370 P36000
Q07084 P33307
P00358 P38705
P21243 P13712
P33891 Q92331
P38316 P16370
P38859 Q12469
P25294 P28006
Q08911 P08679
Q06624 Q07622
Q04412 P38247
P33892 P39718
P40565 Q12361
P32909 Q12044
Q04491 P40014
Q12248 P24482
P32800 P53199
P11709 Q00776
Q05610 P40515
P38697 Q04660
P43568 P33339
P53086 Q03690
P48415 Q12045
P32528 Q03096
P28791 Q04921
P32480 P00358
P39960 P00560
P53952 Q04048
P53082 P06782
P28707 Q08601
Q01454 P21691
Q03898 Q12045
P53552 P38274
P46681 P47122
P19657 P06101
P32525 Q12152
P53048 P33755
Q02100 P25555
P32628 P39717
P30665 P15790
P53176 Q04307
P53152 P38879
Q12028 P39946
P39706 P26448
P53100 P38555
P53974 P46957
P32349 Q99299
P49573 P40462
P39743 Q04370
P32945 P27472
P07866 P06105
P08566 Q12236
P46962 Q06479
P25303 Q12230
P32801 P41911
Q12368 P39994
P06105 P52918
P53883 P49334
Q12517 P40344
Q03862 P25043
P09938 P17442
P34253 P36013
Q08162 P42935
Q12734 P53258
Q03532 P32366
P40483 Q06704
P47054 P26570
P08539 P53738
P40507 P05986
P00560 P47050
P35718 P30902
P35723 P32356
P48524 P38329
P19524 P38786
P53855 P48232
P47089 P40455
Q12129 Q08962
Q12220 P43583
Q04601 P23255
Q03862 Q08204
P32496 P40988
P34077 P38820
P41834 P28834
P33891 P46680
P53883 P24813
P19882 Q03208
P54999 P38798
Q07844 Q04894
Q07376 P41811
P53124 Q08214
Q12260 P35207
P40055 Q12263
P33307 P22515
Q12152 Q12514
P40561 P16664
Q03619 P39723
P38153 P38859
P38156 P05986
Q12517 P07260
P46673 P06782
P48412 P38634
P53840 P53043
P06169 P00330
P32639 Q02260
Q04477 P53738
P37296 P40453
Q12241 P46948
P40473 P36015
Q12513 P40091
P17121 P40965
P38111 P40565
P22141 P40303
P53313 P53048
P38249 O13553
P52910 Q08245
P40327 P10869
P43568 P32074
Q99207 P32492
P17121 P40368
Q07786 Q08162
P32634 P53064
Q00816 P40350
P23642 Q03280
P32916 P40070
P25333 P18851
Q08931 P53599
P32912 Q12464
Q04839 P15442
P38692 P54999
P15646 P39984
P17555 P40510
P41920 P26793
Q00916 P10869
Q12522 P40479
P54860 P38324
P32912 P04386
P34223 P10964
P32776 P43565
P38794 P40563
P38113 P34226
P48568 Q00955
P17121 P39723
P38959 Q03782
P40018 Q99210
P49704 P25584
P32911 P32900
P36172 P39958
P35728 P23724
Q07786 P53622
P47166 P14736
Q12009 Q12446
Q03619 P38615
P21242 P38324
P53278 Q12318
P15646 Q06525
P38786 Q12390
P38838 P38310
P48240 P53743
P19882 Q08726
Q08446 P39073
Q03898 P32074
Q03768 P32801
Q06408 P34164
P39927 P24869
P25043 P33750
P20459 P48606
Q12033 P53974
P39743 P25644
Q06412 Q92317
P32501 P32911
P40204 P50278
P11154 P07213
P32573 P32495
P46954 Q05946
P38789 P19145
P38165 P24279
P35169 P32525
Q07084 P12695
P32913 P22515
P14724 Q03096
P30619 P27515
Q08965 Q12020
P38217 P39523
P38261 P48232
P38690 Q12199
P37370 P03965
P38792 P32835
P22543 P39551
P32573 Q08931
P25655 P39990
P40970 P13186
P19524 P53740
Q08235 Q03981
P14126 Q04377
Q00245 P46957
P36015 P07560
P32610 Q06451
Q12161 P32776
Q08963 P38011
P36421 P38165
P40959 P53256
P40958 P53955
P38339 P38254
P40512 P38959
P22133 P39108
P34253 P09232
P43535 P46988
P08524 Q12411
Q08273 P20437
Q12009 P40574
P13517 P25591
P46655 P18410
P53267 Q03782
P31384 Q12151
P32917 P09232
P32793 Q07623
P07258 Q12518
P33334 P25580
P19882 P32905
P32913 P39013
P32495 P12753
Q04031 Q02821
Q06409 P46957
P25615 P53048
P00560 P36003
P53209 P25591
Q03862 P53731
P15807 P53277
Q06549 P38716
P07283 P17119
P40151 P54784
Q02895 P32481
P40362 P38810
P40541 Q02890
Q12033 P46682
Q02892 Q05080
P23301 P20606
P43321 P32588
Q08979 P38310
P28817 P32588
P43638 Q99181
Q12277 P39730
P40014 P21801
Q02895 P41813
P28708 P38823
P41807 P41834
P06103 P53169
P42846 Q06673
Q12363 P47822
Q08446 P47176
P53159 Q12009
P38996 Q01217
P38989 P40066
P39531 P04807
P80428 P27636
P40564 P53743
P40335 P27999
Q06549 P33311
P13712 P32801
P53388 Q06340
P41800 P00546
Q12460 Q00723
Q08746 Q01560
P13856 P38988
P00950 P12612
P53743 Q03338
P38181 P40484
P53267 P40529
Q02629 P20081
P25655 P38801
Q08921 P07274
P32863 P38346
P39517 Q05022
P14306 P38757
P19882 P53867
P38970 P33755
Q04121 P40991
Q06409 P42935
P21672 P32911
P40204 P33307
P19524 P35203
P87284 P42935
P35688 P07258
P12688 P32327
P53283 P32561
P38200 Q07468
P53965 P40038
P53211 P04786
P36037 P46680
P28707 P20604
P40003 P21242
P35193 P47160
P33411 Q04048
P40151 P33419
P28817 P53886
P53298 P48582
Q07381 Q04377
P32380 P18480
Q08438 P32911
P38989 Q02630
Q12327 P38272
P29539 P32492
P28006 P38232
P53176 P38871
P53628 P52490
Q07376 P49334
P38774 Q04411
P53184 P25591
P18852 P15303
P12611 Q05946
P25390 Q99299
P43588 Q06216
P46962 P35178
Q03973 P53924
P38358 P05453
P20081 P40507
P42942 Q03619
P32571 Q00578
P33307 O13297
Q03956 P23293
P22543 P40483
Q08963 Q03697
Q02821 P00899
P27614 Q04048
Q02884 P32642
P38636 P39079
P32899 P40003
Q02775 Q07468
P53100 P18851
P17898 P32501
P40529 P38316
P12611 P13663
P32628 P53894
P39743 P09232
P53691 Q07786
P20438 Q12420
P07149 P32497
Q07508 P33755
P38204 P38737
P40555 P04912
P25357 P53290
P39723 P47079
P43535 P50091
P42843 P53894
P18888 Q00362
P28007 P33298
P10659 P38823
P35817 P53043
P38855 P32528
P43563 P53904
Q12176 P42935
P33418 Q12468
P40316 P38788
Q12691 P33311
Q12041 P30902
P25558 Q08273
P04147 Q12449
P04076 P05694
P46949 P47053
P50094 Q12241
P38129 P32324
P46682 Q12446
P39743 P32074
P38742 P00560
Q07963 O13553
P38853 P60010
P32524 P32457
P53112 P36034
Q05670 P39073
P38153 P38182
P32328 P53955
P32776 Q12256
P40541 P04456
P07264 P37302
P28791 P39925
P54199 P43565
P38922 Q03338
P12962 P26793
P32324 P35723
P39073 P38270
P21192 P89886
P53883 P39520
P31382 P49687
P47113 Q06604
P06634 P38850
P29366 P19658
P38063 Q08162
P18963 Q08601
Q04004 P38697
P36018 P53742
P25333 Q04921
Q04491 P25367
P32773 P32855
P39727 P39013
P35197 Q12517
P39717 P32350
P38690 P22515
P21192 P52553
P53248 Q08285
P81450 P40988
P38932 P21306
Q02804 P06103
P14306 P10869
Q08119 P53953
O14455 Q12468
Q06819 P38283
P17255 Q08558
Q03220 P53941
P53261 P40079
P06242 P19097
P07991 P34241
P38352 P17555
Q04491 P46948
P38182 Q12396
Q08553 P01149
P41896 Q03954
Q12522 P31109
P32905 P47165
P20606 P53191
Q03071 P32565
P40091 P43613
Q06160 Q04233
Q12017 Q12168
P53258 P40991
P10961 Q07084
Q06108 P53112
P36085 P33333
P25357 Q04359
P38631 P40055
P40018 P36131
Q02892 P32602
P43637 P12753
P16547 P38249
P32571 P22336
Q12168 P38334
Q03897 P42073
P43616 P16664
P46675 P52490
Q07963 P40038
P38742 Q03750
P40090 P34223
Q04226 Q04693
P41544 P12945
Q06137 Q06406
P40457 Q06706
Q12186 P32591
P06104 Q04233
Q12028 P34077
P38766 Q04031
P40202 P23394
P38690 P36130
P38690 P38316
Q07623 P25333
P25646 P38749
P38823 Q12754
P39713 Q08723
P07991 Q12315
P13517 P32263
Q12028 Q06651
P14736 P22515
P53082 Q12033
Q06679 P53743
P35169 Q03898
P32912 P32774
P49435 Q08245
Q06142 P43565
P06242 O13539
P36421 P28274
P32945 P28795
P32263 P38634
Q12033 P41814
P53953 Q12415
P20081 P12753
P40541 P36124
P03965 P14164
P51534 P32505
P40007 P25657
Q12411 Q03071
P41832 P46988
P32496 P34730
Q05583 P34253
P38257 P25604
P38904 P40395
Q04226 P36149
Q12411 P53169
Q06549 P43593
P31384 P50944
Q07844 P41816
P32805 P38283
P14291 P48606
P38805 P42884
P40541 P31109
P40693 P33399
P10355 P25580
P38310 P04456
Q04491 P46672
P39743 P38229
P12383 P38041
P32945 P32525
P22007 P52491
P43563 P07347
P32910 P00729
P09938 P06169
Q07508 P39001
P39935 P38132
P38352 P39994
Q12513 Q05583
P39523 P11745
Q07887 P33329
Q02256 Q03338
P25655 P38697
P38113 Q99186
P32366 P43572
P35728 P17695
P36013 O14467
P40090 Q06408
P25719 P25615
O14455 P36013
P33419 P53388
P25344 P25615
Q03071 P20967
Q12513 P40036
P40090 P23287
P40471 P40554
P17065 P38298
P19145 Q04921
Q08119 Q12017
P36139 P28707
P38111 P18962
P53743 P42839
P40563 P33750
P32380 P13574
P37366 P00175
Q12241 O14467
P53184 P38863
P39969 Q03280
P40480 O13539
P31382 Q12241
P49435 P40356
P19882 P15873
Q08444 P53176
Q12009 Q05947
Q12513 P51996
Q05785 P39935
P32863 P32447
Q12098 Q02196
P53163 P43592
Q04651 P12385
Q12118 P38987
P53136 P36421
Q03322 Q01560
Q08649 P38348
P30619 P50091
P52553 Q12527
Q03898 P06103
P09938 Q05583
Q99176 P33334
Q12176 Q12424
Q08601 P16474
P48415 P38785
Q04493 P36421
Q03899 P28834
Q00916 Q12084
Q03558 P06243
P33895 P47045
P46655 P06104
P40395 Q00582
P53258 P32905
Q12098 Q02890
Q07980 P38283
Q03503 P35203
Q03898 P40554
P32598 Q92331
P28007 P25390
Q07508 P40515
P32607 P33400
P25644 P38871
Q08215 Q07824
P21243 Q06324
Q00955 P32528
P40186 P32602
P06787 P32561
P38801 P21182
Q06696 P32794
P20459 Q12206
P53893 P49686
Q03619 P46988
P25644 P09624
P53322 P36130
P25451 Q06525
P32485 P39926
P32797 P17157
P53604 P40087
P04076 P53829
P23642 P40959
Q12098 P31382
Q04493 P41834
P32521 P39076
P41921 P39984
P40096 P53100
Q07657 P32571
P23644 P29056
P32855 P23724
Q12262 P32562
P13517 P53893
P16861 P52286
P35197 Q05871
Q05022 P53196
P08524 P35182
P48239 Q01159
P35688 P32478
Q04651 P39904
Q12368 P38089
P14306 P40055
P17555 P40453
P40103 P32945
P32913 Q12418
P37012 P38871
P53212 P53867
P39001 P04051
P40151 P11745
P41810 P26793
Q06673 P15873
P43568 P27796
P00358 P48232
P32264 P29295
P20081 Q04264
P40202 P00724
P39715 Q12420
P36017 P38840
Q99207 P26263
Q12527 P14907
P25659 P40453
P25558 P38348
P50086 P32828
P32450 P38759
P38805 Q06551
Q06108 P09734
P39966 P38805
P38768 P38063
P17255 P53081
P53091 P39073
P38339 P38967
P52488 P33760
Q12041 P39008
P48415 P02557
P41814 P07274
P47079 P10622
P38855 P47019
P38705 P19262
P23594 P36037
Q06142 P53272
P48361 P47122
P46985 P53904
Q07471 P53067
P53322 P30619
P46655 P47050
P38702 P38636
P36019 P36094
P53221 P47120
P32899 Q06451
P40360 Q08963
P33891 P38962
P25559 P43321
P32481 P43561
P53941 P14359
P38690 P08964
P48836 Q07528
P39008 P40453
P41813 P80667
Q03280 P53971
Q04411 P53743
P38339 P53905
P23394 P48232
P53738 P32457
Q06673 P53904
P40991 P11484
P06839 Q12494
P06105 P52910
Q12427 P07560
P38829 P39944
Q12098 P32610
P38627 Q00416
P40573 P21268
Q12418 P32558
P38716 P10964
P11433 P25659
P38932 P32492
P40303 P39079
Q12363 P39979
P00044 P00560
Q02825 Q99186
P38153 P38999
P36048 P53893
P14736 P39929
Q12411 P36421
P38247 P39008
P29366 Q03782
P10961 Q12118
P28007 P39517
P22137 P39016
P38165 P35729
P10081 P31688
P43601 P43639
P38622 P22133
P04819 Q12518
P20486 P40507
P38153 Q07657
P10659 P34758
Q00816 P25604
P32917 Q12222
P38862 P21268
P32854 P32867
P32366 Q08729
Q03220 P17119
P40151 P39960
Q00955 P42843
P40991 P34110
P38837 Q92317
P53298 Q04067
P16861 P40350
Q12477 P07274
Q03860 P38932
Q12310 Q12220
Q06549 P47089
P39563 P40461
Q04894 Q07478
P32599 P53877
P39967 Q00764
O14455 Q03818
P13517 P43574
P41805 Q12330
P32895 P40563
Q99181 P36084
P32523 P38165
Q08975 Q12055
P17121 Q08235
Q12277 Q12449
Q07471 Q12176
P39547 P29366
P17255 P00830
Q04411 P32774
Q12004 P32521
P33331 Q02205
Q08193 P36049
P40485 P38886
Q02892 Q08285
P38291 Q12488
P38631 P46655
Q05583 P18410
Q06142 P16661
P32481 P08458
P33334 P33891
P38853 P43583
P43568 P36012
P39735 P40368
P39875 P02294
P52891 Q12749
P53086 P06105
P40055 P33307
P20438 P00899
P06243 P07170
P09435 P18759
P32849 P38272
