Q07699 Q9NY72
Q16772 P16402
Q14204 P19388
P07451 O75807
Q969S2 Q16773
Q16613 Q9H2W2
O95071 P24752
Q01064 Q9Y261
O95361 O75528
P49915 Q8NHV9
Q9BYC9 Q13461
Q6ECI4 Q9BV79
Q9Y4Z0 P62310
P19622 Q8N4X5
O43791 Q9NP74
Q8TE02 Q02446
Q15424 P60484
P18440 P42695
P50750 Q99714
P50135 O00311
Q16143 Q8TCE9
Q13356 P11766
Q8TBX8 P18848
Q9Y399 P42785
Q9UIF7 Q9NX20
Q03154 P19388
O75891 Q9UNI6
P40261 Q8IXQ6
Q05209 O95926
O95619 Q9H2W6
O00142 O75529
P23409 P31937
Q9Y6K8 P01106
P06732 P34059
P09210 Q9UL03
Q8N142 Q9NWT8
O14713 Q15572
P49638 P17509
Q9NYK5 Q5THR3
P09936 Q969S2
Q96JJ3 Q8IXF0
O95749 Q12800
P21291 P49411
Q13526 O75394
Q9UBU7 Q9NX18
Q9H0C8 O00311
Q14686 P08319
P13984 Q06124
P20226 Q8WXI4
P78417 P61218
O95696 Q8TF09
Q9Y238 P16401
Q9H0W9 P13995
Q14749 Q00688
P52756 Q96IV0
P54132 P39023
Q5MJ70 Q2M3C7
P14921 Q9H2W6
Q9BRA2 Q13156
Q9NPJ6 P42765
P07686 P30711
O75132 Q9Y6R0
Q9BV36 O43791
Q9Y216 Q8NCU7
Q6ZRS2 P49368
P24666 Q9BYE7
P11161 Q9BYC8
Q9UK76 Q9NRV9
P08729 Q8NDX5
Q9UDX5 Q9UKN8
O60936 P62995
P11473 P50452
O94906 P54098
P09936 O15156
P49753 Q9H8M7
Q9UDW3 P52566
Q8N4E7 P23511
Q9BZE1 Q15475
Q15424 P42679
Q96N77 Q93015
Q9UBT2 P35270
Q9NQI0 P22670
Q16143 P13686
A6NDE4 Q9Y239
Q13487 Q9NR46
P14921 Q9ULC6
P40939 Q9UHQ1
Q9NVV4 Q96S53
P16152 Q96KK5
P11831 P11766
Q9P032 P51946
P47897 Q10586
P13693 P09234
P41970 Q76N89
P05164 P0C7P0
Q9UII2 P16402
Q8TE85 Q8IWZ3
Q9Y297 Q49AN0
Q9UKU7 P09874
P20807 Q5M775
Q96PU5 P55771
P08651 Q8NI60
Q14790 Q7Z591
Q9HC29 Q99684
Q9NR19 P17861
O00471 P26367
P07451 Q14119
P09630 P40925
O43913 Q9HCP0
O14593 Q01581
Q8IXM3 P41002
Q13610 P51649
P24666 Q16254
Q9HC52 P53384
P36957 Q8IXQ5
Q8WWV3 Q8WYH8
Q13029 P82921
P84103 Q9BPZ3
P53396 P40617
Q8IUE6 Q16773
Q96RE9 Q96PU5
Q9P0M9 Q9Y6W3
Q9UBC9 Q86TM3
Q2PPJ7 O43143
O75558 Q13642
Q6EKJ0 Q16772
Q16740 P22415
P23527 P08263
P15336 Q9Y2T2
Q969G3 Q9BYN0
P50749 Q9UN86
P32322 Q9UNI6
Q05209 P31271
Q7Z5Q5 P48728
O95990 P40925
P55039 Q9BXL8
Q8TAU0 Q70SY1
Q9NZE8 O94993
Q02363 Q9NYS0
P26367 Q99757
Q8IVS2 P22304
O00411 Q5QJE6
O75164 Q9NYS0
P49638 P26368
P20592 Q13115
P22304 Q9BY32
P26368 P25398
Q8N5U6 O95600
P54098 P61218
Q8N4X5 Q13461
Q7L311 Q9H213
P08651 P40227
P82675 Q96BP2
Q9H9S0 Q8TE04
Q99707 P15408
P59046 Q8NDX5
Q96PU5 Q9UKI9
Q96FI4 Q04828
O75828 Q14781
P48730 Q92560
Q9BRA2 Q13416
Q16613 Q9Y222
P16152 Q7Z591
P47897 Q15596
P59046 Q15329
Q9GZR1 Q96AA8
Q14914 P18847
P24298 Q9UGU0
P14868 Q8WWL7
Q96CS3 O95931
P0C7P0 Q15544
P51970 Q9H4I2
Q8IUM7 Q13794
O95848 Q13029
Q9P2W6 Q9BRL6
Q9UHN1 Q86XK2
Q13115 Q06278
Q6STE5 P23921
O95409 P32929
Q92871 Q9H2S9
P09132 Q15637
Q15173 Q9UPV9
P07451 Q15573
Q99707 P52435
Q08752 Q92769
P82650 Q01130
O75529 Q9UDX5
P14652 Q07020
Q9NY33 P51826
Q96AZ6 Q14651
P32119 P14652
P09661 P35326
Q96AA8 Q9UKV3
Q9Y3D3 Q15319
Q15583 Q16537
Q5SW96 P09874
Q8TE85 P00918
Q96G01 Q96D98
P0DMN0 P20719
Q9BYE7 Q68J44
P23759 Q14442
Q96G61 P32314
Q9NWF9 P22736
Q8WVC0 Q9NY33
P25398 Q16385
Q10586 Q14442
P51532 P48643
P36915 Q9H2S9
Q05952 P30711
Q9Y3D3 O95343
Q8TDY4 Q16520
Q13642 Q5TD97
Q99956 P42695
P62318 Q9H6S1
Q9HAW4 Q96NW7
Q13362 Q9NP74
Q7L311 P21246
Q9HC29 P06865
P19387 O75363
Q13610 Q6V1X1
P49916 Q969K4
Q7L3B6 Q99967
P46952 O14776
P11586 P31269
Q9H5Q4 Q92769
Q96I25 P55084
Q8N9W6 P52435
Q14032 P48382
P35558 Q9BX63
Q99558 Q16777
Q15561 O75394
Q8WVM0 P62805
Q9UKF7 P19532
P48729 O43719
O14924 Q9BPZ3
Q08495 P49716
P47874 Q6ZYL4
P10244 Q92598
O75503 P00568
Q9NYS0 P28347
Q9NP31 Q9UHL9
P20823 Q14106
A6NDE4 P45877
P28358 Q9H5Q4
Q8TDY4 P14316
Q9Y5Y5 O60683
Q9NQ33 Q9NR19
P08729 Q9Y618
Q9Y603 Q9HD40
P49715 Q9NZD4
Q9H4I2 P30419
O96028 Q5JY77
O15217 O15514
P35321 Q9C0J8
P83111 Q8WX92
Q9UHG3 P49915
O43913 O75570
P52756 P54098
Q9GZR1 Q96M11
Q9HCN4 O14862
Q99990 Q2M3C7
P42574 Q9BS31
O60814 Q93088
Q9NY74 P13984
P51580 P10412
O95154 Q15475
Q9P0R6 Q9NPJ6
P10828 P23921
Q9Y2X9 Q16548
P23193 Q16540
P29762 Q68CP9
Q02078 P27708
P10828 Q99757
P41161 P53677
P19793 P48735
Q9NVU0 Q7Z7A3
Q6NUP7 O43719
P60484 P61964
O43325 Q96G61
Q15545 Q9Y2R5
Q14999 P62805
Q9BPZ2 P35236
Q9BYC8 P19447
Q9UBC9 Q9UID6
Q16740 Q9UBR2
P04183 Q96LT9
P50548 Q9HD34
Q9Y2Y9 Q96AA8
Q9Y5X4 Q96QG7
Q16719 P08048
P26441 Q12986
P51398 O60341
P07864 Q15916
Q13085 O95751
Q96QG7 Q9H1E3
Q14152 Q8N257
P35712 P34897
Q9BPZ2 Q9Y239
O94993 P31937
P41134 P18054
Q86V15 P78371
P84103 P00568
P00918 Q9H4I2
P84022 Q08999
Q8IX03 Q6PJT7
Q9UKU7 Q15022
Q86Y25 Q9BWD1
P54687 Q9H6T0
Q9HC29 P10412
Q96PU5 Q96N77
Q16773 Q7Z591
P47874 Q8IZU0
P09936 Q14938
Q9Y6J0 Q9UI17
Q8TE04 Q9UKI8
Q13547 P20591
P10276 Q9Y2R5
Q9HD34 P42695
P35218 P26367
Q9H0U6 Q13243
P51116 Q6ZN30
Q9BUL9 Q9BZQ8
P30838 Q9UGL1
Q9Y4B6 Q9Y2V3
P63162 P61970
P48735 O43474
Q6NYC1 Q9Y2Q9
Q16143 Q12986
Q16548 Q99590
O60762 P42765
P68431 O14618
Q9NWF9 Q9NX01
P04198 P54098
P07711 P00568
P46439 O95639
P14921 O95405
Q16851 Q3YBR2
Q9P0R6 P23025
O43776 P62487
Q2VPK5 Q8WW12
P38571 P09210
Q9BV90 P22532
Q9BXL8 Q5H9J7
O43593 P0C7P0
Q8WXC3 Q12986
Q7L3B6 Q53GS9
P26639 Q15072
Q92665 P54278
Q01201 Q12849
O43364 P78371
P0C0S5 O75570
P10242 P15121
Q92837 P13010
P20132 Q13118
Q03181 Q5VZM2
P37108 A6H8Y1
Q8N6F7 O95125
P20933 Q9NX18
Q13950 Q16772
Q02108 Q14186
P17706 Q96S53
P40227 Q96T76
Q14894 O94906
Q6PGN9 P28370
P22492 P12104
O60563 P21266
O75828 Q71DI3
Q92522 P40925
P49759 Q99819
Q96JJ3 P24278
O95619 Q9BYD1
Q14032 P11474
Q9HBE1 P08319
O95405 P28340
Q9HCE6 Q96LA8
Q9H5F2 Q13795
P23769 P50213
Q8N9W6 O00257
O15091 Q9Y3Z3
Q9P0R6 Q6P1J9
Q14749 O00115
P13693 P41212
O75880 Q86XI2
Q96PU5 P29558
O75971 Q15102
Q14790 A6NLJ0
P83111 Q9UHL9
Q9H7D7 P16403
P83111 Q9Y5Q8
Q6DN03 Q14442
P48643 Q15415
P05549 Q8N183
Q96IV0 Q01851
Q9H5Q4 P06400
P53779 Q14190
P57053 P55210
Q13085 P43694
Q9H4A3 Q15723
Q9H2F5 Q9UI32
Q16143 P22415
Q13247 Q8NFH8
Q9UBU7 Q9UJM3
Q6IEG0 P52888
Q9UFW8 Q9NRV9
P46060 P49792
P40261 P15408
Q14152 P49917
P15036 Q9H2W6
P53779 P33992
Q16576 P13995
Q14CX7 Q14863
O15091 P28715
P54098 Q96MH2
P08621 Q6XE24
P08579 P49411
P16083 Q9NXR8
Q9UPY3 P62308
Q15185 P49716
P63167 P15976
O95376 P31350
P32119 Q03828
O95551 P49902
P51970 Q99594
P48163 A6NLJ0
Q9UHN1 Q8WYH8
A6NEQ0 P31327
P16383 O60551
Q9Y4H4 Q15543
P09936 P31273
Q14106 P08236
P30260 Q68J44
Q8N9N2 O95248
O43396 Q15542
Q16543 P09430
P50453 Q9HBE1
Q9Y4B6 Q49A26
P10827 O60941
P51580 Q9HCG8
Q8WXC3 P20265
O00115 P82930
O75570 Q86WQ0
P38646 Q9NS39
P55210 Q9BUJ2
Q9Y6K8 P12524
Q99956 Q13523
Q99801 Q5VZM2
Q2M3C7 Q7Z591
Q92665 P78364
Q8N5U6 O96020
P04198 P09488
Q02086 Q9HCN2
Q8NHV9 Q9BYD6
Q9UKY1 P26441
Q9Y6R0 Q9UBC0
P04066 Q9H0A6
P10275 P82933
Q9BW04 P82970
A2A3N6 P50897
Q9NY33 Q9HCS4
Q9H4A3 Q9NV88
P13798 Q6NXG1
Q9UDY6 O60682
P47928 Q9P2W6
Q16143 P28358
Q9UBC9 O95343
Q9BWD1 O14862
Q13287 P22670
P78527 P24298
Q9H5Q4 Q7Z5L9
Q06520 Q00056
Q9Y2T2 Q8WXA9
Q8TE67 Q14CB8
Q9Y295 Q9NVP2
P83876 O15169
P17706 O14948
P30711 P10253
Q9Y297 Q96S96
Q9NZD4 Q99612
P10599 P10275
Q5VZM2 O95125
Q13247 Q14032
Q9UKU7 Q9Y2V3
P46063 O15235
P07196 P21246
P26651 Q07020
Q9NR20 Q9HAN9
P43355 O14862
Q8IXQ6 Q6PGN9
P0DP25 O75175
Q00059 Q86U86
O15169 P31249
P27695 P49902
P38646 P08236
Q58A44 Q9ULV3
P40692 P52888
P14598 Q9P2Y4
Q58A44 P35453
P10828 Q99819
P29353 O60508
Q9UNP9 O95361
Q68J44 Q9HAZ2
P28838 Q9Y261
P49458 O75164
O00338 Q03828
Q8WVN8 P18074
P05549 Q9NR46
Q96JJ3 Q7RTV3
O43307 P02545
Q04828 P20719
O75828 Q14119
P53384 P25774
O94916 O00170
Q16698 P22670
P49675 Q12986
Q07973 P0DJD3
P35218 P37231
P10275 O75394
O75648 O60902
P82909 Q9H6T0
P29083 Q8N4X5
Q9NX02 Q9Y2U9
Q16612 O14646
P10276 P82675
Q9UGN5 O14920
P50453 P63162
Q5THR3 P43897
P19793 P16949
P19622 P62942
P50750 Q13546
Q03181 O60239
Q14678 Q99880
P54577 Q9UHH9
Q9BYG8 P51513
Q9Y535 Q8TCS8
P10599 O95343
P15923 Q96M11
Q96IV0 P52945
Q5H9J7 P31629
Q9HD34 Q6ISB3
Q9Y2Q9 Q8TAQ2
O94916 Q9GZZ1
O75526 Q96HU1
P35244 Q9Y2D0
Q5T3J3 P55854
Q8TBZ0 P07148
Q96G61 Q15544
O95848 P13349
P68104 P32314
Q8IXQ5 Q96QG7
Q9HB65 Q9UN86
Q9NRN7 Q9H611
P18615 P48728
P48728 Q15697
O00411 P05423
Q6WQI6 O43680
Q96CS3 P16455
Q9C002 P00558
Q9NQR4 Q8IYD8
O95696 Q9BTM9
P78417 P06865
P20226 P25325
P17706 Q9H4Z2
P06132 P50613
Q92793 P14061
Q9NX02 O60381
Q2VPK5 Q06710
P62995 Q96PC2
Q00056 Q3BBV0
Q01459 Q6UB35
O60682 O43776
Q02962 Q9Y2R5
Q8TE67 P13010
Q9UEE5 P23381
P84243 P13798
Q16576 P61970
O95751 Q07020
Q6FI13 Q00169
Q9Y238 P25208
Q9H5Q4 Q9HAW0
Q08495 P18847
P10827 P14324
P51580 Q00688
Q8N6F7 P41225
P31275 O14727
Q9Y399 Q9ULV3
O75343 P60008
P20592 P16403
P11473 P15559
P40939 P17900
Q13287 Q5H9F3
P18054 Q99594
Q9UBU7 Q9Y2J8
Q99956 Q15915
Q9Y4X4 O75897
P29083 O60477
P82675 Q10587
Q9Y2U9 P23378
P19388 P06732
P08729 Q9BPZ2
Q9HB96 Q9BRV8
Q9UJM3 P0C7P1
P14868 P54278
Q16613 P07602
P06132 P20290
P26651 Q5VZM2
Q6PL18 P42574
P00326 Q5VVJ2
Q9UJA3 Q13162
Q14999 Q9Y6P5
P09017 P50213
Q9Y2R5 P20290
P15559 Q96S96
P12081 Q6ISB3
Q6WQI6 Q969G3
P78368 Q8N1G1
Q5JY77 P28370
Q9NVU0 Q96EK5
P28698 P53779
Q99487 Q15329
Q8N7A1 Q9UHB7
Q8WXC3 P17947
P00568 O15370
O75828 P18074
P15336 P35237
P18440 Q13426
Q13523 P51857
P09234 P16949
P18440 Q16587
Q9BV90 Q9NQR4
Q9H0E9 Q8WWV3
P06132 P06899
P47874 Q86TM3
Q9P2Y4 Q01064
A6NEQ0 Q9Y4H4
Q13085 Q9BWE0
Q13126 Q9Y618
P13797 P52945
Q08495 Q53HV7
P50135 Q13886
Q9NR19 Q14181
P25774 P50452
Q92731 P13796
P49458 Q15560
Q13795 P31267
P32322 O43829
P51688 P14061
Q5JY77 P30876
P05549 P49914
Q8IUQ0 Q08999
Q9NWU2 Q9NVS2
Q9GZT8 Q96LT9
O15151 P40939
P15559 P42695
O75132 P00558
Q99707 Q9Y5N6
Q96I99 Q13356
P24298 Q15573
P07327 Q12952
A6NDE4 P26441
O95379 Q6ZN30
P35790 Q01538
Q96BP2 O14561
P36402 O00142
Q15583 P21266
O60675 P17516
Q9Y5Y5 O75381
Q9UPP2 Q96KN3
P53597 Q99612
P13798 Q13285
P15336 Q9BYD6
P29466 Q9GZP8
Q9Y6M4 Q02548
Q8TEQ6 Q8WXD5
P17516 Q15393
Q9NR56 P55084
P53667 Q9Y463
Q8NFH8 Q9Y6J9
Q8N5F7 P21695
P49638 Q09666
P18846 P09488
Q92830 Q8N9W6
P43897 Q9NV56
Q03989 P30711
P29558 P56277
Q6NUP7 Q9Y6P5
P40227 P16220
Q9Y657 P16050
P48728 Q8N1G1
P20592 Q9UJC5
Q9BSM1 P15104
Q9Y4B6 Q71DI3
O60711 Q9GZP8
P51116 P04198
Q15080 Q14119
Q9UBU7 Q6UB28
Q13487 P49368
Q16560 Q99714
Q15072 P23921
P18074 P54098
P30048 Q12824
Q9P0K8 Q9NVV4
A6H8Y1 P49411
P51114 Q9UHV7
P35548 Q9BPZ3
P78337 Q9UII2
P18847 P18848
O95411 Q9UI17
O14924 Q9BXI3
Q9BPZ3 P31274
Q8TAE8 P35790
Q9Y603 P82664
Q13115 P52565
P62316 Q06520
Q9BPX1 Q9UBX1
P16383 Q9BXI3
Q9H0A6 Q9BWT3
Q9Y535 P52565
Q8NEL9 Q9H2F5
Q8TCD5 Q9BWT3
P25100 O15492
O60671 Q9Y2D0
P59103 P04198
Q99819 Q9NZI6
Q9NX20 Q9NZL3
Q6B8I1 O15156
P35637 Q06124
P59942 Q9BRL6
Q9NNW7 P49639
Q13546 Q6P1J9
O75563 Q92748
P62917 O95125
P48147 Q01538
Q9NVU0 P54136
P15918 Q9BYN0
P13995 Q96JN0
Q9HC29 Q9UDW3
P31269 Q8WYK0
Q15562 P49915
O75643 Q3BBV0
Q8TF76 P43355
Q9HD34 Q13243
Q9NQX6 O75175
Q9BV79 Q86U86
P09430 P48730
P30711 P08048
Q8IVS2 Q9GZP8
P11245 Q15911
P49715 O60941
Q9H2S9 P18848
Q9UHD2 Q9NYW8
Q12815 Q16533
P21673 P13686
Q5VZM2 Q99729
P46783 Q9UKN8
P55317 P21695
Q9P2R7 Q9UBE0
Q8IX03 Q16676
O75526 Q14651
Q9UIH9 P22532
P62269 Q9UMQ3
Q9UIF7 Q8TCD5
Q9Y3B7 P06280
P20132 Q03164
P50135 Q99878
Q96CS3 Q13595
A6NDE4 Q06520
Q9UHL9 O95405
Q9GZZ0 Q14651
P41279 P31270
Q12996 P29353
Q96HA7 Q9UL03
Q9UHG3 P07327
Q6FI13 Q14032
P52657 Q8TF09
Q14790 Q9UL17
Q12946 P56277
Q9Y291 Q9Y6P5
O60563 P20591
Q9Y6R0 Q92949
P10071 O60941
Q06413 P78371
Q9UIL8 P11586
Q13888 Q6XE24
Q86UE8 P47874
P31350 Q16695
P50213 P31273
P55854 O14862
P51114 Q92793
P49888 Q8WYA6
Q96HA7 O60508
Q58WW2 P31937
Q96CS3 Q2M1K9
Q13595 Q9UN86
Q09028 Q9BZE1
Q9HBU6 P50219
Q15911 P62937
Q00403 P47874
P29218 P30291
Q15014 P15428
Q9Y3D3 Q96T23
P50990 P36954
O95931 Q6B8I1
P41134 Q13546
P59942 P31267
P30260 Q9UNE7
P83876 Q96G01
Q8TF09 P50219
P05089 Q9NV88
P20264 P10155
Q15102 Q5U623
P84243 Q5VZM2
P00352 P50539
O60239 P27540
O00411 P18615
Q15424 P82932
Q9Y222 Q9BYD2
Q99469 P26367
P78358 Q53HV7
O15379 Q6PRD7
Q9Y2X9 P39023
Q2VPK5 P23760
P18054 Q53HV7
Q9UM63 P68104
Q96M27 Q86TM3
P15374 Q9UBC3
Q8NFW8 P26441
P53597 Q53HV7
P10071 Q9BZQ8
O75461 Q9Y2D0
Q96FI4 Q9BPZ3
P50750 P48735
Q06520 P33778
O00411 Q03164
Q14678 Q6P1X5
Q9UEE5 P20936
P05787 P42695
Q8N6I1 P82663
P19419 Q9Y3D9
A6NDE4 P25325
Q9NX09 O14981
Q9UBD5 P13639
P10155 Q96D98
P16104 P61769
P46439 P20290
Q9HCP0 P01106
Q99956 Q6PJT7
Q96B26 Q06265
Q93088 Q14527
Q9UDY6 Q9H0W9
Q9NY33 Q53HV7
Q9BZL1 P15918
P54868 P31271
Q13546 P15848
P10827 O60477
P47928 Q12849
P83111 Q02386
P14652 Q9BY32
Q92665 Q05048
Q9BWX1 O75897
P51948 Q9H9J2
P03372 O75534
P43355 P61769
P57053 Q7Z569
D3DTV9 Q14678
Q14188 Q9Y2D0
P20719 Q9NR46
Q12837 Q8NI60
P32119 P35548
P07196 Q7L311
Q99469 O14802
Q06546 P33402
P14652 P38646
P04183 O14776
P83369 P53667
P82909 Q8N9N5
P20132 Q99594
Q9BYN0 O15514
P05089 P51946
Q06416 Q9UBW5
Q9UIV8 Q9Y657
P20264 Q9Y291
P09017 Q9Y4H4
P14868 P19532
Q5H9F3 Q9HCY8
Q14469 Q08495
Q5TB30 P13797
Q8WVM0 Q9Y3E1
Q9BWX1 P15428
Q9HCN4 Q13761
Q99729 P50135
P23297 Q9HCG8
Q13310 Q9BUQ8
Q99707 P41161
P52815 P60008
Q14651 P02545
P33076 Q8NFZ5
P13693 P50749
P24666 Q96T76
Q96L73 P07741
Q9NX02 P06400
Q9UGN5 P30048
Q9H4A3 Q9UEE5
Q9UL17 Q9UI32
Q9BWX1 P82921
P32119 O43474
Q15853 Q14032
Q86Y13 Q96JP5
Q03013 P42695
O00142 Q9UBR2
P17482 P06732
Q9BUT1 P23771
Q9H0E9 P0DMN0
P36957 Q15915
Q15173 Q8WXU2
Q8TE67 P33992
O75971 P14324
P51398 P13010
Q9HCY8 P31276
Q9UPY3 P10619
Q9UHD2 Q8WYA1
Q15672 Q9HD40
Q8NFU5 P52565
O95931 O60678
P0CG30 Q9UHH9
O75170 Q92830
P35326 P35452
Q9H5F2 P35321
O60711 Q6NYC1
P09430 P35218
P53779 P28340
P04908 P56277
Q7L3B6 Q9NPJ6
P54687 Q13573
O00338 P13631
P14598 P18146
P53779 Q15475
P35326 Q12824
Q12947 Q96GX9
Q9NY74 P06280
P59103 P61218
O75593 P12081
Q969Y2 Q9UKY1
Q02363 P42679
P12081 P50219
P11161 Q9UGC7
O60508 Q92598
O75880 P31270
Q9Y399 O75503
P78417 Q9UGN5
P04198 Q96TA2
P17405 P17706
Q9Y291 Q13595
Q15080 P17861
Q969K4 Q15651
Q9P2Y5 P23193
P83876 Q6P2Q9
O60936 Q15424
P68402 Q8WYH8
P23297 P30291
P25963 Q68DY1
Q8WVM0 Q92560
Q9Y297 P21675
Q8IUM7 O75251
Q9BTP7 P82675
P47874 Q9H9L7
O96019 O00170
P40227 Q96QT6
Q14562 Q96HU1
P49411 P51826
O60941 O43829
Q99929 O75394
P35712 Q9Y291
P06746 P15428
Q9NRN7 Q5M775
Q9BYN0 Q9NXR8
O43679 O60239
Q16560 Q8N7A1
Q9UIV1 P83111
Q9NWU1 P19793
Q12946 Q9UKF7
P53396 P53999
Q9NYD6 P0C7P0
O43791 P14061
Q09472 P30419
P04908 P50452
Q13952 P21695
Q9P278 P23193
Q99590 Q9BU02
Q9UBP6 P28161
Q99879 P25325
P15173 P78417
Q96DI7 Q9Y238
Q06945 P54098
P09017 P09210
Q9UKU7 P04554
Q7Z7A3 P53634
Q8WVN8 Q9UKI9
P40617 Q9BTM9
O43504 Q92664
Q14790 Q14863
Q8IZU0 Q9BU02
Q9NRN7 Q9UKY1
Q00444 Q9BR61
P35712 P31937
Q9NWT8 Q15046
O15178 P53779
Q03013 P13349
Q8TAP9 Q8N5U6
Q9UKF7 P41970
P18054 Q92565
Q15562 P35326
Q15014 Q9UKF7
P59046 Q9NPJ6
Q96AJ1 Q92871
Q9Y6R0 Q13356
P21399 Q9BXL8
Q99707 Q96DT0
P36957 Q8TCE9
Q9BYE7 O00743
Q9BSM1 P17661
Q13867 Q14781
O76039 Q9NZJ9
P62495 Q9BSF8
Q09028 Q13085
P17676 Q7L0Y3
Q9NQT5 Q9Y2L1
O75936 Q86U86
Q13568 Q9NP86
P13995 Q15291
Q969K4 O00462
Q14746 Q96MW5
Q96S96 Q969P6
P35244 P62937
Q00059 O43829
Q16514 Q06124
Q9BYG8 Q6NXT2
O15169 Q9GZP8
Q6UB98 Q7L7X3
Q6FI13 P18054
O43182 Q13595
Q12815 P49639
O60239 P09012
Q8IXQ5 Q8N3H0
Q9P0K8 Q9HBG6
P41235 Q9H0C8
Q14188 Q9UBR1
P14859 Q9UNE7
Q15573 P11766
Q5MJ70 Q5TCY1
Q8IZT9 Q8NI60
Q9UJM3 Q9UJW9
Q9BV36 Q16385
O75534 Q15853
Q13085 P15923
Q9NWU1 Q9NVW2
Q16143 Q00444
Q13888 P49589
Q9P2W6 P20823
P68431 Q04828
P13797 P55317
O15235 Q92560
P86791 Q7Z569
P82664 Q96LT9
P08729 P31274
Q99583 P40925
Q6PRD7 Q14209
Q9H9S0 O75251
O75807 Q9UGC7
P06899 P30711
Q9H211 O43776
Q12815 P51946
Q02108 Q05925
P09429 P00338
P05787 O00472
Q9UII2 P55895
Q9NQR4 P49842
Q9UD71 Q92698
P22304 P52888
Q07973 Q08999
P82675 P58012
Q8IZT9 P11245
P07451 O75030
Q92908 Q9BZE1
Q9Y5Y5 Q92968
P52756 P48730
P56282 Q8N6F7
P36915 Q9H9D4
P26358 O14920
P59103 Q9H9S0
Q14562 P30626
O60678 Q9UIH9
Q08050 Q9NQR4
Q13547 Q9NP92
P19622 Q92837
P29218 P11831
Q9UGN5 P00568
O75170 Q96KN3
P08651 Q96RP9
P30419 P23025
Q14152 O60682
Q9UHD2 O60671
P29218 P09067
Q05923 Q96G01
Q9UIF7 O15540
Q96RE9 P45877
Q8WWV3 O43929
O75891 Q9UBK2
O43837 P28347
P82933 O43513
Q05923 Q9BTM9
Q9Y4K4 Q96AZ6
Q96EK5 P42785
Q9UIV8 Q12951
Q8IWT3 Q92560
O75586 O75828
P20807 Q00403
Q2PPJ7 P27694
P50213 Q9UID6
Q6UB35 Q8N1G1
O43504 P27694
O14713 P02545
Q9BPX1 P58304
Q9Y216 P53999
P08579 Q9BZE1
P22492 P0CG30
P09210 Q9UK76
Q16613 O95376
P78540 P56915
P25205 Q9HD33
P18847 P36915
Q2VPK5 Q99966
P07195 Q9Y3D8
O00338 P49639
Q04725 Q9Y2T1
Q13568 P30711
O75570 Q9BTP7
P0C1S8 Q96EK5
Q08999 P07741
P11586 O75528
Q15853 Q7L0Y3
Q9BT17 P17900
P07451 P28698
Q9NT62 Q12952
Q7RTR2 Q96N77
Q16698 Q9UKF6
P23769 P28161
P14598 P17509
Q07617 O00311
O95931 Q9NQI0
P18054 Q9HCG8
O43791 P78540
O94788 P14653
Q5VZM2 O95600
Q8TDY4 Q16533
Q05209 Q13889
P54821 O75394
Q6NUP7 Q96PN7
P51970 Q6UB98
P82914 P17544
P19878 O75643
Q13952 P39023
P09630 P98170
Q9Y216 Q02556
Q08752 O75528
Q7RTV3 Q9H2W6
P13797 P35269
Q16143 P32314
P10828 Q9BZQ8
Q8N5U6 Q9NVW2
Q9BX63 Q8TCD5
P55895 P09210
P08729 Q16666
P48163 O15514
Q05195 Q14678
Q9HCY8 O43541
Q12857 Q96HU1
Q15022 P22061
P50213 P20290
Q8NFH8 Q13952
Q5VZM2 Q9BPZ2
Q9BWD1 O60356
P0C1S8 Q8WVM0
P52815 Q15596
Q71DI3 P45877
O14727 O95639
Q8N6F7 P14651
P57723 O96020
Q02252 Q86U86
Q02962 Q9BYN8
P17676 P00918
P12004 P82921
O75343 P16402
Q9Y295 P32780
Q96PC2 Q92826
Q9UIV8 P49335
Q5M775 O60760
P82933 Q0VG06
P09936 P58012
P55157 P56277
Q9Y2T2 Q969F1
Q9UL49 Q8N3H0
Q9NZI7 P01040
Q9BPZ3 Q05925
Q9NQI0 Q86Y25
Q9H2W6 Q9NZC4
Q16676 P12271
Q07352 Q96T66
Q9BV36 P41212
P23921 P51784
Q9P032 P60008
Q16854 Q6UB99
Q5SW96 Q16695
Q9NX20 Q53HV7
Q92552 P86791
P17706 Q16676
Q13795 Q6ISB3
Q9UHG3 P48728
Q9UNN4 Q9NZE8
P31350 P23759
Q9Y295 Q16666
Q9H9S0 P34897
P09488 P35251
P54577 P31942
P24928 Q8N5U6
Q9UM63 P48728
O75446 Q9NZJ9
P31350 O95125
Q09472 Q01064
Q96AA8 P0C7P1
P11245 Q9NVR2
Q8N983 Q15475
P78364 Q9UN86
Q9UPV9 Q16740
P13798 Q2M1K9
Q96AJ1 Q8N183
Q99549 P55854
Q8N4X5 Q2M1K9
O94788 Q8N257
Q96HA7 Q16254
Q9NX02 O15353
O75132 Q9UPP2
Q9BSL1 P26367
Q6PGN9 Q07869
P53350 O14713
P21266 Q05048
Q8IZT9 P49902
A0AVK6 P35790
P20132 P0C0S8
P49759 P42765
P26441 P35251
P33240 Q9Y6R0
P18846 Q9UIV8
Q9H4K7 O94953
Q02363 P49589
O75030 Q8TF09
Q92922 P40939
Q9NTZ6 P35326
P54687 Q9UKI8
P83111 Q9Y2Y9
Q96DI7 P29353
Q13569 Q96RP9
O60671 Q13126
Q9UQR1 Q9BWD1
Q8NFG4 P31942
Q9NVS2 Q9BSF8
Q9BUJ2 P22531
