P54136 O00712
Q9NR20 O43791
Q9Y2V3 Q9NZD4
Q92598 Q6UB99
Q14651 Q12952
Q16891 O75400
P14678 Q16143
P52565 P49639
Q9UBW5 Q99967
Q9Y238 Q53GS9
P04066 P19878
O75529 Q9UDX5
P49411 Q3ZCT1
P49368 Q9BQ83
O14920 Q08050
O75363 Q14527
P53779 Q5TB30
P10914 P57723
Q12882 Q92989
Q9HAW4 P05787
Q9HCY8 Q93079
Q92837 Q15545
P59103 Q9H9S0
P20591 Q9NQ92
O43325 Q8NFH8
Q8TE04 O43513
Q16656 Q9NP74
Q14188 P50120
Q8NFZ5 Q01538
P58876 P25398
P50135 P20264
P46783 Q12946
P09234 P43355
P54098 Q9UBC0
O14561 Q6P1X5
O76031 Q06710
Q8IX03 Q13761
P36957 Q08050
P16403 P0C7P0
P06132 P50548
Q8N1V2 Q49A26
Q9UDY6 Q99549
P13693 Q02386
P25205 Q9Y4K4
O95429 P13349
Q96QR8 P37108
Q15915 O15540
O43148 P12277
P32322 O95125
Q9NWF9 Q01543
Q9P0R6 Q14190
Q9HBG6 Q07869
O43680 Q13637
P78368 Q9H147
P49916 P33402
Q13362 O00142
O00142 Q06413
O95405 O43325
Q9BSM1 Q9NX02
Q9UKY1 P62917
P00492 Q9BTP7
Q7Z7J5 Q9H4A3
P55316 Q99707
P20823 Q9P2W6
P35236 Q86UU0
Q969P6 O95411
Q13415 Q8NI60
P35900 P62805
Q15543 P30711
Q9HD40 P53567
P29374 P24298
P07864 O14503
P14653 Q9HC29
P31277 Q6XUX3
Q8IUQ0 P0C1S8
O76031 Q6NXG1
Q8WWV3 Q8TCJ0
Q9NVV4 P52701
P18848 Q02535
P59103 Q9HCU8
O15370 Q8N983
Q9H6S3 Q8TAU0
P14859 Q02153
Q9BY32 Q02086
Q9NR19 Q9Y5Q8
Q9BUJ2 Q9NYK5
O75170 O15156
P21673 Q9H2W2
Q16612 P62805
P46063 Q9BU02
Q9UGK3 Q15466
P14859 Q9BXI3
O60239 Q53HV7
P56277 Q12946
Q16514 P19878
O00142 Q13118
Q92844 Q58WW2
O43679 O00471
P57053 P78540
P15407 P14598
Q16643 P34059
O14776 Q9HC29
P50990 P17481
P06400 Q9H5Q4
Q96JJ3 Q9Y2U9
Q9Y297 O95926
P49753 Q8TCJ0
Q9HCU8 Q9BRV8
P49589 O60481
P00325 Q3YBR2
Q9NSY1 P10155
Q15424 P42679
P54577 P26651
Q8N4E7 P41212
P0DMN0 Q06413
Q9UPY3 Q86UU0
Q92748 Q9H2J4
Q8TE67 P19622
Q6PGN9 P33076
Q8N9N2 Q9H147
Q13461 Q9BUT1
Q9Y4H4 P09017
P20936 Q03828
Q9Y4H4 Q92565
Q8N4X5 P15976
O76039 P15428
P68104 Q9H4I2
P15559 Q00987
Q9Y216 Q05516
Q9Y6X8 Q2VPK5
O43504 O43719
P82912 P14921
Q8IZL9 P23921
Q8IVS2 Q9HCD5
Q9Y6K8 P54132
Q9NRV9 Q14863
P51114 Q99581
P20591 Q8IUE6
Q09472 P11586
Q13156 P34897
Q08752 Q9UNS1
P07686 P37108
Q12951 P51970
Q9H9S0 Q06520
Q9NQR4 O00267
Q9HBE1 P15104
Q92844 Q5XKR4
Q9BUT1 P23771
O94805 Q9UPY3
P08319 Q14190
O75828 O00311
Q99733 Q9UPY3
Q9BY32 A6NLJ0
P0C7P1 P29353
P29353 O60508
P60484 O94782
Q9NX09 Q15544
O00115 P50120
P06454 O14618
Q12933 Q13426
Q9UHN1 Q14686
P0CG12 Q9NZE8
Q9H6S3 Q96SD1
O75586 P11586
P40925 O14593
O75363 Q8IXQ5
Q02363 O00743
P52566 P05164
Q07960 O14503
Q92871 O95639
Q9H257 P30307
Q8NFZ5 P11473
Q08257 P09884
Q6DRA6 Q76N89
Q08495 O60481
Q12933 P31275
Q02535 Q68J44
P55854 Q86Y25
P43694 Q9H765
P24298 Q99990
O76031 P23760
Q9Y618 Q13126
Q5H9F3 P18054
O75828 P28347
Q16670 Q8WVN8
P07327 Q16633
Q13285 P07451
Q96EK5 Q92966
P25398 Q86UU0
Q8IUQ0 Q9BXL5
Q9NT62 P56282
O60356 P29353
P13686 O43504
P49736 P24941
P35900 Q9UBC0
Q9BYD2 Q9UMQ3
P46063 P33402
Q9BWD1 Q05516
P46063 Q9BRV8
Q8IXF0 Q9Y291
P15374 P30307
O43542 O75771
Q9BYC2 O00267
Q969P6 Q13415
Q96MH2 Q6PGN9
P35790 A0AVK6
O14618 Q8IU81
P15374 Q13761
Q6DN03 P46439
Q9Y6K8 Q8NHV9
O43680 O95749
Q9UPV9 P35558
O96020 Q6P1L8
P09067 P22531
Q06520 Q9H611
Q8TF40 P17861
P43268 Q92844
P31276 Q96LI5
P55316 Q00059
P49589 Q9BPZ2
Q9UGL1 O75648
O00743 Q9Y3E1
Q92793 O75879
Q5MJ70 Q9UNE7
P12956 Q96RG2
Q8IUE6 Q9UPY3
P61769 P78358
P38646 P35680
O43541 Q9P2Y5
O14920 P08579
Q96JB2 Q9Y2V7
Q9BSL1 Q13426
Q9UK76 P42574
Q02108 P17096
P23381 Q15233
P51948 P49914
P21291 P82663
Q7L7X3 Q99590
P18847 Q9H0A6
P30419 Q9UNP9
Q15327 P06132
P26583 P05089
Q8IUQ0 Q9UHR5
Q7L3B6 P05412
P32119 A6NDE4
P04553 P11766
Q9Y4A5 Q9H4A3
O75526 Q07960
Q15102 Q9H4I2
P15104 Q9Y657
Q02535 Q93096
Q9BXL6 Q01196
Q9Y6M4 Q96T76
Q8IXM3 Q12947
Q13610 Q9HCP0
Q9BV36 P06280
P15918 P82932
Q8WVM0 Q9Y2P7
O75132 Q8N142
P0C7P1 Q9UJM3
P14061 Q9UBE0
Q6NYC1 P00325
Q9BT17 Q9C0J8
Q96JJ3 Q9NX70
P27695 P30626
P17900 P51970
Q5XPI4 P18146
Q9UH92 Q93096
Q9P2Y5 O95071
O14713 Q969S2
Q14914 Q5U623
Q9HCN4 Q16520
P22681 P48382
O95361 Q9ULZ3
O60678 Q9NPC7
Q8WVY7 P49411
P14061 Q15744
Q08495 Q8IXQ6
Q6NUP7 Q96A08
Q8IXQ5 Q7L0Y3
Q7RTR2 Q99878
Q9HD33 Q96EG1
P00915 P28069
P18440 Q9C0F3
O60678 Q14781
Q9Y463 Q14106
Q9H9Q4 Q96TA2
P54132 Q8IXM3
P83111 Q15910
Q9UKI8 Q07960
P19388 Q9Y2T1
P43694 Q14678
Q15424 Q9Y6M4
Q9Y3B7 P06280
Q9UKF7 P19532
Q9UI32 Q9Y5Q8
O75461 P63302
Q13107 Q9H4Z2
P51580 Q00444
Q9BSE5 Q96PN7
Q9GZZ1 P18846
Q68CP9 P22532
Q9UD71 P28324
O94993 Q9NZE8
Q6W2J9 P78540
P35244 Q9Y2D0
O75586 Q9UPY3
Q2PPJ7 O60381
P0C7P1 Q96AA8
Q9BY32 Q15349
P59103 Q9NWT8
Q9BZL1 Q00403
Q96S96 Q8N9N2
P41002 P49406
Q9NRN7 O43513
Q8TAD8 P53384
P39023 P08579
P12104 Q02556
Q7L3B6 Q9H5J8
Q14106 P06865
P48729 P18074
Q14186 Q99819
P78368 O75526
O14920 Q9P2Y4
Q92665 O60264
Q96M27 Q9UGL1
Q12800 Q9BYD1
Q16719 O15178
Q9BT17 P24468
O43143 P08729
P43004 Q15050
Q13356 Q9BV79
Q15572 Q03154
Q9NVU0 Q9H2W6
P48730 Q8NFW8
Q9UPY3 P15586
P08579 Q9Y238
Q12849 P47928
Q8TF40 O95990
Q9Y3B2 P42285
P82664 P26368
Q15562 Q9NP74
Q9Y4B6 O60381
Q06547 P55212
Q8N1G1 Q07020
Q9BYD2 Q9Y6J0
Q14651 Q96AZ6
Q9H2S9 Q8IWT3
P35900 P09430
Q15543 P05413
Q9NWF9 O95696
P42785 P04183
Q14999 Q12824
Q99469 Q9H7Z6
P41279 Q9UMQ3
Q92665 O95926
P49753 Q8IZL9
P24278 Q9Y239
P32314 P62269
O60678 Q12837
P49888 P09884
Q92664 Q9H0U6
Q16695 Q9HD40
P00492 Q8NCU7
P13639 P84103
P61244 Q9NZE8
Q8N9N2 Q9UGP5
P30307 P21399
O15235 Q9Y5Q9
P55084 P52756
Q16772 Q86U86
Q96A08 O14641
Q8WVM0 Q96AV8
P47874 Q8IZT9
Q9UJM3 Q96LA8
Q9BX63 P07451
P62316 Q6XE24
Q9H3D4 Q9Y238
O00170 P21675
P48730 Q03052
Q8IVS2 Q9H7Z6
Q92844 Q6W2J9
Q8IVL1 P16949
Q9NRV9 Q12857
Q13795 Q12824
P14868 Q15853
Q8IWZ3 P41212
O75570 Q9Y2U9
P30838 P16455
Q9NWF9 O43913
Q12815 Q01459
Q9P2K5 P39023
P07686 Q9Y3D3
P63167 P15408
O95405 P57053
Q9Y238 Q9HBE1
Q96P71 Q06413
Q9Y6P5 Q9NNW7
Q16633 Q13637
Q9H5Q4 P12004
P46199 Q13487
P83111 Q8IXQ5
P35558 P10827
Q8WXC3 P17947
P49335 Q9NR20
Q8WXC3 Q9Y5K3
Q9BYN0 O14862
O95786 Q93079
Q5VZM2 D3DTV9
P51116 Q9NZC4
Q2M3C7 Q15072
Q0VD86 P51114
Q13362 Q8TCD5
Q8TDY4 Q12837
Q96AA8 Q9NQX1
P63167 Q7LDG7
P52888 Q9H147
P48729 P20933
Q9H3D4 P49638
Q04727 Q8WVN8
O43182 P08579
P49789 Q15853
Q15911 P15104
Q92844 Q9H1E3
Q92871 P56915
P53634 Q13310
Q13547 O15217
Q9UKU7 Q02447
P55084 Q9GZP8
P40925 Q16560
Q9Y657 Q96LI5
Q9BY32 P52435
P41161 P53677
Q9H3D4 Q8WUN7
Q8WVM0 O95639
O94768 O43182
P35638 P23381
Q06124 P51688
P31327 Q02535
Q9UBK2 P00326
O43143 Q12815
P57723 P04908
O14727 P15918
P31267 Q9P278
Q9H5F2 Q96I99
Q9NRN7 P25774
Q9Y216 Q9UBE0
P23378 P58304
Q9UHX1 P62879
Q99819 Q8WWL7
P55039 P83876
Q9H4I2 Q00169
Q07812 P51572
P07741 Q8N165
P78371 Q99581
Q6UB28 P42785
Q99880 P59046
P31937 P16402
Q05952 O76094
Q969Y2 P09430
P62937 P62304
O75446 P16949
P13995 Q969S2
Q8N5F7 Q96QG7
P30626 P19622
O95751 Q6PGN9
Q9BUE6 Q16587
O43307 Q71DI3
Q8NFW8 Q9UHD2
O75643 O43447
Q96G01 Q02539
O75394 Q99626
Q04828 P19793
P15121 Q02386
Q9Y2J8 P14652
Q14119 Q9HCN2
Q96BP2 Q9BYN0
P45877 P09016
Q7RTR2 Q9GZZ0
O14981 Q05209
Q9NRN7 Q9H611
Q9NT62 Q9BTP7
Q96TA2 O60682
P08263 O43316
P24278 P13797
Q8N1V2 Q86WB0
P49640 P34897
Q14209 Q9BZE1
P52701 O75251
Q9H211 Q9NYS0
Q9P032 Q9UID6
Q9Y6G3 P23527
Q96JN0 Q9BR61
P30048 Q14781
Q13952 P53004
P50135 Q9UBC0
P24928 Q8N7A1
P46459 Q86TM3
P13797 Q15393
P34896 P16401
Q9UBW5 P42785
O95551 Q9UI17
P68431 P46439
O60239 P61218
P11831 P25398
Q9BY32 P21291
Q9BYC2 P26599
Q8WUN7 Q03828
Q9UKI9 Q6XUX3
Q9Y535 Q00059
P78371 Q9H4Z2
P03372 P00338
Q13285 P24666
Q9HCS4 Q9H6S3
P48643 O60675
P50897 P11245
Q5TCY1 Q8WXA9
P49335 Q04828
O14561 Q6UB99
Q8NFG4 O60508
Q8N1V2 P28370
O15156 Q96P71
Q9BTM9 P26599
P24666 P04908
Q13547 O14920
P0DP25 Q9NQX6
P98170 Q13568
Q5QJE6 P16152
O60477 Q9UHR5
O15540 Q02447
Q9NT62 P31271
P29558 Q9BV36
Q5JY77 P30876
Q16698 Q86V15
Q8WXU2 O43819
Q92665 Q96T88
Q09028 O75170
Q6B8I1 Q3ZCT1
Q15173 A0AVK6
P68431 P49406
P29353 O60231
Q09666 P07327
Q9BUJ2 Q9BYD1
Q99612 Q9UI32
Q7L7X3 Q9UBR2
P68402 Q9C0F3
P42765 Q99801
Q9NY74 Q9H4I2
Q8IXQ5 Q8N4X5
Q8WUA4 P13489
Q13573 P54098
Q9Y5Q9 Q8TCD5
Q05923 P55212
Q70SY1 P25963
Q9NRJ4 Q9UBU7
Q92871 P06865
O60239 P27540
Q9Y4A5 Q9UDX5
P82909 O60671
P29374 P49589
P35326 Q15906
Q01064 Q9NX01
Q8IXF0 O43819
Q96AV8 P10599
P53396 Q9NVW2
Q8N1V2 Q15560
Q96KF2 P46952
Q9NS39 O14727
P43235 P82933
Q10587 P23921
Q8WU20 P61587
Q9BYN0 Q15029
O43680 Q02108
Q9Y4A5 Q16540
P17174 Q14696
Q8TCE9 O60760
Q9Y295 Q15560
P08319 O75132
Q99594 Q96T66
P29558 Q9NRN7
Q9UDX5 Q9H1Z4
Q8WYA1 P32119
Q15415 P49411
Q15329 P62917
P42765 P62995
Q9Y234 Q9UI36
Q76N89 Q9NR56
P20132 Q5QNW6
O00338 P47902
Q16773 Q8TE85
Q8TAQ2 Q8WWV3
Q9BRV8 Q9Y2X9
P49716 P15428
P21673 O75971
P13693 Q10586
P27708 Q8WTS6
Q02535 P30711
Q9P278 O60315
Q9NZC4 P22532
P17535 O00142
P17516 Q15072
Q12962 Q9HBU6
P61964 Q8IWT3
Q9UHV7 P09001
Q13310 P17947
Q8TE04 Q9H9S0
Q9BXI3 P40692
Q99594 Q9BYD1
O15178 Q6P1L8
Q9GZZ0 P46439
Q8TCD5 Q92922
Q7Z569 Q07869
O75880 P35638
O75570 O43913
O75363 O15178
O14727 Q06413
Q6PJT7 O43182
P11766 Q15853
Q14032 Q12824
P55854 P21246
O94768 Q9UPP2
Q9UPP2 Q86V15
O00764 Q9UNS1
Q12931 Q3ZCT1
Q9Y6R0 Q53HV7
Q9UM63 Q9BYN8
Q9H9J2 P78527
Q9NP74 Q9NQX1
Q04828 O75150
Q5JY77 P51826
Q96IV0 Q5QNW6
P25205 Q9Y2Q9
Q9UKF7 Q93079
Q15185 Q9BUL9
Q9NZI7 P40261
P21266 Q99879
P15918 Q6PRD7
Q9H257 Q08999
Q8IVL1 Q99551
Q15102 P08236
Q9BZQ8 O60284
P42574 P47902
O14924 P29144
Q16540 O94782
Q9BZQ8 Q01664
Q9UI17 Q01658
P98170 Q9BXL5
Q8WZ19 Q96A58
O95931 P07864
Q15173 O96028
P49411 P62316
Q8IXQ6 P40261
Q9UEE5 Q9NYK5
P40939 Q15329
Q9BZL1 P38571
Q9NZE8 P11473
O75529 P17706
Q9BT17 Q15573
Q9HAW0 P51580
Q06945 P42679
Q9Y222 O75170
Q9BYN0 Q9UHQ1
P55157 P56277
P53004 P14651
Q9UKI9 Q8WVN8
P41002 Q16548
Q96CS3 Q8NDX5
O75526 Q13405
Q01196 O75170
P00492 Q02962
Q15562 Q9BYG8
P0C7P1 O00142
P22415 P25325
Q96CS3 Q15233
P14859 Q9UGK3
O95751 O15540
Q9BPZ3 Q6STE5
A6H8Y1 O43819
Q9NZD2 Q53GS9
O60563 Q96PU5
P20719 Q96G01
Q9Y6M4 Q96AZ6
Q9Y3D3 Q13526
P27708 Q9H2F5
P47874 Q6ZYL4
Q16740 P01106
Q8TCE9 Q99707
P13631 Q58A44
Q12873 Q7L311
O95639 Q9Y238
Q9H0E9 Q14894
Q9UHD2 P06899
O94864 P15104
Q13107 O14901
O00764 Q13461
O94913 Q7RTR2
A6H8Y1 Q96G01
Q16773 Q9NPI8
P09210 O43364
Q15022 O00142
O60941 O14497
Q99956 Q96JB3
O75446 P20807
Q9NV56 Q96PU5
P35900 Q96QR8
Q8WVM0 P10074
P50213 P09630
Q6NXT2 Q8TDY4
Q8WVM0 P29558
Q9H9S0 P06132
P24298 Q9UNY5
P03372 O75534
Q9NYS0 Q8N257
Q9NR19 Q6ECI4
Q8N5A5 Q06520
P48730 Q96AJ1
P15374 Q01664
Q14204 Q9C002
Q8WXU2 P52888
Q9UK76 P12277
P24298 Q15573
P43268 Q9UHD2
Q9P032 Q86Y25
P00338 Q13569
Q16537 Q9NR55
P82921 O75971
P35269 P57723
P68402 Q9H0W9
Q9UBR1 O60315
P18858 P49914
Q14032 Q8IY57
P21675 P11245
P33402 P25774
O14593 Q16698
P22681 P08048
Q9Y5X4 P50120
Q13867 P08236
Q13568 P54868
P25205 O43819
Q92785 Q8TBX8
Q9UJM3 Q9C002
P14868 P11161
Q9Y399 P61218
Q49A26 Q6B8I1
Q8WUN7 P17050
P49675 Q96AV8
Q6UB99 P30711
Q14678 Q5VTD9
Q6DN03 P09455
Q9HAZ2 Q9NR46
P29218 Q14562
P35637 Q9H2J4
Q2M1K9 O75534
Q96G01 Q9UL17
P57723 P53634
P13010 P54136
P14598 P10244
Q8WYA6 Q9UGK3
Q9UKI8 Q5EBM0
P49005 P29144
Q9UKU7 Q9Y6P5
O95405 P51532
Q14106 O00267
P53384 Q9NPI8
Q9H211 Q14914
Q8NFG4 P26599
P14061 O95071
O00716 P26441
Q9Y6X8 Q9UKU7
Q9Y535 O75534
Q9NSY1 P82650
P30260 Q68J44
O60678 Q9UBC0
O75828 P52655
Q9BY32 Q07869
P24278 P52888
Q9HBU6 O75030
P98170 Q01851
P19532 P48147
Q99612 Q96AA8
Q8N3C0 P37231
P62318 P13798
P27695 Q9H257
Q13126 Q9Y2Y9
Q9UEE5 P10599
P49675 P52657
Q16698 P83369
P61244 P59103
P35244 Q9Y6K8
Q99551 Q9UFW8
Q9NSY1 Q8WWV3
Q9Y2U9 O14713
Q9Y234 Q9UHR5
Q16576 Q9Y4H4
Q8TAQ2 Q8IUQ0
P39748 Q9NX09
Q07960 P06280
Q969P6 P14653
Q9NZJ9 Q69YI7
Q15424 P47897
Q49A26 Q8WXI4
Q14678 P49917
P52888 P40692
O14618 P26599
P27708 O43913
P82932 Q9H2F5
O15169 Q14863
P0DP25 O75175
P26639 Q5VVJ2
P49842 Q9BU02
Q15424 P59942
P20807 Q99081
Q9Y2T2 Q9BS31
P26441 P18074
O14862 Q9HD34
Q9BYD2 O43593
Q99757 Q96LT9
P62937 Q15910
Q8WWV3 Q8N9N8
O95405 P23511
Q16828 P28358
P23297 P04066
Q05048 Q9Y3E5
Q9H6S3 Q86WB0
Q8WYA6 P53779
O76039 Q3BBV0
P41235 Q16537
O43364 Q9HD34
O75170 Q9Y3E1
Q9H2W6 Q13568
P27708 Q15022
Q9NRJ4 Q96AV8
Q8WVM0 Q9NQX1
O14776 P83881
P30711 P26367
Q9ULG1 Q14651
Q8NFW8 Q05209
Q9H2S9 Q8TBX8
P21675 Q9UHD2
O43148 Q9H6S1
Q99626 P18085
Q8WUA4 P13797
Q9NZD4 P49715
O14561 Q10587
Q969K4 Q86UE8
Q14914 Q6NXG1
Q7L3B6 O95990
Q14651 Q13426
O96020 P52566
P50897 Q9UBC9
P20807 P52655
O43182 P07711
Q9C0J8 P35270
Q9H9J2 Q02241
P28702 Q96GX9
P51948 Q9H765
Q9NP74 Q99967
P17480 P68104
Q02363 Q9P0M9
P48643 O14981
P35321 P10074
Q15291 Q8N7A1
O95405 O75971
Q9NYS0 Q14181
P35900 Q96L73
Q15916 Q9NP86
Q13794 Q53H80
Q96AA8 Q15697
Q9Y5N6 P12081
O60936 P84103
P27708 Q15723
O43543 Q9UBC9
Q16576 Q14999
Q8NFW8 Q06520
Q9UDX5 Q13595
Q99487 O95125
O15540 P26358
O43504 Q9NXR8
Q96SD1 Q9BYD6
P49914 P05549
O95379 Q96AZ6
Q13362 O75936
P54136 P28702
Q9BT17 Q0VG06
Q86Y25 P00326
P24864 P21695
P10253 Q9BW04
Q9Y2Q9 Q53HV7
Q92665 Q05048
Q96PU5 P37275
Q6P1X5 P00915
P82909 Q15916
O60675 P49789
P63272 P23921
Q9BTM9 Q16520
Q9Y2T1 Q12962
P0C7P1 Q08752
P50135 O75607
Q9BXL7 Q9H7Z6
P12104 Q13889
P50120 Q03181
P50453 Q9H1E3
P35236 Q13523
Q5SW96 P52926
Q96G61 O00462
Q13085 P10071
Q96NW7 P53567
P31327 A6NEQ0
Q96RP9 Q9H2S9
Q16613 Q96AZ6
P07148 Q12824
O60678 Q93079
Q8N1G1 Q96HU1
O75880 P31273
P83111 Q9Y5Q8
O60678 Q9UIH9
Q9UKF7 Q00444
P35236 O94805
Q8TAD8 P62495
O75891 P17947
P48729 Q8WTS6
Q8NFZ5 Q06416
Q9H0C8 P37275
Q5VUA4 Q16698
P18054 Q92826
P17275 Q9P0J6
Q99757 Q8IUE6
P07451 Q9NV88
Q16254 Q96AA8
P59044 Q13123
Q9BZL1 Q02447
Q9BUJ2 O75343
Q7Z569 P55895
P31275 P50453
Q12962 P82663
P35326 P35452
Q14894 Q9NQ92
Q16740 P41212
O43248 Q9BUE6
Q9NX20 P16401
O75570 P43235
Q6DRA6 Q96T66
Q9NS39 Q16698
O00716 P78358
Q9BWT3 Q8IX03
P27694 Q6XE24
Q9Y3B7 P54845
Q8TCD5 P63272
P30048 P28347
P09017 P23297
Q9BPZ2 Q9H0C8
Q5THR3 P52566
Q99819 P43235
P53634 P15104
P84022 Q01094
A0AVK6 Q03013
Q5H9F3 P32119
P37108 P83876
P20592 P48382
O43325 P48200
Q96JJ3 P63272
P51398 Q99877
P78368 Q02080
Q969Y2 Q96N77
O75880 Q16560
Q58A44 P25774
Q6UN15 P40227
P22681 Q9UK76
O15370 Q16773
P42574 Q9NVR2
Q15915 P09455
Q13795 Q99590
P25963 Q92730
Q9NR19 O14776
P49335 Q9NR46
P35754 Q5QNW6
P48200 P05549
P07195 Q13416
P13798 Q15596
Q9UHH9 P49914
P51649 P22492
P0CG30 O14981
P13796 Q9UFW8
Q9UBC3 Q9NYK5
Q9NZI5 Q13126
P38571 Q9HD34
P19532 P82921
P62269 Q99990
O14618 P09630
Q9Y4Z0 P62310
P14678 Q9HD33
Q96G01 Q92522
Q8WVN8 P41134
P51649 Q99590
P17676 Q9NQI0
Q9Y2V3 P22061
Q96RP9 Q5T6S3
P12081 Q15054
O14561 Q15319
Q5TCY1 Q86Y25
P20671 P53384
O60264 P04183
O43837 Q13569
Q9NP97 Q96JB3
P46199 P17861
O60477 Q92908
P26639 Q6NXG1
O15379 P49888
Q9Y5Q9 O95379
P18440 Q15466
P43268 P22531
Q16254 P53597
Q9NWF9 Q9NYW8
P06732 P34059
P82909 Q9NP71
Q99956 Q9BX63
Q9HD33 P17405
Q9NX70 P35325
P07741 P41229
P54098 Q13029
P78358 Q8N257
O00170 P29084
Q9Y2D0 Q8WVC0
P22061 Q15573
Q9GZT8 P04198
P13984 P05787
P28358 Q16643
O14727 P17096
P55084 P62995
P01040 O43719
Q92871 P12524
Q99819 O60508
O75132 P10599
P82932 Q00403
Q9UHL9 O95749
P12755 O75534
P18440 O94906
P36957 P49917
P25398 P23409
Q8IUQ0 P30307
P09210 P09017
P25963 P62879
Q9NZJ9 O60671
Q6PGN9 O15514
Q15185 Q86UU0
Q8TDY2 Q9BWD1
P45877 Q71DI3
Q13886 Q9H0A6
Q9BRV8 P26651
Q9BX63 Q9BSL1
Q16854 Q13118
Q96P71 P49848
Q15906 Q9H0C8
P50539 Q92844
Q96IV0 O60671
P48730 Q9UBK2
Q9UEE5 P05413
Q15185 Q92759
Q8TCD5 P23511
P15173 P21695
Q13952 Q9UD71
Q13888 P13796
Q13405 O94805
O94864 Q9BYN0
Q8WWV3 Q99638
Q9Y2J8 Q6ZRS2
Q15173 P08047
O00311 Q6XUX3
Q3BBV0 Q8NCU7
Q6UB99 P35325
O75891 P23760
Q9UKU7 P31269
Q9HAZ2 P59942
Q6ECI4 Q6XE24
Q14152 Q92664
Q9NVU0 Q16851
Q92748 Q9H257
Q8WTS6 Q96HU1
Q96QV6 O75648
P09001 Q9BWW7
Q15306 Q08257
Q8IWZ3 Q9Y5P8
O60760 O95243
P17676 P35325
P04183 Q9UKF6
Q96S96 P09936
Q16143 A6NEQ0
O43679 Q9UKU7
P27694 Q14106
Q6NUP7 O75506
P08319 Q92966
Q8NFG4 Q9Y6J9
Q6P1X5 Q9UGK3
Q99626 P52815
Q8WYA6 Q9BRV8
P08263 P61218
Q8TF76 Q9P2W6
P48729 Q86XK2
Q9HCY8 A6H8Y1
O60711 Q9Y657
P78337 P00338
Q86V15 O76094
P41252 P41225
Q14204 Q92522
P45877 P06865
P56277 P10276
Q8NFG4 P38571
P16401 Q9Y3B7
P49638 Q8WXA9
Q9Y463 P46439
Q9GZP8 O95154
Q9Y676 Q969F1
Q8IXM3 Q7Z591
P17661 Q9UKI9
Q16540 Q71DI3
Q9Y618 Q9UJM3
Q13162 Q9UKN8
P55854 Q9HB96
Q9P2W1 Q16540
Q9NX01 O95848
O95405 Q9HAN9
Q9P2W1 O75170
Q5VZM2 O95600
P21399 Q96T76
Q93077 P52815
Q02108 P09430
P00338 P20933
Q9NY74 Q9NZC4
O94906 Q14894
Q14781 Q9Y3D5
O75593 P15428
Q08495 P62487
P48730 Q92560
Q9NQ33 P15374
Q8WVN8 P49917
P68402 Q9UGP5
P35244 Q99487
Q9Y399 P09661
Q15329 P14598
Q8TE02 Q13118
Q8WVN8 Q9GZR1
O60783 Q9BWT1
Q8TCS8 P61218
Q15080 P56282
O43182 Q9BXL5
O95405 P28340
O75506 P08729
O60239 Q99877
Q96S53 O95379
Q15744 Q14790
Q14678 Q06710
P31276 P52888
P49914 O75030
O00764 P52435
Q12815 Q69YI7
Q02153 Q01543
O15235 O14862
O95749 Q8TE85
P20591 P54803
O75526 Q9UIV8
P16383 P12081
O75563 O15151
O15091 P19622
Q9BTM9 Q9NP71
P30291 P62917
P20132 P49184
P57723 Q01543
P18440 Q9H9S0
Q8IXF0 P17174
P23769 P46783
Q07973 Q6ECI4
Q96KN3 Q9UPP2
Q9P032 Q99684
Q9Y6G3 P51784
Q9BUQ8 Q16543
Q8NFH8 P34059
Q96BP2 P15374
Q8TF40 Q9H2W2
Q15583 Q99558
Q8N1G1 Q9NNW7
P82664 Q9NZI6
P53779 P09430
Q13115 P00326
P61970 Q13523
Q9UBW5 P17050
P35638 P50453
Q5VUA4 O95379
Q6P1J9 O14713
Q9NR19 O60381
Q8NFG4 P12004
Q01581 P06280
P52815 P31273
P00441 Q99549
Q8WYA1 Q8N183
P28838 Q9BWE0
P11473 P15121
P29466 Q12873
Q15024 P42285
Q16828 O95248
Q12800 Q9BPZ3
P18054 Q96JP5
O00267 P00352
Q9HD34 Q969S2
Q49A26 Q9H4A3
Q99801 Q6UB28
O60477 Q58WW2
Q8TE02 P26599
Q07617 P09016
P09234 Q96PU5
Q9BPZ3 Q02241
P50570 P52735
Q9BUQ8 P23378
Q14781 P52815
P51553 Q96KF2
Q9BYN0 Q8WWL7
P53677 O60264
P07195 Q8WZ19
O95931 Q9BZL1
P39748 Q9BU02
O14727 Q15319
Q14188 Q14106
P35637 P56277
Q969K4 Q96A08
O14920 P52926
P07451 Q15910
P17480 Q14894
P22061 Q15916
P55039 P52655
P62316 P78358
O75570 Q92949
O75170 P28340
P49335 O00142
Q15596 Q9HCN2
O43679 O00142
Q96KN3 Q9P0J6
Q9UBR1 Q93077
P17480 P00492
Q15466 Q9Y6M4
P35244 Q13637
Q01064 P37275
O75936 P10243
Q92871 Q6PL18
O94913 Q9NR19
P55854 P15289
Q969P6 O60231
Q8IUQ0 P21291
O43679 O75891
Q96PC2 P04053
Q9BYN0 P58304
Q6UB98 Q8TDY4
Q9NVP2 Q8IWT3
P51553 O75503
Q03989 P35325
Q9NSY1 P28838
Q9UHQ1 P82663
P12081 P06280
P17900 P13797
Q9HD33 Q00056
P18858 Q9P0M9
P16383 Q96RP9
Q68DY1 O75175
