P20226 Q9BW71
P02751 P12004
P19012 Q92597
O75581 P56693
Q13077 Q9GZX5
Q9Y6K9 Q9NRN5
O14733 P06493
P62491 P05161
Q13526 Q86UN2
O15198 O14964
Q8TC90 P54105
P35251 Q16478
P07585 Q9Y580
P09619 P18545
Q07869 Q9UD71
P00750 Q01955
Q03405 P04437
Q07817 Q7L5N1
P67870 Q13322
Q14134 P50402
P33151 P62330
P30519 P01111
P41220 Q9NQW7
P54259 Q8IYI6
P28482 O95630
O14617 Q9H0B6
Q5JVS0 Q9Y3C7
P01375 P09466
Q96ID5 O14788
O15392 P09429
O60260 P06748
Q13416 P35626
P10275 P26006
O60447 Q13021
Q96G25 O60220
O14757 P35222
P12931 Q92824
Q92731 O43597
P27824 Q16595
Q15645 P19021
Q15796 Q9HCU8
Q6P1J9 P61586
P63104 P31749
P33981 P04053
O43184 Q9H4G0
P08581 P12644
P07585 P18428
Q8IWU2 Q9BPZ7
P35222 P19174
O75962 Q04771
Q7L5N1 P52797
Q96HR3 Q9NQX3
P15976 Q96SB3
Q04771 P35869
Q06124 P08047
P34932 P98082
P49841 Q13177
O15162 Q9Y2I6
Q96NW7 P25963
Q12933 Q9NVP1
Q969T4 P40937
P24864 P16471
Q15047 Q9Y4A5
Q92900 Q9NSC5
P00533 O95251
P07333 Q15399
P00918 P24530
P02708 Q8NA61
O14576 Q9UNE0
P25940 Q15276
Q09472 Q14416
P51617 O95831
Q9Y3Q8 Q9H3N8
P52926 P11171
Q05586 P16035
Q05655 P52434
Q8WYK2 Q7Z444
P42680 P10145
P38398 Q7Z3Z4
Q9NR33 Q9Y6V7
Q9NTJ5 O60683
Q15366 P42330
P09564 Q15154
P06400 P01024
Q15464 Q96KB5
Q96PN7 P25789
Q9H257 P18054
P06454 P12272
P16070 Q9P1Z2
O75446 Q9P2M1
Q13571 Q8IYB3
P10586 O43184
Q15173 O14933
O00291 Q15020
O43639 Q9H2G4
P33240 P42226
P35568 P25963
P27986 Q92793
P60953 Q92838
P51116 P61601
Q04724 O60315
Q92835 P30154
Q9BQ66 Q5JY77
Q06587 Q9Y4K3
P55771 Q9NRR5
Q9HAW4 P01730
P10721 Q15544
P22307 P19876
P0DP25 Q9NQC3
P48634 O96006
P19793 P62736
P51116 P07910
Q9NRD5 Q96CW1
P50995 P80108
P63167 Q9UKA4
P48051 Q6ZN04
P17612 Q14209
Q92731 P41240
Q9NPC2 O60331
P04626 Q9HAT8
Q14573 Q9UPY8
P29317 Q9NZN9
P04234 Q9Y446
P21926 O94986
P04141 Q9BV20
O15399 Q5T5P2
P28482 P33151
Q01826 O15399
P09234 Q13356
Q15796 O43353
P42574 Q9Y6W5
Q99836 P49336
Q13362 Q5SXM2
P98155 Q9GZR7
Q9NRR5 P98095
O60895 P49765
P0CAP2 P02679
Q12933 P63261
O00161 P52735
O60264 Q9BQY4
Q00403 Q13393
P52333 P52948
P06239 P09086
Q9BQY4 P41143
Q04759 P04350
P17612 P56945
P11226 Q8IU60
Q9P2W1 P49901
P23258 P08151
P53365 Q99972
P68400 P07711
P38432 Q8N668
P13010 Q9Y2A7
Q9UKY1 Q9HC35
P61244 P61278
Q8N8S7 Q08345
Q99569 Q13503
O75197 P25686
P31431 P04637
Q8NHY5 Q9UM54
P31327 Q53EZ4
Q06547 P60484
Q92904 Q5JTZ9
P61764 P52824
Q13547 P62993
Q92900 Q9Y4K3
Q12933 P40189
Q9Y3Q8 Q5RKV6
P49792 Q7Z6M2
Q9UQ13 Q9BS16
P08631 O94772
P52655 P08237
P08069 P68400
P54132 Q8NE01
Q9NYB9 P52564
P02751 Q9NRG1
P29475 O15126
Q76N89 Q9ULB1
P53778 P16473
P53041 Q13224
P30291 O15164
P08581 P20226
O60674 P14859
Q13489 P27701
P63261 P31689
P29350 P47813
P63167 Q01851
P63096 P11142
P24666 O94972
Q99418 P01100
P15391 P14410
P17252 O75553
P54253 Q13002
Q504Q3 Q14141
Q13432 O14544
P61218 O14654
Q9UHB4 Q9NRY6
Q16695 Q9BPX7
P0DP25 P41743
P0C0L4 Q00839
Q96L73 P07942
P50453 P60568
Q05586 P24592
Q06455 Q96HA8
P27986 O15116
Q15788 Q7L5N1
Q13547 Q9UBZ4
Q12933 Q9NR55
Q9NR12 P13569
P19784 Q9H9D4
P17509 P17927
P61981 P29972
Q01094 O96017
Q9Y2L1 O00212
P08069 P16144
Q8N4C6 P49721
P17252 Q07955
P11831 Q16637
Q15654 Q96LC9
Q12955 Q9UBI6
P49736 P51692
P23258 Q96DW6
P62736 A5PKW4
P23458 Q8IWL2
P08670 P10114
Q14289 P19387
P33151 Q13618
O00470 Q9UKV3
P84085 Q9NQB0
Q9Y620 P35908
P19174 O60942
Q9HCN6 P14780
Q12778 O60315
P78314 O15209
P30533 Q9NP31
O60383 Q15424
Q16799 P35716
O15379 P00533
O75381 A5D8V6
Q15834 O75293
Q9UKY1 O60831
Q15648 P16112
Q01082 P43007
Q15633 P08F94
P63165 P42704
P19174 Q8IUC6
P04637 Q7L622
P04075 P29992
Q05193 Q92529
P05106 P48023
P63244 Q70EL1
P04278 Q9UKW4
Q05048 Q9NRA8
P10828 Q99623
Q9Y3F4 Q92624
O75928 O15533
Q9BVJ6 Q53H80
P02792 P37275
P19338 Q92834
Q06413 P10523
P08581 Q7LBR1
Q07869 P07948
P35568 P30988
Q06124 P62993
P42574 P09429
Q2M1K9 P62258
Q07666 Q9NVW2
P61201 Q14644
P27361 Q7Z494
O43261 Q9BVV2
P15927 P51677
Q6UWE0 P23771
Q15700 P22415
Q96RL1 P46821
Q9NZN5 P14625
P17252 O43924
P46100 Q56P03
P27986 Q8IW41
Q92793 Q92843
Q9GZR7 O00253
Q92609 Q13724
Q13485 O43684
P05412 P22415
P41279 P00736
P38398 O43639
P02751 P35251
P56945 Q9BTV5
P12931 P52565
P53350 O75530
P38398 P50402
P35462 Q6UB99
Q15797 Q9UHA4
P35222 Q5TD97
Q09472 Q02410
P24468 Q9NRW4
O60494 P46934
O14802 O75817
Q00587 Q9NX61
P17252 O43823
Q8IW41 Q13224
Q96NW7 P39748
Q04206 P35658
Q15139 Q9BVJ6
Q13002 Q03113
P31946 P16455
Q16288 Q6VY07
P05771 P29323
Q8N0X7 O15524
P02647 Q9BXS5
O15230 Q96KP4
P56524 P07996
P19429 Q8N1B4
Q8N6Y0 Q86WP2
P14416 O00299
Q9NTK1 Q12770
P67775 O00339
Q92793 P18074
P43364 P28329
Q14344 Q9Y5X3
P54253 P08173
P27797 P35222
P52564 Q8NB12
O60934 P23458
Q00535 P19397
P56693 P56282
P61586 Q13901
P35222 Q96T21
P06213 Q12772
P68400 Q12756
Q13885 P04439
P05412 Q16342
Q16181 P08519
O43148 P00450
P08047 Q04917
P09429 Q96KQ7
P51693 Q8WWG1
O15146 P41597
O14836 Q99442
P04049 Q9HCU9
Q99523 O95477
Q96SN8 P09529
O00548 Q8TEJ3
P12931 P02775
P55196 Q9H0H5
Q15796 Q13554
P69905 P05156
P06746 Q13753
P20963 P39877
Q9H307 P16150
P05556 P00441
Q13188 P23458
O75955 Q9UKV0
P16871 Q15751
Q92922 P09619
P42229 P01275
O60674 Q13418
P68133 P42261
Q6UB99 Q16630
P08138 Q13422
P16234 Q9P104
P26358 Q7Z460
Q99689 O14842
P35247 P16284
P35638 P00540
Q15436 Q16342
Q05655 P51636
P61978 Q14576
Q8IUC6 Q13368
P11802 P14222
Q07954 O00141
Q09472 Q68CP9
Q96KQ7 Q9Y2A7
Q8N6Y0 P62258
P35240 Q96T58
P06400 P57735
Q8WTS6 P01112
Q04206 P30086
P06400 P08047
Q99689 O00244
P27037 Q13129
Q13362 Q93074
P25116 P20936
P42566 Q92793
Q12933 P08631
P06213 P28069
P15336 Q9Y2W2
O95983 P35611
Q9NYN1 P55036
P11274 Q7Z3Y8
Q01094 P02458
P12931 Q5T3J3
P25445 Q99973
P63167 P22455
P21333 P55789
P16144 P20226
P63104 P08621
Q9UGJ1 P13497
P08311 P07315
O60603 Q9C0C9
Q86Y13 Q5RL73
P68133 P04637
Q9UIV8 Q93062
P61981 P16144
P19012 P98082
O14981 Q53G59
P63104 Q9P2W3
P04637 Q15796
P00533 Q02447
Q96D15 Q13237
Q6PD62 P28067
Q9UNE2 Q9UMZ2
Q16514 Q02750
Q13485 P46379
P67775 Q9GZY6
P06239 P14780
P08047 P49841
P10275 Q14831
P31946 P52565
P08727 P29371
P55196 Q92879
P01112 Q9UBU3
Q9H204 P28288
P06400 P00533
P05556 O15105
P27986 Q9UBS4
Q04726 O95251
P53779 Q53FA7
P29400 P42575
Q93045 Q96AX2
P04637 P54259
Q92804 Q12996
Q13485 P62877
Q6P1J9 P11831
P49913 Q6VY07
Q9H444 P01270
Q92793 P56704
P28360 Q13177
P50570 Q15834
P50453 P50749
P28482 P46821
O43278 P49721
Q5RL73 O15085
Q9P2H0 Q96FE5
Q9Y446 P26022
P42575 Q7Z7M0
P61981 P15923
O43747 Q96D31
P10636 Q99836
P43403 Q9NWA0
P07585 Q14765
Q13315 P23229
P25205 P26038
Q12846 Q9BQD7
Q07869 P20393
Q969H6 Q9Y5Z4
P51116 P27695
Q9Y3Q8 P51843
Q9UKS6 P27448
Q07666 Q5JWF2
Q9UBP5 P01903
P08670 Q9HCE7
Q9NYJ8 P53985
Q14686 Q15834
P18564 Q9BZJ0
P21695 P61006
P27361 Q13257
P15391 P52292
Q9NZW5 Q9BZG1
Q15102 Q13936
O14777 P62745
P12544 P17936
P61204 P62306
P49407 O95837
P17612 P36542
P84103 O15455
P12755 O00541
P24941 Q06609
P19838 O43423
Q9NR12 Q99700
Q9H773 Q0VDD7
Q06124 P10827
O60241 P21854
P48023 P00734
Q8N2W9 P08253
Q15796 Q96ED9
P98095 P10809
Q99683 P01023
P21675 P05156
Q13485 O15198
P10451 P41236
O15162 Q9Y618
P18146 P30626
Q02447 Q8NDP4
Q9Y2I6 P08621
P43364 Q13888
Q9BQ66 O15144
P21675 P29622
O43791 O60271
P08047 Q9UBU3
Q07666 Q9NS37
O60496 P43220
P17612 Q96MU7
Q03113 P60903
P84022 P29590
P06493 Q13422
Q15759 P49588
P01112 O60825
Q06124 P12318
P19388 P27694
Q15054 P56134
P49715 P50395
P14923 P49257
P24385 P62942
P30874 P20963
Q96L34 Q6WN34
P61160 P05783
P03372 P05787
P16591 Q24JQ0
Q05516 Q16236
Q9NQT4 P78348
Q8IU60 Q15172
P05106 P35556
Q96JK9 Q9Y3E7
Q9Y566 P62244
Q00994 Q8N9N5
Q14206 Q9BXJ0
P04150 P01270
P08697 P42773
Q96PK6 Q9BZM6
Q9UBD5 P04070
O75925 Q96A00
P19793 Q8N3Y1
Q14181 Q93062
Q08554 P49069
P56524 Q9NX01
Q9NRR5 P19235
Q05329 P54762
Q92804 P14780
P30533 Q8N6Y0
Q92831 Q13017
P68400 Q8TCJ0
Q16695 Q92729
P50613 P13726
Q92841 Q08722
Q9UHV9 P50416
O14641 Q99081
Q7Z7J5 Q07021
P00533 P17612
Q13177 Q14676
P49795 Q6Y2X3
P98177 O14512
Q03181 P27694
Q9UKS6 Q01538
P29350 Q12959
Q92731 P49815
Q09472 P08670
P63165 Q9NZ52
P31749 Q13077
P21673 Q99689
P14598 Q9H0M0
P14210 Q9UKR5
P06493 O95630
P16949 Q01780
Q9UBZ9 P25054
P25963 Q14116
P35609 P21854
P54253 P15056
Q9NRR5 P30990
Q01892 Q9UKJ5
O43639 Q96K83
P61981 P63208
P61981 O14744
Q9P2H0 Q8N3F8
O95352 O00180
P52292 O75969
P38398 P29400
P43364 Q9Y2Y4
O14579 Q32P28
P04278 P50591
Q04206 Q15303
Q9HAU4 Q9NPG1
P12757 O95405
P27816 Q9H013
P49286 O60641
Q9GZR7 Q9UK45
P07766 P84022
O76061 P05121
P62805 P54764
P19012 P20930
Q15797 Q8NEM7
O94776 Q92569
P04899 P32242
P67809 Q10567
P49796 Q01484
Q14686 O76076
P51948 P12814
Q9HAU4 Q96H20
P15056 Q6VY07
P53041 Q16787
P08581 P84022
Q13547 O15550
Q14974 Q86SS6
Q13936 Q16566
P05412 P01112
Q9UKN8 Q96S44
Q96GW7 P03372
P02751 P36873
P45984 P52948
P09958 P10809
Q7Z7J5 O15304
O00165 P49023
Q13158 P51888
P68366 Q99418
P61204 Q92624
Q99750 P01100
Q9Y2W2 P20248
O14965 Q6WN34
Q13490 P42166
P55055 Q70YC5
Q96CW1 P46379
P31946 P49286
Q9Y2I6 Q92934
Q13107 Q92636
P05106 P51449
P14672 P04233
Q9Y4K3 P00395
Q06124 Q92793
P49757 Q05519
Q12929 Q9UBQ5
Q9UQF2 P15502
Q13094 P10809
P54257 P28066
Q16621 Q99828
O15105 O60331
Q05193 O14836
Q00534 P09341
Q13310 P31946
Q92793 O60675
Q16665 P78504
P19174 O95848
Q8N5U6 Q13021
O00186 Q15678
Q01844 Q8N556
Q13185 P55196
P08631 O15524
Q16576 P49459
P01258 Q13813
Q08050 P15498
Q15369 A6NE52
P07948 Q9NS23
Q6VMQ6 Q9UKG1
P42566 Q9UNF0
Q02535 P0DML3
Q5T3J3 P62316
Q12874 Q92643
Q9Y2X7 Q155Q3
Q9HAU4 P0CG47
O15245 P16471
P04049 Q99878
P49736 O15455
P61160 P17752
P55316 P19793
Q03135 Q9H875
O43614 Q92797
Q969H4 Q9NR81
Q9UBU9 P35869
P10828 Q8TD08
Q8TER5 P05107
Q9NYB0 Q05048
Q15078 P61978
Q969Y2 Q5VST9
Q99972 Q08043
P10415 Q96QF0
P56945 P31689
O00560 Q07869
P06493 O94972
Q13255 Q9Y4K3
O95551 P49841
Q15796 P17936
P55211 P35579
Q9UER7 P02751
P29374 Q3KQU3
Q96RN5 P55198
Q9Y618 P14921
O43914 P43220
P29350 P33240
P50453 Q8IUC6
Q02410 Q13352
P29350 Q8TAP4
P31946 P17936
Q03167 Q9BX69
Q9BRR6 P18084
O14492 Q8WUH2
P16144 P19823
P31947 P52735
P40855 Q14703
P07948 P20338
Q9UBU7 Q9HC98
P54257 P16150
P27824 P12814
P02679 O95544
Q8N2W9 O75771
Q9Y5B0 P52272
O95405 P46109
Q15796 O95372
Q8WXE1 P62837
P48995 P52298
Q13105 P30279
P30307 P10827
Q9UI36 P22607
O95271 P17096
P30530 Q15796
O75553 Q96QV1
P31947 P61626
P10636 Q9C0D5
Q13077 P22894
P06493 Q15834
P19838 P37173
P63010 O00625
Q9NS15 Q15517
P51693 P04004
P04278 P62195
O95271 P63211
P23025 Q8WWN9
Q01844 Q13563
Q9UBZ9 O60258
Q06187 Q13156
Q8IXK2 Q9NQS1
P28482 P38398
P23769 Q9HAV5
Q9H8W4 Q15121
P00533 P46379
Q04917 Q16659
Q8N556 O15399
P31942 Q92904
P22061 P16671
Q12888 P05091
P10275 P23610
P01133 P48444
O95967 P21741
Q15560 Q92692
Q9Y5X3 Q96MA1
P0DP25 P00747
P28482 Q99741
P33151 O60479
Q06124 P49768
P40425 P21554
P24864 Q12796
P19793 Q99558
O43561 P05067
Q14134 P51812
Q9BST9 O75381
Q9Y6Q9 Q99814
Q13485 Q53TS8
P42229 Q96QH2
P61204 P09493
Q99750 Q9NPC6
P25205 P23229
Q16236 Q92563
P06493 P26374
O95751 P03952
Q9Y222 Q5RL73
Q13564 Q9H244
Q13332 Q13330
P54253 Q15652
P40763 O14543
P15336 P17643
O00264 P31323
P84022 Q96N67
P04637 Q9UIQ6
P01730 O95155
P35243 P04406
Q9P2H0 O95996
Q12778 P31749
O94992 P69905
P42566 Q9H1X3
O96017 P23588
Q9UMX0 Q15262
P61769 Q9H444
P49736 Q15113
Q9HBA0 O60318
Q9Y3C5 P25445
P38398 Q15915
Q01780 Q8WVN6
P60709 Q14031
P49789 P08246
Q14061 O95235
Q9NY61 Q01844
Q13485 O15350
P63096 Q9NYG5
P50148 O95631
Q96RT1 Q9BQA1
Q13444 Q03167
Q9Y2A7 P36543
Q12933 Q9NS15
P51617 P50461
P08670 Q15149
P25963 O75528
P01009 Q13021
Q09472 P46109
P16671 Q92917
P61981 Q13557
P55316 P30518
P11161 P11831
P21980 Q9UBC3
Q9Y2U5 Q9C0A6
O15198 P06401
Q13547 P68400
P03372 Q96KQ7
P19793 O43639
P62993 P46695
P48058 Q01831
P12931 P35080
Q8NER1 P51153
Q13009 Q8NHH9
P00966 Q8WWK9
Q13322 P53365
Q9Y6Q9 Q8TCU5
P12318 Q8NF99
Q14203 P13726
P06239 Q0P6H9
P50750 Q9Y3M9
Q13485 P00797
Q13415 O00180
Q8IZH2 Q08174
P35548 P30511
O14920 O95396
O15444 O75334
Q02078 P46531
P19838 O43566
Q9NRR5 Q96F07
P29475 Q9UKY1
P19793 P04114
O15265 O95425
P01116 P51809
Q15797 Q9UFN0
O95707 P61296
P15036 P41182
Q96JK9 Q16552
P17252 Q92530
P35609 Q9Y6F9
Q13884 P31269
Q06547 P30086
Q7L5D6 P21675
P15976 Q96H20
O60437 P07737
P28161 Q9Y4W6
P35968 Q6ZWJ1
Q13501 O60315
P46940 O14530
P42330 Q9GZY0
P12931 P35251
Q92731 Q03701
P23458 Q13464
O14980 P0DPB3
P28482 P27987
P99999 Q13224
Q99743 P49418
O15055 P21802
Q96CN9 Q99575
Q14152 P03372
P14598 Q14919
P17612 Q05469
Q12933 P08581
P12931 Q9UIX4
Q15797 P09619
Q86TI0 O00330
P49810 P49674
P68104 Q9UL33
Q15834 Q6ZW49
O75376 O94973
Q16514 P02765
P30626 Q13224
O75056 Q96KS0
O95477 P17096
Q9UMX1 Q9Y3C7
Q9NR55 Q99665
Q01955 Q6UUV9
P38936 P18858
Q12888 Q9H1Y0
Q9BSR8 O95777
P78560 P02649
P58546 P25116
Q12962 Q16630
P02452 P52657
Q96A23 Q7Z6Z7
Q14781 O00339
O15130 Q9H204
Q16620 Q12772
Q9BQ66 P43364
P06729 Q92667
O95997 Q96SB3
Q9NZW5 Q6PIJ6
P48509 P80108
P01112 P05121
P09958 Q16539
Q04917 Q01844
Q9Y2X7 P62987
Q8WVM7 Q9HCK4
P0DP25 P36575
Q9BST9 P08727
P10827 Q14573
O75340 Q96PU8
P06400 P02686
P28482 P18206
P27361 Q9BUH8
P63252 Q16637
Q08881 Q15466
Q8NI35 P10415
P54259 Q05586
P61247 O75916
P02787 Q9BXP8
P29597 P05771
P12259 P31371
P10275 Q9BT49
Q8NI35 P41134
Q96ST3 Q99459
Q15303 Q00610
P21860 P07948
Q9UBU9 P51168
Q12824 Q12809
P35568 P10071
Q96GW7 Q9BXJ7
Q8WUM4 P21802
P98164 P26367
Q96L34 P56537
P01100 Q15834
P15923 O76003
O00291 P04150
P20936 Q9HBX9
O43187 Q14019
P46108 Q9Y5X4
P19525 Q96BD5
Q14289 Q92973
P17612 P11802
P20273 O75419
P22459 P02675
Q13424 P05107
Q96GW7 P63279
P04278 O15143
P17480 P49674
Q7L5D6 P16519
Q9Y6M9 O95817
Q15788 O60341
Q9HAU4 P19174
P49368 Q15796
P49888 P11388
Q10567 P08571
P25205 Q07954
Q13237 P40198
Q03135 Q15008
P06241 O75340
Q9Y6J0 Q9GZT6
O00255 P02745
O60381 Q13444
Q92793 Q8NFH8
Q14765 P21580
Q9NRR5 Q5T0N5
P55212 Q9UQ13
P47813 P52952
P54257 Q02575
Q9Y2I6 Q00577
P45877 P09769
O95295 O15516
P49588 P10147
P37198 P31749
P16870 P04234
Q7Z7J5 Q9NZQ3
Q02447 O60825
P11362 Q969V1
P50148 O75094
Q04724 Q9NZJ5
Q9BX70 P40855
Q00403 Q99547
P10275 Q56P03
Q15047 P12956
P23443 P62380
P11464 P11926
Q6UY14 Q13190
P62491 Q53FD0
P27797 Q9NRX1
P33151 Q92817
O14964 Q86W92
Q02078 P05019
P34932 Q9HAU5
O00161 P04035
Q13422 Q9Y566
P14780 P60033
O14908 O00327
Q9H444 Q14524
P42574 P27816
Q5RKV6 P20265
Q7Z6Z7 Q99816
Q9Y5S9 Q12959
O00459 Q13936
O14964 Q03692
P52701 P15311
P12757 P02647
Q9NQZ2 P15884
Q16526 P28223
P11166 P11532
P00451 Q8N612
P98164 P01042
P56524 P24864
P10721 Q99583
P98095 Q16557
P62805 Q14839
P41220 O14796
O14641 Q96AB3
Q9Y4H2 Q96MU7
Q92841 P10070
P05771 P07737
P24928 P24864
Q08945 Q92625
Q9Y4K3 Q5T5P2
Q9Y2Y9 Q9UGY1
P61586 Q13094
P17252 P42574
P05107 Q92918
Q13227 P00746
P55072 Q9NZW5
P30556 Q12972
O95376 P08047
Q8TAE8 Q8N488
Q9Y2X7 P11215
Q6EEV6 O14920
P62753 P14222
Q05513 Q99767
P10275 O60674
Q15427 P36543
P22670 Q9HAV0
Q07817 Q92913
P42224 P56134
O14776 O60675
P19793 Q9BXH1
O75528 P05114
P60880 O75081
P19784 P08648
Q86UR1 Q92519
O95295 P05187
Q9UKV8 P34741
P17252 Q9NR28
P49023 P61296
P10747 O15294
Q96RU3 Q01955
Q96LC9 Q15465
P16220 O95163
P07333 O95897
P04637 Q14203
P01275 P55058
O00585 Q9Y5B9
P01133 O00308
P41220 Q02750
O14936 P42345
P61978 P09467
P25098 O14786
Q86SG3 Q99750
P10275 P14543
P98161 Q9Y2D8
P04150 Q9UBI1
Q96BR1 P03973
Q13547 Q06547
O15105 Q14207
P04049 P26367
P62310 P49703
P16234 Q9Y6U3
P07996 P00749
O00161 Q9H4E5
Q16623 Q9UQB8
Q9BVJ6 P25054
Q13416 P62714
Q14494 P25800
P60709 P49023
P50570 Q14344
P17252 P51948
P63261 P84022
P02751 P07858
P17676 Q9ULJ8
Q8N0X7 O75081
P02751 P67775
P11362 P52789
P15311 Q14332
Q99466 P01111
Q15834 O00339
P09619 Q16553
P42566 P49810
P16410 Q9H1I8
Q12959 Q9UBI1
Q14192 P35606
O15162 P63104
P43119 O95267
O14964 Q86XS8
Q9Y2X7 P11831
Q8N3C0 Q99828
P68133 P54253
Q9Y6Y9 Q8IWR0
P60709 Q5SW96
P04637 Q13177
P40692 P35251
P24385 O00308
P42226 Q15365
P62993 P32927
P51946 O00418
P30793 P55899
Q6VMQ6 P38159
P05023 O75030
P60953 P51681
O14920 Q13009
Q15650 Q15172
P19174 P00750
P04156 O95619
Q15047 P20591
P06241 Q8N129
Q9Y2J2 Q15008
Q13432 Q96LC9
Q15596 P26367
P28715 P28908
O15399 Q08AM6
P36897 P84022
P05106 P52945
Q53ET0 P10323
P36896 Q00535
Q9Y4K3 P52948
P17542 Q14213
Q13315 P50750
P06454 O00178
Q15599 P69892
Q16548 O95832
P05556 Q9Y618
Q05516 P38432
Q08334 Q92826
O15111 P21917
P22681 O15287
Q13526 Q99578
O14733 Q9Y5J3
Q04206 Q9H7H0
P62993 O75461
P35568 P04183
P06239 Q08495
P68032 Q9NPD3
P62258 Q00577
Q5T3J3 Q9Y3C7
Q03164 P00749
Q15788 P27824
P10071 P16298
O14776 P0C0L5
P27361 Q15464
Q9BVJ6 P04233
Q92598 O75676
P51692 Q96A23
Q9H211 Q6WN34
P11021 Q92817
Q8IW41 Q13573
Q9UI32 P42345
P04150 Q10570
P10275 P15311
Q86UR1 Q15109
P06241 P51572
Q02878 O95602
Q99728 O14798
P27986 P0DP25
P11171 Q9NPH5
Q92692 P00505
Q9NSI5 P49448
Q14289 P02753
P61981 P61769
Q00535 Q9UK22
P21860 P07288
Q9Y244 Q9Y496
O00560 Q8IUC6
P11473 P17676
Q13432 Q9H4T2
P35968 P19838
O60216 P62070
P61981 Q8IZP0
O43561 O15516
P41743 Q9UBP5
Q09472 Q04771
P30305 Q8WV24
O00238 Q12770
Q13315 Q7L5N1
P41134 P14136
P17480 Q12913
P13498 P20645
P08047 P50148
P35222 O00175
Q8IWT3 Q9UKG1
Q9BQD7 Q15365
Q00403 Q13885
P84022 Q15714
P02765 O60732
Q9H9D4 Q9H213
Q6STE5 O75582
P29475 Q13309
P06401 Q12830
Q99683 P25445
P28827 P42681
Q92793 P08588
Q9UPT5 P55107
P51692 Q05586
P46934 P47224
Q10570 P22415
O14641 P50990
P23297 P10588
P13631 P37173
P22670 O60293
P53041 Q02779
Q16891 Q9Y6W5
P62993 O00327
Q96P71 Q12788
Q14134 Q14258
O95251 Q9HB71
Q08211 Q13190
Q9GZZ9 Q8NHQ8
P31946 Q07954
P35568 Q14184
P51692 P43405
P02765 Q06495
Q6EEV6 Q08722
Q92922 Q8NCP5
P21246 Q99467
P07902 Q6PEW1
P03950 O15234
Q8N165 P55197
O15379 P56945
P19419 O75629
Q03135 P51532
P23528 P06753
Q13535 Q9UN37
P10275 P25942
Q16610 P08519
P23246 O14976
Q13415 P06858
P56693 Q9NRX2
Q9H0M0 P06744
P29590 P57678
Q8IYI8 Q9GZX5
P68104 Q99836
Q00613 Q9P296
P63165 Q8N5V2
P52292 P35269
Q15185 P42773
P06241 P08727
Q9UBZ9 Q05086
O14939 P53420
Q7L5D6 Q9NUW8
Q04759 Q9NZW5
P68032 P62314
O15117 P62316
Q04206 P56134
Q9UBZ9 Q8N668
P30307 P18089
Q8IZH2 Q9BUE0
P13725 Q99627
O60907 Q53HC5
P43364 P35579
P35568 Q15599
Q9Y3B2 P10646
Q01844 O14788
P06239 Q8N6Y0
Q13794 Q8IZQ8
Q04759 P10276
P29274 Q14654
Q5MNZ9 Q9BYG3
P08670 Q07075
P54259 Q86XR8
P42261 Q7L190
Q99704 Q96ID5
P35813 Q9ULZ2
Q6IAA8 Q9P086
P06241 P61006
Q07021 P30086
P07992 Q8WZ42
P04637 P46108
P52797 O14933
P04637 P27695
O75553 P38570
P31946 P20936
P17252 P21802
P04271 O43566
P42574 P21579
O00220 P32246
P08670 P01589
P08047 P27708
O60675 Q9H2M9
P54253 P68400
Q9NPC2 O15105
P14555 O14775
P15622 O60828
P17987 Q13480
P61764 P11215
P61964 O43566
Q96SN8 Q15819
Q9NZD4 P25054
P25963 Q96L91
Q9C0C4 P62330
P50750 Q9Y3C7
P30307 O43639
P37287 P24522
P18858 Q16637
P42702 P61604
P48023 Q7L1W4
P26641 O95466
Q6EEV6 Q96FJ2
Q14203 Q96SI1
O43318 P52292
O75674 P03952
Q07817 O95084
P15173 Q6VMQ6
Q13347 Q13158
P04637 P17661
O95793 Q15834
O00303 Q8NFM7
P52926 O15155
Q04864 Q7Z417
O15151 P10589
Q8N6Y0 Q53ET0
P56693 P30154
Q92793 P20248
Q05516 P49810
P27694 P49674
Q93009 Q9NYR9
P12956 P35222
O00470 P14921
P22692 Q9NSN8
Q05513 Q99750
Q08881 P60228
Q9Y6M7 P07315
P26641 Q99972
P10827 Q99578
Q9NRR5 P08311
Q86XR7 P62491
P01344 Q13371
P12757 P45984
Q13017 Q9H3R2
P16333 P10415
P00533 O00330
P01112 P11277
P06493 O75934
Q9GZT6 P69905
P29350 Q9NX08
Q9Y4H2 P04437
Q09472 Q16539
Q9P2Y5 O75365
Q09472 P02649
Q9Y2X7 Q9Y5Y6
P63279 P61081
P40763 P14921
P51692 Q9H4B6
P43026 Q9Y5X3
Q04206 P10242
Q56P03 Q96IZ7
Q13547 P60953
O15379 O75525
Q16623 P00491
Q04917 P60880
P06239 Q8TAP4
Q9UBC3 Q5JWF2
P78527 P10827
P10275 Q96RU7
P12931 Q99805
P10828 P21333
P10721 Q01081
Q9Y4K3 P04275
P62508 O14530
Q9Y3Q8 O00712
P11532 Q03591
P40763 P67870
P30281 O15117
P13984 Q96KS0
P09619 Q9NY26
Q5JVS0 P62875
P27540 P60709
Q01094 Q13873
P04406 Q96CW5
P14784 Q92879
Q9Y678 P62826
Q53EZ4 Q16625
P35637 Q03135
P38398 P09493
Q8WXI2 Q96MN2
P17676 O60333
O94762 Q15172
Q9Y2L1 Q13596
P11362 Q969T4
P23528 Q99829
