Q16665 Q96SN8
P16070 Q9H8W4
Q07889 Q9BY41
O95232 P15336
P67809 Q9H079
Q00535 P11831
P07948 P39086
P49407 Q86XR7
Q13285 Q5XPI4
Q9NR12 Q12929
Q15149 O15061
Q9NZC7 P56134
P11532 P06401
P23458 Q15797
Q9UMX0 P01042
P49840 Q9UKN8
Q06609 P10114
P51843 O14787
P32004 Q14566
O00254 Q9Y6M9
Q03591 P04004
P06213 P21579
P19397 P35556
Q92793 P35680
P08253 Q96JZ2
Q15834 P08519
Q5FBB7 Q8TAI7
Q96QG7 Q9H7N4
O43426 Q12846
P0CG47 Q8TER5
O00422 Q5JWF2
P57086 P30679
P04626 Q9UFF9
Q01844 P27635
Q9Y6H8 Q9Y5A7
P04637 P0DN86
Q9Y490 Q02575
O15162 Q14315
P29474 P78527
Q15544 P29350
Q13569 Q9Y5P3
P11137 Q9P287
P06239 P20042
Q00610 Q9UHF5
P61981 P49137
Q9NZN4 Q8TE76
P22736 P06239
Q8TD26 Q15397
Q13596 Q9UHD9
P19793 P50616
P05026 Q14765
Q14191 Q92667
P35462 O15055
P51693 Q99967
P14923 O60506
Q13547 Q14CW9
Q6P1X5 Q96IZ0
P05556 P78314
P23443 P01116
Q15797 P61962
O15350 P68402
P31749 O95985
P10275 P54259
P62993 P21860
P40763 P02545
P54259 P58546
Q9P1W9 P28749
Q9UBL3 O94776
Q99418 P57073
P98161 Q16637
P31946 O15198
P61956 Q13838
P62258 O60716
Q01780 P12931
P61981 Q14185
Q92598 Q6ZUJ8
Q15047 P42566
P60763 P54257
P00748 Q9Y219
P16284 P61758
Q16620 P46091
Q96T58 Q8N357
P23297 P23677
O14558 P36544
P02461 Q504Q3
Q05193 P42336
Q16559 Q07666
Q13261 O60260
Q13261 Q9UHQ9
P49768 P05155
Q92793 P53634
O15162 P05114
P21673 P07384
Q15047 Q8IZ07
O14939 P47756
Q13526 P10644
P26010 P05067
P34896 Q9NVJ2
Q04756 P02100
P27361 P35579
P36897 Q96BK5
Q9HAU5 Q14847
Q5JR98 Q9Y6W5
P19838 P53618
P10827 P31749
O75925 O43447
Q15388 O95665
P06239 P61020
P36955 Q13322
P25963 Q03135
P15311 Q96G25
P98164 Q9NY26
Q9Y383 P63165
Q9UKY1 P21580
P04637 O96017
P17936 Q9Y230
P52564 P12931
Q96FN4 P20936
Q9UNY4 P10276
P27361 P31749
P51116 Q9UPT5
P16220 Q86VP1
P11473 P08729
P05783 O95721
Q969H4 P29992
P08603 Q9UJU6
P29590 P38484
O15530 Q9UMX3
P16885 P46777
Q13485 P25963
P10321 Q9UHI6
O95208 P23497
Q9HD26 Q14181
Q9BQD3 O75175
Q9UGN5 Q8TBE7
Q8IYI6 P05771
Q9UBL3 Q9Y678
P16284 Q9NZU7
P08253 O94855
P36897 P27361
P04637 Q16611
P04626 Q96LC9
P16591 Q8TCU5
Q8TCX5 Q59H18
Q12933 Q9UKW4
P17706 O60244
P08069 Q96T21
P49848 P18074
Q13224 P47870
P06213 P49757
P60953 P63151
P60880 Q9GZR1
P11387 P45983
P23458 Q12830
Q96C03 P20273
P30556 P20336
Q15796 P04233
Q9BWC9 O75791
Q86X29 O95256
Q6P597 Q16513
Q07869 P13861
Q9BXS5 Q9Y5X1
O75925 P40926
P41279 P29317
Q16526 P48307
Q13177 P18206
Q15796 O43295
Q16891 P0CG47
P19174 P48443
O15162 Q13137
P21333 P16473
P04843 P52789
Q13432 P49840
P41594 Q9Y2Z9
P52333 Q9H267
P01215 Q8WWB3
P24928 Q96ST3
P35222 P23945
P50452 Q9HAP6
O14493 Q9BSU1
O94818 P16298
P35638 O60925
P17612 Q9Y3C5
P10275 P51668
O60563 Q92934
P06400 P04259
P54259 Q99638
P35658 Q02218
Q04206 Q9NV56
P31749 P15498
Q13526 Q13009
P30291 P15336
P27986 P09603
P09429 P54920
O95777 P84022
Q96FN4 O96020
P24666 P32780
Q00535 Q9NYB9
P49736 Q6UVK1
O14777 P24941
P21246 P06729
Q00610 Q09472
Q14103 Q9Y3D6
P14555 Q15303
Q9NRR5 P12757
Q5JVL4 Q14627
P61247 Q9UBK2
P56945 Q02078
P61981 P23025
Q9UHL9 P08246
P06400 Q13361
Q92793 Q5RKV6
P61981 Q9BZK7
Q99717 P06241
P11831 Q7Z5J4
Q9UQB3 P15172
P61981 O75146
P32927 P02686
O75925 P31785
P12931 P68032
P14859 Q9BT88
Q6ZN30 P20290
Q9P0L0 Q15139
P12931 P02751
Q8WTS6 P62917
P41597 P53420
Q13485 Q9BYC9
P67775 P41134
P40763 Q9UBU9
P08670 O14757
O00206 O14490
Q9NX09 P54296
Q8N2W9 Q8NER5
O75886 P14174
Q07954 Q9Y3C5
P36897 O43143
P09429 Q9HAP6
P35222 Q7L4P6
Q13158 P19235
P61586 O00233
P17275 P49810
O14936 Q15562
P03372 P22676
Q96IP4 Q9H1K0
Q05516 Q86V42
P49848 P43405
Q9BYV2 Q92499
Q01968 P02511
P51692 Q96RU7
Q5T5P2 Q16534
Q99829 P08174
Q13501 P23634
Q14643 Q13813
P63279 Q96J02
Q9Y3C5 Q8TC57
Q15834 Q5SXM2
P28749 P35555
P35221 Q9NZI2
P21554 Q9ULZ3
Q09472 P09238
Q13487 P30260
P35222 P02545
Q99717 O14641
O43570 P15336
Q12929 P62304
P26583 Q15424
Q15477 P41743
P53779 O60341
P16885 P25025
P62308 Q9GZP9
P10600 P05362
P12931 P62805
P34820 P28360
P06239 Q9NWW0
Q96RN5 Q9UIV8
P10415 Q9H9D4
Q99816 Q9UBU3
Q01995 Q96EV8
Q13501 Q12770
Q92597 Q8N556
P20936 P61296
Q9NPD3 O00180
Q969Y2 P16112
P05129 P16234
Q13094 Q24JP5
Q9NRR5 P02686
Q9UI14 P27701
P55854 Q9GZY0
Q92830 Q9UJA2
Q16891 O95967
P48058 P11597
P01011 P61978
Q99466 Q07011
Q01201 P04070
P08621 P16234
P19419 O43914
P68400 P54257
Q9GZR7 Q8TES7
Q02750 P17612
P04150 Q08211
Q9Y4Y9 P13598
P23946 Q8WV44
Q13136 P80294
P09429 O15455
P02686 Q8NF64
Q6VMQ6 Q9UQD0
Q15388 Q9Y4H2
P60709 O14595
Q8WTR7 Q5TGY3
Q15599 Q96CW5
P12931 Q99062
O14964 P18089
P07996 P55196
Q9NRX1 P35858
P42574 Q08209
Q9HCE7 Q9BRR9
O00194 O60500
P23458 O75629
P21980 Q01813
Q14134 Q96KS0
Q96QH2 Q9Y243
Q9Y2T1 P21580
P51692 Q14203
P03372 Q16514
P16581 Q9UBN7
O60674 Q9HB63
Q15047 O95602
O75439 Q6VMQ6
Q9UM82 Q13432
O43542 P61006
P22681 P31947
Q14919 P19388
Q9UKV8 P55042
Q9NRR5 P63208
Q13838 P37287
Q15427 O75478
P98095 P18084
Q92793 P39060
P24666 Q16254
P52292 O43175
P12236 P10451
P08670 P61769
P02545 Q07955
Q13309 P46779
Q03113 Q9Y328
Q5VWK5 O43255
Q13546 Q9BZF9
P21860 Q13797
P54826 Q99497
O60674 Q86U06
O14733 O43306
P49910 Q15311
P08311 Q16526
P67775 Q13043
Q16658 P08648
Q16623 Q8WUT4
P35080 Q15049
P25942 P31268
P31946 P01889
P24941 P63104
O14980 Q674X7
P27797 Q53ET0
O14618 Q9BV79
P15311 Q9BQ95
Q99523 O95163
P37275 Q9H269
P14859 Q06787
P63244 Q9BV79
O15162 Q9BXS5
P61981 Q9UEW8
Q9Y618 O75553
Q99741 O43929
P06241 P84095
Q96IP4 P51572
P63096 Q9Y2X7
P05067 Q13490
Q9Y5X3 Q9NTW7
P06493 Q15650
Q9UNY4 P05386
O60674 P05412
Q99704 Q15149
O43665 P13727
P29350 Q9BTE0
P28482 P10515
P19012 Q96PU8
Q9P2H0 O15235
P04150 P61006
O75390 P13727
P22681 P07948
Q9BXW9 P38936
P53420 P98160
Q92918 Q99496
P28289 P12525
Q00610 Q16637
O75528 P09429
P62258 Q16539
Q04771 O43427
O75925 Q96JB5
Q9NZ81 O00311
Q5RKV6 Q5VWK5
Q9UHD2 P45983
Q15542 P35613
P07585 Q9ULH0
P62942 Q86X29
O94972 P21333
Q9Y2A7 Q92804
P12830 P22301
Q9HBA0 Q8NI35
P10636 Q8TAP4
P10275 P11474
O95295 Q96D09
Q13547 O14980
Q13547 Q13151
Q92841 Q99967
Q13555 P43364
P17612 P56693
Q9P2W3 Q9Y2L1
P16144 Q14554
P31946 P67775
P05556 P55769
P15924 P28223
Q86Z02 P15927
P35222 Q9H4Z2
Q8IW41 Q8WZ42
O15530 P33993
Q96GD3 P55058
Q96RT1 Q13224
O00418 Q8WVR3
P21579 Q8ND90
P15502 Q96BD5
P00533 P42229
P62993 Q9H1K0
Q12959 O14976
P57729 P50395
P61981 P19320
Q9P2H0 Q15047
Q9NQC3 Q96I24
Q9NYS0 Q9Y5J3
Q14494 P62837
Q12933 P05129
P63279 P30291
P27361 O00422
P21675 P07384
P51587 Q9BYG4
P42330 Q86X55
O96013 Q07960
P20936 P18075
P68133 P31749
Q8IZ52 Q9UKJ5
P05771 P35670
P28482 Q15303
Q92597 Q07890
O75925 P30153
Q16543 P58753
P27986 P16870
Q15796 P30304
P33076 Q9Y4G8
Q9Y221 Q15596
P19838 P10276
P10827 Q9BZR6
P25963 Q07011
P15336 P48788
O75528 Q05513
P51692 Q86XR8
P42858 P12314
P00450 P01023
Q15047 P61764
P08311 P12757
Q7L5N1 P0CG47
Q9BQ66 Q9Y6K1
P63165 Q9BXH1
Q92793 P54252
Q15464 Q9NRR5
P53041 O95832
P41235 O14980
Q9H4Z3 P56524
Q01130 Q03164
P35568 Q96F07
Q9NRD5 P06239
P50453 Q99689
O00238 P41182
P34981 Q07065
Q7Z6A9 P02766
P45983 Q7Z7J5
Q9GZT6 P37235
Q92997 P41743
O15105 Q5VUD6
P29274 P04083
P13688 Q9UBQ5
P06400 P27448
O15105 P46952
P04271 P21741
Q9NR12 P63104
P49789 Q13501
Q9Y6C7 Q9Y4J8
P52945 Q9NPQ8
Q8IXH7 P16410
Q96EK5 Q96EY1
P20591 P61966
Q15172 P17612
P52292 P27701
Q15746 Q15582
P16401 P09237
P10144 Q9UJX2
Q13485 P13725
P19793 Q07817
P0CG47 Q13509
Q6UB99 Q13352
P03372 Q99062
P12956 P21980
P17252 P50148
O43676 Q504Q3
Q13546 P20036
P48634 P30260
P01009 Q9Y6C5
P31946 P24347
Q93062 Q969T4
Q76FK4 Q99466
Q12967 Q9NZC3
P51114 P11488
P18433 Q9NRR4
Q9Y618 Q9UNN5
P05089 P47712
P26447 Q14134
P27986 P10912
O75925 Q9Y6H8
P10398 Q9BWF2
Q9UKV0 P56524
P68104 O95630
Q06187 Q92569
Q93062 P10914
Q02750 Q99593
Q8TAD8 Q5TGY3
P61925 Q96HE7
Q9BVJ6 Q01082
Q9BUH8 P16455
Q15047 P0DP25
O00238 P21810
Q02779 Q92834
O95084 Q92905
P43364 P40337
P35222 Q16526
O60674 P20226
P84077 O75380
Q15466 P46013
P19397 P54108
P61769 P09693
P26367 Q13371
P26641 Q00653
P19174 Q14289
Q969Q4 O95631
P29622 Q14CM0
O96019 P05067
P09429 P52566
Q99704 P55060
O60506 P10809
O60675 O14795
P68366 P49768
P53778 P11215
Q9Y3C7 Q8TDR0
Q15303 Q504Q3
Q9Y2I6 Q96ST3
O14936 P00533
P09619 Q99816
P07288 P55196
P05556 Q01892
P03372 P08138
P0DP25 P36542
P12931 O60568
O14593 Q06587
P62834 Q12982
P28482 Q7L804
P62942 P12931
P11274 P52735
Q13136 P06729
O00238 P05121
Q9NRL3 Q9GZT6
O75496 Q8NHQ1
Q96S59 P40818
Q15788 O60832
P26641 Q07954
P27694 Q15628
Q9NYB0 P36543
P61981 P23945
P04264 P18428
P08476 P08047
P04049 O75569
P17706 P84077
P20936 Q96D09
P08670 Q14005
Q96RK0 O00303
Q92824 Q6VMQ6
P63279 P26599
Q15796 Q59H18
P04637 P48552
P21673 O14569
Q16665 Q8NEG5
P61981 O75771
P61769 P49454
O14641 P49768
Q07157 P05141
Q02156 O15245
P08670 O43497
O60260 P03956
P06493 Q9NQC3
O75971 P21580
Q9UHD2 Q86UW7
P15923 P18206
Q03113 P56693
O00238 Q9UL45
Q04206 P31749
P14625 Q8NCE0
Q9BUJ2 Q96L34
Q96L34 Q99814
Q9P1Z2 Q9H1D9
P09496 O60741
P56524 Q96CN9
P16401 Q9GZY6
O95343 O14980
O15085 P78559
P25815 Q14213
O60674 P62330
Q13888 P37288
P62306 Q86XR7
P08123 P01031
Q16695 P49641
Q99741 Q9Y3A3
P12931 P43116
P10145 P39687
O00267 P56706
P10600 Q7Z6J6
Q4V328 O95999
P11912 P07332
Q09472 P12931
P98170 Q8N3X1
Q99750 Q13936
Q9H0D6 P04626
Q05655 Q09472
Q15102 O75821
Q9BVJ6 Q06587
Q9Y6Q9 P08238
Q16254 P54259
O43439 P12694
P17535 P28482
O14544 P60880
P49842 P30550
P04637 P11310
Q16363 Q15583
P13569 P42081
Q9BY84 Q8WW01
Q15628 Q12809
Q92558 Q86UW6
O94805 P43116
Q9BUH8 O95415
P63167 P17181
O14654 Q14184
Q07864 P54259
P29597 Q9NR82
Q09472 P31689
P45984 Q8TEL6
P52790 Q8IUD2
Q9UI36 Q9NZ52
P0DP25 P49842
P40763 P19429
Q9NPB6 Q6ZU52
Q05655 P20290
P04114 Q15276
P17302 P21918
Q13485 Q9H0E2
Q09472 Q13177
P68402 P16473
Q04917 P38646
P62993 O95487
Q8N2W9 P11047
Q13568 P10451
P45984 P16109
P62318 Q13867
Q12933 P11684
Q9GZM5 O60662
P50453 Q15303
P78527 P62851
P21333 P07951
Q9NRR5 Q9Y5N6
O15399 Q99755
Q05469 O95817
P31323 P61978
P62491 P46108
Q9NZQ3 P04141
O60907 O43345
Q05516 O75886
Q9H307 Q9NP66
Q92793 P22748
P68366 P47870
Q9H8T0 O14578
Q9BQD3 P55211
P09958 O00295
Q04917 Q92879
Q16594 P24928
P55854 Q9H063
P12314 P84077
P15502 Q13263
Q00169 Q6VMQ6
Q00610 P27986
Q9UPT6 P50542
Q9NPI1 P01023
Q15796 P08581
P05787 Q13444
Q13526 P27448
P25963 P61604
P51679 P56279
P48643 Q9Y210
O60504 Q16254
O75340 Q9GZV1
P19174 Q9H3N8
P19022 Q96ES7
P12931 Q13596
P61586 O43914
P00747 P07305
O95257 P63208
Q9BWC9 Q99496
Q9NVZ3 Q8TE12
P17481 P07196
P61981 P08887
P05129 Q9H299
Q02363 P51636
P27986 P52292
Q12933 P11940
Q96S59 P53778
P10636 P83916
P42574 O60224
P0CG47 P14778
P31946 P42261
P26006 P07585
Q9UNY4 Q13242
P61981 Q03701
P16389 P40855
Q16254 P68032
Q9HAU4 P63167
P34741 P01130
Q12972 Q9HCZ1
P00747 Q92535
P37173 Q15436
P29350 Q8WUM4
P12830 P07948
P61981 P08123
P27348 Q9H4M7
P19438 Q14258
Q99558 Q12770
Q02779 O95944
P00749 P35228
Q9NY61 P07384
Q8N715 P08887
Q92569 P56537
Q06124 O43184
Q13797 Q00722
O75943 P49674
P13349 O14908
Q6EEV6 P56282
P15036 Q9UBD5
Q9P2H0 P63261
P18074 P20336
P12235 Q16549
Q07021 P49023
Q99728 Q15008
Q15596 P30679
P04049 P14136
P41134 P11717
Q12959 P21333
P68400 P62987
Q05655 Q9UBU9
P54257 Q14203
P05060 P16109
P28069 P10242
P62993 P63151
P50453 P29597
P40424 P10451
Q04206 Q02108
Q13526 Q16637
O75888 P25024
Q96ST3 Q6P0Q8
P48745 P07237
Q9NZC7 P48739
Q15172 P49286
Q13485 P21246
Q06124 Q04724
P55196 P01024
Q96A23 Q9BY11
P04406 O95837
Q06124 Q05586
O00268 Q13451
Q13571 O14763
Q01780 P02775
Q92793 O00161
P35372 P02766
P35249 Q9NYN1
Q96QG7 Q12778
Q13526 P14174
Q9Y6Q9 Q92835
P13010 Q96BI3
P84022 Q13287
P01100 Q96LC9
P24530 Q9H422
Q9Y4K3 O60921
Q6EEV6 Q9Y2U8
P46531 P09211
O94985 Q15139
P41220 O15083
P25490 Q53QZ3
P05129 Q9BPW8
P17480 P04278
P62993 Q14240
Q03013 P10276
Q8TEW0 Q96B26
Q16891 P84243
Q8N2M8 Q6VMQ6
Q96ST3 P28068
P14859 P35222
P61981 P25103
P08779 O14764
P02766 Q96J02
P20248 O95747
P62993 O15151
P60709 P49407
P63279 O60763
P26641 Q9UJM3
Q12931 O75534
P19338 O43147
P05107 P06241
Q15038 P00748
Q14247 O43739
Q12959 O15399
O15350 P63279
Q09472 P05783
P06756 P06870
Q9H1I8 Q9Y3C0
Q12772 O95402
P63104 P11161
P50542 O14514
P02452 Q03933
Q92643 O00295
P11137 O15554
P0DP25 Q01094
P42574 P19838
P10276 P35251
Q13546 Q5EG05
Q92624 Q9Y6N7
Q06124 P29400
P61981 P56178
P17676 Q9UKW6
Q9BUH8 O94916
Q9NRR5 Q9NPB9
P10589 Q14686
Q15573 Q9ULJ6
P62993 P63167
P15923 Q6NWY9
Q9NWZ3 Q8TCX1
Q9HCU8 Q9Y572
Q9Y244 P04234
Q9NPI1 P33076
P41743 Q9BRG1
Q15544 Q05066
P24468 Q9UM11
P67775 P50549
Q99750 O43261
Q9BTM9 O00303
P31749 Q9ULK0
Q13077 P07948
Q99767 P04792
P11166 P62312
Q15047 Q13115
P30153 P04004
P05556 P60709
Q8N5H7 Q969H6
Q12913 Q6IAN0
P42574 P04150
P23381 Q01844
P31946 Q5T5P2
Q15052 Q53QZ3
P78358 Q16637
Q13501 Q14722
P63167 O43592
Q9NX18 Q9H0R4
P14678 Q13239
Q13424 P08047
P05129 O43524
Q15648 Q9UIG8
Q01094 Q9UDY2
Q13424 Q12906
Q9NR12 O95544
Q6NZI2 O60832
P09429 P06576
Q9UIV1 Q9UKP3
P08253 P21802
Q03113 Q9Y478
O43432 O76081
Q92831 Q96F86
Q13114 Q9UBV8
P28908 P48039
P36897 Q9BQ16
P17252 Q96SB4
Q99689 P28562
P21802 Q13882
P29597 Q9H9T3
Q9Y696 O95716
P46934 O15527
P62942 Q9UKG1
Q13432 P28329
Q12959 Q13148
P04271 P23469
Q14966 O14976
O95630 Q8WW43
P49888 O14717
P61956 Q6BCY4
Q02156 P62877
P13987 P47224
Q15047 P17948
P78527 P42285
O75563 O43261
P21802 Q9H4L4
O15379 Q6PK04
Q13131 P08571
P08670 P06746
Q9Y618 Q9Y3C0
P27361 P68363
Q9P2H0 P29474
Q9HAV5 O60437
P14136 O75496
Q04917 P55064
Q12959 Q99808
O75925 P16220
P56693 Q8N4C8
P02452 Q12796
P08621 P23763
P61244 Q07866
P05160 Q6PJP8
P23443 Q9Y2L1
P04637 P04899
P20936 Q9GZV5
O75618 Q9BT78
Q9BZG1 P06756
P21673 P02545
P00533 Q9Y3C5
Q9UFF9 Q9UM47
P08572 Q9NWQ8
P05787 Q16630
P05976 Q9Y6M7
P10912 P60228
P16885 Q5RKV6
P19174 Q14686
P04196 Q53EV4
Q92597 Q9Y2W2
O00238 P35348
P61981 P20936
Q05193 P31749
Q13797 O14786
P84243 P40616
P52294 Q9BWV1
Q14721 Q4KMG0
P07814 O96006
Q09472 P28288
O00470 Q96AY2
P39748 P05121
P21246 P02741
Q9Y3C5 P99999
P30281 P51948
P0CG47 P63027
Q14232 Q16623
O15105 Q13573
O94875 Q9P2P5
P24941 P10997
Q13362 P35226
P38936 Q15545
P23511 P05976
Q93009 Q13571
P28482 Q13156
P22626 O14717
Q8TAE8 P08697
P19793 P28062
Q14005 Q92945
Q07869 Q12913
Q99459 P31751
Q15365 Q13361
Q06124 P14651
P23771 P84022
Q9H1I8 Q9UPY6
P26006 Q02779
Q8WU20 Q9H5Z6
Q9UKR5 Q13838
O60506 Q9UBF2
Q01130 P51654
Q02641 P19438
P25205 Q16625
P63279 Q9GZX9
O95257 Q5RL73
Q99816 P05305
Q96ST3 P42575
P68104 O75886
P27986 P28907
P63279 Q07954
P16591 Q02985
P19838 Q96G01
O14788 P31948
Q99801 Q9H0K1
Q06124 P08670
P63261 P54852
Q16543 P63211
Q05655 P01303
P20700 P11171
Q92918 P06454
P22736 O14964
P63261 Q14520
P16333 P13861
P35222 P11274
P12931 P55072
P78396 Q96EY7
Q14643 Q8IWL2
Q16539 P35080
P38432 Q92563
P29590 O60269
P12644 Q9Y2Z0
P19235 P15153
P31946 Q8IYR0
Q9Y3A3 Q9Y678
P23769 P84077
Q13438 P06733
P61244 P15941
P63279 P16220
P07858 P55345
Q8N668 Q14209
Q9UPR5 Q92925
O00422 Q9HD67
Q9UGJ1 Q92643
Q12959 Q149N8
P68400 P06241
P21246 P06239
Q13158 Q05519
Q9H8T0 P05230
P84022 Q9H161
P49023 P08138
P03372 P27361
Q9BQ66 P29400
Q15797 P51858
O94776 P33032
P98082 Q92831
Q9UQC2 Q13158
Q05516 P49354
P15151 Q92609
Q9UBU9 P51911
Q92793 Q8IWV1
Q14181 Q15813
Q14191 P07357
P62837 Q8NET5
Q00535 Q9UBF9
Q96RN5 P00488
P07992 P31751
P13010 P56199
P0DP25 Q5M9N0
P35568 P04049
Q13480 Q6ZVK8
P08631 P22607
P07996 O43294
Q05586 Q16526
Q14683 Q8IWB1
Q6ZVK8 O43291
P98161 Q02388
Q92841 P00750
Q16633 P35442
Q96B26 Q13185
P36897 P63104
P43243 Q14677
P29400 Q99627
Q16625 Q9BZE4
P54368 P49796
Q9UQB3 Q96GD4
P26718 Q13190
P46527 Q5TA45
Q15149 P13010
P38398 Q13247
Q15172 Q9Y3C5
P16455 Q06495
O00238 P07585
Q9NPB3 Q14164
Q00526 P20827
P28360 O60269
O75376 P25490
Q08116 P03891
P10415 Q9NWQ8
O43707 P54257
Q03405 O75444
Q15102 Q9P021
Q15185 Q12933
O15294 P48552
P68400 O14830
Q9UHD2 Q16625
O60264 P51946
P28482 P56693
P02545 Q9Y3F4
Q8N1V2 Q13094
P04049 P54259
P05067 Q12933
Q9H4G0 Q15700
P40763 P62328
Q8IUC6 Q9H0H5
Q07021 Q7Z3S9
P62993 Q96FN4
O75175 Q8IXK2
P06241 P36955
Q13137 Q9UGR2
Q92598 Q13501
Q9BSL1 Q07812
Q8WXI2 Q9UGU5
Q03164 O75475
Q9Y698 P54257
Q8TC90 Q9HB71
P10586 Q15428
O60341 Q15746
P04150 P21728
Q01844 Q06265
Q13315 O15525
Q99638 P09917
Q9UI14 P29279
O95274 Q8NA92
Q5T3J3 P12270
O95970 Q9NPJ4
P01042 Q15843
O15111 Q9NYJ8
P06493 P10451
P19174 Q9H063
Q13616 Q9UBK2
P19838 P17612
P36897 P24385
O95136 Q969T4
Q9Y6K8 P01185
O94763 Q9UK41
P62491 P00491
Q86X55 P24588
Q13111 Q09028
Q9Y2X7 O00622
P06239 Q7Z419
O00401 P21802
Q13277 Q13415
P63027 Q15788
P10275 P28290
P60953 P61978
P51159 P27361
Q14192 Q15018
P55318 P01579
P51617 O43615
Q13368 Q12791
Q07889 P43681
P48147 P61586
P49789 P98082
Q16820 Q9BSW7
Q9P0L0 Q9H467
P56524 Q8TD16
P49916 Q96LR2
Q9BYN8 Q9BUB5
O75553 Q14687
P13569 Q7Z478
Q9HAU5 P68036
P02545 Q9BR76
P06400 P17301
O75312 P40424
P25445 Q13114
P07948 Q9UJC3
P15927 Q8NI35
Q5TD97 Q9Y3Q8
P17948 P25789
Q9GZY0 P04004
O75934 P32245
Q9Y239 P52292
P05067 Q13813
Q12929 P43405
P08514 Q15398
P15923 P67775
Q09472 P35579
Q92835 P42285
O15357 Q9HCE7
P24928 P21796
Q99623 Q13057
Q14739 P01100
O14964 Q9Y6M9
P42574 P26010
P17252 P08697
Q09472 P09769
Q96J02 Q9HAV4
P60903 O76070
P19793 Q12959
O15379 Q8IYM9
P20226 P00749
P49023 Q14155
Q01955 P09237
Q15796 Q8WVJ9
P06493 P35968
Q99541 Q16526
O43464 Q96QF0
P43364 P20151
Q99708 Q9NY61
P19174 P63252
P22681 Q99683
P38398 Q9GZR7
P40424 Q92843
Q16270 P04155
P00533 Q9BXR6
P29466 Q9BXR0
P24385 Q9NY26
P35222 Q15648
P08473 P20823
P61981 Q9Y3B2
Q92686 O43390
Q58WW2 Q8N2W9
P16333 P04150
P35372 Q9NP87
Q15834 Q8IUC8
Q02750 P09086
P54105 P22001
P05067 P23229
O43561 Q13571
P10588 Q6IA69
P61981 Q9UKF6
P16333 Q86UW9
P19320 P03950
P09104 Q96T21
O14908 P61956
Q15119 O00231
P21554 Q14669
Q9Y2Z0 Q05586
O60260 Q9UNX4
P68363 Q9H0I2
Q9NUQ8 P12259
Q7Z6B0 P15036
P22681 P49747
P41235 Q8NHU6
P53779 P49662
P78368 P16234
Q15834 O76031
P27487 Q12906
Q04724 Q12968
Q14103 P05386
Q06455 P60520
P51809 Q96PY6
P19838 P51659
P27361 Q8WUM4
P25942 P35637
O15105 Q9Y2L1
Q12959 Q99801
P19022 Q9NZ42
Q96PU5 Q96RK0
P05771 Q9Y4H2
P54278 O75928
P15151 P29372
P12643 P43146
Q9HD47 Q9UNH5
Q02446 P08138
P30419 O15198
Q15834 Q06547
P16885 P17302
Q9H633 P17676
P31946 P21246
O14983 P60880
P00374 P99999
P27986 Q05519
P35590 P40238
P42575 O95704
Q13485 Q99417
P28482 O00161
P63010 Q8WXI2
P31269 Q15596
Q9H8W4 P35222
P24941 Q9H0I3
Q05519 P25025
Q16594 Q9Y6M7
P29350 P49768
P15923 Q15208
O15198 P30411
P34932 Q9P286
P19793 Q7L5D6
P61586 O43379
Q07889 P49840
P17252 Q9Y5B0
P17252 P12755
O15162 Q6PML9
Q01968 Q15884
O60381 P27105
Q01826 P05106
P02741 Q53TS8
P41222 Q99593
P16885 Q92793
Q12933 P84022
P06241 P54108
P01730 Q96A23
O14508 Q13114
P35568 Q9Y698
O00308 P61088
P27361 Q9Y5T5
Q01844 Q13322
Q96I34 Q99750
Q16576 P35670
P06241 P08887
P22670 Q9Y2W1
Q02548 Q96JA3
O95402 Q96JE9
P17275 Q86XS8
P63279 P27361
P55212 Q9Y620
P42858 P19388
P03372 Q13123
Q96ID5 P16157
Q8WW38 Q96MN9
P02452 P84022
P01116 P49418
P54845 O15304
P19525 Q9UIV1
P50613 Q86X95
Q15788 O75569
P38398 Q9Y6Q5
P04150 O75446
P48634 P49286
Q00059 P11161
O95551 P18146
P46108 P30153
P36542 P09471
P11137 Q13191
Q99816 P20042
P02774 Q9NS23
O15111 Q9UHJ3
P47897 O43463
P48436 P40818
P60484 Q16637
P32246 Q9Y5N6
P40763 P01270
P08253 Q07687
Q8TCJ0 P08195
O43768 P56159
P32780 Q14566
P03372 P52630
Q5VT25 P40818
Q96B26 P29274
P46821 P51948
P42574 Q8NBJ4
O95376 P08603
O15379 P38646
P08581 Q15596
Q04912 Q15642
Q12846 O60238
O43559 Q13641
P17612 P17181
Q9Y618 Q13387
Q15388 P63096
Q9NPI1 P42858
O15145 Q9NZ32
P07384 P12757
Q04637 Q14520
P61981 O95477
Q5RL73 Q8IVH8
O75146 P40616
Q5JWF2 Q9NYG5
P52655 Q15648
Q24JP5 Q9Y333
O15151 Q12888
P48551 Q12809
Q92530 O60504
P19174 Q8TBZ2
O14776 P12882
P51677 Q03181
Q05655 P35372
Q13444 Q96PN8
Q9UKR5 P26599
Q9BXS5 P19878
Q01130 P36941
P08729 P47870
O15144 Q15375
Q09472 P63104
Q5FBB7 P37198
P45973 Q16236
P12931 Q8TEW0
P09958 O60331
P61204 Q9Y3F4
P26641 Q03188
Q9UBW7 P27448
P21673 P52655
P35222 Q49AN0
P68400 P16070
P23229 P25440
P78559 Q9BXH1
Q9UHY1 Q16236
Q07666 Q7KZF4
P12956 P42858
Q9H840 O75376
