P12081 O60232
P07202 Q9NZJ7
Q92572 Q92934
Q12772 A0A5B6
O15534 Q13017
Q9BXW9 Q96BT3
Q86SG3 Q15257
O75478 P12004
Q969H0 Q13042
Q02363 O75475
Q02363 Q9UKJ5
Q07864 P51808
Q99081 P46777
Q9UHR5 Q13573
P49005 P00451
Q8IZH2 P82930
P09874 O75818
P10109 Q9BRG1
P03372 Q9GZY0
Q9Y3C7 Q9Y248
P21246 P13611
P26639 Q5T3J3
O14656 P01031
Q5T3J3 P35222
P15941 Q8TBR7
O76003 Q96CQ1
Q9P2H0 P30533
P63208 P49842
Q9BQ66 Q9UHV9
P50542 P51610
O95994 Q96CJ1
Q12770 Q86XP6
O60383 Q9Y6V0
Q96FX7 O76080
P49959 Q9UBU3
P61201 Q9NZN8
P62258 Q15596
Q8IZD4 P21854
Q8IYF3 Q07666
O75475 P20273
P35222 Q9NQB0
P0DN86 Q99460
P17480 P04114
Q15834 Q8WXE9
Q01113 P43034
O14980 P0C0L5
P25208 P0C1Z6
Q8IZH2 P99999
Q5RL73 P50591
P03372 P43034
P68400 Q9Y3M2
P52434 Q99547
P02686 Q13901
P54253 Q96QK1
Q07817 P29084
Q9UN86 Q16576
P32780 O14893
P68400 P14174
O95251 P48552
Q9GZS1 O14544
Q06330 Q9H0I3
O43592 Q13790
P12956 O14727
P46977 O75716
O14920 P63208
Q9H1D9 Q9UQ80
P25054 Q9Y247
Q9H269 O75691
P24385 P04075
Q00610 P02818
Q92845 Q6P1Q9
Q9BYG5 Q7L5N1
Q03135 P27701
Q12959 Q9NQB0
P12004 P34981
Q07864 Q96ID5
P30793 Q96QK1
Q9UPW5 Q9UMX3
P27701 O00220
P02774 Q96ES7
Q92966 P23352
Q13033 Q07065
Q96RU7 Q5T124
P54253 Q9GZT6
P42345 Q12923
Q9UKR5 O75419
P02647 Q92945
Q12906 Q13352
Q8WZ42 P19419
O43913 Q9Y6D9
Q7L590 O14793
O75925 Q99627
P05067 O60925
Q9Y5K6 Q9UP83
P31785 P78324
P49247 P16298
O43913 P68400
P78549 O95251
Q8IZU3 O95865
Q6ZMT1 Q14739
Q13571 Q08722
Q16635 Q9NY33
Q86YW7 Q9UP83
O43683 P52948
P32780 Q15834
Q07889 Q14134
P51587 P13569
Q9GZP4 P18428
O95251 Q9GZM8
P53618 Q9UIA9
P05067 Q8WZ42
P04844 Q09472
P35222 Q03113
P20618 Q9BUI4
O43809 Q92574
Q49AN0 Q96EV8
O15360 Q9BVC3
P32780 P52434
Q5RKV6 Q13042
O15287 P17509
Q9Y4H2 Q9UHF0
P21673 Q16740
Q9HB96 O60443
P13612 Q9NQB0
P24385 Q86XR7
P05067 Q9BZW7
P80075 P25101
P61764 P06400
Q07864 P26599
P13807 Q9NV56
Q03181 P07737
Q00403 P00480
Q16891 Q8NHQ1
P06400 P01583
P30305 Q5T681
P35222 Q8NDV3
P19447 P35225
Q7L5N1 O14775
Q9NP98 Q99497
O95163 P05060
P02647 P19419
Q8N715 Q9UNE0
P62380 Q9UJX3
Q9GZT8 P68400
Q15477 P20963
Q9Y2X7 Q5T5C0
P67870 Q9HCU9
O14727 Q96G75
P16581 Q9UGJ1
Q9H840 Q8WXF8
P26368 Q0P6H9
Q5RL73 O75923
O43913 Q8NBJ4
O75665 O75528
Q92611 Q07889
P51946 P04053
Q96RR1 Q9UJX4
P03372 Q14739
Q96M91 Q13503
P0CAP2 Q8IZJ0
Q15011 Q96LK0
Q16576 P15509
Q13571 Q9GZT6
Q7L5N1 Q5JVF3
Q9Y5K6 O00203
P25054 Q99567
P54253 Q9Y6X1
O14745 P63241
P30305 P98164
P54253 Q9BZW7
O60566 O15155
P21359 Q9BRG1
Q7L5N1 Q13563
Q9Y5K6 P00374
Q8NB12 P23352
Q86YV9 O14976
Q9UPT5 P02766
O15145 Q9BTY7
O95084 Q8WY41
P49768 P08571
P05067 Q92878
Q15642 Q15274
Q15834 O00165
P35658 Q9BZZ2
Q5T3J3 Q9NPJ4
