Q76FK4 Q15041
Q5RL73 Q12929
Q15834 Q8IYF3
Q5UIP0 Q10570
P03886 Q07065
O14744 Q96QU8
P68400 Q15834
O14980 Q7Z6Z7
Q15834 Q9UJX4
O60762 Q92859
P06400 Q15464
Q16891 P14209
Q13224 P41227
O75925 Q9NRI5
O14920 P78406
P11137 Q9NRA8
Q86YN6 Q9GZM8
Q5T3J3 Q08999
Q9UPT5 Q7Z6G3
Q7L5N1 Q9NTK1
P78345 Q96EP0
Q9Y3C7 Q9BW71
O60356 Q9Y2D8
Q9Y6D9 Q969H0
Q5T3J3 Q96GX8
Q7Z412 O95273
P30876 Q9BYG5
Q13285 Q6NUQ1
Q9NXU5 P41091
P22570 Q92828
P35222 Q13416
P46777 O75665
O60232 P49903
P13010 Q07864
Q9Y6K8 P63220
P43351 Q92979
Q5RKV6 P37108
P06400 P10997
Q14061 Q02363
Q63HQ0 P02545
Q53TS8 Q9H0R4
O95219 P46777
P49736 Q15834
O60907 Q9BRR6
Q09472 Q13480
Q9UGL9 P61247
O43395 O75528
P49356 O00161
Q9Y4Z0 P19838
P21246 P00966
Q16665 Q15102
Q9Y3F4 P43351
P19447 Q9BQD3
P09874 O15294
Q09472 P55259
P49005 O00566
P20930 P22087
O75818 Q96EU7
Q5T3J3 Q9NWY4
Q07864 O95359
P05113 Q9NRA8
O75330 Q9UK99
P13010 Q9GZP1
Q6VY07 P15941
Q15633 Q9NZD8
P54253 Q86X76
O14920 P07766
Q9UIF7 O95149
Q08211 Q9H1D9
P02751 A1L0T0
P21246 Q14191
P21246 Q9Y6B7
P59665 P21583
P54253 O43592
P78527 Q5VWN6
Q12923 P30260
P35222 Q5T3J3
P38432 Q5FBB7
P23258 P02652
O14727 P46777
P61289 P08476
P98164 Q9GZT6
Q13042 Q9GZZ8
Q13094 P12272
P06400 Q6P2C8
P49356 P37108
Q9GZR7 Q9BTM9
O75534 Q9NRX1
Q07817 O00499
Q9C0J8 Q14974
Q9Y3F4 Q8IUD2
Q9Y2X7 Q13563
O14662 Q13224
Q05586 O75381
P34981 P00966
P35222 Q13077
Q9H1I8 P14324
Q9Y3C7 Q8TEL6
Q13224 Q96G04
P20963 P51809
P27694 Q6P1K2
P13686 Q9NP59
Q92908 O15514
P02766 Q8IZU9
Q5RL73 Q8NDB2
P18206 Q53FD0
P52630 Q02363
P35222 O43657
Q9H1I8 O15287
P27824 O60566
P13686 Q15025
P61218 Q149N8
O00267 Q9NYH9
P19438 P37198
Q969H0 Q9P1U0
Q00610 Q4KMG0
O43913 Q01780
Q16635 O60664
P12956 P51587
P21246 O95793
Q14974 O43633
O00311 Q12888
O43913 Q9GZT8
Q09472 P48552
Q9Y3A3 Q93033
Q8NI08 P23258
P46379 Q99698
O14746 P04075
Q9BWC9 P18627
P12272 P19320
Q9UPY3 Q13200
P42704 Q8IUM7
Q5FBB7 Q12959
Q16514 Q14146
Q9BV38 Q9H8K7
Q07817 Q7LFX5
Q5T3J3 Q03167
O15360 P61218
P21246 P63241
P20382 O75348
P54253 P51587
Q6P1K2 P46527
P38432 Q03431
Q96ID5 Q4V328
O75052 P00540
Q8TDM6 P27695
P20366 Q7L5N1
Q13033 P14902
Q9UKR5 P78346
Q15834 Q8N5M1
Q9UFF9 Q9NPI5
P13051 Q92902
Q12834 O15116
Q14181 O75688
P19838 P00813
P49454 Q9Y4E5
O43395 Q15642
Q96A65 O14745
Q12888 Q03135
P00558 Q9NWV8
P14778 Q9HC16
P06401 Q16666
P46777 Q14524
O14746 P18428
Q15834 Q9UJX3
P06400 Q15102
Q5RL73 Q9NXE8
P15927 O95793
Q99689 O00161
P03372 P81172
Q8WX92 Q9Y6B7
P19838 P02649
Q9UDY2 P0CAP2
P16871 Q9GZP1
Q9HCU9 P09917
Q92966 P12004
