Q9BQ66 Q9BT49
P36542 O43676
Q9Y2N7 P40337
P62258 O60269
Q01844 P17096
Q16778 P24522
Q9UN36 Q70IA6
O14893 P26368
P61218 P19388
Q99689 P21246
P62979 Q13485
Q13895 P38432
Q8ND90 P0CW24
Q6EEV6 P31689
Q9HBH7 P47874
P84095 Q13485
P49888 Q7L5N1
Q9ULC0 Q9NPF4
Q15796 O95630
P25787 O14818
O95630 O15105
P62487 Q01844
Q99627 Q9UNS2
O43414 P04156
O00590 Q9NRJ3
P16473 P50148
P55211 Q92851
P26368 Q9NVV9
P01732 P17693
Q9H444 Q96FZ7
Q12962 Q15543
Q15544 P49848
Q16611 Q07812
P09455 O95237
O60507 P51685
P63167 Q8NA92
O95452 P29033
P21796 P51808
O95997 P46783
P49286 O15355
P21453 P08908
Q99689 Q8N8D1
P08133 P55327
Q9H4E5 Q13485
Q13432 Q9BXR0
P19388 Q92804
P30990 O95665
O14618 P00441
Q99717 O00231
P46736 O75971
Q00994 Q9NR28
O95166 P18507
P62312 Q9Y4Y9
P00747 P19875
P19387 P15173
P28336 P08949
P78345 P78346
Q9Y296 P34741
P49247 P51116
P30874 O95837
O15127 O00161
Q96RJ6 P15923
P51116 O60232
Q92934 Q07817
Q16637 P10415
P61247 Q9H6J7
Q15365 Q96PU8
P28074 P49720
P63279 Q06787
Q15388 P00374
P61604 P05091
O43521 Q92843
P31944 P49662
P55916 P31946
P62306 Q8WXD5
Q15843 P04637
O95999 Q15819
P27824 P23945
Q8N4A0 Q14242
P25025 P25024
Q9P0L0 P23763
P14210 P00749
P47928 Q02535
P48549 P48051
P63167 O75390
O95777 Q9Y4Y9
Q99819 P62745
Q9UK45 P62312
Q06643 P01374
P16150 P09382
Q02535 P13349
P01112 P61224
O75909 Q93062
Q92597 P26641
P63172 P21796
O43347 Q8ND90
O14893 Q07955
Q8N8S7 P07737
P12004 P24385
P43119 Q5JWF2
Q9UBS3 O95907
Q15011 P49768
P04792 Q9Y3C7
P12004 P24522
P61769 P01732
Q9UQN3 Q9C005
P51116 Q9NVV9
Q5XLA6 Q5EG05
P02489 O75390
O43291 Q04756
Q9NX08 Q9NRX3
P42574 P11831
P16619 P51681
P01138 P00747
Q13011 P26641
P04899 P25101
P63279 Q92481
Q5RKV6 O43809
P52566 Q15669
Q5RKV6 P84103
P29508 P25774
Q9Y3C7 Q9BTY7
P30101 P04921
Q9UJ70 O15198
Q13505 O75431
P55316 Q12778
Q9NXR7 Q9NWV8
P26368 Q07955
O75526 P62995
Q13432 P49888
Q16570 P42830
Q9NQG6 P61981
Q13485 P25686
Q03135 P22307
P41143 P30679
Q96G25 Q8TB05
P10082 Q15761
P62491 P49768
Q9BUL9 O95707
Q9UI14 P20336
P80075 P41597
Q16695 Q9Y294
P10145 P02776
P62312 Q16637
O75446 Q05195
Q9UGJ0 P54619
P15813 P27797
P04155 Q86XP6
Q14469 Q9HB96
P04637 P23511
P21673 Q9BSH4
P01042 P25774
Q9NP98 O15273
Q07955 P01732
Q01844 O14604
Q13541 P53602
O15144 P59998
P49703 P31689
O15127 O15126
P84022 P08621
Q9NTM9 Q6IA69
P14867 P21917
Q9UK45 Q16637
Q13087 P27797
P13693 P50993
Q14919 Q16594
P12236 O95084
Q9GZZ8 P18827
P56817 Q92945
Q8TCG2 P20963
P29274 P00813
P08697 P59665
Q8IW19 Q13426
Q05195 P12524
Q9NT62 P60520
Q07955 P08621
P31946 Q96F86
P15813 P27824
O43908 Q29980
Q16594 Q00403
Q12972 Q9UKR5
Q86UU5 Q5YKI7
P31947 P26651
P99999 P10109
Q8N668 Q9NX08
P15927 Q13432
Q9H081 Q6P1K2
Q13323 Q16548
P51681 P28066
Q16611 P21796
P14416 P29274
Q5XLA6 P57730
P84022 O43524
O75554 P14678
P62310 O15116
Q96B26 Q13868
Q9NWT6 P40337
P40337 P62487
P04083 P21462
P60953 Q00587
P30411 P30556
P22674 P12004
Q15544 Q15545
Q15906 Q99750
Q9NP64 Q9H307
P51513 Q15365
O75379 Q9BXS5
P59998 O15145
Q13503 P20290
Q969V1 P20382
Q86SG3 Q92904
O60682 Q02363
P52435 Q9NY61
Q7L5N1 P14174
Q9Y3A3 Q96KS0
P63167 P00918
P08246 P48061
P00749 Q03405
P08519 P27824
P61981 Q15287
Q15904 P69905
P31946 Q9Y6M7
Q14653 Q7Z434
Q99750 P15173
P00742 Q9Y478
Q9Y3A3 Q9BTT4
Q96P63 P08697
Q14582 Q9UH92
Q07817 P04637
Q01658 Q9NRF9
Q9UI14 P20338
Q658K8 P26641
Q99750 A6NN06
P20338 P04179
P41159 P02741
Q15365 P84103
Q13242 P62995
P15374 Q14CW9
Q96PU8 Q9NVV9
P38159 O75525
P01040 P21246
P53611 P62491
P55916 P27348
O95630 Q9H444
Q9NRJ3 P51677
P49848 Q15545
Q13952 Q15796
Q96AE4 P51946
P14555 P18054
Q9Y5U5 Q9UNG2
Q14978 P67870
Q16570 Q92583
Q9Y235 P41238
P42574 O00273
P56817 P49768
O95166 Q9Y4P1
O00303 O00165
P13765 P28068
O95989 Q9H0T7
P30926 Q15822
P07305 Q8NC60
O75506 Q9Y3C0
P26718 Q6H3X3
O15116 O43776
P52565 P61586
P68871 P00738
Q9H4M3 P63208
P47890 Q9NY56
P21695 P21246
Q9Y4Y9 Q9Y333
Q96CW1 P55087
O95084 Q8NB37
P48039 P04899
P83876 P52597
P25685 Q00597
Q12962 Q15545
P05060 Q14151
P04437 P01889
Q96RD7 Q99572
Q9UIV8 P07477
Q9NQT4 Q9Y4Y9
P14672 P04406
P09471 P30542
P31946 P84103
P20226 P25208
P62306 P62304
Q9Y6H8 P17302
P61758 P40337
P26641 P24534
O43927 P32302
P03952 P26927
Q9BXK5 P60520
Q15672 P15923
O75446 Q16695
P22695 P31930
P29466 P49810
O00585 Q9NPB9
P09564 P07711
P01732 P09382
Q9Y295 P17542
Q9UBS4 P41238
P30307 Q04917
Q99547 O75821
P62380 Q8N357
P29466 Q07817
P17540 Q13432
Q99717 Q9BWF3
Q9ULZ3 P29466
Q9Y261 P30301
P63162 P04637
P01042 Q03405
Q9BQ95 Q13485
Q06141 P12429
Q7RTU3 Q99081
Q9UHF4 Q13007
O00165 P27348
P49146 P01303
Q15633 Q9H0R4
Q9NPD3 Q9NXE4
P62070 P84022
O60516 P06730
P81534 P51684
P05154 P07288
P04792 Q15181
O60383 P04183
Q7L5N1 Q9UNS2
O95777 P62312
Q13432 P36404
Q99547 Q9NP97
Q14520 P01042
Q9UKR5 Q9BWC9
Q9BUL9 O75817
P26641 Q9Y3C7
Q16890 O75822
P56537 Q92665
Q96CJ1 P0C1Z6
Q9NT62 Q9GZQ8
P46527 Q04917
P24522 P02792
P10144 O00273
Q99447 Q8N371
Q9UNW1 P11831
Q9UGJ0 Q9Y478
P68402 O95149
Q7RTS3 Q99081
Q9NQX7 P56817
Q00587 P17081
O00168 P05023
O15116 O00299
Q16143 Q96BT3
P55316 O75593
P10323 P05154
Q9UL46 Q06323
P51671 P60174
O43809 Q16630
P56597 Q8WWB3
Q6EEV6 P52597
Q02363 P15172
Q9H6P5 P52655
Q16778 P00709
Q13432 P20963
P62826 P02686
O60238 P17152
Q9Y2N7 Q9H6Z9
P37288 P01185
Q86X55 P11940
P09693 P04234
P09341 P25024
Q03135 Q10588
P42677 Q9UHY7
P27701 P01903
Q8TD06 O95274
Q15631 Q99598
P51677 P13501
Q9NZC2 O43914
P31947 Q07812
P28223 Q13232
Q01718 P42127
Q9BXP2 O95639
P63104 P55042
Q9HD36 Q16611
P61978 P67809
Q13438 Q9GZT9
P98175 Q9UKA9
O00168 P05026
Q9Y6R1 P00918
Q9UHQ9 P99999
P14672 Q92791
O95372 Q9Y3C7
Q01844 Q9UEE9
Q6EEV6 P04406
Q8TAI7 Q15796
P60953 Q9UKI2
Q99583 P61244
P07477 Q16762
P49407 Q14749
P62316 P62314
P48039 P08754
Q6WBX8 Q99638
Q9BWG4 Q9UBH0
Q9H444 Q9Y3E7
Q99731 P46092
Q5RKV6 Q9NPD3
P02686 P01903
Q9H237 P56705
Q13485 P61244
P51679 O00626
P62979 Q15038
Q92597 P51659
P04439 P27824
O15467 Q9H3N8
O95059 O95707
P61981 P31946
Q96HE7 P07237
P54619 Q9Y478
O43613 P21554
P49005 P38936
P01127 P01112
O95630 Q8WYA6
P20151 P01011
Q6X4U4 P12644
P07858 P05019
Q12983 P17152
P36575 P08100
Q99750 Q96ES6
P30679 P08172
P03951 P00734
P50402 Q7L5N1
O95218 Q16637
Q86UU9 P25103
Q9UKK6 P62826
P48039 P27797
P20042 Q9NR50
P32248 P46092
Q6EEV6 P32119
P51685 P13236
Q16890 O43399
Q6EEV6 P50213
P62917 Q9H6J7
P06858 P11597
P67870 P49427
Q9Y2N7 Q96KS0
O00451 Q99748
O00303 O15198
Q9NVN3 Q5JWF2
P56589 P40855
P20042 P05198
P32780 P29084
P10415 P49768
P36542 P21246
P31947 Q92934
Q04756 P14210
Q9BZG1 Q13485
P01185 P30559
P24530 P29992
P35346 P14416
Q96RK1 P05549
P21673 Q9NPI5
P31025 P02788
Q9HB71 P63208
Q9ULW3 P20226
P12532 P21796
Q8TBE0 Q9BQ66
Q92934 P27348
Q6EEV6 O75874
O14893 Q16637
P53611 P62820
Q92886 Q15797
P63279 P63165
Q02535 P15172
P56537 Q02878
Q08722 Q02094
Q13087 P04406
P20226 P29084
O43715 P04637
P19397 P60568
P38432 Q9H2G4
Q15796 Q96GG9
Q01130 Q15696
Q15102 Q8WUX9
Q30201 P61769
P35372 P63096
Q53FA7 P26641
Q9HCG8 Q96B26
P40305 P24385
Q07666 P61978
O75525 Q5VWX1
P52597 P31943
Q8NCG5 P28906
Q9BY08 Q15125
P63104 P30307
Q14749 Q6ZVK8
P34741 P01008
O14842 P63096
P16619 O00590
Q9NZ81 Q9BQ66
O60232 Q9NP79
P49913 P24158
Q02078 P63165
Q03013 Q13432
P01009 P24158
O15371 P55010
O00451 P39905
Q9UBQ5 P30281
P51114 Q9UKR5
O00590 Q99731
Q13253 P12644
P84103 Q15366
P61981 Q8ND76
P26641 Q8IYL3
Q9NPD3 O77932
Q05195 P61244
P47224 P20336
P35080 Q03405
Q15035 Q00403
Q9H228 P63096
Q15388 P10415
P47756 Q9P287
P21796 O43521
P57729 Q13485
O43570 P47929
P61970 P06454
P05060 O15527
P07237 P15813
Q9UI14 Q96HA8
P48051 P14416
Q96B26 Q9UK45
P00387 P69892
P03951 P08697
P62308 Q96D03
P38484 P15260
P50148 P21731
P42830 P25024
P05155 O00187
Q01844 Q8N6R1
Q5RKV6 Q13868
Q9UNS2 P58340
Q9UI14 P63027
P06681 P48740
P49703 Q8N129
Q16553 P20963
P01112 P09382
P30533 O15355
Q9GZZ7 O60542
O43914 O00241
Q8NCW5 P02652
Q14344 Q03113
Q06265 Q9NQT5
P56537 Q8TC92
P00734 P01008
Q16778 P06454
Q15797 O00231
P51677 P10147
O14744 P62314
O75569 Q7L5N1
P62330 P32121
P56539 Q9NSA0
O43719 P08621
P63104 P20941
Q9BQ66 Q9BYD3
P62316 P26641
P17538 O95274
P31947 Q15884
P21796 P12532
Q9NQT4 P62875
P60953 P04637
Q9UMX1 Q15274
Q13585 P49286
P14635 P38936
Q99623 P15172
Q8NG41 P48146
P36382 Q9Y312
Q99717 Q15797
P21246 Q9P287
Q15102 Q13432
P30926 P43681
O60832 O95372
P15104 Q6ZVK8
P01009 P07477
Q15049 P13693
P59998 Q9BPX5
P39748 P09651
Q9NPG2 P63096
O75915 P51681
O60383 Q9Y6M9
Q16629 Q16630
P61981 P62995
Q15370 P40337
P12429 P04637
P68402 Q9Y294
P04637 O00231
P00966 P15502
P29966 P07858
P30304 P41227
O75807 P05198
O14948 P19532
Q13485 P13987
O75525 Q9Y580
P04183 Q14919
O14925 O60830
O75525 Q07666
P51681 P10147
P16619 P51677
Q13485 P08621
Q9UKX7 P46527
Q16890 P63104
Q9NPH0 Q8N357
Q96CW1 P35368
Q9NY97 Q96EU7
O43908 O43914
Q99814 P40337
P26368 Q9UHX1
P17081 O00401
O95870 P03905
O43402 Q15006
P63279 P04637
O95999 P55211
P61978 Q15424
O95257 O60383
O60563 P15515
P15884 P50553
Q13438 Q16665
O75821 O15372
Q5JWF2 P30542
Q8N9M5 P61981
P02100 P69905
P61981 Q9H307
P09693 P04437
Q02556 P14316
O14744 P54105
O95777 P62314
P63279 Q13867
P16473 P08754
P04234 P20963
Q9Y2P4 Q9NTM9
P41595 P50148
P67809 P84022
P01034 P07858
P46952 Q99259
P01116 P49354
Q99705 P20382
P04406 Q06830
Q92597 P05023
P35346 P30872
Q99750 O60269
Q8WXD5 P14678
Q96EB6 P04637
P52298 P31943
Q9UHV2 Q14CW9
P68431 Q9NVP2
O15198 P78543
P30939 Q03135
P31946 P26651
Q9H840 P62304
Q9H944 Q96G25
P00918 P48751
Q86YB8 P07237
Q14802 Q8NC51
P50453 Q7L5N1
P02776 P34741
P0DML2 Q13485
P41595 P29992
P29275 P00813
Q99743 O00327
P58753 Q15629
P26718 Q29983
P54252 P29466
Q99717 Q9Y3E7
P26641 Q9BUT9
Q56P03 Q9Y312
P51679 P10147
P49662 P42574
P30301 Q9Y6H8
O95400 P83876
P51116 P51114
Q96IZ5 Q86SE5
Q9UBQ5 O75821
P15173 P41134
Q99547 P60866
P11166 Q7L5N1
P01112 P30304
P26641 Q7L5D6
Q9NXU5 Q9BWH2
O75439 Q10713
Q15006 Q9Y3B6
P56537 Q9BWH2
O00204 P49888
Q9BWC9 Q5RL73
Q6EEV6 O43291
P43235 P01042
Q99726 Q92572
Q9Y6X1 P27824
O15315 P07305
P62324 Q9UFF9
Q06495 O95070
O95968 O75556
Q99967 Q92754
P59768 P08172
O15342 P36543
O43837 P51553
Q12988 Q16082
Q9BQD3 Q8IY31
Q15796 P08621
P41597 P51671
P09693 A0A5B6
Q00403 P29084
P13236 P10147
P01148 P30968
Q9NPQ8 Q14344
O15519 Q92851
A0A5B6 P20963
Q96BY2 Q07812
O60573 O60516
O00626 Q99731
Q15233 P51116
P78346 O95707
Q99583 Q9UH92
Q96B26 Q9NPD3
Q86XR7 Q14653
P09471 Q13956
Q99081 O95084
Q13432 P07766
P09651 Q86U42
P51116 Q86SE5
P31944 P29466
P21246 P07237
Q06265 Q9NQT4
Q16181 O14613
P30279 P46527
Q99616 P41597
P23246 Q8WXF1
P62258 P61981
P35659 P05549
P00749 P35237
Q07352 P68402
Q9BRA2 P63167
P41134 P15884
Q13310 O15198
P30990 P30989
P0CAP2 Q9NVV9
P27540 Q9HBZ2
Q9UIV8 P24158
P01732 P04439
Q96F86 P26651
P10114 Q15797
Q14181 Q8NAV1
P50552 P35080
P26641 P61981
P43119 P29992
Q16206 Q8TC92
P63104 P62995
Q6EEV6 O43396
Q9UIV8 P00747
O95292 P23763
Q16654 P08559
P28223 P29992
P59665 P59666
O00273 Q9UHD4
P36575 Q93091
P49356 P01112
P23409 Q02535
P14866 P27695
Q15797 Q13485
O75293 P12004
P28222 P08908
Q99848 P11487
Q9UK58 Q01130
Q06265 Q13868
Q01844 Q9NPC6
O43908 Q29983
Q9BV40 O00161
P21953 P12694
P52566 P15153
P26368 Q01081
P24666 P15090
P49675 Q99689
Q9H237 P56704
Q01844 O60637
P21673 Q96I25
Q8WVN6 P09564
Q6P1Q9 P49810
P06748 P04637
P63279 Q8NDC0
Q15038 Q5VWP2
Q92633 P08754
Q96FW1 O15198
O60704 Q14242
O94907 Q99750
O43837 Q15286
P05386 P21673
Q16890 P55327
Q9Y333 O15116
Q16637 P14678
Q96H20 Q9BRG1
Q9UBU3 O43193
P78324 Q08722
Q14654 P63252
Q01844 Q8N684
O75528 P04637
P08311 Q14242
P27824 P22888
P16473 P22888
P61981 Q96HS1
P61981 Q9BPZ7
P32121 Q96G25
Q9Y3B2 Q06265
P51681 P49407
P30559 P32121
O95059 O75818
P61981 P27348
P04179 Q7L5D6
P56470 O15145
Q96NY7 P14416
Q9NPD3 O95297
Q92905 P31151
P14672 P48735
P37108 Q9UNZ2
Q01167 P60568
O00322 O00526
Q07820 O43521
Q5RKV6 Q15024
Q13432 O14569
P61981 P04637
P36404 Q9Y2Y0
P09871 P05155
P42574 P61289
O95751 O95990
P63279 Q96B23
Q9BSU3 Q16665
Q00587 Q9BPZ7
P20290 P67870
P48039 P61026
Q15054 P12004
P34972 P30679
O75593 Q13485
P30281 P38936
Q96DN0 P30101
O43570 Q9BYD2
P60900 O14818
Q7L5D6 Q8NBM4
O00590 Q99616
O95273 P24385
Q13952 P25208
P61978 P38159
Q13573 Q86U42
Q9H633 P78346
Q92945 Q13868
O60725 P61586
P49913 P08311
Q13323 Q07817
P25101 P14138
P14678 Q9H1I8
Q99750 Q08E93
P09467 P56134
P42575 P18509
Q8IVH2 Q9H334
P10144 Q13426
Q01844 Q99750
Q5RKV6 Q06265
Q8ND90 Q96BZ8
Q01518 P50452
O14836 Q9Y275
P40313 P01011
P02787 P27797
P10415 P99999
P56817 O95415
P28072 P22087
P05091 Q8N357
Q96FJ2 O60269
P52655 P35269
P42575 O15519
Q14181 Q86U06
P21673 Q7L5N1
O15392 P55211
Q15038 Q8WV99
Q13326 Q14714
P57729 Q15797
P84022 P05388
Q9NR33 P56282
P00740 P00734
P49703 Q92597
Q9Y5X5 O15130
P51681 P02771
P62979 Q15797
P61086 P04637
Q9UBP5 Q14469
O60507 P41597
P14210 P80188
Q99689 Q6PGQ7
O95989 P62917
Q9Y580 P84103
P58753 Q8IUC6
P12643 O60565
Q16594 Q16514
P04792 Q9UJY1
P02787 P27824
P0C1Z6 Q96JC9
Q99805 P51151
Q9NQS1 Q07817
P08697 P00746
P12277 Q8N6R1
O60704 P32246
P21673 P26641
Q9BXS5 P11279
Q9UBQ5 O75822
Q99574 P00747
P14555 P04054
P10144 P55211
P60033 O14817
O75807 Q12824
Q8IUM7 Q9HBZ2
P04899 P14416
P61978 P20226
P52655 P20226
Q5RKV6 P26651
O75439 Q16595
Q13526 P0CG47
Q9UMX1 P17096
Q8IZ57 P00995
O75525 Q92530
Q92754 P04637
Q92963 P84022
Q01844 Q96AQ9
O75628 P27348
O14610 P48050
Q9H0Q3 Q5RL73
P02792 Q99547
P49286 Q13151
Q6EEV6 Q9UQ80
O43613 O43612
Q15637 P26368
P19397 P21926
P21964 Q99732
Q99081 P15923
P02766 Q7L5D6
O94818 O75971
P49903 Q8N357
P63165 O95551
Q99735 Q9H0R4
O00189 O60359
Q9P086 Q96G25
O95273 P82933
P30301 P02489
Q6P2C8 Q96HR3
Q96GG9 Q13571
P52566 P60953
O75293 P38936
Q9NRW1 Q15797
P56537 Q13438
P57729 P84022
P21266 P28161
Q9GZP9 P01009
Q9Y3C7 Q96SN7
P51685 O15467
P29966 P30419
Q9UMX1 Q9UHA4
O60383 Q96SN7
P50452 P00734
Q14151 Q15424
Q8N5F7 Q86V42
Q16695 P06748
Q92905 P04637
O95257 O75293
P05386 Q9H1I8
P07288 P03973
P03951 P05154
P18827 P10145
Q8WV24 Q13310
Q15797 Q9Y3E7
P41732 Q96QD9
Q13901 Q99598
Q01844 Q96AX2
Q13526 Q86YD1
P15927 P05386
Q9UMS0 Q8NC60
P14672 P50454
Q9NWA0 Q96HR3
O15552 P09471
O43597 O60269
P26641 P55316
Q6EEV6 Q15084
P20226 Q5H9L4
P20618 Q99436
Q9Y3B2 Q9NQT4
O95551 P63279
P01275 P07711
P59103 P14920
P34741 P04141
Q6Y2X3 P30556
P53611 P51159
P63279 Q9H444
Q01130 Q01081
P01889 P61769
P04899 P21554
P09651 P46778
P02511 P02489
P07711 P00749
Q01844 Q96CB9
Q9UHD8 Q15019
P55851 P27348
P51159 Q5RL73
Q01523 P07477
Q99618 P63208
Q99814 Q9H6Z9
Q9UHF0 P25103
P05141 P12532
Q15102 Q7L5N1
P63104 P30304
Q6EEV6 P21796
O14503 O00327
O15533 P04439
P04080 P07711
P41143 P04899
Q99638 O60921
O15444 Q9NPB9
O95059 Q96B26
P21246 Q9HC16
P82933 Q9BQ04
Q99967 Q16665
P46092 P13500
P05060 Q16635
P42127 Q01726
Q9NPB9 P80075
Q9UNN8 P04070
Q96CS3 Q9UNN5
Q92781 P47804
P40306 P21246
P52799 P49768
Q9NRG0 Q9NRF9
P61626 P02788
Q9NPQ8 P63096
Q9BRG1 Q86VN1
Q92905 P09936
P49771 P21583
Q969L4 P62310
P12429 Q13432
P61457 P51116
Q92934 Q04917
P16473 P04899
O60671 P39748
P02768 P20933
P01178 P30559
P04899 P50052
Q6EEV6 P09211
Q969H6 O95707
O43927 O00585
O43638 Q93062
Q8N9N5 Q14201
P28074 P25788
Q15796 Q92905
Q92597 Q01844
O75618 P42574
Q8IU57 Q8IU54
P62258 Q00994
P63104 P18825
P29992 P35368
Q9UKR5 Q5SZQ8
O75628 Q04917
Q9NZ42 P49810
Q8N6I1 Q13485
P61296 P15923
Q07955 Q15696
Q13485 Q02078
Q99814 Q96KS0
Q13310 O60383
P62258 Q16635
P05120 P20618
P14672 P07339
P69905 P55209
P01229 P01215
Q07820 Q16611
P21246 Q15388
Q15843 P15374
P20338 P04637
Q9UIV8 P08311
Q9NVN3 P50148
Q99895 P00995
O60551 P10415
Q01844 P62244
O95182 Q9Y478
Q99689 Q14919
P04437 A0A1B0GX56
Q13148 Q9UNZ2
P07910 P01116
P55010 O14602
P49903 Q9UKR5
O00253 P33032
Q07820 Q96LC9
P81133 P27540
P12236 Q9BQ66
Q9UBL9 P51575
Q9NXU5 P62917
Q03135 P04899
P78543 Q15797
O43809 Q5RL73
P56537 Q96B36
Q99750 Q9NRN7
P54852 Q99572
Q9NQT4 Q9NQT5
P04183 P38936
Q92843 Q13323
O14737 P26641
P49366 P63241
P04637 P10415
Q5JR12 P47710
Q92597 P23396
P11940 P23588
Q9UM13 P84022
Q99733 Q16778
P49356 P49354
P32238 P06307
O60704 P46091
P06748 P84077
P63167 Q9C010
Q01844 Q86SE5
Q15628 Q13158
Q92597 P19338
P55212 P49810
Q15366 P67809
Q16665 Q9GZT9
P21731 P15531
Q16548 O43521
Q8TDU9 Q8WXF3
P23921 P31350
Q969L4 P83369
P50552 O60936
O15198 Q9Y5J3
P05386 O43809
O76003 Q6FI81
P09544 P56704
Q9HB90 Q7L523
Q07817 P49768
Q86VN1 Q96FZ7
P04070 P02776
P05981 P08709
P10599 P55789
P41134 P15923
Q9Y5J3 P15172
P52435 P19387
Q9BVC3 P12004
O60383 Q9H0Q3
P19957 Q9UNI1
Q96B26 Q06265
O00231 P26641
P50591 Q5RL73
P19388 P62487
P17096 P11831
P60953 Q9UKR5
O14653 P54920
Q9GZS1 O15160
P15559 P04637
P51159 Q9UKR5
O60383 P50453
P78358 P13762
Q14919 P20226
P14672 P51149
P30793 P05026
P52434 P19388
Q08170 Q13247
P51681 P63096
P10599 Q92905
P62826 Q15796
Q15797 P84022
Q15024 Q96B26
P29992 P30411
P07766 P04234
P63279 P61956
P38432 Q6ZVK8
Q86YB8 Q9BS26
P61981 Q12778
P27540 Q9UBP5
Q6NZY7 P60953
Q9NPG2 P14415
O00401 Q8TF74
Q14565 Q06609
Q99627 Q13572
P63279 O75030
P55058 P02652
P07711 P03973
Q8TAI7 Q13485
Q9NVA2 Q9UHD8
Q96KX2 P47755
Q9Y5S9 Q9BZI7
Q9UI14 Q9NZD8
P07711 P01034
Q9Y5Y6 P55085
P84022 Q13445
P04080 P07339
P14091 P01308
P50552 P07737
P00742 P13726
P01034 P25774
O94763 P13984
P41143 P09471
Q9Y5L4 O60220
P01042 P08311
P62258 P30305
Q9Y2T2 P55087
Q6ZVK8 Q9NTM9
Q16695 P06454
P06748 P46087
Q03426 Q01844
Q96B26 P26651
Q01844 P54252
P63279 P11166
P04637 P84022
P30989 P32121
P07288 P01011
O96008 Q9P0U1
P41227 P18440
P30047 P30793
P34981 P49407
P08962 P28068
Q8NDV2 P08908
Q5JWF2 P63211
Q6NZY7 Q16181
Q99547 Q9NY61
P38936 Q7L5D6
P14091 P14138
Q9P086 Q9NWA0
Q16637 O14893
O00189 P84077
Q92905 P14174
P08697 P00749
P63279 P09936
Q15796 P0DML2
P50402 Q969F0
P16473 P09471
Q9H772 P12644
P05162 P01374
O95777 Q99719
O43809 Q92530
Q8WXF8 O15519
Q92804 Q15637
P26641 P53602
Q9NZ42 P49768
P50402 Q9NSA3
Q07817 P02489
P04406 Q15102
P09467 P51116
O95997 P31689
P18827 P08246
P42574 P38936
Q99623 Q02078
P14866 P22626
P04181 Q8N357
O00590 P13236
Q92597 P62854
P04637 Q06609
Q9UJ83 Q96E35
P78417 P26641
Q16563 P63027
O95870 Q8TCT9
Q13432 O14717
Q96KN2 Q96KP4
Q9UBS3 Q16658
P30101 Q96HE7
Q07820 Q9UMX3
P61812 P12643
P61981 Q96B36
P43119 P50148
Q8N488 Q92851
Q14814 Q02078
P31944 Q92851
P50148 P46663
P07910 Q13526
P26718 O43914
O15519 Q07817
Q16514 Q15544
Q9UBQ5 O15372
Q9BUN8 P08582
P19484 P19532
Q02878 P47914
P10144 P20309
P51685 P22362
Q9H0F7 O75915
P38159 Q14011
Q92754 Q99966
P55316 Q13485
Q9BXS5 Q96CG3
Q13258 Q5JWF2
O14558 P61981
Q9UFF9 P78543
Q9NQX5 P30279
Q9ULR5 P11940
Q0VD86 P78396
P63279 P15923
Q8N357 Q9NRX3
Q6EEV6 P60891
O00631 O14983
Q12962 P49848
Q6ZVK8 Q9BQ66
P42574 P06454
P84103 P0DJD3
Q969Y2 Q9NP50
P61313 Q7L5N1
P04156 P00747
P38936 Q9NWV4
Q05519 Q01130
Q6EEV6 P30101
Q8WTS1 Q99541
O75787 P00797
P24864 P38936
P47224 Q6YP21
Q96NY7 P35462
O75381 P40855
Q16695 P24522
P56537 Q9BZI7
P15884 P15172
P20366 P21452
P54920 Q9BV40
P50579 P60953
Q13021 Q03135
Q07820 Q07812
P42575 Q8WU39
Q8WW01 Q9BSV6
Q9Y333 P62316
Q92597 P52597
P08493 P12643
P56134 Q6PK04
P35080 Q9BQD7
P49662 P49768
Q16514 P20226
Q99750 Q24JQ0
P21926 P13987
Q9Y294 P62805
P61326 P27348
P62805 O75446
Q16611 Q07817
P35372 Q9UDY4
Q9UBK2 Q96EB6
P21246 Q99417
O75525 Q8TBE0
P21246 Q14508
Q6EEV6 Q9UJZ1
P29373 P30281
Q9UBU3 Q92847
O60262 Q9NPH0
P13693 P05023
P23946 P20800
P04792 Q5RL73
Q7Z7J5 Q7L190
O95136 P63096
Q16533 P20226
Q01844 O00273
P21673 Q9HBL7
Q9NPD3 Q9BZI7
O60725 P01112
Q8NHY5 Q99638
Q30154 P01903
P26927 P01011
P30101 P27824
Q96IP4 Q9P287
O00590 P13500
P46091 P63096
P32246 Q04941
P62805 O15315
P05305 P35318
P62314 P14678
Q9GZN7 Q7L5N1
P61289 Q6ZVK8
O95257 P21246
O15116 P28062
Q12778 Q96EB6
O75828 Q15286
Q07817 Q9HB09
Q7Z7C8 Q16514
Q9BUE0 Q9Y3C7
O75936 Q12988
P31946 O75494
O75531 P42166
P08246 P08697
P05155 P00736
P28221 P28222
O15467 P51681
P35670 O00244
P15927 Q7L5N1
Q96BI3 P49810
Q07820 Q92934
Q9UHX1 Q05519
Q96HE7 Q9BS26
O60383 Q99417
Q15796 Q96FJ0
P20337 Q15797
Q8N1I8 O00453
Q969L4 Q14493
O96004 P15172
P12004 P38936
Q15118 P08559
P55212 P05198
Q96CW1 P51116
P49789 P22570
Q14469 P41134
Q92804 Q15545
P14174 P04637
P11831 P55212
Q16548 Q16611
P04637 P31350
Q9UQN3 Q96EH3
O15371 O75821
P46777 P67870
P16989 P25208
O95232 P61981
O15116 Q9UBQ7
P03952 P00748
