Q7Z444 Q9P2M4
D6REC4 Q9BXL6
Q9Y3Z3 Q9C0B7
Q2TAC2 Q86UD7
A8MXZ1 Q96PT3
Q8IXL7 Q14590
P62854 Q15835
Q9NU19 O95096
P15498 P17535
Q9BY42 Q9Y3M8
Q9P2R7 A8MQ14
Q86YV0 P60673
Q5MCW4 P04632
Q969V6 Q92569
Q8IVF7 Q16384
Q9BZL4 Q9BYX2
P52732 P60321
P0CF97 Q9Y5M8
Q86V48 A6NN73
Q9Y6A2 A6NNS2
Q8NBP7 Q96A61
Q8TBZ5 D6RGH6
Q9H4E5 Q9NR81
Q96LZ3 Q8NI51
Q96GY0 Q6ICG8
Q5CZ79 Q9H497
O94993 Q16254
Q8NFU5 O96013
P57796 Q8NA96
A0A1B0GUA6 Q9UL18
Q5H9L4 Q9H4K1
Q9UL63 Q9UBC1
Q9BRJ9 Q3ZCT1
A6NK59 Q8IYE1
A0JP26 Q8IUZ5
P31275 Q5VYV7
Q8IY33 Q9UHD8
Q92947 Q8N283
Q6IAN0 Q9NZQ8
Q14974 Q96GD4
P29966 O75716
Q15835 P00797
Q96D46 Q9BQD3
Q9BV68 Q8TD19
O60814 O14901
Q14849 O15480
O14950 Q8TAU0
Q9P2R7 Q02241
Q5BKY6 Q6ZMV7
Q15329 Q8N2K1
P08151 Q86SG6
O75901 Q9H963
Q9BT78 Q6ZS11
Q9BQ39 Q8IWU6
Q9UNA4 Q5VWP3
Q9UQR1 Q86XK3
Q6P1R4 Q9H477
P02538 Q9UHL0
Q9Y6U7 Q9Y689
P61923 Q8N5S1
P27540 P62820
Q5T7N3 Q02556
Q7Z7L9 O95619
Q495B1 Q13492
Q9BUI4 Q96CS7
Q9NRH3 Q8IWQ3
Q53QZ3 Q93084
Q6ZN55 P57059
P10911 O43313
Q9UIQ6 P56282
Q969H4 P30153
Q9NTK1 Q6ZMS7
O43283 Q96KJ4
P53582 Q9H992
Q96MK2 Q14651
Q86XG9 P48556
Q969E1 O95947
Q5VTM2 O75185
O14730 Q6ZMJ4
Q6PEV8 Q9UPQ4
P55199 P23297
Q68CZ6 Q9BWN1
O43299 Q8WVF1
Q8N8E2 O75150
Q2M218 A1XBS5
Q92930 Q6UX06
Q8WUJ0 Q9BZF2
Q05084 Q9UJJ9
Q6ZTW0 Q9H0N5
Q8WUY9 Q9Y4W2
Q6ZT52 O95251
P62081 Q9NV58
P0C881 Q8TAV0
P78318 P17676
Q9NWM8 O00442
Q13596 P25705
Q6DRA6 Q6ULP2
Q9NXR8 Q9H3Q3
Q9HCC9 P09429
Q8N4L2 Q9UFV1
Q8TAF7 Q5HYK9
Q15126 P21399
Q8N7U6 O43847
Q6ZRF8 P0C874
Q8N1L1 Q9H147
Q8NB46 Q08623
Q7Z3V4 P15927
Q8NC96 Q8WUF8
Q86W92 P23381
Q13188 B1AK76
O14901 P01571
Q86YJ5 Q9H0A6
P31260 Q8IYM9
Q08ER8 Q9BQE4
Q12824 Q8NG27
P52630 Q9NZQ8
Q3MJ62 Q9BZE4
Q9H1A7 Q8TB37
Q96C11 A0AVI4
Q6PG37 A6NMY6
Q8N5A5 Q06124
Q9BXS6 A8MW95
Q86XR8 Q7RTN6
P52736 Q6ZQY3
Q8WTT2 Q9UHD0
P07902 Q9BQ65
Q96CS2 Q7LG56
Q6ZN08 Q3MII6
Q9H2K8 Q92968
Q9ULT6 Q9ULV5
Q00577 Q9Y365
P17040 O15151
P78368 P51157
P17032 Q17RP2
Q16778 Q8N5V2
Q9H788 Q8WUM0
Q96P71 A8K554
P20711 A8K8V0
P00338 Q5SYC1
Q6P9F0 Q9H2U1
Q6UXY1 P49189
Q92618 O14813
P51398 Q9H2T7
Q9H9H4 Q9BXY5
O96004 O94844
Q6ZT52 Q96HR3
P84550 Q9Y5W7
Q96ET8 P59074
P47902 Q9NQZ5
Q13946 Q15599
O43513 Q14807
P01570 Q8WTV1
Q99759 Q8IYM1
P62140 P01344
Q6IEE8 Q9BQ65
Q9Y4I5 Q96PP9
Q5T7V8 Q6UXY8
P31314 Q9Y5Z7
Q68BL8 O60828
O75832 Q86WG3
Q96QU8 O15269
Q92599 P62760
Q9Y5W9 Q96EK5
P22455 Q7L7X3
Q9NWK9 O43290
Q9HAF1 Q68G74
Q9P1G2 Q75T13
Q86VZ6 Q99807
Q03923 O00444
Q9UKW4 Q9H2W2
Q9UL18 Q9UI32
Q04323 Q9NZC4
Q9BQA9 Q9NQZ5
P58546 Q8NHZ7
Q8IV13 Q8IYL2
Q02410 Q8N2G6
P17482 Q9H5I1
Q9BWT7 Q9HBI6
P31277 Q9NPG2
O15131 Q5HYN5
Q76KX8 P52895
Q8IUQ0 A2A2Y4
P32881 Q86YR7
P22914 Q8N1M1
Q16236 Q8TAI1
Q9NZ08 Q8IYE0
Q9UKD2 Q15283
P18848 Q01518
Q969G6 O60284
Q9UHY1 Q9BVA1
P52743 Q8N8H1
P09017 Q9BYV6
Q9NQA3 Q6ZSZ6
P36406 P04908
P45974 Q13202
Q8NA92 Q8WYP3
P28482 Q8WW14
Q9NQC1 P78368
P04181 Q86U44
P19012 A1E959
A8MUH7 P18846
A0A087WXM9 Q8N6M6
Q99259 P51692
Q8TED9 Q2TB90
Q9H0N5 Q9BVL4
O15499 Q53TQ3
Q5R3K3 Q16625
Q7Z2G1 A8MXQ7
P83436 P0DKX0
Q8NI38 Q9BZQ4
P52738 Q008S8
Q16186 Q86XF0
Q6NSI8 Q5W0Q7
Q05682 A0A087WXS9
Q5JST6 Q9H8H2
Q9H0C2 Q53HC5
Q9P127 Q9NW08
Q86SG6 Q00013
Q96N11 Q9BVS4
Q9H4M9 Q6ZSZ6
O60516 Q9Y466
B1AL88 P09105
Q16850 Q8N5U0
Q96CT2 O75936
A0A0J9YXQ4 P08240
Q2TAC2 Q9NY27
Q16829 P42574
O15391 Q8IZ83
Q9HAE3 Q8TAX0
P28749 Q8NHU6
P0DJR0 Q5FWF4
P15976 Q14094
P00918 Q6NWY9
Q93063 O94806
Q96DW6 A4D126
Q96HE9 Q92947
Q86YF9 Q7Z5G4
Q9Y6K9 Q9HBI0
Q9NZA1 Q9Y478
P05771 Q02641
Q9HCX3 Q9P2J3
Q9P0L2 Q9BT40
Q5U5Z8 Q8N377
P10415 Q9NWM8
O75333 P08590
Q96DE9 P05388
A6NJQ4 Q9Y466
Q8WUM4 Q9NSD4
O14544 Q9H0W7
Q7L0Q8 O43189
Q9NYN1 Q8N5C8
Q32MH5 Q5VTE0
O14904 Q8IXR9
O14503 Q9HBM6
Q13488 Q7L5Y9
P60660 Q9HDB9
P51957 Q86VQ1
Q8WU90 O14796
Q9UQR1 P30533
Q8ND30 Q9Y4J8
Q6NUQ4 Q16342
O43313 Q569K4
Q14919 Q96AD5
Q66K41 Q33E94
A8MTL3 Q7Z7H3
Q8NCL8 P0C221
Q02338 Q9BUR5
Q6XYB7 Q12824
P05062 Q06418
A4D2H0 P49643
Q96QD5 Q86UK7
O95409 P0DMV9
Q9Y2R9 P48163
P26045 Q15561
Q8WTW4 Q7Z2Z2
Q6PIW4 Q5HY92
P45974 P63126
Q107X0 Q969H4
Q6ZV80 A5YM69
Q15669 P0CG12
P0C2Y1 Q96Q05
Q96N96 A6NC97
Q9HBH0 Q9BXU7
Q9ULW6 Q9Y6E0
Q8TE77 Q6PIZ9
Q13557 Q02779
Q969S9 Q9Y366
Q6ZMI0 O60294
Q8TB72 P06703
P25791 Q96K19
Q86VQ1 O14907
Q6ZTN6 Q9UDV6
P08631 Q8IWF9
Q96IQ9 Q9BY27
Q96S21 Q9Y442
P32969 Q6P9G9
Q9H0U4 Q99460
P13796 P05412
Q8TDI8 Q99798
Q9BZG8 Q86V25
Q8TF65 Q969S3
Q8IWB1 O60894
Q86W10 Q9BZJ4
Q9BQA5 P13637
O95478 Q96B54
Q12996 Q96GM5
Q96M32 Q9HBM6
Q5TKA1 Q70UQ0
Q96Q40 Q96GI7
O00303 Q8N5I4
O00482 O43167
P50583 Q9Y2D8
Q9BZE7 Q8NHP1
Q96MB7 Q15067
P10826 Q86TJ2
P52790 A8MXJ8
Q2TBA0 F7VJQ1
I6L899 Q00LT1
Q8IXS2 Q8WWK9
P62277 B2RU33
A6NNT2 Q7RTW8
D6RBM5 P31268
P84550 P10244
P08567 P33763
Q5T9C9 O75689
Q9H0R5 P69892
Q12874 Q9UJZ1
P36915 Q9BSJ1
P52747 Q8NEE0
O15266 O75896
Q8N3F0 Q9NSK0
Q9Y2P8 P30046
Q9HBA9 Q8IWD5
P15538 P84550
Q8TBZ8 Q8WV15
Q8N0V3 P04198
Q8TAU0 Q15697
Q9NWU1 O60658
Q5JVG2 Q96CB5
O95340 Q9N2K0
Q9NTG7 Q0D2K2
O75373 F8VTS6
Q9NRH1 Q567U6
Q86UV7 P63123
P48047 Q96B97
Q6ZNG2 Q8WU10
O96002 Q6EBC2
Q3KQZ1 Q6ZNB6
Q8N7Z2 P84098
Q8NA61 Q8N9Z9
O14936 Q13952
O75469 O43316
Q6P1J9 Q8N9L1
Q7KZF4 Q9UEE5
O95219 Q9GZX7
O94763 Q9NVS9
Q86Y37 D6RJB6
Q14161 Q9UL03
Q9H4A9 P09382
O95571 Q15582
Q9HCS2 Q9H444
Q9NRZ9 Q96M96
P17098 Q9Y3S2
P41247 P31151
O94832 Q99807
O15197 Q8IU81
P18846 Q07869
O00214 Q6ZWJ1
Q9NYZ2 Q3MJ16
Q8TF20 Q8NG04
Q68DY9 Q9BQC6
Q8NCY6 P86481
O14771 Q9Y678
P60059 Q86V86
Q969V4 Q96EK6
Q6AI39 Q8IZL9
Q16850 Q5T5X7
Q9BWU0 Q8TEQ0
Q96NT1 P08727
Q9P2B7 Q495B1
Q06945 Q96L46
Q10589 Q9NSY0
Q92796 P35527
Q9NP71 Q9Y697
Q15126 P31946
Q5JWF2 Q96T91
P26038 Q07973
Q8N5G2 Q14376
Q13873 Q96C11
F8WBI6 Q9Y530
P62745 Q9HB65
Q9BVS4 Q8N960
Q96JN2 Q15555
Q9HAU0 Q96RQ3
O75794 A6NJT0
Q99684 Q6ZU15
Q9ULH7 O76031
P20396 Q96SU4
P56937 Q9GZX7
Q86WG3 P82909
O76031 P16662
P62330 P04150
Q8IVT5 Q9BR84
P31270 Q9Y6U7
Q9H8H2 F5H4A9
Q96I23 Q9H078
Q9Y6W3 Q9BZR9
Q15382 Q9NTK1
Q8IW40 Q96AJ9
P43363 O00321
O60504 O00273
Q92750 Q15928
Q5JNZ3 P24311
Q5TC79 Q13049
Q96L03 Q6NZ67
Q9H0X6 Q9UNZ2
Q13873 Q9Y3R0
Q9BSG1 P16219
Q8N823 O75167
P16220 P31269
Q9NPH9 Q8TB36
Q8N1B3 Q9BTL3
P46782 P62306
O43293 Q9Y3B7
Q13434 Q14258
O95067 Q9H3R5
Q8N0T1 Q8N6T7
Q8N883 Q96T68
Q8TEL6 A6NIJ5
Q658Y4 Q6ZRC1
Q96AA8 Q16740
P19878 P52943
Q96DW6 Q3SXY8
A6NNJ1 P41220
P0CJ90 Q15835
Q8NFW8 Q9HBG4
Q9UHV8 Q9NTX5
Q8N3C7 P14859
Q8N7U6 Q15406
Q8IVS8 Q9Y242
P0DH78 Q07912
P31314 Q13323
Q6IQ23 Q86UZ6
P10074 P40424
Q8NDX5 Q9UBL0
Q5T6R2 Q8NB90
O95249 Q6NYC1
Q13137 Q3KP31
Q9BYJ4 Q9NP81
P20936 Q01433
P28328 Q9UQ84
Q2M3W8 Q8IX07
P05000 Q5T7P6
P06239 P15153
Q9HC16 Q96NX5
Q9BYH8 P55212
Q9Y4C2 O43283
Q9UEW8 Q14140
Q8N8B7 A4D1S5
P16298 P52742
Q9C0K7 Q15835
Q99697 Q6S5L8
Q8NFR3 Q13285
Q9BZ68 P35504
Q03052 Q92572
Q9H329 Q9BZG1
Q13352 Q8N0X7
P56962 O14757
P14652 Q9NRJ1
Q9UBL3 Q96DZ5
Q17R98 Q15784
Q86X02 P49757
Q8N1L1 Q8WVB6
A8MWA6 Q8N141
Q7RTU5 Q8WUP2
Q8N4C7 Q8NEL9
P35998 Q9NS56
Q13057 O94768
Q9BUT1 O94851
P15036 Q8N8C0
O60832 P25963
Q8IYJ1 Q96BH1
P60507 Q5VT79
Q86YT6 Q8N8V8
Q5T0J3 Q9BQS7
Q13555 Q96EN9
Q2TAA8 Q9NXF1
Q96JF6 Q6ZUS5
Q9NTG7 P22059
O95395 O00253
Q7Z3E5 P56851
Q8TDN6 Q96A08
Q9BXJ8 Q9NY99
Q9Y3Y4 Q9C005
Q6DD87 Q14123
O60641 Q96KN4
Q8NBZ9 Q6PEY2
Q9NTG7 O43678
Q9NX52 Q9BRA0
Q9HC52 Q7RTS9
Q92597 Q8IVC4
Q96C55 Q8N2I2
Q07687 Q96KN1
P49354 O94776
Q9Y233 Q86VP1
Q8NBF1 Q96MF7
Q86UB2 Q5TBE3
Q9BU20 Q9C056
Q9BUZ4 Q96A65
Q6NSW7 Q86VG3
O00139 Q6IN84
Q13308 Q15555
Q5FYA8 Q9UGI9
Q96EP1 P28069
Q9HDD0 Q8NFU4
Q8TEH3 Q3C1V8
Q59EK9 P84074
Q0D2I5 Q6NXP2
P55347 A6NK59
P06401 Q9NXR5
Q9Y4W6 Q8TCY9
A0JP26 Q5H8A3
Q9H579 P61020
Q9NZJ9 Q5VZ52
Q9C019 C9JCN9
P48668 P68366
P45984 Q8IZL2
Q8N9W8 Q6DN90
Q9NXR7 Q92556
A0A1B0GUA7 Q12974
Q9H165 O60266
Q9P2W1 Q9HD36
Q5T5F5 Q9UL16
Q16621 Q7LG56
Q8TCX5 Q8WW32
Q7Z6B7 O00506
Q9H293 P40225
Q9NQG5 Q8N9Z0
Q9H0E7 Q7RTZ2
Q86YH2 P40617
O43812 Q96TA1
O60663 P09067
O95258 Q9H8T0
O94875 Q9HAY2
P0CW27 Q9BRQ0
Q13144 Q96DX8
Q96RU3 Q99961
Q9NX20 Q8N859
P56373 Q9BRZ2
Q9UHB9 Q8IXI2
P84022 Q9BYI3
O00592 Q9BV36
Q8IWQ3 Q13765
P48723 Q9H497
O95998 Q13206
Q8N8Y5 Q9P291
Q14527 P62495
Q03013 O94875
Q96RQ9 Q5T2R2
O60641 Q52M93
Q96DT0 Q96AH8
Q96N77 Q9UPM8
P24386 O75934
Q8TC56 Q9UHY8
Q96BN6 Q9UPQ7
Q9NVS9 P61163
Q96RT6 Q3MJ16
Q3ZCU0 Q9HAT1
Q9ULN7 Q96KD3
O60524 Q13425
Q7Z7C7 Q86V86
O15130 O75911
Q92772 Q7L8L6
Q9UBC2 P04632
Q9C035 Q9BU23
Q9NVH6 Q9UGJ1
Q8TCG2 O00459
Q8WU03 Q96IS3
F2Z398 Q96NY7
Q9Y2G4 Q96A58
P98194 Q9H2L5
F5H4A9 O75364
P14061 Q8N5I4
Q9UK41 Q9NY74
Q8TDB6 Q8NC51
P53384 Q5BJD5
Q9NVU7 Q9BU20
O60224 Q96N28
Q9Y446 Q08623
Q5W0U4 Q9ULW5
Q96HQ0 Q6P1Q0
Q8TEB9 Q14582
P63129 Q9BVJ6
P32456 O14832
O95447 Q6P9H5
P23409 Q8NCY6
Q13114 Q9GZM8
A4D256 O75943
Q96M63 O95361
P42025 Q8IYX3
Q86XF0 Q5TYW1
O15391 Q14588
Q9H628 Q92874
Q96AC1 P51580
Q96PU4 Q14929
Q32MZ4 P49184
Q8N4W9 O75600
Q9Y2D1 Q7Z4N8
P56377 Q9NUD5
O75373 P50579
Q9Y2R9 Q96PF2
Q7RTS7 Q9NQ88
Q96A56 Q86XP3
Q96F10 Q9H8K7
Q6P2D0 Q8WUJ0
P0CG30 A6NK58
O75175 Q8TCE9
P06744 Q8NDH6
Q0VGE8 Q9NUV9
Q537H7 P63215
Q92569 Q16890
Q96CW1 Q2QGD7
Q16566 P55042
A5PKW4 Q14209
O94804 Q9H426
Q5QGT7 P50336
P46976 P0CW21
Q9H0R5 P51786
C9JQL5 Q9UHV9
Q6ZN30 Q8N5G2
Q03181 Q8N0U2
Q16637 Q9NNZ6
Q8N4Z0 Q86XP0
P52926 Q96LX7
P15313 P18124
Q96P09 Q8NEK8
P0DH78 Q9UDX3
Q494R0 Q9BYT3
Q6NUK1 A6NDI0
Q8TCB0 Q8N392
P0CV99 Q8WWY6
O96002 P42126
P25440 Q6PI97
P52435 Q8N6K7
O75071 Q9NUL3
Q9NSK0 Q7Z419
Q5VTB9 Q9UHB4
Q9NXR5 P0CJ87
Q9Y4A8 O75791
O14657 O95352
Q99848 P31271
Q9NY27 Q13202
P13232 Q92871
Q9HBM6 P29992
Q8NHQ9 A6NEF3
P04271 P35251
Q9C086 Q9UBL3
Q9Y2B5 O43566
Q99576 O43687
P52742 P0DJH9
Q13163 Q9UHF3
Q96P64 Q13946
Q9H169 Q8TAP8
O43150 A6NFF2
Q4G0N4 P40879
Q6A162 P36639
Q6ZT89 Q9NSD4
Q53GS7 Q6ZNB6
Q15940 Q6DN03
Q96RR4 O75807
Q5T1B0 O75437
Q6ZSN1 Q9H2G4
P41240 Q9UMS6
Q6ZMW2 O76011
Q8N5N7 Q6ZSR9
A6NFZ4 Q9ULW6
A0PJW8 Q9H579
Q14764 P0CG24
O43739 Q5W0U4
O75911 P84022
Q96PE6 P18859
P56693 O00442
Q96TA1 P62807
P12814 Q75MW2
Q6UVJ0 P61601
Q9UHG0 P78364
Q7RTZ2 Q6ZS82
Q9UQ90 Q9NY65
Q05513 Q9UK80
O95486 A6QL63
O00410 O00167
Q5BKX8 Q9UQN3
A6NFN9 Q96SF2
P0CJ79 Q6P435
P62316 Q8IZW8
Q8TAU3 Q9NWZ3
P0C2Y1 P0C263
Q15286 P41159
Q5T0N5 Q9UI15
Q969R5 Q9UKG1
Q86TS9 P61224
O43581 P13584
P28331 Q9H4R4
Q008S8 Q7Z7A4
Q8TAQ9 Q6ZS86
Q99504 Q5TA50
Q8TF65 Q6IBW4
Q96K30 Q49AA0
Q66PJ3 Q96MA6
Q8WXK4 Q99946
P05141 Q9Y575
O75521 Q8NCU1
A6NH52 Q9BUL5
Q9BUH8 Q16650
Q6ZTY9 O94925
Q6ZS11 Q765I0
P53814 Q9UF33
A6NI47 P57735
Q99941 Q15599
Q8TED9 Q9P1U1
O43559 P17025
O43156 Q9C035
Q8N6N7 Q9NPJ1
O75506 Q8TC41
O95295 Q8WU03
O60291 O95486
Q9BV19 P12955
Q7LDG7 Q5VUJ9
Q02447 Q9P2N7
Q07837 Q8NA56
Q14164 P62253
P35527 Q7M4L6
Q9H2T7 Q8TCD5
B5ME19 Q9UQB9
Q8IUQ0 Q96MZ4
Q5JPI9 Q9BRQ0
Q8NHZ7 Q9UET6
P30291 Q0D2I5
Q12874 Q9Y3C5
Q71UM5 O95628
Q96G97 Q8NG04
Q9BQI4 Q1A5X6
P61513 Q8N0X7
Q8IUF8 Q96AA8
P15586 Q4VX76
Q9H714 O43482
Q8IWF7 Q8IYT3
P20648 Q8IXS6
Q9Y2H8 Q9H8G2
Q9BYV1 O00213
Q8NEF9 Q8N752
A0PJY2 Q8WV22
P05109 Q13636
Q14134 Q9Y2R4
Q8IV61 P26885
Q9UJW0 P17031
Q4G0U5 Q8TAX0
Q9NPI5 Q6NXP6
Q03923 Q08462
A8MUV8 Q8TAU0
Q9BUH8 A2A368
Q96MC2 Q9NU02
Q9NVX7 P49448
Q15973 Q9BVG8
Q8TD17 Q13416
O43374 Q9BU19
Q8IZQ8 Q8N8C0
P51397 Q92843
Q7Z3B3 O75840
A4D2B8 A6NHS1
Q14BN4 P49848
Q9BZY9 Q68CQ7
Q5VX52 Q9Y3E7
Q96A11 Q9BZG8
Q6NUN9 P61024
Q96C10 P0CW20
Q8IYX3 O00182
O14503 Q86SG2
Q6B0B8 Q6P2M8
Q9NPF2 Q86UZ6
Q5T2L2 Q9BYV6
Q9HBU6 Q96F45
A6NGJ6 P60509
Q8N4S0 Q86UD4
Q969Q6 A8MW95
P00915 P20396
P35453 Q60I27
O00258 O60296
Q76N32 A6NHC0
P51878 P02042
O43739 Q8IYL2
Q9H2T7 Q8N8Z3
Q9BPW4 Q96HD9
P0DMB1 Q96A47
O75110 A6NKX1
Q9UL63 Q92922
P22310 P78545
Q9BY42 Q8IVU9
P43268 O43493
Q92974 A6NDI0
Q8NAB2 Q01546
K7EIQ3 P49842
Q8NBT2 Q86SG5
P43365 Q9H832
P40425 Q5R3K3
Q92805 Q32MK0
Q9ULM2 Q9UJW8
Q9H5X1 Q0VD86
Q96RL1 P38405
O00167 O75493
Q8N6N7 P43353
Q9Y3Y4 Q9H093
Q13118 Q9NWK9
P17029 Q9UJQ7
Q5TA89 Q68DV7
O43309 Q13554
Q6ZUM4 P58304
Q96ST8 Q9NZV7
O00291 A6NP61
Q9NR12 Q8IUE6
O75431 Q7LGA3
Q9BXU1 Q6P2M8
P23759 Q9Y573
Q9NYI0 Q5EBL8
Q6P9G9 P42679
P26583 Q8NEN0
Q86TM6 Q13946
Q6AW86 Q9UBL0
Q13263 Q92995
A2A3K4 Q2NL98
Q9HBI0 P24468
P61224 Q9Y2R9
Q5SW24 Q86VD1
O00148 Q13043
P0C860 Q9UBF6
Q92805 P52743
Q9UJV8 Q9BYG7
Q5VIY5 Q02742
Q9Y6Q5 Q9NP61
Q8IWS0 Q5SYC1
Q8IZ21 Q9Y508
Q6PEW1 Q15583
Q8TEH3 P13584
O00189 A6NLU0
A6NEC2 O43680
Q5TI25 Q16649
Q9UPE1 A6NI15
Q07869 Q8IVW1
O14936 Q6P9F0
Q5QJ38 Q99819
Q8N5C6 P32929
Q9Y366 Q66K74
P49802 Q86WR6
Q13126 Q13133
O15553 A8MU46
O95661 A9YTQ3
P16234 P17030
Q13133 Q8NEF9
Q9H6Y5 Q9UFE4
Q9BSY9 Q8IYX0
P35250 Q13387
Q15797 Q15018
Q99538 Q8TBB0
Q6XLA1 P78414
Q9UH77 P27816
A6NJ08 Q9HCM4
Q7Z3J2 P01574
P0DPB3 O43781
P00918 Q96IX5
Q9BRC7 Q68DL7
Q8TEL6 Q9Y5B6
O60504 Q9H9F9
P55273 Q9H0C2
Q66GS9 A6NIU2
Q9BT22 P52294
Q66K74 O00592
Q6DCA0 P49720
Q9BSG1 Q13572
P21673 O43307
Q8N806 Q8N1Q1
Q8N957 P17010
O96019 Q9Y6A2
Q96C55 Q99963
Q9UHJ3 Q08116
Q9H0F5 Q9NYZ2
A8MW95 Q9BST9
Q96DU7 Q8IY95
Q96ES7 P25815
Q96RI1 Q96AQ6
P61225 Q9Y2Q0
O00194 Q9Y5X3
Q8WU10 P42681
P19525 Q12851
Q8IV38 P10809
A8MTL3 P23610
Q96Q77 P58317
Q9NY99 Q969G6
Q9UGC6 Q8WXH6
Q6IN84 Q9Y394
O00629 Q8IXT1
Q86XP0 Q96MZ0
Q9H0W7 Q7L8W6
Q8NFD2 P02533
Q9BX97 P13232
P48426 A4D2B8
Q5SXH7 Q15276
O95810 Q8N895
Q8WTW4 Q969E1
P80365 P0CE71
A6NNT2 Q9HBF5
Q8NFP7 Q9BYV6
Q9H7V2 P31271
Q86YP4 Q9BYD2
P98168 A8MTL3
Q0VG99 P0CJ87
P57077 Q9Y446
Q5HYK7 Q9UIJ7
Q9H6L4 Q96AH8
Q96M43 P52895
Q68DK7 Q9NQW7
Q5M9N0 Q96BF6
O43623 Q96CT2
Q96CS2 A8MQ27
P07315 P47874
O00744 P60510
A6NFI3 Q8N9W8
P31276 P0CAP1
Q9BXU2 Q99807
Q9BQI3 Q15382
P43403 Q5JTZ9
O95757 O75362
O75534 Q9H489
Q13133 Q9UJP4
Q6DKI7 Q8IZ40
Q9UGI8 Q9BS31
Q9H0X9 Q8IUZ5
Q8WV93 P05787
Q14244 P49674
Q2VY69 Q96GF1
Q6ZUL3 P49643
O60422 Q9NX09
Q01546 Q96FJ0
E7ETH6 P17542
Q86TW2 Q86U02
Q6UWP2 Q8N8J6
P23396 Q6ZU52
Q6DHV7 Q96PN8
Q8IWR0 P42285
Q9Y5X2 P04083
P86481 Q6PF05
Q5JR98 P17542
Q96CP6 Q02577
Q6IPX1 Q96TA1
P07988 Q96L34
P25789 P0C7V0
P02008 Q8NHU3
Q9UBQ5 Q2TAK8
Q6UWJ1 Q9Y3R0
P27816 P48426
O75398 Q96NC0
Q14147 O95935
P45974 Q96EV8
Q9UHY1 Q6RFH8
Q8WXA3 Q8N4J0
P31275 Q8NFM4
Q9BSJ8 Q6P9B6
Q99572 Q96CQ1
Q6RW13 Q8N335
Q16661 B3EWF7
Q07820 Q13163
P52594 Q9NR20
Q8IWR0 G9CGD6
Q9Y2T1 P35998
Q92565 O15212
Q9H4L7 Q8IVT2
P36404 Q9NZU5
A6NDZ8 Q8TDD2
Q9UJV8 Q00G26
Q9H2A9 P49674
O75874 Q9NX63
Q9H293 P30047
O75382 Q14409
Q14644 Q86TE4
Q16134 Q96HU1
Q9UBB5 A8MW92
A6NFT4 P04628
Q96M19 P56693
Q7Z794 Q9HAS0
Q8N8A6 P43362
Q04609 P37235
P27216 Q9H3P7
Q6P1N0 Q14527
B3KU38 Q9Y605
Q1T7F1 Q9BXF9
P37059 Q92966
O95872 P05388
P17038 Q9Y5V3
Q9Y6R6 Q96T25
Q6GPH4 Q9Y6K8
P63128 O00743
Q16236 Q9Y383
Q05DH4 P52738
O00291 Q8NDH6
Q4KMG9 Q6IQ21
Q9UL25 Q8N4X5
Q9Y6Q1 Q5VUJ9
Q9UGI9 Q5I0X4
Q9Y4C2 A0A096LPI5
Q9UN81 Q16822
Q13308 Q05682
P17027 A5D8V6
H3BSY2 Q9H4A9
P16118 Q14135
Q13393 Q13123
P60709 Q9NUW8
Q9HBU6 Q8N8A2
P56962 P06493
Q9H3R5 Q9GZZ0
Q9H4A4 Q68J44
Q8N957 P84077
F2Z398 P56537
P09017 Q9BSD7
Q15697 Q8ND07
Q99941 Q96HR8
A5PLN7 Q86YE8
P0CG22 Q96SE7
Q96C10 Q96QU8
O75452 Q18PE1
O43174 Q96M85
Q9H2B2 P08590
O60282 Q9HCC9
Q9Y2I9 Q66K89
Q9P0M6 Q71DI3
Q9BQC6 Q9NQ69
Q147U1 P58004
Q8TF44 Q02156
P22680 Q6IB77
P15498 P51857
Q8N118 P35228
Q96LM6 Q92918
Q8N895 Q96A19
Q06547 P07199
Q8WVJ2 Q9NPC3
Q9NX09 Q3ZCT8
P19429 P84074
P62316 Q9BPY8
Q6IPR1 Q8N9I5
Q9H6L4 Q13368
Q8WU90 P10606
Q8N184 Q9BZG1
Q8N4B1 Q9H300
Q8N0V5 Q8IWU9
Q9BXY8 P62942
Q86YJ7 Q12765
Q8WUK0 Q9Y6W5
O15156 Q8TD30
P81133 Q6PL24
P58004 Q7Z7L1
Q9UPQ4 Q2TAC2
Q9P1Q0 Q5HYK9
Q9P2N5 Q14155
Q9Y265 Q9NZV5
Q96AA8 Q5TC63
P49638 Q9NVJ2
Q13617 Q92870
P05141 Q9UQF2
Q9Y543 Q6ZN06
Q9Y6A9 O00625
P07195 O15217
Q16533 P01189
Q7Z736 Q16828
Q13277 P51690
Q96NJ5 P17655
Q6ZQT7 Q7Z3B4
Q8TDZ2 P40424
P49641 F7VJQ1
Q6ZN17 Q8NF67
P50553 Q8IYT8
Q8IYK8 Q9Y6A2
P56192 Q96MI9
Q3KQU3 Q01094
Q96KR6 P50549
Q6NXT1 P55160
O43143 Q16181
Q9Y5M1 O76011
P57772 Q5JUX0
Q14653 Q15052
O75319 B4DH59
A8MZ36 Q16600
Q8TB52 P33981
P43355 Q7Z6J9
P49916 Q96PU8
Q8WTS6 Q12894
Q1A5X7 Q8NDF8
P42677 Q9BXM9
Q9HD43 P28330
Q16181 A6NCW0
Q9H1C3 Q8N961
