Q96EB6 P27695
P0CG47 Q9HAU4
Q92902 Q9NQG7
Q719H9 O00560
O75558 Q8TBK6
Q9BTE3 Q13451
Q9H4E5 O00401
Q2TAC2 Q96BZ8
P63165 O95073
Q9P209 Q8TBB1
Q9UBB9 Q8NDB6
P38432 Q8TBB1
P09619 P01127
O75638 Q15654
P16220 Q13469
Q9BYV2 O95363
P78358 O95231
Q9H7C9 Q9H8Y8
P04049 P14618
Q8WV44 Q8WWY3
O75800 A8MQ03
Q92466 Q13619
P05204 Q15554
P13693 P05023
Q96C10 O15226
Q9BYR9 O43296
O75663 P60510
Q15834 Q6IPU0
Q02930 Q3LI72
Q8NEC5 O75711
P53350 P23588
Q52LD8 P50222
Q9BQ89 Q8ND90
P31152 P08238
Q9H2S1 P35609
Q9NPF7 P40855
Q9BXK5 P19397
P25791 Q96FT9
O14656 P60409
Q99952 Q9Y297
Q99750 Q92692
Q08117 P41182
P59990 Q13643
P19235 P18031
Q68DY9 P50542
Q9GZX7 P10644
P12236 Q7Z3S9
Q70IA8 Q6A162
Q9H773 O00560
P29317 P52803
Q6NT76 Q9BVV2
P0DI81 Q8IWZ5
P78352 P22459
P37840 P17600
Q12901 P60411
Q99856 Q5I0X7
O95944 P12004
Q8ND90 P56524
Q96MT4 P27658
Q9BR01 Q13526
Q6UXH8 Q53G59
P12830 P12931
Q00987 P62829
P16333 Q15661
Q2WGJ6 Q07627
P35241 P05107
P55884 Q9UBQ5
P08243 Q86WT6
P16333 Q13087
Q93062 Q8N9N5
Q9H3M7 P52735
Q96AP0 O75821
Q8NC69 P12814
P55040 Q7L273
Q7RTY1 Q14240
Q9BQ70 Q92624
Q08117 Q96Q77
Q9Y272 P43243
Q8TBB1 Q8TC92
P06241 Q07666
Q6PEY2 Q13287
Q96GD3 Q9UMX0
O75553 Q8TBK6
Q96LR2 Q8WWY3
Q7Z3S9 Q7L2K0
Q14D33 Q9H257
Q9BYR5 Q8WWW0
Q9Y4H4 P63104
Q7L775 Q9NRG1
Q6NW29 Q9Y3S2
Q9NYB0 Q9BQE9
O14964 Q9H0L4
Q9UBY9 Q04864
Q9BWG6 P60409
Q07666 P40763
P41227 P60370
Q03393 Q9P2Z0
O43189 Q12800
Q96IZ5 Q13077
Q92843 P55957
P19387 P18848
Q86V97 Q9GZQ8
P11171 Q8TBK6
P13612 O43294
P40222 Q9Y3C0
P60709 Q9Y281
P16333 Q96GP6
Q99755 Q9H6E5
Q08117 Q13131
Q8TD10 Q14D33
P47897 P35609
Q9NUM3 Q68CJ9
P31785 P13232
Q8WUT4 O75031
P12110 Q9NRI5
P18031 Q03135
P03372 Q9UBK9
Q8NC69 O00560
P63165 Q6PEW1
Q86XK2 P41182
O95751 Q9H788
Q8N7X4 Q9UJ83
P81605 Q92624
Q99757 O43829
Q7Z698 Q96EG3
P48023 P06241
Q9UNN5 P55072
P04637 P35232
Q07817 Q9H2V7
Q8TBB1 Q86XM0
P12931 P07550
Q6QNY1 Q8TDH9
P63165 Q5W0Q7
P50222 Q6L8G9
Q96JN2 Q13895
Q3LXA3 O00560
P09237 P17931
Q13501 Q9UDY8
Q9BXK5 P29972
P09012 Q96PU8
Q92575 P55072
P17612 P31321
Q96T76 O76071
P56524 P62258
P01215 P01225
Q15572 Q01105
Q9BQ04 Q8NB12
O75317 Q8TBZ3
P37235 P60409
Q8TBK6 O43829
A8MQ03 P49639
O60721 P16333
O00560 Q92688
Q8N6Y0 Q9BQ89
Q9NWB1 Q92530
P23258 Q08AG7
Q9UMX0 P26885
Q5TAQ9 Q9NVV9
P04899 Q7Z3S9
Q7L3B6 P08238
P04637 P49757
P60520 Q13501
O94888 Q9BZR9
P50222 P61764
Q96GN5 P25800
O76003 Q8IWZ5
Q53G59 Q96HA8
Q15723 Q01196
P35222 Q9Y297
Q9H3Q1 Q8IZU0
Q9UER7 Q8N726
P08151 Q9UMX1
Q9BTV4 Q8IUQ4
Q08379 P56524
Q9Y4P1 Q9H0R8
Q8N5A5 O95273
Q99966 P05412
Q8IUH5 Q8IVB4
O43463 Q01081
Q96CV9 Q9UJX2
P49760 Q14498
O00505 P07910
Q13895 Q9UKT9
P56279 Q13137
Q96IZ5 P14373
Q9UKJ5 Q01850
Q9BPX3 Q15003
Q7Z3S9 Q9NV56
O14777 Q9Y3C0
Q9NPJ8 Q08379
P11171 P54105
Q969F0 Q9NS64
Q14592 P61328
Q9Y2M5 Q96LA8
Q93062 Q96PU8
P60484 Q16643
P60201 Q96BA8
P17844 Q13547
Q8IVB4 Q8IUH5
Q7L4P6 O15371
Q8NDB6 Q9UBB9
Q8IZU0 Q5JUK9
Q9HCU9 Q92769
Q8N5M1 Q9NZD8
Q9Y4C2 Q15427
Q6P1W5 Q9UI26
Q8NHQ1 Q9BSJ6
Q8N6R0 Q8N1B4
P0CG48 Q9UNA4
P20963 P16333
Q9P2Y4 Q5I0X7
Q96R05 Q8WXH5
P78348 Q9NRD5
Q9C086 A8MQ03
Q8N6U2 Q9BYQ3
Q13547 Q9UKL0
O43639 O43597
Q8TD17 P55081
Q8IZU0 P35523
P04637 O75925
O14508 P19235
P04637 P29034
Q15645 Q9Y303
Q8TAE8 Q92997
Q8IZU0 Q9H7E9
P61289 Q96JC9
Q6UY14 O60573
Q8IYX7 Q8IVS8
O15265 Q12962
Q99933 P36406
Q14257 Q9H0R8
P49918 P33993
P53667 P50281
P46092 P07355
P60410 Q8IW45
Q13131 Q08117
Q9H0R8 Q8WWW0
P10909 P30101
Q9NVP2 P84243
P62851 Q9NVV9
P50570 Q15436
P09769 P09917
O15162 Q16630
Q12933 Q8NEC5
P03950 P60903
P15882 Q9Y5R4
Q96EY1 O60341
Q96FC7 O76083
Q9UHD2 Q7Z3C6
P50402 P60709
P50222 P04141
P49639 Q5T7P2
Q86X95 Q07955
Q6ZS10 Q9HAT8
Q6P4F2 Q969G2
P43365 Q6PH81
Q96HA8 Q9BV19
P35372 Q9P0L0
P49356 Q8N4L8
O75360 Q9NWC5
Q8IYB3 P49760
Q6A162 O95363
Q04206 Q8N668
P11245 Q06609
P60520 Q9H0K1
Q9NZI2 Q9UK17
Q16342 O60260
A6NFR6 P60411
Q12983 O60313
Q5T7P8 P51116
Q13557 P51116
Q13232 Q6ICB0
Q8TD10 Q96JC9
O75293 O14733
P98175 Q9NU19
Q13287 P56693
Q9UQ90 P60409
Q15365 Q9Y3Q8
P12268 Q9BU20
Q9BYR9 Q969G9
Q6A162 Q14331
O15350 Q96J02
Q16186 Q9UMX0
Q5TA79 Q9BYR7
Q3SY00 Q86XT4
P50222 Q12805
Q6NT76 Q9NX38
O43889 P82251
Q9UHR5 Q9UBB9
Q6UN15 Q08379
P62136 Q5SWA1
Q8N8L2 P60328
P18065 Q9C086
O15160 P14373
P35609 Q8IYX7
Q9BUI4 Q9HAT0
P23497 P63165
Q9H8W4 Q86WP2
P16284 P35222
Q9NYB0 P14550
Q8NBZ0 P25786
P67775 Q9Y2T4
P33993 P46527
P49760 Q15696
O75386 P43360
O00571 P05198
O95183 Q12846
P22301 Q08334
P43356 Q08AH1
Q9HC52 Q7L273
Q03135 Q969G5
Q13185 P28838
P62937 Q8TBB1
P22301 P60410
O95166 Q8WVZ9
P31321 P36508
Q13111 P84243
Q7Z6M2 P67809
P35070 Q15323
Q15973 P60410
Q7Z419 O15350
Q15637 Q15459
Q9NWQ4 Q9H9D4
P22301 Q13651
Q9Y5U2 O00505
Q5SQN1 P51809
O60496 Q9NUX5
Q9UPT9 Q96AE4
Q9NRR5 O95201
Q8N9Q2 Q9BPX1
O43829 Q99757
Q02930 P27658
Q14515 Q99972
Q9NVV2 Q15323
O75477 Q8TD06
Q8TBK6 Q9NVV9
Q96SW2 Q9P286
Q9Y6N9 Q9HBB8
Q9H9D4 Q13868
Q9UFF9 Q9NZN8
Q6RW13 P39905
Q14774 Q15022
Q9H2G9 Q9UMX2
O14874 P40763
Q96AP0 Q9UNE7
Q9HCM9 Q9BS40
O76081 Q9BYR5
Q9NS73 P40222
Q9UHX1 Q96BM9
Q9UQL6 Q9HCU9
Q6P1J9 P33240
Q13490 Q9NP84
Q07021 P01042
P60409 P41227
Q06830 P54274
Q92804 Q92993
P43356 Q96HA8
O75525 Q9H9D4
P17643 O14908
O95257 Q9BVJ6
P38936 Q00526
O76081 O14633
B2RUY7 P49639
Q8TAI1 P60411
Q86X95 Q01081
P68400 Q92504
P06241 P08238
Q9Y4X0 Q93062
Q13153 Q8N1N5
P55072 Q96CS3
Q9BW61 Q6RW13
P10144 P10124
P19235 P29350
Q8N205 Q9NWD8
Q86TP1 P15531
P26371 Q5T681
Q93062 Q9NRY2
O94888 Q13617
Q495Y8 Q15691
Q96NE9 Q6YFQ2
P61970 P62826
P56279 Q53EZ4
Q8IVP5 P07947
Q9BWF3 Q99814
O43741 P60411
P17027 P60410
Q02930 Q9BQ66
Q9NWQ4 Q8WV44
Q16619 P43360
Q96HA8 P20807
Q8NEB9 Q6ZNE5
Q15323 Q9BRU9
O43741 Q9BYQ4
O43516 P53992
P13196 Q8TCT0
Q96JJ7 Q13643
P14784 P40933
Q9H4M3 Q96GS4
Q3B820 O95273
Q3SYG4 Q15051
Q96MU7 Q92997
Q99750 Q5XG85
Q9H2F3 P60409
Q9H8Y8 Q6P1W5
O43889 P11166
Q8IYL3 Q13422
P21673 Q9NQL9
Q9Y239 Q6UX06
O76003 Q8NCP5
P31947 P98177
P30281 P38936
Q9BSW2 Q7Z3S9
Q6NXG1 Q71SY5
Q9UMX2 Q9H2G9
Q5HYJ3 P60370
Q8WUK0 P0C7H8
Q13554 Q8N0Z6
Q9BXW4 Q86V97
Q8TEW6 P35372
P07355 Q9NUX5
Q15025 P60520
Q13363 Q13422
Q86VI4 P27986
Q9P0U4 P04637
P0C1Z6 Q59EK9
Q9UI14 Q9UNI6
P50222 Q9UGL9
O95273 Q8TAI1
Q9C0K0 Q13547
Q2TB18 Q13426
Q5SRE7 Q9NUX5
Q96HA8 Q17RB8
P02008 P60409
Q15041 O95219
P60709 P60981
P47224 Q8WWW0
Q07002 O95273
O00634 Q8NBI3
P35609 O43827
P30153 Q00005
P09234 P98175
Q86UW9 Q15437
O60260 Q8IXI2
P55081 A6NEM1
Q9BY11 P48023
Q08752 P23396
Q6P3S6 Q06330
Q96LA8 Q9Y365
P19419 P63165
P63208 P25791
Q92956 Q12933
Q8TAB5 Q13287
P62805 Q9Y294
Q13643 P59990
P60410 Q9H270
P12830 Q15139
Q96C00 P59991
Q9Y365 Q96LA8
Q13111 P15884
P59998 Q96PV4
Q9Y2D8 Q8WWY3
P06241 Q8WX92
Q8IZE3 Q9H0R8
Q13895 Q96IK5
Q9Y2D8 P55081
Q53QW1 Q92523
Q15365 Q96EK4
O00220 Q14790
P80192 P08238
Q9BQC3 Q16552
O43561 P50222
P54725 P68104
P33076 Q96EB6
Q12891 Q9BYR7
O43765 Q8N6L0
Q01081 P78362
Q96KB5 P04637
Q9BR84 Q9BYR5
Q9BWW4 Q9NPJ8
Q6BCY4 Q08379
O95848 P10398
Q9GZQ8 P20700
Q96HD9 Q9H7C9
Q96PM5 Q9NVV5
P04798 Q96DZ9
O00746 Q15645
O43561 P27986
P06401 Q9H467
Q93062 Q13131
Q6NT76 Q9HAJ7
O75663 O00743
P05413 P37198
Q7L2K0 P60409
O43809 P60660
Q13283 Q7KZF4
Q9BSR8 Q969F0
Q8TC20 Q15777
P35372 Q92905
P16333 P07766
Q3SYF9 Q9BYR6
Q12800 Q96LZ3
P00738 P02647
O75865 O95429
Q9NZD8 Q5JST6
Q5VWX1 Q13330
P16860 P25788
P60328 P32242
P51959 P60409
Q9NYA1 Q14192
Q9UHR5 Q08379
Q96M11 Q08379
O15355 P54274
P28799 P49639
Q9HAT0 P25786
Q9UKB1 Q13127
Q15654 Q5W150
Q8N6L0 O43765
Q13077 Q5W150
P12931 Q07666
Q6P9H4 Q13287
P21673 Q8NDB6
Q9NPE6 Q14656
Q9BZS1 P62136
Q8TBE0 Q99750
Q96FJ2 Q93073
Q3LI64 Q9BXF9
Q9Y3B2 P15884
P38432 Q9P291
Q6P1W5 P53673
O00560 Q3LXA3
Q9NVQ4 Q86X02
P50222 P11441
P50542 P21549
Q8IYA8 P63167
O95273 Q16670
Q9HAZ1 P60411
P56748 Q8N6L0
P35900 Q7Z3S9
P40337 Q05513
P50222 Q9NVM6
Q15109 P62993
Q969E8 O75928
P04637 O14641
Q8WVM8 Q9H9E3
O00571 Q15003
P60409 Q96SQ5
O00204 Q6ZNH5
Q9P0T4 A8MQ03
Q96IT1 P36575
P24941 P38936
Q9Y5V3 Q6P1W5
Q9BVV2 P32320
Q08379 P08579
Q9Y5S9 Q96SB4
P36873 O15294
Q9UMX0 P55036
Q07325 P54829
Q8WWY3 Q8TD10
P55081 Q9BVG8
Q12800 Q9NW38
Q08117 Q9BQY4
Q5VWX1 P02008
O43290 P55854
Q9BSI4 Q96MW1
Q9NNW5 P26045
P05161 Q9UMW8
Q8NDT2 Q92997
O43684 O43683
O00505 Q8WWX8
Q9ULM2 P60409
O14490 P62993
Q15323 O95363
O75326 P16333
P17931 O75177
Q9Y5R4 P15882
P48378 Q92949
Q14781 P0DJD3
Q9UKB1 Q15653
Q5T5B0 O76081
Q7L273 Q08426
O75716 Q6UY14
P55081 Q2TAC2
Q99873 Q96BD6
Q9BRJ7 Q8ND90
P43360 O14530
Q96EG3 P60328
P18124 Q15843
P98170 Q96HA8
Q8N6L0 O75379
P28799 Q9UBE8
Q9UJX2 Q9BRK4
Q969U7 Q15323
P43897 Q8NHQ1
P62993 Q9UJM3
Q15742 Q7Z3S9
Q96PE7 Q6RW13
O95429 Q8IYX7
Q6RSH7 Q15038
O60826 Q9NX08
Q9H0R8 Q9Y3P9
Q96I25 P21673
Q99853 P14373
Q9BXK5 Q71RG4
Q9P2F9 P60411
Q08AM6 Q96FA3
Q04864 P09917
Q96A49 Q9NUX5
Q8WYA6 P50222
P20226 P52657
Q96IV0 Q9UMX0
Q9UBB9 O43815
Q8WV41 P48023
P60409 O75506
Q96IW7 Q99942
P56279 Q13077
Q9Y5R4 A2RTY3
O43765 P48723
Q12800 Q9UBU8
Q13137 Q96T37
Q8IYX8 Q9HAT0
P63151 P30153
Q13563 Q02363
Q8WV44 O95985
P60409 Q9P0T4
P35326 P12931
Q7Z5L2 Q8IW40
P37235 P26371
P10515 Q9Y6E7
P15927 O75419
P57055 Q12933
Q13503 O15481
Q9BRU9 P36406
Q15293 P54253
Q9GZU7 Q15797
Q96RL1 P46736
Q9BSI4 Q9NUX5
P14222 Q15323
Q9Y2U5 Q9UNE7
P06730 P63165
P13984 P35269
Q8IW45 Q7Z3S9
P12814 Q8NC69
P08238 P49674
Q9NQ48 Q3SYG4
Q14525 P29972
Q9H0X6 P49247
P50222 Q5TA78
Q92934 P10415
P35610 Q9Y5Z9
P16949 P46527
P07948 P25063
Q8NDP4 P60409
Q9NZD8 Q6RW13
Q5TA78 P49639
Q8NAV1 O00560
O15162 Q6L8G9
P60410 Q9BWG6
O75886 O60220
Q9UH99 P50402
P49840 P08238
P67775 O75663
Q7Z3S9 Q8IWZ5
Q9UI14 Q8NI60
Q8NBP7 P08253
Q5VSL9 Q9Y6E0
Q8WWY3 Q9UGI0
P49901 P15884
P27986 Q8WX92
P01137 P36897
Q9BQ66 Q16670
O15294 P36873
Q08426 P60409
Q13111 P83916
P19438 Q15628
Q93062 Q96SI9
P32242 Q5TA82
O43741 P14920
Q8TBB1 P38432
Q9BZK7 P36404
Q9UJ70 Q04864
Q15007 Q9HCE5
P36406 Q96FQ7
Q9UNA4 P18887
P79522 Q08117
P60410 Q8TAU3
Q9H257 Q3SY00
Q96H20 Q08AM6
Q13137 P62979
Q9Y6K5 Q7Z434
Q8IWD4 P07900
Q12933 Q9Y5U2
Q15645 O15389
P49759 P60409
P08151 P29972
Q9NQT4 Q04864
Q8WXD5 P62314
P29972 Q07912
P14735 P01275
O15232 P15884
Q13875 P60370
P48995 Q13563
Q8WZ60 P42167
Q9NYP9 Q9NVV9
P50402 Q9UNY5
Q9Y2W7 Q8N6Q3
Q7Z3S9 Q99856
Q9UKD2 Q9NYB0
Q9UPV9 O15294
P49639 Q9BYR9
Q96H72 P15884
P47224 P61006
Q96GS4 Q9Y2Q5
Q5TZK3 P50222
Q64LD2 Q15323
Q9Y2D8 Q96GN5
P50222 Q9H3U1
Q13287 Q8N3L3
Q6P1W5 Q96CN9
O14964 Q13287
Q8WTP8 Q8WTR7
O00560 Q5TBC7
Q8NFJ9 Q15051
Q9BXC9 P05062
Q15645 P13693
Q15038 Q8IUC2
P60410 P35900
Q15102 Q8TBB1
P15036 P04637
Q8IUH3 Q9NW38
Q9UKT8 Q9Y266
A1A580 O14503
Q9BW11 P60409
Q9NVM6 P50222
Q96NT3 P60409
P48023 Q96RU3
Q8NBW4 Q0VGL1
P32121 P06702
Q9UMX1 P08151
O95865 Q15645
P61326 O75478
O95751 P15407
Q969J2 Q9BS40
Q8TAA9 P26045
Q13563 P43361
Q96NG3 Q8NHQ1
P42224 Q8N9N8
Q7Z3S9 P13284
Q9UKT9 O75865
Q8NC69 Q08426
Q9C086 P60410
P01583 O60684
P14373 O15160
Q9P1A6 P16333
P50222 Q5TZK3
Q08334 P22301
Q9NS73 Q8N3L3
O75716 P60410
Q9BYQ0 P49639
O43516 P08631
Q14596 Q9H0R8
P29376 Q6UXT8
O00755 Q9Y5W5
Q6ZT89 P60409
P62995 P49761
O43815 O00506
Q8IYR0 Q6P1W5
O00560 Q9UHX1
O43889 P17302
Q9UBX3 Q9BYR5
Q15078 Q00535
P49407 P06702
Q08117 P79522
P60411 P09211
Q8WXF1 Q15323
Q08499 P32121
Q9H4P4 Q86U28
Q8TBK6 Q96MF2
P22736 P60370
Q8NI08 O95166
P98168 P33076
P54105 P62306
Q6IV72 P60409
P0DJD3 Q9NRW3
P02647 P05067
Q08117 P15884
Q96T37 Q92841
Q9NRS6 Q96HR9
Q8TD31 Q86Y26
Q8N9N5 Q03692
Q00839 Q9UHD9
P60409 Q8N8B7
P06730 P48775
P25786 Q8NBZ0
O60826 Q86X83
Q9NQG6 Q6RW13
Q15506 P14649
Q9HA38 P22626
Q8IW45 P60411
Q15654 Q06250
P07948 P05556
Q14694 Q5D1E8
Q9UHY7 Q9H4P4
Q96IK5 Q13069
P36406 Q96CJ1
P07237 Q96HE7
Q8WYL5 Q9BR76
Q96HA8 Q9H0E2
P62952 Q7Z3S9
O00505 P46527
Q8IWZ6 P05062
O43639 Q8N684
Q8N944 Q9Y2T1
P30101 Q86YB8
P10415 P55957
Q96Q35 P56279
P11926 Q92993
P04637 O15151
Q9Y4K3 P0CG48
Q969F0 P48230
P41212 Q96HA8
Q86X83 O60826
Q96G03 P04792
Q96B67 Q96DC9
P49757 P04637
Q8IW45 P26371
P15884 Q9NZD8
Q96SB4 Q16629
Q9Y4H4 P08754
Q5RGS3 Q02535
P62995 P78362
Q6QNY1 Q9NWB7
P54725 Q13501
P14621 Q9NS37
O00560 Q15717
P26045 P10912
P07954 P0C0S5
P28300 P15502
Q9Y247 Q2TAC2
O14503 P04637
Q6A162 Q969U6
P31350 Q9UM11
Q6UX06 Q9Y239
P05067 Q13625
P09917 Q9Y6D9
P23771 O15379
P26371 P50222
O00165 P03372
Q3LHN2 P09234
Q13330 Q92769
Q9UMX0 Q16186
Q96MT4 A8MQ03
Q9BYR5 Q15973
O00116 Q9BQQ3
P68400 O75683
P17024 P60411
Q8N8X9 P60411
O76071 Q15637
P26371 Q14584
Q9H2G9 Q5T7W7
P17844 P22087
Q5D1E8 Q14694
Q12933 Q8N2X6
Q06250 P14373
Q15025 Q8N4P3
Q15323 Q9C0C4
P04792 Q96G03
Q17RB0 O75478
P49639 Q5T5B0
P32321 P61328
Q8TBB1 Q8WZA1
Q96EB6 O15350
P29373 Q8N6L0
O95257 Q9H0I2
P60409 Q9UK11
P60409 Q06418
Q58DX5 P22732
Q8NC69 Q9H5Z6
Q15024 Q9Y3B2
P16050 P30086
Q8WZ19 Q96E35
Q08117 Q86V42
Q96JC9 O00560
Q93062 Q96LM6
Q8N6Y0 Q9NSA3
Q969U6 P14373
Q8N726 Q07021
P27361 Q8N490
Q9UL18 P08238
P27986 Q15661
P55040 Q7Z3S9
Q9HBE1 P0CG21
P60410 Q8NEG0
Q96EY1 Q15735
O75586 Q13616
O14669 P46937
Q93062 Q13227
P45983 Q92934
P60409 P49759
O15350 Q7Z419
P59797 P86479
Q3LI72 Q15038
P78371 Q8IWZ6
O60674 Q01344
Q6NX45 P57052
Q53EZ4 Q9Y3C0
P23945 P27348
Q8NA57 Q08379
P20827 P29317
Q96BA8 Q92520
Q8N205 O95471
Q96FX2 Q9UGK8
P43307 P27824
P15531 Q7Z2X4
Q9GZU8 Q12933
Q86Y26 O76041
Q96GS6 O60760
Q86WT6 Q6PHW0
Q8NDP4 Q7Z3S9
O43516 P14317
Q8N138 O15269
O00560 Q8TBK6
Q969M3 O95070
O75909 O15160
O96015 Q5TD97
P29972 Q9BXK5
Q92731 O95273
Q8N8B7 Q8NC69
O95751 Q7L190
A5D8V6 Q96HA8
O95816 Q9UNE7
Q9BV68 P46379
Q13895 Q15025
P24863 Q9UHX1
Q15024 Q13868
P43365 P01160
O43159 Q96EB6
Q13547 Q9UKG1
Q9BRV8 P78358
Q86VP1 Q96EL3
P60370 Q9P2Z0
P25063 P07948
P01130 Q8NBP7
Q9H9J2 Q9NYB9
Q969F0 Q9BRL7
Q32MQ0 P56545
Q96HR3 P60411
Q9HC62 Q8N205
P50402 Q9UH99
Q16204 Q969H0
Q5JWF2 P49407
O95363 Q15323
Q9Y3Q8 Q96GX9
O43597 Q9UKS6
P54727 Q96IV0
Q13042 P45984
Q96HA8 Q13490
Q92688 P50222
P49281 Q96PU5
Q9Y247 Q9UBB9
P62841 Q7L622
Q08E93 Q6A162
P63165 O75928
P56545 Q15583
P03973 Q8IZU0
P36404 Q13432
Q495W5 Q04864
P25786 Q719H9
Q15645 P59990
P56545 B2RXF5
O75569 O15226
Q06787 A1L4K1
Q9Y371 Q8IVP5
Q15554 P05204
P08238 P10398
Q14192 Q16656
Q52MB2 Q96HA8
Q8WWY3 Q96MT3
Q96T55 P32242
Q13287 O95171
Q8NA54 P63167
P56524 Q9HCU9
P05412 Q06481
P05198 P12814
Q7Z3I7 Q13585
P48552 Q99873
Q00987 Q8N488
P50222 Q99943
P68400 P04637
Q13895 O75558
Q08117 Q8WV44
P60409 O43463
Q07817 O00198
P26678 Q9BXK5
P56704 Q9H461
Q9UBY9 P36406
Q96GY3 Q01850
Q96B26 Q9Y3B2
Q9ULP0 Q15041
P28799 Q99523
Q9Y3T9 P04637
O14503 Q86U06
Q8WU17 P40337
P23769 Q7Z3S9
Q9NZD8 Q8N5M1
P50222 Q9BYR5
O75400 Q15459
Q15843 P18124
Q9BTD8 P25788
Q00987 Q9UKB1
P0CG48 Q86Y01
Q86Y26 P25800
P05107 P35241
Q9BQ70 Q96D09
Q5TA78 Q9NRY6
Q8IYF3 Q96FH0
P08582 O60760
Q6A162 Q9H6L2
O00254 P16333
P49411 Q15041
Q15427 O94855
Q9NP84 Q12933
Q96GF1 O75915
Q9H0R8 Q9Y4P1
P54252 Q9BSU1
P54274 P25685
P11049 P43405
P05386 P05387
P63165 P06730
Q8IUQ4 Q9Y5T4
Q08117 P14136
Q92734 Q8N9W6
Q9NWQ4 Q96EG3
P11940 Q9H074
P40222 P56279
Q99418 P29274
Q9Y2T2 Q14194
O43929 Q9Y5N6
Q9GZV4 P49366
Q99575 O95707
Q9H9D4 Q7L273
P04637 Q9NRG4
Q9NVL1 O95231
P54725 Q96IV0
Q8WVP5 Q92997
Q8IUQ4 P35372
Q9NWN3 Q99750
Q9BV40 O95721
Q13620 Q16531
Q6A162 Q9BSJ6
Q06520 P40763
Q13895 Q9Y2D8
O95198 Q96EY4
Q9NP55 P78337
P50402 P49910
P63165 Q9H257
Q08117 P62993
Q93062 P54646
Q07955 P23511
O00560 O95544
Q8NE01 P26371
Q96HA8 Q8ND90
Q9H6T3 P54274
P50222 P04440
Q9NRY6 Q5TA78
Q9UKS6 Q13443
Q99873 P48552
Q9UGL9 P50222
O00401 P62993
Q6L8G9 Q9UBE8
Q8WUW1 Q96EV8
Q96Q45 Q7Z4F1
Q9UJ78 P63165
Q96D03 Q9NQT4
Q8N9N8 P50222
P32321 Q96EH3
Q8WWY3 Q9BRK4
Q9BPY3 Q9UL15
Q9H9F9 Q16531
Q9BQD3 Q9H0R8
P08238 Q15131
P28799 P32242
P55854 Q5W0Q7
P49760 Q8NAV1
Q9NX38 Q6NT76
P60411 Q8NE01
Q12959 Q9NS75
Q9UKT9 O95363
P63165 O43290
Q99081 P47897
P24001 P24158
Q9NVM9 Q13951
P09874 P63165
Q8WWY3 Q9UL42
P48449 Q99828
Q01844 Q9UBV8
Q96FA3 Q08AM6
P14373 Q96IZ5
Q9NZ81 O15162
A0PK00 O95273
Q16671 P08238
Q99972 P09486
Q9UKV5 O15503
Q8N4P3 Q0D2H9
Q3SYF9 Q13554
Q86XT4 P54725
Q08117 P26196
Q3LI76 Q0VD86
O60880 Q96DU3
P0CG48 P17252
Q04941 Q99942
P50991 P78380
Q8NDP4 P26371
O75031 Q9Y4H4
O95751 O00560
P49760 Q8N684
Q14201 Q01094
Q96MU6 P60409
P50222 P61313
Q9NZM5 O95786
P40855 Q7Z412
P51674 Q8IUH5
Q7Z3S9 P54646
Q9BYQ4 Q8N6T3
P21145 Q93009
P04637 Q96SB4
Q3MIT2 Q9NX38
Q6A162 Q6NUJ2
Q8NEB9 Q14457
Q08379 Q08117
Q9NQL9 P25788
P25490 Q6L8G9
Q9UKY1 P54253
Q96EV8 P78537
Q13875 P60409
P06733 P63104
Q9UQL6 P31947
Q86SE8 Q9H8W4
P48023 O75044
Q8IYA8 O15160
P18031 P10599
Q96HR9 Q13596
Q9Y3Y2 Q5VWX1
O00629 Q9UKX7
Q13363 Q96MY1
P49639 Q9BYS1
O43597 O75791
Q96CG3 O14641
Q0VG06 Q8NB91
P55957 Q07812
P11413 Q8IXJ6
Q14781 P0C7H8
Q15637 Q6PEX3
Q9NS23 P60520
Q9BUI4 Q9H1D9
Q15459 P08047
Q9NSD9 Q9Y285
P60520 Q8WWW0
Q9BYR5 P32242
Q96G27 P46937
P14635 Q12778
Q14114 P02649
Q13070 Q8NEA9
P28799 Q9NW38
O15162 Q5TA78
Q9HCU9 Q13547
Q12805 P53673
Q9HCN6 P07948
P01106 Q13309
Q9HD36 O43521
Q8TAQ5 P04637
Q02040 A7MD48
Q05655 P04637
Q9UI36 P26368
Q8TAU3 P60370
P30101 Q13586
P16333 O75593
Q8WWW0 Q9GZQ8
O95273 Q3B820
P47804 Q96EK5
Q15139 P02795
P45880 Q96A26
Q9BXW4 O75385
Q6NYC8 Q7L273
Q9NVV9 Q8TBK6
Q9BQY4 Q8WVV9
O15466 Q92624
P56589 P40855
P86479 Q93062
Q8TBB1 Q9H1K1
P54274 Q6UWE0
Q66PJ3 Q14498
Q9UKA8 P19429
Q6PEX3 P49639
Q9NS75 Q12959
Q9BRU9 P15884
Q8IZU0 P55081
Q9NX01 Q96PV4
P49639 Q9BYQ0
Q96SB4 Q14498
P86480 Q9NV39
Q9C026 Q9NZD8
P04637 Q8N9N5
Q6PKG0 Q8N6L0
P14373 Q99958
P78358 Q7Z4N8
P06239 P08238
P15531 O14787
Q14790 P25445
P36406 Q9BRJ2
Q13069 Q96IK5
P60411 Q5HYJ3
Q13895 Q17RB8
Q99967 P41235
Q9UBE8 Q6L8G9
Q9H257 P56279
P56545 Q01543
Q9GZV8 P29972
Q9NRN7 Q5JST6
P26196 Q08117
Q6ZMK1 Q7Z3S9
