O95476 Q8N9A8
P04070 A8MQ03
Q9UMX0 P01160
Q5TA76 Q9UKJ5
Q9UGL9 B2RUY7
Q6UY14 Q5T5B0
Q9UHP7 Q15848
Q8WWY3 P0DJD3
Q13829 Q9H3F6
Q8WXF3 Q8TDU9
P50502 P49768
P02745 P02746
Q01844 P35637
P54253 P38432
P60411 Q9NP91
Q14D33 Q9HAT0
Q8NEC5 P60411
O60238 Q5T700
P15515 Q8TAX7
O43688 Q7Z3S9
Q96JQ5 Q9UBY5
Q9UI14 Q9Y4P8
Q92542 P49755
Q9BS18 Q9UJX2
Q9UHD9 P24592
Q8NEC5 Q9BYQ4
Q93062 Q14D33
P80098 P98066
O95967 Q7Z6I8
Q9BYQ4 P60410
P63244 P40337
P05067 P61812
Q9UFN0 Q9H3D4
P60410 A1A5C7
Q7Z3S9 Q99853
Q8TAB7 Q7Z3S9
Q96HA8 P02489
O43765 Q6ISS4
Q93062 Q99958
Q13257 P30260
Q969H6 O95707
Q5T5A8 O43597
Q86TA1 P49902
Q3LI66 P59991
P10515 P11177
O00165 P01583
Q9H079 Q9UBU9
Q96LC9 Q96FJ2
Q9Y5B8 P49902
Q9BYR5 P60412
Q701N4 P49901
Q5T7P2 Q5TCM9
O95273 Q9Y2Q3
P18428 Q13162
Q15750 O15294
Q9BZI7 P61326
Q7Z3S9 P48146
P50552 Q92636
Q96K78 Q5T700
Q9BYR5 P60409
Q9NWS0 Q93062
Q9Y666 P41143
Q16643 P28799
Q8TAF8 Q9UJ14
Q9UKJ5 Q5TA76
P51511 P04070
Q9UNQ0 P0CG48
P28223 P21554
Q9GZV4 Q9UJX2
Q15022 O15379
P43629 P30511
P08238 Q9UNE7
P60411 Q9BYQ4
Q7Z3S9 O43609
Q9BRQ5 Q96D31
O00602 P26022
Q9BQ66 Q7Z3S9
Q9BYQ2 P60411
P09012 Q14011
Q9BYQ4 Q9NQL9
Q13253 P12643
O95273 P82980
Q86TG7 A6ZKI3
Q8WUH2 Q9H269
Q8TD06 Q9UMX0
P54253 P26368
P28799 P19438
O95210 Q9H0R8
Q8WWY3 Q08117
P61978 Q6ZRY4
P38159 P98179
P16520 P32302
P52597 P52272
Q05519 Q14498
Q2TAL6 Q9UHD9
Q6UVY6 O76003
O76003 Q7Z3S9
P46776 P13984
Q04900 P61073
Q9BYQ6 P60410
P32121 O75688
Q8NAE3 Q8N5Z5
O43597 P28799
P60328 Q8NEC5
P98175 Q08117
Q92979 Q5TZK3
O75865 Q9UJY1
Q9Y285 Q9BQ95
Q9BYQ2 Q96HA8
Q07108 P21453
P63167 P49901
Q68D85 O14931
P26599 P23246
Q9NQL9 Q9BYQ4
Q96EQ0 Q9UJ90
P54253 Q6P1W5
O75323 Q9H0R8
Q9NX08 Q8N668
Q13895 Q9BYR5
O43521 Q92934
O95257 Q8TAE8
O43679 Q9BVM4
Q14498 O00422
Q9BQ66 Q8NEC5
P46663 P01042
P37088 P51170
P61764 Q6IPU0
Q5TEJ8 Q7Z3S9
Q5T7P2 P60410
O43521 P63244
O95870 Q86VR2
P05556 P32927
O00423 Q9H9L3
P26371 Q5TZK3
Q6NT52 Q9BQ66
Q8WXU2 Q9H0R8
P36955 Q96EQ0
O95967 Q93062
Q9NQS3 P60409
Q9ULK2 P60411
Q9Y2Z0 P63208
O15160 P15531
O95707 P78345
Q9Y2Z0 O75427
Q5TYM5 Q15777
P07204 P00734
P51116 P22234
P60328 Q5T7P2
Q9H4L4 P06748
O95994 Q9UHD9
P07510 Q7Z3S9
Q9H0R8 P60409
P01008 Q8IXL6
P35372 Q13021
Q8NEC5 Q9H2X0
Q8WX92 P18615
Q13287 Q96LT7
O95273 Q9BQ89
O75830 Q9UMX0
Q92692 A8MQ03
Q9H6T3 Q9UBK9
Q9UKK6 Q9UBU9
O60238 P17152
Q9NZ81 P60410
Q93062 A1A580
Q5JXX7 O43765
P08238 O75426
Q7Z3S9 Q9C0C4
Q9NPJ8 Q9H4D5
P51116 Q15041
Q15366 P84103
Q5VWX1 P0DMM9
Q8NEC5 O43597
Q7Z3S9 Q8TAB7
Q96C03 Q9UMX0
Q5TA76 Q9BYQ4
Q9UMX0 O95881
P60520 Q969E8
Q7Z3S9 P27658
P60410 Q9BRU9
Q03135 P25116
P15692 O14786
Q6IBS0 Q9NYB0
Q99873 O60506
Q9P121 Q7Z3B1
O43765 Q07654
P47897 Q86UY5
P10451 O43765
A1L3X4 P60370
Q9GZM7 Q7Z3S9
P60409 Q7Z417
P60520 P60409
Q96B67 Q9UHD9
Q9BVV7 P00395
P55081 P38432
Q96MX0 Q70IA8
Q5T7P2 Q9BYQ0
O43583 P0CG48
Q8TAA9 P27701
Q5TA81 Q5TA78
O00401 O15145
P60410 Q86TG1
Q9UHI7 P60409
Q86U42 P11940
Q9BYQ3 Q5TA77
P01037 Q9Y5U9
P61978 P09012
Q9UMX0 Q17RB0
Q96EQ0 O95967
Q96BI3 Q92542
Q9Y215 P22303
Q7Z417 O95967
P14780 Q16819
O76003 P26371
Q9BYE3 Q9BYQ4
Q8IVP5 P56545
Q5TA82 O43597
P34998 P06850
P54852 Q92838
Q7Z3S9 Q6PJG9
P40259 Q96EQ0
P08571 Q12841
Q96HA8 P60409
P05556 P05413
P55795 Q96DH6
P23284 Q96EQ0
Q9NPQ8 Q9UI14
Q7Z3S9 P60409
Q53HV7 Q52LG2
P63244 Q08752
P20333 P28799
Q8WTV0 P60411
Q13571 Q5T700
P04637 P32780
P56545 Q9H6U6
Q6UY14 Q8WV35
Q14195 Q16555
Q9UIV1 Q96LI5
Q3SYG4 Q9BXC9
P51170 P37088
Q6ZRY4 Q9NU39
O15160 Q719H9
P43115 P60411
Q9NWB1 O43251
O60812 B2RXH8
Q9BYR0 Q6PEX3
O43617 Q9Y5R8
Q5JTC6 Q8N944
Q9H9L3 O00423
Q96NY8 Q15223
Q9UKJ5 P60410
Q9UMX0 Q9NRR5
P20333 P01375
O00165 Q8NHX9
Q7Z3S9 O75427
Q9Y2Z0 Q9Y239
P30260 P12830
Q9BXC9 Q93062
Q16576 Q09028
O15297 Q13950
Q15415 P09012
Q9Y223 P60411
Q5T5A8 O95967
Q5T5B0 A8MQ03
P60411 O76003
Q5T700 Q9BVK8
Q9H1D9 O15318
O43765 Q5JXX7
O60506 Q99873
Q9Y223 Q9BYQ4
Q13021 Q9UJ14
P51116 Q9UI14
P41180 Q15363
Q9NYB0 Q6IBS0
Q969X1 Q9HC23
Q15843 P60866
Q9NZQ7 P33681
Q6UY14 O14633
Q15041 P51116
Q86VR2 Q9H492
O14633 Q3LI66
Q6EMK4 A8MQ03
Q969U6 P60410
Q9BS40 Q9Y6G1
Q12800 P54922
Q96B96 Q9UGQ2
Q8TBE0 P60409
P07900 Q9UHD1
Q7Z3S9 Q9Y223
Q9UMX0 P33240
Q9GZU7 Q99618
Q9Y5B8 O14613
Q6UY14 A5D8T8
Q9BYE3 A8MQ03
Q96HA8 Q93062
Q99706 Q93062
Q9H6L5 P60520
P26371 Q6L8G9
O43184 Q9BYQ4
Q6UY14 Q9BYE3
Q15459 Q9BXW4
Q9NZD8 Q53H80
P60411 Q5TA82
P60410 Q96S52
Q8N423 P17693
P61978 Q15415
P61978 P0DJD3
Q7Z417 P26371
P63208 Q9UK22
Q9BVM4 O43679
Q9BYR5 Q5T5A8
O60508 Q9UMS4
Q13021 Q9NXJ0
Q8WXA9 Q05519
Q9NXK8 P49918
P98175 Q15459
P38432 Q9BUR4
Q9BT43 Q8TC57
Q9UBU9 Q9UMX0
P41586 P18509
Q5TZK3 P60370
P60410 Q7Z6R9
P26371 Q9BYR5
Q15459 P98175
Q01453 P26715
Q06250 Q3LI66
Q5TA81 Q6L8G9
Q8NC69 P57764
P18615 Q8WX92
Q9BZL3 Q6ZS10
P07550 P32121
Q9NQS3 Q7Z3S9
P40199 Q16568
P40337 P63244
P27797 P05067
Q9UHD9 Q16378
O94888 Q15843
Q9UKB1 P17181
Q8N697 Q9HC29
P60409 Q9H0R8
P61964 Q15291
Q5T5A8 P60411
O60356 P06454
Q5XG85 P60411
Q8N3Y3 O43505
Q8NFR9 Q96F46
P51116 P49902
Q9Y4H4 P78358
Q5TA81 Q9BYR5
O14879 Q5T764
Q6ZS10 Q9BZL3
O43765 Q16586
Q9Y6C2 Q13287
P98179 O75525
Q96IZ5 Q86SE5
A1A5C7 Q7Z3S9
Q5T5B0 O43597
Q14331 Q9HCG8
P04637 O43524
Q9NYB0 Q96B86
P60410 Q9BYR0
P42892 P60370
Q9BYQ2 O43597
Q8NFJ9 Q8IWZ6
Q9P121 O43609
Q5T5A8 P26371
Q9Y5U2 Q9NYB0
O15296 P78358
P63244 O43521
Q9NUX5 Q9BRP8
Q93062 Q13444
P04155 Q9UMX0
Q9UHD9 Q9BXJ3
P48775 O95671
Q9HC29 Q8IY34
P60411 Q5TA77
P60410 Q9H4F8
Q8N5Z5 Q8NAE3
Q7Z3S9 P07510
Q9UBU9 Q9H079
P60410 Q9UBK9
P60409 P60410
Q9BXN2 Q01638
Q9UBY5 Q96JQ5
P63208 Q9UK99
Q9UI14 P51116
P63208 Q969H0
Q8WW35 P63172
P33240 Q99932
P49407 O75688
Q9BYR5 P26371
P05067 Q06481
Q96LA8 Q96JB6
Q7Z3S9 Q5TEJ8
Q9NRG1 P56279
Q6PEX3 Q9BYR0
O43609 Q5TA82
Q9BSE4 P52803
O00180 P63165
P61073 Q04900
Q7Z417 Q701N4
Q13761 Q9UQL6
Q96EQ0 P23284
Q6UY14 P60410
Q8TBK6 O95848
Q8NC69 Q8WWY3
Q9UJ70 Q96HA8
Q9BYQ6 Q9UGL9
A5PLN9 O43617
Q9BYQ4 Q9BYQ2
P10145 P98066
Q9NYB0 P37837
O95273 Q8IUR0
Q14103 P11940
P63208 Q9UKB1
P55081 P51116
P60520 Q676U5
Q9BSE4 P55061
P60866 Q15843
P02745 Q9UHD9
P06748 Q8N726
P60409 Q9NQL9
Q9NR22 Q99873
O00155 Q9UJ14
Q9NWQ4 Q93062
Q9UFF9 Q9ULM6
P98066 O14625
Q93062 Q7L273
O43597 Q9H2X0
Q9BXW4 Q676U5
O15232 Q7Z3S9
P49247 Q99757
Q9UBV7 P53611
Q9BRI3 Q8NHW4
Q7Z6M2 P63208
P60409 Q9UBV7
Q13162 P07237
P98175 P26368
Q71RG4 O43765
P60370 Q5TZK3
Q9ULW2 Q9Y5L2
O95461 O43505
Q70IA8 Q9NWS6
O43597 Q9NVQ4
Q7Z3S9 Q9UHI7
Q92542 P49768
P60891 P11908
Q04900 Q7Z3S9
Q16531 Q9NZJ0
Q96SI1 Q719H9
Q9BYD5 Q9UP95
Q9UJY1 O14558
O14625 P27487
Q9Y223 O43597
O43597 Q9BYQ6
P05556 P17813
O75821 P55884
Q9BW27 Q96EE3
P05556 P13612
P60411 P15151
Q9BYR5 Q9NQS3
P46527 Q13309
P05019 P08833
Q9NQL9 O75525
Q9UJY1 P04792
P20155 Q7Z3S9
Q15427 Q14498
Q96E09 Q9NYB0
Q12800 Q8TBK6
Q9BZS1 Q93062
O43765 O95881
P63244 P63167
Q969H8 Q9UHD9
P46379 Q12805
Q13232 Q9UMX0
Q6UWX4 P09917
P32241 P01282
P63208 Q9UK97
P60411 P16860
O00206 Q86XR7
P49447 Q92838
P22466 O43603
P21757 P27449
Q8WWZ3 P63165
Q96HA8 P00492
P50402 Q13895
Q9BV38 Q9H4L4
P60411 Q7Z417
P48146 P26371
O43765 Q0VAQ4
Q9UGL9 Q6L8G9
O95471 P09758
Q6P1W5 Q9UMX2
Q5TA79 P60370
Q15427 Q9BRX9
P23142 Q5TCM9
P01282 O43765
P26371 Q6NUJ2
P60411 Q08117
P60866 P36578
Q8WWM7 P19235
B2RNN3 P0C862
O75971 O60232
Q8WUU8 O43765
P18507 O95166
P01019 P30556
O43765 Q15848
Q8WWY3 Q15415
P51116 Q13895
Q9UBK9 P60410
P08238 P31948
O75688 P32121
Q9Y303 Q8TDQ7
Q7L2H7 P55884
Q6UY14 Q92537
Q9UBU9 Q16629
P61247 P07900
Q9UGL9 Q9BYR5
Q9BSJ6 Q12800
P0CG48 P54727
P20702 P05107
P24530 P05305
Q9BYQ4 Q5TA78
Q9UMX0 P78358
P35368 P21917
A1A5C7 P26371
Q13585 P02795
O00206 P58753
Q7Z3S9 Q5T5A8
Q08117 Q7Z3S9
Q13427 Q96CD2
O75688 P05161
Q5T686 P60411
O14558 P02489
P38432 P54253
Q93062 P07498
Q12800 P29558
Q15291 P61964
Q7Z3S9 P11908
Q96HA8 O95848
Q9H9Y2 P60409
Q96SL4 O43681
P54727 P0CG48
Q7Z412 Q9UMX1
Q96DZ9 Q96LZ7
Q9BYQ3 Q9BYQ4
P26371 Q9UGL9
O60487 Q6UWV2
P98179 P09012
P51636 Q03135
Q9NZD8 Q9Y6K0
P45877 O43765
Q9BSE2 Q9NV29
P51681 P01730
Q6NSJ5 Q8IWT6
O95859 Q12800
Q9BSE2 Q9Y6X1
P60370 P49901
P17152 Q12983
P49901 P60411
Q71RC9 O43765
Q9GZQ8 O95210
Q6UY14 P07858
Q9Y5E9 Q15415
P63208 P38936
P49901 Q9BYQ4
Q8IY34 P59991
Q15041 Q9Y4P8
P07359 P13224
P50402 Q8WTP8
P01138 P08138
Q9NQT5 Q9NQT4
P13726 P55085
P04731 P04637
P27658 Q6PEX3
P19338 P32121
P23246 P09012
O75056 P34741
P54725 Q9UHD9
Q7Z3S9 Q5T7P2
P29972 Q9BYQ4
P09651 Q07666
Q5JXX7 Q9UMX0
Q96HR9 Q9NZD8
P55081 Q08117
P25101 P32121
Q9BRI3 O14863
P48230 Q8TAZ6
Q9UGL9 Q9BYR2
P63167 P63244
Q9GZM7 P59991
P14770 P40197
P50052 P35625
Q96HA8 P26371
P60411 Q8WTV0
Q14151 Q15424
Q9GZM7 Q93062
Q6L8G9 Q7Z3S9
Q14011 P09012
O14558 P02511
A8MQ03 P27658
P51681 P13501
O43914 P26717
Q9BXD5 Q96HA8
P01871 P15391
O14625 P98066
Q16568 P40199
Q5TCM9 A8MQ03
Q96IW7 P11686
P60370 Q7Z417
Q6PIV2 Q96CD2
Q3LI77 P57678
Q8N490 Q7L273
Q04724 Q13761
Q9BPX5 O95257
Q03518 P07237
P08238 Q8IWX7
Q9BYR5 Q7Z3C6
Q6NUJ2 P60370
P22061 P49247
P01137 P17813
Q16586 O43765
Q9NYB0 P61964
Q9UBX5 O95967
Q6UY14 Q9BYQ6
Q7Z6R9 O43609
Q7Z3S9 P05107
Q9BS40 Q6UXU4
Q8WZ59 Q5T700
O95751 Q86TG7
Q13895 Q9UJX2
Q12800 O95859
Q9Y5J7 P62072
Q9BQ66 Q5T5A8
P57060 O95257
P15151 Q7Z3S9
P26371 Q5TA79
Q9BYQ4 Q9Y223
Q08AM6 Q15777
P60370 Q9BYR5
Q8NEZ5 P63208
Q7Z3S9 Q9NQS3
Q9Y6K0 Q9NZD8
P0DJD3 Q8WTP8
P48775 O60762
P56545 Q9Y5P3
P13612 P05556
P04637 P0CG48
Q8TAE8 O95257
P0CG48 Q9UNQ0
P60370 Q07627
Q16819 P14780
Q9BRI3 P15151
O00401 Q8TF74
Q9BQ89 O95751
P60410 Q6L8G9
Q9C0C4 Q7Z3S9
Q9Y297 P63208
P60411 P60410
Q15848 O60238
P63172 P51808
O43716 Q05519
O60844 Q96EQ0
Q5T764 O14879
P60409 O95363
Q04941 Q9H813
Q15109 P02766
Q8WWY3 Q8NC69
Q9NRP0 Q92838
Q03518 P27797
Q8IUH3 Q99757
Q96P20 Q9ULZ3
Q9BYQ2 P60410
Q9BYR5 Q96HA8
Q7Z3S9 P62857
P30532 P17787
O14764 Q7Z3S9
Q9UMX0 Q96FE7
P59990 P60328
Q9BYQ4 P49901
P0CG48 Q9UMX0
Q13547 O00422
O60238 Q12983
P33240 O95453
Q13449 Q9P121
Q9GZP9 P60409
Q9BQ66 Q5T7P2
Q14011 P0DJD3
Q9Y3A6 Q96LA8
Q6PEX3 Q6L8G9
Q8IXL6 P10451
P20366 P25103
Q92636 Q9H0R8
Q86UN2 P60409
P84103 Q9Y5E9
Q5TAQ9 Q93062
Q969U6 Q9BYQ2
Q13901 Q01780
O43681 Q9Y5L2
Q9UMX0 Q9NP55
P02787 P01350
Q08AM6 Q9H0W9
Q9H0W9 Q08AM6
Q9BYQ2 Q9BYQ4
P55081 Q96GN5
P38432 Q03393
Q6ZRY4 P09012
Q9BQ61 P09012
Q8WWB5 P60329
Q9BSE2 Q9H2S6
Q8WTP8 P60409
Q99836 O00206
Q9BQ66 P26371
Q9UKC9 P08238
O75190 Q15773
Q9NYB0 P48539
Q8NHX9 Q9ULQ1
Q9NX24 Q9NPE3
P48146 P60411
Q02790 P07900
Q9NYB0 O95336
P05107 P20702
Q9HC62 P55854
O75323 Q9BXW4
P60409 Q9UBK9
P22466 O43765
Q8NEC5 P50402
Q6AZY7 O43760
Q9UHD9 O00622
Q13895 P60370
P29972 O43597
P02489 O14558
Q9P015 O95273
P02749 P00747
Q9H8S9 Q96MX0
Q96FZ5 Q9P2W7
Q7Z3S9 Q9BQ66
P31785 Q7Z3S9
Q8NFJ9 Q9BXC9
Q8TCY5 P41968
Q5TZK3 O95273
Q5TCM9 Q9BYR3
P98066 P10145
Q8N9W6 P48146
P50616 Q17RY0
Q8WWY3 P60410
Q9BYQ6 P49901
Q6P1W5 Q9NWB1
P06748 Q9H4L4
Q8WXU2 Q9BXW4
Q5T5B0 Q9BYQ0
O43597 P60410
O60884 Q8WW22
Q6UW32 Q9H665
P02795 P58062
P02511 O14558
P41271 Q9UMX0
P27658 Q08AM6
Q9BZJ8 Q8N6S5
Q96LA8 Q9Y3A6
P63165 Q9HC62
Q9H1K1 P00492
Q9BYQ4 Q6L8G9
Q7Z3S9 Q8NEC5
Q9Y297 Q5JTC6
Q9NRX4 O15554
Q8N684 O43809
O43609 P60411
Q9UIV1 P78543
Q6EMK4 Q9BYQ3
Q92769 Q13547
P60520 O60238
Q6UX40 Q9NXB0
P05161 O75688
Q92552 Q9Y676
O95760 Q01638
Q9UBU9 Q07955
P27487 P01275
Q9HC62 Q8WW34
Q9UMX0 Q8TCZ2
Q676U5 Q9H1Y0
Q9BPX7 P26639
P31431 O75056
Q9BXW4 Q8WXU2
Q9BYQ4 Q9BYR5
P48357 P0CG48
P32927 P04141
Q9GZM5 P60410
Q9H8H0 Q969X6
O95379 Q96CG3
P17787 P30532
Q9BXN2 Q9NZG7
Q96D31 Q9BRQ5
Q7Z3S9 O96015
Q9BYQ4 P59990
Q13895 P60409
P05067 Q9HCB6
Q9NS73 P51116
Q8N668 P51172
P63208 Q13309
Q495A1 Q15762
Q5TCM9 Q9BYQ3
Q9BYQ6 Q7Z417
P63165 Q9P0U3
A4D1B5 P05067
Q9Y5E9 P0DJD3
Q08117 P60409
P04637 P20226
Q9UHX1 Q15365
Q96GN5 P11441
Q5BKX5 Q9NQ94
Q5T700 Q96K78
O60353 Q8N474
Q13021 P21757
Q8WW22 Q14249
Q96GX9 Q96HA8
P49755 Q9NZ42
O95363 P60370
Q9Y5U9 P01037
Q13363 Q9H6U6
P41968 Q8TCY5
Q8IUC2 Q99954
P09326 Q9BZW8
Q93062 Q96HA8
A8MQ03 P59991
P01137 Q12841
P52597 Q6P1W5
Q9UJX2 Q9GZV4
Q9BT43 Q9H1D9
Q6EMK4 P60328
Q12884 P01275
Q8TEV9 Q96LT7
P62979 Q9UMX0
O95967 Q5T5A8
Q9UJX2 Q9H6U6
P13236 Q9BRI3
Q92911 A8MQ03
P21953 P12694
P16410 P42081
Q676U5 Q9BXW4
P38159 Q5VWX1
Q9UMX0 P41271
Q9UKB1 P32314
P60329 Q5TCM9
Q15116 Q9NZQ7
Q9Y237 Q9P209
Q9NPD3 Q9Y3B2
Q9NRS4 Q9BSE2
P63165 O00180
Q96GN5 Q8WYA6
P50552 O95684
Q12800 Q9BT43
O43597 Q6L8G9
Q5TA78 Q9BQ66
Q99873 Q5TAQ9
P55085 P13726
P60411 Q9BYQ6
O75177 P33240
Q01844 Q99873
P50616 P11940
Q07627 Q9NPA0
P00973 Q96LA8
Q8IY34 Q8N697
P15018 P40189
O75525 Q8WWY3
P78381 Q9Y2D2
P50591 O00220
O43765 Q5BVD1
Q7Z3C6 Q7Z3S9
O43505 Q8N3Y3
Q14324 Q00872
Q9UJX2 Q8NBZ0
Q8N726 P06748
Q08117 Q93062
Q01780 Q9NQT4
Q08AM6 Q9NUB1
Q86UC2 Q96C74
Q9NPD3 Q13868
O95336 Q9NYB0
Q9P0U3 P63165
P28799 P60409
P02730 O95393
P26368 Q9UHX1
Q9UJ14 Q13021
Q5TA76 A8MQ03
Q9BYR5 Q5TA82
Q9Y5Y7 P60410
Q5T7P2 O14633
P03973 O43765
Q9P000 Q7Z4G1
Q9BYQ3 Q5TCM9
O14863 Q99726
Q06250 P60410
P45877 Q9UMX0
Q06330 P0C7T5
P08962 P01033
P26371 Q9GZM5
Q13868 Q9NQT5
Q8WWX9 Q7Z3S9
P12318 Q9UMX0
O75973 P60827
P38159 Q96A72
Q8WTP8 Q5VWX1
Q9P2W7 Q96FZ5
Q93062 Q9UJX2
P60370 Q9BRU9
O95671 P48775
Q6UY14 P20155
P60520 Q8IVP5
Q15777 Q5TYM5
P15151 P60409
Q9BSR8 Q9GZM5
P54727 P0CG47
Q15572 P20226
O95727 Q9BY67
P04792 P04637
P01137 P11464
Q7Z3S9 Q9NQX5
Q14498 Q15427
P60409 Q5TZK3
Q15427 O75177
Q9UHD9 Q8TD06
P26371 P60370
Q96N03 P54253
P05067 Q9NP59
P29972 Q9NQ79
P32745 P30874
P33240 Q9UMX0
Q9Y294 P54198
P49247 Q96HA8
Q16775 Q9NYB0
Q5T700 Q13021
O43765 Q96SL4
P04141 P32927
Q9UMX0 P05408
Q5XG85 P60410
Q8N5D0 Q16531
P09758 O95832
P0C862 B2RNN3
P06756 P18084
Q8TCZ2 Q9UMX0
O75530 Q16531
Q9BYR0 Q7Z3S9
Q86X55 Q96EY1
O43765 P55291
P43243 P61978
Q9BYQ3 Q5T5B0
Q9NZD8 Q96HR9
O43524 P85037
Q14103 Q9Y6M1
P26371 P59990
Q96RK4 Q8NFJ9
Q3SYG4 Q8N3I7
Q08AM6 Q9NZ81
Q96EC8 Q9BVX2
Q9NYB0 Q13363
Q9UMX0 P62979
P29972 Q16348
Q9Y3C6 Q9BRX9
Q7Z417 Q9BYQ0
Q9Y2Q5 Q9UHA4
Q96IJ6 Q9Y5P6
Q96GM8 P04637
Q5TA78 P60409
Q8IWZ6 Q8NFJ9
P60410 Q06250
A8MQ03 Q9ULW2
P49005 Q15054
Q8IY34 Q9HC29
P07510 A8MQ03
O00244 O43822
P21917 P35368
P29274 P14416
O14633 Q9BYR5
P59991 P26371
Q6XR72 O14863
P60409 Q9H7E9
Q93062 P60329
O60762 Q9P2X0
O15409 Q96A04
Q9Y297 Q15843
P21145 P26715
Q9NYB0 O00479
O43765 Q9BXI9
P38159 P61978
O43765 O95967
Q8IWX7 P08238
P15531 Q8N9Q2
O14633 P60328
P19235 P01588
Q9BXN2 P53801
Q96B86 Q9NYB0
Q8IX19 P07306
Q15415 Q9Y5E9
P05408 Q9UMX0
P26371 P60409
Q7Z3C6 P26371
Q86UN2 Q7Z3S9
O43184 A8MQ03
Q9BYR0 Q8NEC5
Q9UKJ5 Q9BYR5
P60409 O43609
O43765 Q9UN74
Q96DZ9 Q86V21
Q9UHD9 Q969H8
P54253 Q6NXG1
O75865 O43617
Q9NXW9 Q9NP55
Q92542 Q9NZ42
Q09028 Q16576
Q5TA82 O76003
Q99757 Q9UNE7
Q16531 Q04725
Q3LI72 Q08AM6
Q9NV29 Q9BSE2
O75830 Q96EQ0
Q8WTR4 P50542
Q9H3F6 Q13829
P63208 Q9UKT8
Q6UWE3 Q9UHD9
Q14151 Q9H0R8
Q16555 Q9BPU6
Q9UHI7 Q7Z3S9
Q13309 P46527
Q03403 Q96PJ5
P56279 O94967
Q86SE8 P06748
P58062 P16452
Q9UKK6 Q9H4D5
Q06481 O75618
A2RU14 Q5T700
P08238 Q15185
Q9UMX0 Q71RG4
P09661 P08579
Q08AM6 Q8N1A6
Q5TA78 P59991
Q9BRX9 Q15427
Q99932 P78358
A2RRH5 P08243
P60410 Q7Z3S9
P13489 P03950
P21731 Q13162
P78423 P05106
Q5T5A8 A8MQ03
P78358 Q9UMX0
O95433 P07900
P62857 P60410
P08833 Q8IXL6
Q9NQS3 Q495A1
P21964 P30260
Q9BYR5 Q9UKJ5
Q9H9Q4 Q13426
B2RXH8 P07910
Q9Y2K7 P63208
Q9NP91 P60410
Q86SZ2 O43617
Q676U5 Q9GZQ8
Q9H2X0 Q07627
P26371 Q9Y223
Q03405 P00749
Q9UMX0 O75638
Q9NP59 P05067
P38432 Q96HA8
Q05519 Q92844
Q08117 Q6P1W5
Q15506 Q9HAT0
P63208 Q9H4M3
Q99958 Q93062
Q30201 P61769
Q93062 Q99706
Q7Z3S9 Q5TA82
P59991 Q52LG2
P11216 P06737
O43822 O00244
Q15365 Q9UHX1
Q6PEX3 Q7Z3S9
P07585 O75063
Q9BW92 A2RTX5
Q9BQ95 P49768
Q719H9 Q96HA8
A8MQ03 P26371
Q15424 Q9GZQ8
P60411 Q6UXG3
P42768 O43516
P34741 P31431
Q9H4M3 P63208
P38432 Q8TBK6
Q8TCY5 P33032
Q6P1W5 Q8N9W6
Q96EY1 Q9BVI4
P14416 P29274
Q9NWQ4 Q9BQ66
P54922 Q12800
Q8NHW4 Q9BRI3
Q5T686 P60371
O43765 P22466
Q9UHD9 Q8WWY7
P13984 Q8WW35
Q5T7P2 Q5TA81
Q8TF74 O00401
Q8IYX7 O15160
Q15415 Q96MU7
Q9GZQ8 O75323
Q9UMX2 P11926
P60409 Q6L8G9
Q7Z3S9 P60412
Q96CD2 Q8N9Q2
Q5TCM9 P60328
Q9NQX5 P60409
P06748 P05549
P46098 Q70Z44
Q9BXJ3 Q9UHD9
Q93062 Q8WVV9
P98179 Q15415
O95967 Q9UBX5
P48357 O15243
Q9NUX5 P63313
Q9H773 Q96HA8
P60411 Q5T5B0
O75525 Q8WX92
Q15415 P62995
Q9BYQ0 P59991
Q16609 Q08AM6
Q99836 P58753
P12104 Q9NYB0
Q9BZL3 Q9BXN2
Q5TA76 Q6L8G4
Q9Y3F4 P15531
O14793 P13497
P60409 Q9BYR5
O95363 P60409
P60410 Q99853
Q9H1Y0 Q7Z6L1
Q9BYQ2 Q5T5B0
Q5TA82 P60410
P21757 Q16617
Q96FJ2 Q86WS4
O95751 Q8WWY3
O76036 P27918
Q08117 Q13895
Q9UP95 Q9BYD5
P60409 P59990
Q6PH81 Q13547
O14793 P09958
Q9UMX0 Q99732
Q93062 P59991
P0DJD3 Q15415
Q8TE85 Q96LA8
P54253 Q8N684
P35813 Q9H6Z4
P60370 Q9BYQ2
P48539 Q9NYB0
O96015 Q96FJ2
Q8TBM7 Q14318
P33897 P28288
P10599 Q9H3M7
Q96G04 Q9NRG1
Q99967 Q92754
Q14011 Q15415
O14764 Q9UMX0
Q9BYR5 P29972
Q9GZM5 Q9BYQ2
Q9NSA3 P60409
P63165 Q8WWZ3
O00481 P04155
Q7Z3S9 Q86UN2
Q9BYQ4 Q96S52
P60410 O43609
O75386 Q9HAT0
P0C7H8 P62857
Q9BX79 O76003
P62995 Q96MU7
P04035 Q9Y5Z9
O15379 Q15022
A6ZKI3 Q9UHD9
Q9Y6G1 Q9BS40
O75427 P60410
P06756 P05106
Q7Z417 P60411
P15531 O15160
P60412 Q7Z3S9
Q9H0R8 P41145
Q9NXJ0 Q9Y342
Q7Z417 Q9BYQ4
Q8NEC5 O95994
Q13547 Q09028
