Q14511 P12830
Q8N668 Q04206
P28482 P15391
Q12955 Q07699
Q96GD3 Q9Y3A3
Q5SXM2 P20226
P10275 Q9UNE7
P50222 Q9BQ66
O15379 P40763
O15350 P84022
Q13547 Q15583
P21796 P06396
Q04724 Q8N5U6
Q13547 O43683
P56524 Q9H9E1
P06400 P05120
Q96NY7 P21917
O43615 Q99595
Q16288 P20783
P43119 P50148
O75376 P06454
P38432 Q9GZT8
P56945 Q9H0Q3
Q5RKV6 Q06265
Q14934 P43694
P20963 P43403
O14744 P02686
O14879 Q05D60
Q9NPI5 P05556
P47756 Q9P287
Q8IZI9 Q08334
P17600 P12931
P35250 P10644
P56524 P45973
P12757 Q4LDE5
Q99627 P25963
Q969L2 O43399
Q13111 P12004
Q8WUH2 P36894
P23443 P23588
Q86UP0 Q96I34
Q13332 Q8IWV7
Q9UMX1 Q9NWS9
Q9H190 Q9ULB1
P16150 Q9BZZ2
Q19AV6 O75771
P38432 O60229
P98161 P17661
Q13415 Q13309
P42262 Q9NRD5
Q9BX70 Q96ID5
Q03113 O95977
Q99612 Q9NRX1
Q9HAU5 Q9BZI7
Q15149 P16144
Q13751 Q02388
Q13797 P49023
P01308 P06400
Q9NUQ8 Q8NC60
Q9NPQ8 P63096
Q15393 P08631
Q8N8S7 Q8IZP0
Q6IA17 Q9Y4K3
P32926 Q9Y446
Q9UJ70 O95777
P36897 P17813
P21246 P21673
P52798 P29317
P21246 Q9UHF0
Q14974 P04637
P22087 Q99558
P56537 O76024
Q16853 P15498
O75884 P06400
P48995 P42261
P10243 P19338
Q15382 Q8N122
Q92793 Q9UH73
P20226 P04150
P56134 Q6PK04
P02549 P35611
P63151 P36897
P68400 P42768
Q99990 Q99594
P24928 Q9GZU7
P19438 P62993
Q99704 P05556
P49841 P49768
P55854 Q13569
P01579 P01375
Q15078 P12814
P07738 P04406
O15519 P49810
P29373 P30281
O60907 P35222
P63208 P20248
Q9NZ94 Q92796
Q13643 Q9BTD8
P04150 P27797
Q96CG3 Q12933
P20645 O60664
Q9Y5U5 Q13077
Q8N2W9 P04637
Q96QE3 Q99638
P11532 P48023
P20226 Q9Y265
Q96DU3 P43403
O75955 P05089
Q9H6Z4 P62826
Q9Y328 Q5UIP0
Q03135 P34947
Q9Y664 P68032
P05386 O95989
P16471 P43403
Q8TAA9 O14641
Q9BZ76 Q02410
Q9UKE5 P06396
P12955 P54253
P48723 Q9UHD9
Q15035 P24928
Q15154 Q9Y3C0
P03891 P12931
Q13503 P49336
Q05655 P14867
O95477 Q8WWI1
P24588 P0DP25
P03372 P29372
P15822 P54253
P19957 Q92817
Q12959 P22001
Q15181 Q13432
Q7Z7L7 Q13617
P27348 Q6PKG0
P46379 Q9H095
O15514 Q6VMQ6
P43088 Q9H7Z7
P08581 P14210
P21802 P55075
Q15121 Q9NVE7
Q9GZL7 P46531
P43378 O95197
Q8N187 Q8TAP4
P54105 P11171
P16284 P27986
P14209 P02794
P38432 Q5TD97
P08476 P27037
Q07820 O43521
P11831 P15923
P54253 O75376
Q16514 Q15544
P17028 Q9UKR5
O75553 Q07954
Q07960 O60241
Q15027 Q15836
Q9Y566 O60241
Q14919 P20226
P07384 P02452
P27361 P43146
P32246 O43889
Q9BUZ4 P36941
P05091 Q8N357
Q9H0Q3 Q9GZT6
P16298 P57103
Q14831 Q9NRD5
Q9Y3A3 O94989
O00560 Q9Y345
P54253 Q9Y2Y4
Q12962 O00268
P16389 P50549
P15509 P27986
P49703 Q9HC35
Q9BQA1 P62318
P61218 P62487
Q01844 Q9Y2I6
Q9H5J8 P06746
P0DML2 Q13485
Q13547 P28749
Q9H3D4 P62993
P55212 P49810
Q7L5N1 P04637
P68400 P12830
Q07065 P00750
Q9Y6G9 Q9BW27
Q9UKS6 Q13444
P14672 P09622
Q9UJX2 Q9Y3Q8
P08670 Q13426
O77932 Q9H0D6
P56817 P49768
Q15038 Q93062
Q8IZH2 Q14839
Q92793 Q9NP62
P28482 P42702
Q9H446 Q9Y295
P49910 Q9BQ66
Q14126 Q9Y446
Q96G23 O15245
Q8IZH2 P48643
O00560 Q13002
P03372 P01160
P56159 P39905
Q07889 P15941
O15399 Q07157
Q9UGK3 P12644
Q13813 P17677
P63167 P29475
P55345 Q8N684
P62993 P06748
Q93062 Q9P0T4
Q14203 P43034
Q15653 O15160
Q96BY2 O00220
Q92934 P60903
P07288 P04279
P07948 P15509
Q16651 Q6VMQ6
Q5JY77 P21452
Q9P086 Q15528
Q8N3X1 Q07666
O00231 Q5RL73
O60500 P07948
O00238 P62987
P31946 Q96F86
P42574 P06396
P38432 Q96JN2
Q14500 Q13424
P20042 Q13432
Q9UMX0 Q9P2K6
Q02790 Q15306
O75688 O43318
P11473 Q9H0R8
Q14500 Q02410
Q13547 P15172
P01042 P07384
Q6UXL0 Q9NYY1
Q9UHA4 P27361
P25100 Q13424
O15162 Q9H7M9
P29350 P78324
O75791 Q8IWV1
P46779 O95793
O43791 Q9UBK5
Q13432 P07948
P37198 P29084
Q96RU3 O00401
P38432 Q6ZVK8
P28476 P46821
P35372 O60437
Q99598 O95257
P35372 P30679
Q04637 P11940
Q8TF64 Q9NPG1
P22557 P53611
O43679 Q9NQ69
P14091 P46379
Q01518 P50452
P52790 P41222
P20226 P21675
Q9UHD9 P04843
Q96RI1 P04406
P10124 P02768
O00463 P36941
Q14257 P46379
Q07666 P12931
P49356 O75365
Q9HCL0 O75553
Q9UM11 P12757
O43592 P35658
P27487 P00813
Q8WVJ9 Q06413
Q06124 P16410
P06241 P11912
Q15012 Q13509
P14923 P15941
P21741 Q9UM73
O60869 Q13285
P09769 P49407
Q9Y490 P08514
Q5T2W1 P48764
P24928 P19387
Q8IUC6 Q9Y4K3
Q92621 Q8N1F7
Q02156 P17302
Q66K74 O14599
Q6ZMR5 Q13105
Q9BVP2 P04637
Q9NPJ4 P10275
Q9Y297 Q9C026
Q00535 P49768
O95273 P24385
P67809 Q13242
P29992 P35368
Q9H422 P32121
Q8IZH2 Q92925
P04637 P42773
O43255 P08247
P06241 P35612
P54253 O14901
Q99466 P49810
Q9NQ34 Q9GZR7
P08493 P12643
Q9P2M7 Q9Y624
Q03468 Q13216
Q01780 Q9UK80
P61978 Q08881
Q9Y6Q5 P15151
P56524 Q9Y230
Q92481 Q9H2B2
Q15788 Q9Y261
Q9H6X2 P38398
P16298 Q13469
P20309 P84077
P05362 P08195
O14511 Q15303
Q7Z6J2 O75899
Q8WUF5 P04637
Q8TD19 P02686
Q9UBZ4 Q96ED9
Q8N1S5 Q96D05
Q7L5N1 Q8IYL3
O95994 Q9GZT6
O00186 Q9UHI6
P63104 P18825
Q9Y383 O95257
Q9NWQ8 P43403
P40763 Q99062
O14776 Q9UBS3
Q86XR7 Q9NWZ3
P61626 P15502
P07858 P00797
P12757 Q14112
P29972 Q15834
Q9Y3P8 P06239
Q15459 Q9HCE7
O14653 P54920
Q6W2J9 Q9UBN7
P52789 P41222
P48539 P0DP25
O75586 P10276
Q969Q1 P61956
P16520 P36897
P40238 O15524
O43447 Q99633
P15170 P54253
Q9H0E2 Q93062
Q13557 P06127
Q16623 Q01668
Q96TC7 P61981
P35754 P18031
Q15788 P33076
Q96G97 Q96HH6
Q5RL73 P08670
Q9UNP9 Q03164
P25098 P32245
Q07820 Q92934
P78317 P17096
Q9UJY5 Q92673
Q9Y4C8 Q05209
P11230 Q7L5N1
P30086 Q9BTT4
O75674 Q15155
P56704 Q9UP38
P05026 Q5T3J3
O43561 P62993
Q8IZV2 P00533
Q8NE71 P56537
P24821 P23467
O14641 Q8N684
Q16539 Q14318
P63165 Q02447
Q13011 Q9BXR5
P0C0L4 P02652
Q6EEV6 P11142
Q9BQ66 Q9P0T4
Q92845 P25054
Q96ED9 Q14966
P06858 Q9Y383
O43148 O60942
Q9Y223 Q05516
P43034 P46821
O15264 O00418
Q07817 P99999
Q99436 Q92979
P33240 O95163
P17612 Q12809
Q9Y2Z0 P06703
O43915 P35968
Q08345 P12107
Q05516 Q9UKV0
Q15722 P30679
O14641 P63172
O75376 O60907
P20226 P36508
P02766 O95163
Q99062 Q92835
Q13310 Q5UIP0
Q9UDY2 O95832
Q15436 O95487
Q13255 P25098
Q12988 Q15047
Q6EEV6 Q99798
O95155 Q99615
P59768 O14775
O94829 P63279
P40925 P21695
O14776 Q15459
P33240 Q12996
P06241 P54253
Q92841 P22087
P10912 P29350
P14174 P04233
O43639 P61978
O43414 P04156
Q9NWA0 Q9Y2X0
Q14289 P06396
Q15785 O75154
Q9UHI5 P08195
Q6KF10 Q13873
P55884 Q04637
Q08211 P20226
Q9ULV5 Q9Y2P5
P57678 P09382
Q96IZ0 P0C1Z6
P17252 P61764
Q9H4B4 P04637
P62888 Q99558
P36897 Q9C0J8
P16284 P19174
P51116 Q14134
Q9NVN3 P50148
Q5QJE6 P12004
P11142 Q9UNE7
P24941 Q08050
Q4LDE5 Q6VMQ6
Q8N668 O15524
Q92956 Q13077
O94910 Q92625
P35222 Q12778
P19438 P23458
P12956 P09466
Q10713 Q13873
Q9Y6B2 Q09472
Q13237 Q03393
P51693 P61604
O75081 Q13547
P14923 Q08554
P55344 P17931
P78406 P52948
O95831 O75821
P27361 P31994
Q6UWL2 Q6VMQ6
Q14344 Q13304
O95750 P22455
Q9UNW1 P11831
P10275 P04406
P45984 P04637
Q05586 P35609
P61956 Q03933
Q96RN5 P84022
Q13363 P48552
P22888 Q5JWF2
Q14344 P19022
Q99547 Q9Y5X1
O75506 Q9Y3C0
P00533 P16070
P12814 Q13426
Q15436 P53992
O15294 P10636
Q30201 P02786
Q9NRX3 Q8IWV7
Q9HCE7 Q96AE7
Q13873 P12643
Q13485 Q9HAV4
Q9Y6K9 P08238
Q9H307 P08727
Q96MU7 P06241
Q00013 Q9UNE7
Q9Y223 Q5UIP0
Q86SG3 Q15038
P26358 P14373
P17096 P15336
P02686 P27361
Q99571 P33151
Q9Y383 Q9BQD7
Q99717 P26368
P07949 P13861
Q15029 O15145
Q13200 Q8WVY7
Q15047 Q9H5F2
Q9UHX1 Q96I34
Q03052 P17096
Q9BWH2 Q9H1I8
O94985 O00139
Q9UKR5 Q9Y2M5
O00238 Q6P3X3
Q8IZU3 P11940
P05129 Q92686
Q9BW71 Q16778
P20226 P09429
Q9NQC3 Q9H8W4
Q15942 P50552
P0DN86 P01215
O15503 Q12772
P12931 P33151
Q96FZ7 Q9BRG1
P09619 Q9BQ66
Q13895 Q12816
Q03135 P10275
Q15910 P04844
Q96CW1 P11279
P03372 Q86U06
O14908 Q03167
Q9H228 P63096
O00222 P21333
Q7Z418 P36897
O94763 P13984
Q7Z7J5 Q96BY2
Q96SB3 P14416
Q6EEV6 P50213
Q13432 Q13200
Q15078 Q9Y3Q8
O00170 Q07869
P32004 P35241
P22607 Q9GZV9
P51677 P09769
P04637 P29320
Q9UBY5 P04899
Q06124 O43597
Q9C0C7 Q14457
P21802 O76093
O15379 Q9NYJ8
O15145 Q9Y6W5
P36957 O95376
Q99612 Q9HCU4
Q13113 Q5T2W1
P41594 Q9NSC5
Q9NRR5 Q96IX5
Q9ULB1 P21579
P51452 P01133
Q9Y2N7 P40337
P52655 P52657
O95571 Q96ID5
Q8NHJ6 Q06124
P07948 P24071
Q9UGN5 P18887
Q04206 P35637
Q9UPY5 P08195
P53350 P06748
P55854 O96020
P61218 P19387
P29475 P08588
Q6EEV6 P10809
P01189 P32245
Q7Z6A9 Q06124
P12757 Q9H2Y7
P51817 P10644
O94972 P51116
Q8IYU8 P02686
Q00610 P05549
P46379 Q16891
P10586 P35568
Q86YN6 P03372
O14936 P34741
Q9Y3C5 Q9UHD9
P36405 Q13432
Q9HB75 Q8WXG6
Q86U06 Q9P2H0
Q9Y5X1 Q13443
O75449 Q05469
Q07869 P07148
P01112 O60603
O95273 Q9HCZ1
Q9NPJ4 Q13285
Q92793 P04637
Q13309 Q01094
P42772 O15145
P62070 P02765
Q92796 Q13224
P20941 P25098
P0CG47 P04629
P28799 O15198
P17252 P04004
O75439 Q16595
Q9Y2S7 P12004
P20719 Q12778
Q13501 P54725
Q99972 P02751
P45973 Q14739
P63165 P28360
O95373 P09132
Q5T2W1 P35346
P11831 P55211
P28482 P04637
Q9UER7 P14672
Q969D9 P42229
Q8TEQ6 P62314
Q86UP0 P35222
Q9NTM9 Q9H1I8
O95084 P42695
Q92688 O14980
P02795 Q15139
Q07666 Q13702
P68400 P17936
Q9UEF7 P08069
O60563 P28799
P30874 P29350
P24593 Q9NS23
Q13045 P60709
Q9UER7 Q03188
O14775 P49758
P63244 P23458
Q6GTX8 Q06124
O15525 Q9Y3C7
P29122 P20930
P78346 Q99575
Q9BT88 O60506
O75716 P02686
P78560 Q9HB75
P38432 Q9P2K6
Q16623 P23763
P08238 P03372
Q9NZJ5 Q13217
O15379 Q9UHL9
P34896 P67870
O60506 Q8N9I0
O60260 Q13155
Q15388 Q99689
P49903 Q8N357
P10275 P06396
P12314 P08631
P11171 P14416
P28482 P50616
O00330 Q09472
Q9H427 Q04917
O60725 P15153
Q9Y294 P62805
P17096 Q92793
P18075 P27037
P0CG47 Q99626
P13686 P15927
Q13332 P28827
P07949 P39905
Q15653 P52434
P63218 O14775
P15941 P07948
Q53FA7 P26641
P68400 P30519
P61978 P63279
P63272 O43719
P48729 Q12968
Q12888 Q5IJ48
Q13444 Q99962
P28223 P51812
P08670 Q9UI14
Q9Y3C5 P47897
P53618 P24390
P19012 Q14966
O60674 Q99062
O95967 O15162
Q14055 Q99689
P43364 Q9Y375
P13725 P42702
P24588 Q12959
Q12778 P10828
Q05655 P28906
P19174 P30556
Q5VWQ0 P17612
P84022 Q08174
Q14512 Q9NRR5
P63244 P17252
P21246 Q16363
O95429 Q93038
O15379 P23769
Q9NYV6 Q9H9Y6
Q92835 P16284
P28289 P06753
Q07960 P04035
O95257 Q07869
P21741 O60674
Q9UHD2 Q92844
P01011 P14653
Q96CW1 P35368
Q15906 Q99750
Q02413 Q9Y446
P30281 Q9H063
O00401 Q15811
Q9Y2Z0 P25815
P56524 P28482
O75689 P19338
P42285 Q13868
P30153 Q06830
Q96PQ1 Q06124
O75955 P04278
Q8IYX3 Q9BQ66
Q9UGU0 P78317
P62258 P54253
P35221 P49768
P25024 O95837
Q13368 Q99250
P24588 P46940
Q13547 P35249
Q05655 P48048
Q15750 Q12933
P12956 O14678
P21549 P50542
P46527 P20248
Q9NWZ3 Q99836
Q13114 Q8IUC6
P35520 P42858
P01225 P01215
Q96P31 P43403
O60504 Q14151
P07814 P54136
P63165 O75030
P16871 P27986
Q9HCU9 Q09028
P61247 Q6VMQ6
P53041 Q9UHD1
Q16539 P19634
P08651 Q9BRT6
Q6UB99 P56524
P21673 Q9BQ70
Q9BUE0 Q70CQ1
Q9H0D6 P21964
Q9UKV3 Q53HC5
P50750 P40189
P27986 P36544
P12034 P11362
Q92466 Q01831
O75943 P55769
P43250 P23945
Q5TCQ9 Q13224
P0CG47 Q16620
Q99750 Q8TBE0
P62826 Q99932
Q8NBJ4 Q9H840
P04843 Q6IA17
Q12846 P54920
Q9Y624 Q8TEW0
Q15475 Q04724
Q9P1W9 Q9NTM9
Q5RL73 Q16594
O15259 O75161
P55060 P14866
Q15700 Q9UP38
Q13485 Q12778
P24666 P43403
O94907 Q99750
Q96PK6 Q09472
P09884 P01011
Q04917 O60260
P38435 P00734
Q13424 Q14524
O75791 Q9BQ66
Q9NRL3 Q6P1R3
P01033 O94762
Q13363 Q92831
Q13114 P43489
Q14344 Q99500
Q9UL19 P22735
P60709 P23528
Q13487 P20226
Q05655 P30411
Q9H2V7 Q07817
Q13277 Q15836
Q13485 Q9UNE7
P26367 P63167
P17612 P60983
Q15119 Q96JB3
O00253 P33032
P84103 O14893
Q03135 P22307
P35520 Q9NP79
Q8WWW0 Q9NYB0
P17936 Q14181
P20151 P10275
Q9P0J1 Q05655
P24394 P35225
Q8N2W9 P55854
P07992 Q96S82
P10124 P02776
Q12983 Q07817
Q12824 P04637
Q9UNH5 P04637
Q9H1K6 O75581
P01042 P04264
P17096 P05412
Q13501 P62987
Q13136 P23468
Q92834 P06748
Q96PU8 Q9UKA9
P17028 Q5RL73
Q9C0A0 Q02410
P31431 O14936
Q8IUC6 Q14653
Q13105 P18084
O15379 Q8TF05
Q9Y3M8 P04035
O00267 O43719
P48551 P01563
P30679 P08172
P22692 P52790
P17096 P17676
Q6RSH7 Q16665
Q5RKV6 Q9UK45
P22455 O60258
P31749 P46527
P06241 P12318
Q13705 P08476
O75145 P10586
Q9NYF8 P61981
Q32MZ4 Q13045
Q9NXU5 P62917
Q01844 P81877
P50542 Q9NTG7
P61981 Q92804
Q86SE5 Q8TAP4
O60268 O00165
Q99627 Q9UBW8
P21741 Q02543
Q9NPP4 O95999
P19784 P10451
O15520 P21802
Q99698 Q93074
Q7Z7C8 P21675
Q9HCE7 Q9UNE7
Q9Y5U5 Q12933
Q86YN6 P62508
O00548 Q86UL8
P61981 P55081
P30408 P68366
Q13042 P53041
P48058 Q9NRD5
Q9BXX0 Q9Y6C2
Q9H3N8 P09471
P05386 Q9H1I8
Q16533 P20226
P17612 P16455
Q03135 P21333
P54253 Q15038
P07384 P01583
Q8IZ52 O15198
Q9UKB1 Q13616
O43561 P78314
Q13643 Q6UY14
P48050 O14936
Q06124 P40189
Q14644 P63244
P04899 P25025
P57103 P62258
P17612 Q9Y698
P67775 P08100
P31946 Q9UQ35
P11274 P04637
Q15047 Q9Y3A3
Q15427 O14776
P04637 P36405
P21333 P49768
Q9P2S2 O14936
Q99627 P60228
P43119 O43924
O75145 Q13332
Q9NRD5 Q9NRR5
Q96S55 P49005
O15117 P42768
Q05586 P10114
Q8N5F7 Q9NVV9
P62805 Q9BY41
P48681 Q15078
P49286 P08754
Q96CJ1 P55199
O43660 Q99459
P57105 Q07954
P31943 O75674
P26572 O15198
O60383 Q16637
Q8N490 O14950
Q15637 P26368
P53611 P62491
P68400 Q02790
P62244 Q9UKW6
P48039 P63096
P19235 P16885
Q16602 O60894
P37088 Q16623
Q9HCU9 O75190
Q9NSB8 Q13255
P04083 P21462
P51572 Q04941
Q969H0 Q99466
Q06265 Q9NQT4
P68400 Q06413
O15379 P25490
P47897 P54136
P41143 P04899
Q8TBC3 Q96B97
Q14005 P63252
P07339 P05067
P59768 P08172
Q13363 P37275
Q9NRD5 P78348
P21579 P05230
P54259 Q12805
Q13332 P18433
P25445 P17252
P04637 P18146
O75533 Q12972
P00742 Q05329
Q12931 Q16394
Q8WZ42 P02511
P15309 P04626
P36575 Q00610
Q16820 P07492
P08047 P20226
Q12959 P98164
Q9Y3C6 Q13573
P36957 Q9UKY1
O00186 P62318
P61978 P08631
Q5RKV6 Q9NZW5
Q9UMX0 Q96DC7
Q12929 P05556
Q99704 P26010
Q13277 P51809
P34998 P50148
Q99665 Q14765
Q8TC92 P26641
P60981 O15198
P11171 P35462
Q8NER5 P09529
Q9P2M1 Q9Y3Q8
P61962 P61981
O75821 O15372
Q9C0C4 Q15700
Q9BTY7 O95445
Q92614 Q8IWL2
O60232 P49368
P20827 Q15375
Q96CG3 P51617
O14788 P27361
Q12805 P10398
P42857 Q86Y82
Q96CW1 Q9HBG7
Q92887 P35241
O75155 P20226
P38432 Q96CN9
O43491 P21728
P03372 Q99966
Q99500 P63096
Q13017 P05556
P31749 P09601
O95372 Q96GD3
P05161 P41226
Q9BUH8 Q8NEC5
O00170 P27540
Q14582 P04278
Q8N0Z2 P60709
Q9NP85 O60500
P68402 Q8N1G1
Q9Y371 Q13443
P56539 P08237
P12544 P26583
Q13045 Q9Y3R0
Q8IU80 P25391
O14594 P09429
Q15582 P02462
P49842 Q99808
Q06124 P16581
P46379 Q15047
Q8N0X2 O75602
P46821 P26368
Q99972 P30613
Q02156 P05556
P68400 P46060
O43524 Q15796
P28476 P68400
O75083 Q15477
P55316 Q14469
Q14164 Q92844
P42166 P20700
Q9BT78 P04637
P48357 P41159
Q9UQB3 P12830
P48730 P04637
P63165 Q15596
P62280 Q99558
P23528 P61981
P60520 O95352
Q96D15 P29122
Q9P209 Q7L590
P28289 P20929
Q9Y6Q6 Q9Y4K3
Q9NQX5 P30279
P08727 Q14966
O15018 P01034
O00238 P12643
Q13753 P98095
Q99750 Q8WUT4
Q9Y561 Q9NPI5
O75969 Q14344
Q9Y3C7 Q9H1I8
O43491 P30542
O15294 Q9H1M0
P0CG47 O94782
P57678 P17931
Q13705 P43026
Q12789 Q86U06
Q9UKL3 P25445
P63167 Q01813
P51572 P05067
Q9UEW8 P55011
Q15078 P49418
P17931 P12318
Q9UBU9 P35658
P21246 P47756
O14713 P05556
P05121 P05783
P14625 P68400
Q15327 O14958
Q14315 Q8NBH2
O75586 Q15797
Q6W2J9 Q13547
O43427 P05230
Q13023 P13861
Q05516 Q99075
Q9H211 P0CG47
P05129 Q13224
Q969H0 P46531
P52735 P15391
P60174 Q9Y234
Q99547 Q9NY61
P48739 P61968
P0DP25 P49190
P41594 O14924
P43364 Q96CB9
P06239 P25445
Q8WTS1 O60240
Q9BXH1 P10415
Q8TF71 Q9H0H5
O14639 Q14500
Q99569 P49768
P29350 Q6GTX8
Q7Z7J5 Q7L190
O60674 P30556
Q00169 P00533
O15131 P39687
Q96HU1 P17302
Q9H0M0 Q14966
Q13283 P20936
P61981 P62995
P12931 O95297
P01229 Q5JWF2
P41226 P25445
O75190 P05783
P43405 P15391
Q00535 Q12879
Q99607 Q13309
Q13523 Q07955
P61956 Q13569
O14763 Q13546
P09466 P84022
Q96B97 P0CG47
Q6PIL6 P49810
P63172 Q12815
P54253 Q92794
O60383 Q96IZ7
P43405 O43914
P04637 P27694
Q14789 P11169
P29120 P00797
P55060 Q0P6H9
Q13393 P61764
P41143 P09471
P51681 P40763
P10827 Q15646
Q13571 Q9Y6I3
Q9NZ81 Q53G59
P18507 Q08209
Q8IY57 P04198
P41235 Q12778
P42224 P19438
O43147 Q96B86
O15226 P19838
Q9UKG1 P43146
P54253 Q8TAQ2
Q15038 Q9NRR5
P00533 Q9H299
P38936 P68400
Q16514 Q15542
Q15078 P35222
O15552 P09471
Q9Y3F4 O15105
Q15542 Q15545
P04183 P04637
O60383 O75569
O75712 Q07157
P41220 Q9BPW8
P32243 P54253
Q13895 O94972
Q96JH8 A0JLT2
P23219 Q02818
P63165 P41212
P08670 Q9Y2P4
Q92990 P62942
P09455 O95402
O60869 Q13133
Q92793 Q99966
P32780 P29083
P38936 Q8IYF3
P17612 Q14500
P06241 P16144
O75419 P09884
P61457 P51116
Q8N9N5 Q14201
P30044 Q9GZT6
P17081 O00401
O00515 Q9UMD9
Q13332 Q99689
Q96F46 Q16552
Q9NZ08 P19438
P54727 P55036
Q14393 P30530
P19338 P68400
Q6ZVK8 Q96CG3
O96013 P18084
O15399 Q00610
P50995 Q9H553
Q16637 P04637
Q03135 Q06124
P63167 P60709
Q9Y4H4 P63096
Q5T3J3 Q9Y2X7
Q9NVN3 Q5JWF2
Q9NZU7 O00555
P49286 P11021
Q8IZD9 P49810
Q06124 P16284
P22570 P10109
Q9UBF9 P21333
P12931 Q9H5V8
P31321 Q13485
Q99623 Q13547
P79483 P01189
P07948 P15328
Q08752 Q9HAU4
O95166 Q9NQX3
P98155 P02649
Q96EB6 P04637
Q15669 Q5T3J3
P61978 P06241
Q9H237 P56706
P54253 Q15942
P21246 Q9Y657
P16298 Q9UPR5
P04637 Q02447
Q99972 P08123
P54253 Q53G59
Q9BUL9 Q99575
P43403 P15941
Q92823 Q01484
P21246 Q92963
Q13418 P05107
P54257 Q8N8D1
Q8N5I3 O75909
P0C0S8 P02741
Q16637 Q01085
Q59H18 Q14896
P07737 Q9UKR5
Q8TF68 Q92804
P21246 O00231
P61981 O14618
P19438 O60674
Q9UP52 P02787
Q12967 P49407
Q13873 P04003
Q86YM7 Q13255
Q9NWT6 P40337
P23284 Q14653
P18887 P09874
P09104 O00762
Q86X55 Q04206
P19022 Q92793
P16871 P42229
Q05586 Q15700
P52945 P10997
P28328 Q04724
Q9UER7 O15379
O15228 Q15286
Q16695 Q9Y294
P63165 P11388
Q00597 P14625
Q13330 Q09028
Q9GZY0 P78559
P46379 Q8IZL8
Q99750 Q8TC90
Q9UBK2 Q96EB6
O14978 Q9UMX1
P12830 P28827
P05129 P34741
Q66K89 P04637
P05060 P05109
Q9Y5N6 P33993
O14981 P20226
Q8N5F7 Q86V42
P06239 P07766
Q6ZRS2 Q86X55
P21917 P62993
Q9HAU4 P98153
Q92558 Q92934
P53779 Q13432
O15533 P53618
Q9ULB1 Q86SS6
Q9BV44 O95777
Q9Y6X2 Q13547
O00213 Q8N8S7
P61952 P62873
P00451 P27824
P35609 P38432
P21980 P61586
P03971 Q16671
Q9P2Y5 Q9H269
P21589 P60709
Q9C0D5 O14490
Q9NWQ8 O43464
Q13901 O75376
P61024 P46527
Q13018 O15496
P05787 O75618
Q15560 Q96CJ1
P38936 Q15834
Q14192 P24593
P61981 Q8TBC3
P51116 Q8NAP8
P01732 P06239
Q92934 Q04917
Q06124 Q01362
O14964 Q9NRR5
Q8IW41 P02686
O60671 Q9GZQ8
Q9BQ95 Q13485
P17252 P42262
Q13547 O75182
P17612 O15551
Q9BQA1 P62306
P02786 P20963
O14649 P53618
Q07820 Q9BXH1
Q8TDJ6 P20336
Q15843 P09936
Q14192 Q9Y6Q6
P54253 Q14671
O14786 P35968
Q9Y3C5 Q96MP8
P46527 Q00526
P26006 O00499
P17181 P01562
P01135 Q86UL8
Q15047 Q9H9J2
Q9Y219 P46531
P78357 P06241
P06241 P14784
Q15303 Q99075
P46379 P11142
P35221 P19022
P23443 O00418
O75525 Q92530
Q9Y6H8 P05129
O14836 Q9Y275
Q9BPY8 P11831
P36897 P16070
Q9BU76 Q9H190
Q9BVG4 Q96I34
P25942 Q13490
O95084 Q13387
Q15155 Q6VMQ6
Q9Y4K4 Q92844
P03971 P00533
O15379 P05412
P11912 P29350
Q13838 Q9NRL3
Q15717 Q14974
P14625 P04626
Q9UNE7 P84022
Q13464 Q16555
P05549 P35222
O95571 Q5T3J3
Q13444 P06239
Q04771 Q9GZS3
P54257 Q9BQD7
P45983 O00418
Q5JWF2 P30542
Q99704 P18084
P16083 Q9H8Y8
P26038 P13598
Q14061 Q5RL73
Q9HAW4 O14757
P16949 Q9NRR5
P54253 Q9UKD1
P62979 Q15797
Q9BZ72 Q14289
Q9UFF9 O75175
P17612 P17600
Q9NPQ8 Q52M93
P53350 Q9UBS3
O60674 P19235
Q15843 P09874
Q01726 P01189
P04637 P12956
P38936 P40763
P29400 Q8N5U6
O75553 P78509
P09455 O95237
P04792 P68032
Q9BVI4 Q8N6Y0
A5YKK6 Q9UFF9
Q99750 Q8NEC5
O43148 P52292
Q8N715 Q9BQ66
O95997 P53801
Q00535 Q02078
P11831 P29590
O14713 P98164
Q8NES3 Q04721
P06239 Q9H400
O15379 O43593
Q99750 O75427
P63167 Q8NA92
Q99750 Q14213
P15391 P16885
P50150 O14775
P51636 Q14789
Q5RKV6 Q9Y2L1
Q9Y297 P35222
Q9NWF9 O00206
P13010 P25942
Q15428 Q15459
P09104 Q96MC5
Q96ST3 O75446
Q92796 Q12879
P98174 P19801
Q15788 P11831
Q86V81 Q13838
Q96I34 Q8N5W9
P54253 Q8IX01
P22681 Q9Y6Q6
P07910 P01116
Q13325 Q96BY9
Q16637 P38432
O00560 Q14832
P54253 Q03989
Q96CG3 Q9H190
Q06495 Q14192
Q8IXB1 P11021
Q9NS68 Q9Y4K3
P12004 P26358
P05114 P14316
Q9UIQ6 P14672
P29275 Q15599
Q13635 Q14623
P16152 Q13216
P48169 P05129
P51451 P31994
Q16665 P04637
P22607 P05230
P68104 P0C0L5
O14908 P98164
Q12879 Q9BXS5
O95967 Q9Y4C2
P20273 Q92835
