Q5J8M3 Q96IK1
Q8NG78 Q8TC76
Q3LI72 Q8N682
P01834 Q9GZU0
A8MTY7 Q6XXX2
Q96DM3 Q9NPG8
Q8NHC8 Q6ZS10
Q8N6M5 Q4VC39
P29017 Q96R27
O15342 O96011
Q15054 Q15485
Q9H6H4 P78406
P08514 Q96PV6
Q6ZUI0 P02489
Q9HCN8 Q92743
P57055 Q12841
Q9Y471 P48960
Q8N5S3 P05423
Q96RB7 Q674R7
Q96CW6 Q96EP9
Q59GN2 Q8ND56
Q6NVV3 P55895
E7EW31 Q5T7N8
O00204 O75342
Q6PCB0 P43034
P33897 Q9NR23
Q86V85 P31689
Q9NYB0 Q9BSE4
Q9BWD3 Q8NHR9
Q9GZT3 Q9HC57
Q9BV94 Q9NUB4
Q8N766 P17707
Q14154 Q6IS14
Q9Y5R2 Q6UX52
Q8NG83 Q8TCT7
Q8N428 Q8IYU4
P28472 P43631
P10082 Q9NYP8
I3L3R5 Q96EY7
Q16576 Q9NY37
P49821 Q9H2X8
P47804 Q8N9L7
Q9UJ90 O14786
P09681 Q8NES8
Q9Y6Z5 Q9HAV0
P11464 P26639
Q6P5W5 Q9UPR5
Q9Y274 Q15758
Q9UDX5 Q96GX8
Q5SWX8 Q14761
Q6UX82 Q8WTT0
Q3SXY7 P46094
P33151 P01178
O00624 Q8WVC0
P61572 E0CX11
Q9H9A6 Q8NGG5
Q15113 P0C6S8
Q8NEP3 P0DMR1
Q9H4F8 P60201
Q9HCC8 Q9H3M7
Q9Y5I7 Q9NXK6
Q13046 P82664
Q14498 P85037
Q9NZJ0 Q9HC47
P09093 Q9NXF8
Q7Z5L0 P30519
Q6ZN44 O95274
Q8NC67 P36957
Q30KQ1 Q9NZG7
Q6XZB0 Q9UG56
Q14332 C9JXX5
A8MVS5 Q17RF5
Q86W26 Q9H237
Q7Z6W1 Q8NGP2
Q96C74 O60721
P0C7U3 Q9NXK6
Q9H3V2 Q15043
Q9BUX1 Q04760
P0DN82 Q96MP5
Q9C0B6 O75420
P40126 P08887
Q6NT16 P08476
Q9H7X2 P32239
Q92185 P08246
Q14721 Q8N6K0
O14764 Q13444
P43115 P40198
Q8MH63 Q9UJ83
Q96RS0 Q6UWQ5
Q8WWY8 P98153
P17152 Q9BXS4
Q16581 Q6ICC9
O60320 P07477
Q969I6 Q9GZP7
Q8N4K4 A6ND01
Q9NWH9 Q14435
Q9NR71 Q15233
P0DMQ9 Q9Y5G5
O14926 P21917
Q9BYJ0 P07998
Q15762 Q6P2C0
Q6UWV2 Q8WWZ1
Q5VWM6 Q8N608
P62955 Q8WUR7
Q9HAJ7 P40198
Q969H0 P59998
O00767 Q9Y5R8
O00115 Q96MV8
Q86V24 Q8NH94
Q8N119 Q9H967
Q5MJ10 O43155
P61579 Q9UKZ9
Q15459 Q8N6U8
Q9HCQ5 P04746
O00294 Q8N0U6
Q9Y561 O95069
Q00888 P57055
Q8NGI7 Q5T4W7
Q9HCJ6 O15466
Q13491 Q9NPJ3
Q14393 Q6EEV6
P21926 Q9H999
Q6NW40 P34972
P02689 Q3MIR4
Q9Y337 Q9H1C4
Q96MU7 Q9UH64
Q96P70 Q96CN7
Q7Z769 O00481
Q8NI32 Q14201
Q9NZN1 A0A0B4J1Y8
Q4V9L6 Q6XZB0
P10643 P30990
Q96SI1 Q99795
P05090 Q86TI4
Q6UX65 Q6UY18
Q9NPA8 Q8NCW6
O60488 Q7Z2R9
P18065 Q06495
Q9HCG7 P80217
Q96IW7 Q13258
Q4VXA5 Q96QS1
Q8TBG9 P49763
Q86W42 A6NGN9
Q5VVY1 P22735
A6NDY0 A6NNV3
Q99618 O60478
P49407 O95727
Q9H330 Q5W150
Q9Y297 P32245
Q99437 Q6RSH7
Q8TBE9 Q8NBI2
Q8N119 Q8NG77
Q9H790 Q8NFT2
Q8NH07 Q9Y5F3
Q9HBX8 Q9UPW0
Q9UJM8 Q69YW2
Q8IYX7 Q9H340
P21810 P31942
Q9H015 Q53EV4
Q6UX65 Q63ZY6
Q5JUR7 P07510
P0CJ75 Q9UI40
P09486 P18440
Q8NGL7 O75446
Q9H7F4 P04180
Q9UIR0 Q8N0Z9
Q9UKU0 Q15118
O75446 P01700
Q14439 Q5JSH3
O95456 Q16676
Q52LD8 P0DP73
Q0VD83 P08294
Q9Y5K2 Q13495
A6NNA2 A6NGY5
Q96RP3 P12318
Q9BYE3 Q96BJ3
Q5NDL2 P13236
Q9Y2Z9 Q8NCQ7
Q9UBQ0 P34998
Q8N7P7 Q9BY10
Q14157 Q5MNZ6
P42766 Q15003
P35237 Q9BSH5
Q96IR7 P28332
P0DOX3 Q9NPA2
Q7Z7B8 P00167
P11487 P0CG48
Q8IWY4 Q96LM1
Q7Z5Y7 Q0P641
A6NDX4 Q8IW03
Q14151 Q9NZP6
Q6Q795 Q8NGP9
Q9H3M0 Q03188
P0C7T8 Q9NZ42
Q8TE85 P52434
Q9Y5Z4 P00738
P25189 P28222
Q9UFN0 Q9Y2E8
P98066 P55083
Q9NYW7 Q8NGM9
Q96L08 Q16048
P01825 Q96MV8
Q8WZ82 Q8N6Q8
Q9H5J4 Q5T5C0
P10109 A0A0G2JMI3
Q5T230 Q13243
Q8N9L7 Q6T423
Q9BVC4 P27695
Q6L9T8 P51679
Q6GV28 Q9Y5L4
P0C2L3 Q9ULT0
Q9HC62 Q8WXS3
Q8N7P3 Q9BXJ0
Q9H469 Q8NGP9
P05090 Q96IZ6
Q8TB68 Q13241
Q96H35 P0DML3
Q53EV4 Q96FH0
Q3SXY7 Q9H8X9
Q9NRR8 O75593
Q5BJH7 P0DM35
Q9P0V8 Q9ULW8
Q9NUJ1 Q969R8
Q01780 Q7Z7G0
O14579 P01911
Q96LA8 Q9BZB8
Q86X51 Q8IZ08
P0CG42 P0C5Y4
Q9ULC6 Q5T3J3
Q93075 A6NKN8
Q99954 P22732
Q96M69 Q8NGZ9
Q6UX04 Q15233
Q86UC2 Q92187
Q9BV29 Q96GL9
P86434 Q9BYD1
O60568 Q15843
Q9Y5I4 Q9BYR4
P03951 P31146
A6NL99 Q8NGB2
B3EWG3 Q8IXM6
P02778 Q9UNA3
Q8NGM9 Q8WVS4
Q13740 Q3B7S5
Q7Z624 P56545
Q06210 Q5T1Q4
Q9NQZ3 Q15546
Q7Z5A7 Q7L1I2
P56278 Q13356
O00142 P01766
Q14627 Q7RTX9
P43626 Q5T6L9
Q9BXW7 Q17RF5
P26715 Q66K80
Q1W4C9 Q86WW8
Q96E93 O75356
Q9NYZ3 P37088
Q92743 P54851
Q5JTJ3 Q5HYM0
P01589 Q8WWA1
Q9NQS3 Q9NWS0
O43822 Q9UBM4
Q68DU8 Q3LIE5
P28332 Q08629
Q9Y5G3 Q8N8D7
Q9NQ32 Q8NGZ6
Q14331 Q6IFN5
Q9UI95 P16278
Q92904 Q2UY09
P0CG36 P25067
O15350 P10321
O60829 Q9BZW2
P23435 P0DP08
A8K010 P16410
P33076 O14925
P58012 Q8NGK6
Q13145 P49765
Q9H1M3 Q8NBC4
Q6PDA7 O00757
Q8IW03 P35318
Q9H4H8 P62891
Q86W24 Q96AZ6
Q6P1W5 P47944
Q9NYP8 P07306
Q9UF56 P0DJ07
P07741 P17693
Q96AB6 Q6XZB0
Q9HBE5 Q86VR8
Q01726 O95498
Q9H347 P01848
A8MWL6 Q9Y5R6
Q9BY10 Q9UNN8
Q8N4E4 Q96IQ7
P17677 Q9Y342
Q8WUA2 Q5GH73
P07311 P58294
Q8NBQ7 Q86SG7
A6NN92 Q99873
O14793 Q8NGD1
Q9UKT8 Q13427
P46527 Q12792
A6NGB9 Q9H1F0
Q13790 O75309
Q8TB73 Q96BH3
Q6ZRY4 Q86VD9
Q6UY09 P29033
Q8N9M1 Q8N6I4
P09912 Q8IUL8
Q8IXQ4 O95980
P56750 Q8NI29
P29122 Q96RB7
P10144 A2RUU4
P36222 P57054
P0C862 O75459
P61960 Q6NSI4
P46926 Q96DN0
Q8IWT6 A6NFC9
Q8NI28 Q8NGR1
P28336 O15371
A8MZG2 Q6UY18
A5X5Y0 P09417
Q9NRD1 P52823
Q9H330 Q9NWQ4
Q6ZWK4 Q03426
Q13461 Q3LXA3
Q9BRL7 P35326
Q5HYL7 Q13304
Q96KW9 Q71H61
O43557 Q9UN88
Q86XD5 Q96AQ7
Q8N755 Q7Z2X7
Q9H7L2 Q8NE35
Q6UWS5 Q687X5
Q14126 Q86SE8
O94985 A6NMK8
P37268 Q6PI26
Q5TZK3 P13500
P49683 A8MV81
Q8N6I4 Q96P31
O43614 Q9BW27
Q6ZP01 Q9H1E5
O75752 Q13217
Q6UXV1 Q9H9H5
P58062 P55291
Q96M60 Q12918
Q9BT56 Q7Z5Q1
P82970 Q96DE5
Q8TF01 Q9H3Z4
O95256 Q8NGC3
P55064 Q9BSA4
Q8N9V3 Q5TA76
P10645 Q92504
Q5BLP8 Q9UBU2
Q8N441 Q96B96
Q9UN86 P48169
E0CX11 A6NDL7
Q96ST2 Q13287
Q8NBL3 O75608
Q8IYK2 P00736
O95170 P03986
O14602 P07359
P22891 Q9BYH1
P35268 Q6P2I3
Q9C0B6 Q9NV06
P61073 Q6AWC8
Q96H35 Q9HBL7
Q13324 Q9Y2Z9
Q8N2X6 Q99965
Q8IZ02 Q9H7E9
P43489 Q8IVG9
Q7Z5W3 Q3MJ13
Q86VM9 Q8NA70
Q9BTF0 Q6P499
P60985 Q9H3S3
Q96R84 P07306
Q6SJ93 Q8NAA4
Q9UKR0 A6NJB7
Q8WXI8 Q6ICL3
Q7Z2W9 Q9Y6K5
Q9BT43 Q8TAZ6
Q9UJA2 Q8IXL6
O75899 Q9Y256
P56202 P18615
Q9HC47 Q6UWM5
A8MUP2 Q13117
Q9BT43 Q9NSA2
Q8TBE0 P0CG34
Q86WA6 Q6ZRU5
O75311 Q3KNW5
Q9HC97 Q96RS6
Q9BX74 Q8TDB4
P28067 Q9GZR5
Q15828 Q9BV94
Q8NGZ0 Q6P1X6
Q99624 Q9H3G5
Q96AQ2 P23560
E9PB15 A6NL05
Q8IUH8 Q9UQG0
Q9H1N7 Q9GZV9
Q9UJC5 Q8N6U8
P62753 P27635
P53611 Q9UHY7
Q8IVU1 P20783
P51582 Q5HYM0
O60636 A6NNL0
O75366 Q8N6Q3
Q96G21 Q92482
P16035 Q86YV9
Q05952 Q06141
O00476 Q7Z5A7
Q9H8V8 Q96DZ7
A0A0B4J1Y9 P10619
Q8WWX8 P28336
Q9Y5H2 P03999
Q9ULZ9 Q15391
Q9P0J1 P02730
Q3ZCQ8 Q8TDL5
Q6XE24 P23528
O14618 Q9UGP8
Q5KU26 Q9NX24
Q15836 P57055
Q99519 O60478
Q8IZN3 Q6ZQT0
Q86VD9 Q53QW1
A1L443 Q92521
Q9UN74 Q96P11
O94778 Q93070
A0A0C4DH68 Q16553
O76087 Q9NPH3
Q5QJE6 Q5PT55
Q5VSD8 B2RUY7
O15229 Q6WRX3
Q96HH6 Q3Y452
P05160 P09104
Q7Z4H8 G3V0H7
Q8NGC8 O95476
Q13451 Q15617
O14810 A0A0B4J2D9
P30613 P24530
Q9Y5I2 Q8WXS4
P26842 P53611
Q49AS3 Q01780
P29275 Q9Y3F4
Q9H3M0 P61812
Q3KNW5 Q8NI37
P52849 Q92537
Q2KHT4 Q9P0L9
Q6SJ96 O43278
Q86SG3 Q9BY15
Q9Y5E7 Q9H3Z4
L0R6Q1 Q8IYG6
Q13607 O43927
O60245 P42702
Q9P2E5 Q01453
Q6ZMD2 O43462
P14406 Q96II8
Q9H0P7 Q8NGA6
P47881 O15144
A6NC62 O60234
Q8N4P6 W5XKT8
O75575 Q0VAQ4
A0AV02 Q8IZF7
P28221 P62847
O14520 Q68CK6
Q9UJ14 Q96FX7
P16278 P43007
Q08174 O60603
O60774 Q9NZ01
Q96M42 F8WFD2
Q5VT03 P47893
P31689 P0CAT3
Q8WZ71 Q12778
P42263 Q9NXH3
Q9NZV1 Q96RL6
Q3MIW9 Q1RMZ1
Q8IXS0 P29033
P62079 Q16864
Q9NRR2 Q6UQ28
Q8N4A0 O71037
P30101 Q9Y585
Q9NX24 Q6NXT4
Q6UB35 P32418
Q6B9Z1 A0A0B4J1Z2
Q8TED4 Q14914
P0DN80 Q6UXH8
Q9H7M9 Q96S95
Q9BSY4 P11684
Q8WWX8 Q9H3Z7
O15260 Q9NQ39
P04180 O15226
P49763 Q658L1
Q69384 Q96A83
Q9BQ04 Q9UBM4
P61421 O75915
Q8N539 Q9UBM4
Q6UW88 P25105
Q08397 O75177
P01614 Q8TDN7
P13726 Q96JF0
Q5VUY2 Q7Z692
P25106 Q9Y5A9
P61073 Q3MJ13
Q15849 P36575
P51790 Q9H8X3
Q14699 Q5VTQ0
Q9H9Y2 Q9NY25
Q9BRL6 Q99935
P24387 Q9H1E1
Q99727 Q68CR7
Q8TEA1 Q8N456
O76075 Q7L8S5
O60548 P31358
Q99442 P26599
P31323 P0DMR3
Q9NPF4 Q9NPD3
Q86VU5 Q24JQ0
Q96T83 Q96HR9
Q96BZ8 P06310
P0C7Q5 P12277
Q96JA4 Q9NPI0
O60238 O75312
Q6T423 Q4QY38
Q9BUH6 Q5VUY0
O76076 Q13228
Q9HCM7 Q8NBL3
A6NDV4 P34903
Q9NRA2 Q6ICL7
Q8N9L7 Q8TF74
Q8N0Z6 Q15459
Q8NG11 Q9BZS9
P61165 Q8IZ69
Q16718 Q96MG2
Q15125 P0C628
P06280 O00165
A8MTB9 Q6ZRP5
A6NC42 Q9H2X8
Q6IBS0 Q86UP6
P36542 Q8WTP9
P51172 P51124
Q8NCL4 Q5TA45
Q8TCB6 A6NLE4
P43251 P29965
Q06643 P20645
Q8IYS5 Q8IZS7
Q8WZ94 P57052
P58062 P39905
P67812 Q9H910
Q68G75 Q9UI46
O14602 Q9Y5N6
P26572 P0C1Z6
P29762 P51116
P20674 O75712
Q14956 Q96A25
P34913 O76003
Q96BX8 P06732
O94829 Q8N6S5
P13498 B1ANS9
Q8NFQ5 P29033
Q9H1Z4 Q3LI64
Q13444 P06733
Q7Z309 P04808
Q9BXJ9 P61566
Q92611 O95259
Q9NR82 Q9NSC7
Q9P0T7 Q2T9K0
Q13283 Q13634
Q14320 Q9UHY7
Q2T9J0 O43175
Q9UP38 Q9Y3C4
Q9Y261 P04201
Q8NFR7 Q99884
P51809 P17658
Q96BZ4 P12110
Q3LHN2 Q9H2S6
Q9H334 Q7RTX1
Q3LI77 O75529
Q9Y2Z0 Q5T3F8
Q9P126 Q8N136
Q6ZRP5 P16473
Q5VX71 P0DMW2
O00425 Q86V21
Q9BX73 A8MPX8
P30559 P04070
Q15758 Q9BYJ9
Q96N21 Q9H361
Q9Y653 Q13740
Q16270 H3BV60
P12532 P56557
P50225 P0DMU2
Q5VXI9 C9JC47
Q5JTV8 Q9HCU0
Q8N1F8 P01583
A8MYP8 P0CJ75
Q4L235 Q86VU5
O00469 P11836
P11166 Q6NT16
Q6N069 P80723
Q9UKJ5 Q9C0D7
Q9Y5J6 P25445
Q9BZD7 Q9BRQ4
Q92765 Q9NTZ6
Q5T9C2 Q8N766
Q9GZP4 P11216
Q9BXN1 Q86Y27
Q96BH3 Q8TC76
Q9BUD6 Q13099
A0A1B0GTY4 Q12951
O60687 Q9UK97
Q5MJ68 Q9NS26
Q6UXR4 Q6QNK2
P50895 P61572
Q9NRW7 P46776
Q08AH3 Q07627
Q6U949 Q8IUK8
Q8NBS3 P61978
Q8N9V3 Q96T83
Q92562 Q6UX53
O94817 Q53EV4
Q5VTH2 O43914
A6NKN8 Q8N5U1
P07498 P42658
P49914 P20774
Q8TAB7 Q8N3Z0
P05089 Q8NH04
Q9Y342 Q8N148
Q8NHB7 Q8N8Q9
P82932 P59797
Q15843 P0CJ74
Q9P0S3 P50135
Q9UM11 Q96EL2
Q86XM0 Q9BSE2
P01034 P0DMQ9
P78562 P20718
Q86UN6 P61565
Q9BUB4 Q8NGL2
Q9NTX9 P51808
Q9H479 Q9UMS5
O95834 Q9BSE5
P00441 P16422
P07098 E9PQX1
P05814 Q92561
Q8N3A8 P01705
A0A075B6K2 Q8IVL8
Q14623 Q14406
P11912 O43173
C9JE40 A4D1T9
P03999 Q13443
P57737 Q92681
O75865 P03952
Q15291 Q9Y257
A8MZH6 Q8NGS1
Q8WWC4 Q9Y6Q6
Q9H305 Q9P2J9
Q9BXR0 Q15042
A6NM66 Q8NAP1
Q9BTV4 Q96MX0
P0C7N1 Q5K4L6
Q9BXW4 A0A075B6R2
Q9NYW6 Q9ULC0
A6NC51 Q9HD64
Q8NGA8 Q8IX30
Q7L592 Q9Y5Y3
Q8N7Q2 P01860
Q9P0P8 Q0P641
Q8WW01 Q6IA69
O00585 Q8IVN8
P04432 Q5VWW1
Q9NWQ9 Q8NHA8
Q8IWY4 Q8TDX6
Q08188 P0C7V9
P58400 A6NIK2
Q9NYA1 Q92747
O14684 Q9Y271
P14416 Q96DN5
Q9BYP9 Q96SL4
Q9H553 Q9H8S9
Q14656 Q8NH21
Q6UWF7 O76093
Q9GZY6 Q8NGJ0
Q8WZA0 Q6PEY1
P08709 Q9UNA3
Q96PD2 P34981
Q8N2X6 Q96AA3
Q9Y303 Q14761
Q8WUD6 O43286
Q6ZMB5 P59044
P30953 Q8N4H0
Q9Y324 Q6J272
Q9NX31 O75473
P28908 Q96RD3
Q96LT7 Q8NGR8
O75618 Q9Y5F9
Q92804 Q96B21
Q9Y5J7 Q9BQ87
Q8NGG2 P0DJI9
Q86Y22 Q9NZE8
O75448 Q9UND3
P10144 O43280
Q9UNW8 O60565
Q30KQ1 Q96HP8
Q969W1 Q9NZG7
P19623 Q02487
Q86UN6 Q8NAP1
Q5VXU3 A6NMN3
Q5JXC2 Q16515
P10966 Q96E93
P01743 Q6PRD7
Q17RM4 Q5GH72
Q5VSD8 O43447
O75326 P58499
Q8NGL3 Q9H808
Q9UBS5 Q6IEG0
Q9BXR0 Q6P1W5
P17096 P22303
Q9UKX7 Q9Y3B2
P15086 A5D8T8
Q96J42 P30049
Q96EZ4 Q9BUL9
Q9NS62 Q9NZP0
P13688 P20382
A0A075B6J1 Q96CB9
Q8N456 Q8NGX0
A8MV24 Q5T7N8
Q71RS6 Q6UWU2
Q06250 C9JDP6
Q15004 Q5VTL8
Q07699 Q8NEP3
Q92839 Q8N5L8
Q8WXU2 Q7Z3C6
O75636 Q9HCJ6
Q8N3J2 P33240
Q5T8R8 Q8NGZ2
Q9Y258 O95873
A8MYU2 P06454
Q8N9W5 P59036
Q99643 P21452
Q8N6L1 P05156
Q9NYK1 Q16576
Q3MIW9 Q30KQ8
P10523 Q8IUC8
P61568 H3BS89
P0DI80 Q5MJ09
Q9H221 Q9GZZ6
Q3LI63 Q9ULT0
Q8IVK1 Q9NXH3
Q6ZVX7 Q96DS6
Q9ULC6 Q8NCU8
P58062 Q86V85
Q969J5 P49356
P14209 Q6P6B1
P55061 Q16609
Q6PH81 P81534
Q9Y421 O00175
Q8TE02 Q6P1M0
P22695 O00476
A6NJB7 Q92743
Q96R05 Q14773
P35368 P04211
Q5JQS5 Q9GZV7
O14561 Q9NXH3
O43934 Q9H4G8
Q8NFJ5 Q96EZ4
A0M8Q6 Q6PID6
Q9NUQ2 Q6P1M0
Q9H8H3 Q53R12
Q6ZSG2 P00750
O43704 P60368
O14493 P98173
Q8N8F7 Q86UP0
Q14032 Q14201
A6NHQ4 Q2HXU8
Q9UKJ8 Q9BV23
Q9HAT0 P07900
P20151 Q2M3M2
Q99595 Q9H313
O60565 P27169
P02741 A2RU30
Q7L3T8 P12104
Q8N386 Q6UY27
Q9BXA5 Q9NZQ7
Q8TF01 Q96R47
Q9H6P5 P07741
Q5TGI0 O43148
A6NMK8 P57052
P32780 P26992
Q96EH3 O60356
P05230 Q5TAA0
Q9NUQ7 Q15120
Q8NGT1 Q8WW62
Q9NPL8 Q8IVW8
O95178 Q9BYG3
A6NGU7 P01772
Q8IYU4 P52848
Q8NGF0 Q8WXC6
A6NDE4 Q13356
O95389 O15218
Q9P016 Q8NH74
Q9UGM5 O95371
Q6ICL3 Q96K49
Q9UBR5 P48775
Q4LDR2 Q9HC73
A6PVY3 P0C7U3
P58182 Q9H7M9
Q13477 Q8NG50
Q96SW2 Q96H35
Q9H3L0 Q9BSE4
Q6UWL2 P51970
E9PQR5 Q5TAQ9
Q9GZK4 Q9NUN7
Q8WWZ3 Q8NI99
Q00872 O43826
Q969H6 O14678
Q93062 P51114
P08034 P58550
Q5JXA9 Q9Y581
Q2T9K0 Q9UHF4
P46783 O43921
O75607 O00270
O43173 Q16820
Q9Y6B2 P62263
P80188 Q8NEZ5
Q96N03 Q9GZV3
B7Z368 Q9H1U4
P23528 P55017
Q17RR3 Q06330
Q8IWA0 O75900
Q9NVA4 Q6ISB3
O60756 Q9Y5B0
Q8NBL3 Q9BWJ2
P01308 A7MD48
Q9NV39 Q96PS1
P22079 H3BQJ8
P59990 Q9BRL6
Q8IUW5 P01308
Q9GZU1 P02749
P08579 Q96SA4
P01850 Q8NCR9
P11216 Q96GP6
Q86UY8 P55081
Q6L8G4 Q9P2T0
Q8TDM5 Q4G176
Q2WEN9 Q6UWN5
Q96LK8 P30101
Q6ZVL8 Q9Y5C1
Q96IW7 A4QPB2
P19623 Q9BXR5
Q8TCU5 Q8NH04
Q3LI76 Q9NZB8
Q9UHQ9 Q96DU3
Q6UWL2 Q99788
P0DKB6 P68402
P54922 Q9UQ13
Q9ULF5 Q8WZA1
Q8NGE2 Q9P126
Q8NH53 P31146
Q9BYZ8 Q8NFT8
P22894 Q14657
Q8TB96 Q15813
P36383 P11441
Q7Z6M2 P46095
Q9NRW7 Q96RD3
Q8NG84 Q8IVL6
P41222 Q96QH8
P43628 Q86WT1
Q9NV29 Q14C87
Q9NYA1 Q9P055
P49913 Q9HBI5
Q9UBS4 Q16576
Q9HCJ3 Q5T700
Q9BTT0 Q63HQ2
O94779 Q9Y2D2
Q9Y5L0 Q8NH81
P14625 Q92845
Q7L0J3 Q13621
Q969H8 Q5SRH9
P03979 Q969H8
P05452 O15296
Q53FZ2 Q5VT98
Q8IWC1 O60238
Q7Z6W7 Q9H0U6
P63132 O00401
Q9Y5U9 Q5SRD1
Q9P121 P36952
Q29983 Q96RL6
Q99727 Q9P1J3
Q6URK8 Q9UHY7
Q8N0Z9 Q96M60
O43869 Q8NC44
Q8NGE1 Q8NFZ8
P05231 P63151
O43897 Q15389
Q9Y5X9 P07098
Q8WTP8 P59537
Q8NI99 Q96R45
Q53HC9 Q6ICH7
Q96DD0 Q86U42
Q5T870 Q9NYM4
P12544 Q9BY07
Q6ZSA7 Q9NWS6
P08254 P01742
Q1W4C9 Q9NYZ3
Q5JUK9 Q8NFJ6
P42892 Q30KR1
Q9UBX7 Q9NTQ9
Q6UXR4 Q9NP99
Q13066 Q9UGM1
Q0VFX4 Q9Y2T3
Q9GZY4 A1L1A6
Q8NGR8 Q86XE5
Q6UWY2 P29536
O95859 Q9Y2L9
Q96AN5 A3KFT3
Q08ET2 Q12947
Q8NCQ5 P29371
Q7Z4W3 P31213
P0C851 O95988
Q86TA4 O75022
Q6UX40 Q93075
Q9UN76 Q8N4M1
Q9UG63 Q9NRD1
Q9Y279 Q9UKY3
Q9Y5F3 Q9Y3D5
Q9BRK3 Q8NA97
Q9H0R3 P13501
P01033 Q6IFG1
O14603 O00453
Q4G0T1 Q96M27
P18089 Q9BV23
P61353 Q6UXN7
Q7Z6M2 Q96HJ9
Q9Y4H4 P13765
Q9NQT6 Q9UI25
Q8N9Z2 Q8WUG5
P25116 P11168
Q86TX2 P21217
O60928 Q16655
Q9HAY6 Q6UXD7
A0A0C4DH25 O60936
P07550 Q02643
P19623 P27695
A8MPS7 P55000
A6NC05 Q5TFE4
Q9NYQ3 Q08431
Q9BW04 A0A096LP01
Q8N5D0 Q8WU58
Q6UVM3 Q14117
C9J3V5 Q8TBK6
P59542 Q86TA1
Q8IX05 Q5J8M3
P40200 Q9H5V8
P13762 A8MRT5
O94907 Q5GAN6
Q587J8 Q9H974
Q9H857 Q8N5C7
Q0D2K5 O00602
P30872 Q6ICG6
P06870 Q8NGV0
Q86SH4 Q9UK39
Q9NP99 P29536
Q12893 P41143
P23945 O14668
Q8TD33 Q14194
A2RU67 O14734
O14604 P39748
B3SHH9 P57057
Q9ULS6 Q86SM5
Q32P44 Q6X784
P37088 Q8NBD8
Q8WUH2 Q9BUT9
Q9BZQ2 Q9H0H9
Q5VUJ6 P26006
P12724 Q8IZN7
Q99643 Q6PJG9
Q9BXW4 Q13639
Q8WWX9 Q3KP22
Q8IYS5 Q96BD0
P55289 Q8TAZ6
Q8NEA5 Q8NH92
Q96HA8 Q8IVW8
P32322 Q8IVJ1
Q14318 P04844
A6ND91 P51800
Q9BX79 Q96J84
P48549 Q8N819
O14979 O75884
Q6PI47 Q9ULH4
Q5I7T1 Q5JUK9
O75394 Q8NG85
Q96RC9 P17096
P0DN80 Q9BYZ8
Q9NRX3 P0C7U0
Q9Y5I1 Q5R3F8
Q8N1E6 P11464
Q9BYD1 Q86X59
O75718 Q8NFN8
P01222 Q9H8Y1
P79483 P42658
O76002 Q03518
O75426 P46092
Q3LI76 P28221
Q8IYI0 Q9H720
Q9BYG0 Q9HB03
P26371 A2RU30
A0A0C4DH34 Q6ZS10
Q92754 P29218
P30043 O43280
Q6NT52 Q12988
Q6ZTI6 Q15334
Q9H9H5 Q8IZP2
Q06432 Q68D85
Q9NRW7 Q7L5Y6
Q7Z7J7 Q8NCR6
Q9UK96 Q659C4
Q8NGG3 Q8NB91
Q9GZW8 P0CG04
Q13478 Q8NDT2
Q9NQW8 Q9BY19
Q8NGI0 Q99873
Q96QE2 Q13478
Q9H310 P62995
E5RQL4 Q9Y282
O96008 Q16082
P23490 Q86Y78
P51003 P10619
Q8NH94 Q8IUX7
Q8IZ08 O95218
P62841 Q9BQB6
P19404 A0A0C4DH42
Q6UX72 P20827
Q8WVE6 Q96J42
Q6IE38 Q9HBE4
Q6P9A2 Q6ZN84
Q96MT0 Q6GTX8
P02760 Q9NPR2
Q49A17 Q96LJ8
Q9UHP9 Q7Z2W9
Q8NFQ6 P15309
Q7RTX0 Q96AE4
P54105 P15391
Q16206 Q14103
Q7L1T6 Q8NGD4
Q2TAL6 Q53H82
Q8ND56 Q8WUA4
Q9Y5F3 O14931
Q8NGW1 Q6ZUK4
A6NH21 Q9Y5R6
P50452 Q96JE7
P19971 Q86UE4
P08700 O00422
Q9NPD5 O60831
P55259 Q13454
Q9NUN5 Q5SZB4
A0A075B6I9 P04733
Q3LIE5 Q6PI78
Q5MY95 Q9Y5N6
P33240 Q6ZMB0
Q9UQ53 Q15053
Q9HD15 Q6UWV7
Q8IW52 P83876
Q969S0 Q96BT7
Q9UKM7 P0C7M8
Q8NGE7 P60006
Q8NH67 P46094
Q5PT55 Q9UNN5
Q9NS69 O00628
Q13183 Q9UBH0
P41595 O15342
Q13867 Q2KHT4
P49447 Q8NHC6
P56381 Q9UM07
Q8NGQ5 O75509
P09958 Q8WUA2
O94898 Q6ZRX8
Q92615 A8MTL9
P32302 Q8N2M8
Q96M69 Q49A17
Q9GZM6 P25686
P40259 O94991
P14209 Q5T8I9
Q15773 Q9H205
Q5VTE6 Q9GIP4
Q8N3T1 P00747
Q96GX1 Q9NVR5
Q96DN5 O15123
O75348 Q8IXQ3
O43657 P16860
P12544 Q8NFX7
A6NIV6 Q9Y287
P03971 Q969N4
Q96G04 Q15119
Q8N1Q8 Q15493
Q96LS8 P26639
O60404 Q15424
Q9NP84 P24592
O95967 Q9Y5H1
Q9H8X9 Q8IUZ0
O15403 O00170
Q0D2K0 Q9Y5Q9
P48029 A0A0B4J1Y9
Q7L985 Q6P4I2
P51671 Q02325
