proteinA,proteinB,interaction
P47017,Q04183,0
P47017,P40529,0
P47017,P46682,0
P47017,Q12382,0
P47017,P53314,0
P38989,Q04651,0
P38989,Q12270,0
P38989,P53037,0
P38989,P36096,0
P38989,P53173,0
P38989,P32913,0
P38989,P40529,0
P38989,Q08921,0
P38989,P40509,0
P38989,Q03784,0
Q12267,Q06346,0
Q12267,P32893,0
Q12267,P38995,0
Q12267,P38334,0
Q12267,P38995,0
Q12267,Q99394,0
Q12267,P26725,0
Q12267,Q08280,0
Q12267,Q03630,0
Q12267,P43555,0
Q12098,Q03697,0
Q12098,P39524,0
Q12098,P37296,0
Q12098,P53951,0
Q12098,P41810,0
Q12098,P47160,0
Q12098,P38682,0
Q12098,Q06815,0
Q12098,P38682,0
Q12098,P32613,0
P09959,P40509,0
P09959,P13586,0
P09959,P35181,0
P09959,P23642,0
P09959,P46985,0
P09959,P53600,0
P09959,P22214,0
P09959,P36164,0
P09959,P22214,0
P09959,Q03554,0
P46970,P13586,0
P46970,P20606,0
P46970,P53845,0
P46970,P38817,0
P46970,P53093,0
P46970,P40549,0
P46970,P41811,0
P46970,P24280,0
P46970,Q06385,0
P46970,P32913,0
P43583,Q03697,0
P43583,Q99394,0
P43583,Q99394,0
P43583,P50108,0
P43583,P38334,0
P43583,P46985,0
P43583,Q03630,0
P43583,P34237,0
P43583,Q12382,0
P43583,Q01590,0
Q08920,P42223,0
Q08920,P43621,0
Q08920,P40549,0
Q08920,P22804,0
Q08920,P54837,0
Q08920,P37020,0
Q08920,P32629,0
Q08920,P13586,0
Q08920,Q03554,0
Q08920,P39904,0
P32526,P36125,0
P32526,P36107,0
P32526,P41810,0
P32526,P38182,0
P32526,Q03337,0
P32526,Q12402,0
P32526,P39526,0
P32526,P53959,0
P32526,P36096,0
P32526,P38810,0
Q12386,Q06096,0
Q12386,P40107,0
Q12386,P38301,0
Q12386,P40009,0
Q12386,P53600,0
Q12386,P32913,0
Q12386,Q03630,0
Q12386,P38301,0
Q12386,P53633,0
Q12386,P38873,0
P38198,P41811,0
P38198,P41810,0
P38198,Q03337,0
P38198,P41318,0
P38198,P53173,0
P38198,P22214,0
P38198,P53633,0
P38198,P53079,0
P38198,P54837,0
P38198,Q08754,0
P53267,Q12142,0
P53267,P38069,0
P53267,P40056,0
P53267,P36149,0
P53267,P38555,0
P53267,P36116,0
P53267,P53622,0
P53267,P38069,0
P53267,P38301,0
P53267,P53093,0
P38991,P22219,0
P38991,P53093,0
P38991,P11075,0
P38991,P38745,0
P38991,P39904,0
P38991,P41810,0
P38991,P20606,0
P38991,P41811,0
P38991,P20606,0
P38991,P43621,0
P32380,P53079,0
P32380,Q03860,0
P32380,P42223,0
P32380,P47166,0
P32380,Q02804,0
P32380,P22803,0
P32380,P38301,0
P32380,P53093,0
P32380,P36096,0
P32380,P46985,0
P40457,P53192,0
P40457,P38069,0
P40457,P54837,0
P40457,Q06346,0
P40457,P36051,0
P40457,P53192,0
P40457,P32803,0
P40457,P43682,0
P40457,P39727,0
P40457,P42223,0
Q01649,Q12028,0
Q01649,P42223,0
Q01649,Q04396,0
Q01649,P37020,0
Q01649,Q92331,0
Q01649,P32803,0
Q01649,Q03921,0
Q01649,P42223,0
Q01649,P32629,0
Q01649,P37020,0
P38863,Q03921,0
P38863,Q99394,0
P38863,P23642,0
P38863,Q06541,0
P38863,Q06815,0
P38863,P53079,0
P38863,P13586,0
P38863,Q12382,0
P38863,P35844,0
P38863,P25385,0
P53540,Q06541,0
P53540,P32803,0
P53540,P47061,0
P53540,Q04651,0
P53540,Q12028,0
P53540,Q12142,0
P53540,P53951,0
P53540,P40107,0
P53540,P38334,0
P53540,P35844,0
Q12236,Q12191,0
Q12236,P38166,0
Q12236,P40549,0
Q12236,P36051,0
Q12236,Q92331,0
Q12236,Q12239,0
Q12236,P47166,0
Q12236,Q06815,0
Q12236,P39904,0
Q12236,P39702,0
P38203,P32913,0
P38203,P54837,0
P38203,P47166,0
P38203,Q03322,0
P38203,P54837,0
P38203,P36149,0
P38203,Q04632,0
P38203,P38995,0
P38203,Q08280,0
P38203,Q04767,0
P20050,P40071,0
P20050,P38555,0
P20050,P37020,0
P20050,P11076,0
P20050,P38221,0
P20050,P38682,0
P20050,P17065,0
P20050,Q08484,0
P20050,P38555,0
P20050,Q04338,0
Q06032,P46985,0
Q06032,Q08951,0
Q06032,P40549,0
Q06032,P36051,0
Q06032,Q04338,0
Q06032,P38069,0
Q06032,P37296,0
Q06032,P40107,0
Q06032,P36164,0
Q06032,P31755,0
P31111,P22543,0
P31111,P22211,0
P31111,Q12071,0
P31111,Q08484,0
P31111,P38817,0
P31111,Q08921,0
P31111,P38814,0
P31111,P53845,0
P31111,Q08951,0
P31111,P46989,0
P38859,P41811,0
P38859,P38166,0
P38859,Q06385,0
P38859,Q03921,0
P38859,Q06541,0
P38859,Q06096,0
P38859,Q08484,0
P38859,P35845,0
P38859,Q03630,0
P38859,Q06096,0
P31380,P40955,0
P31380,P31109,0
P31380,P38817,0
P31380,Q03860,0
P31380,P32629,0
P31380,P38069,0
P31380,P40107,0
P31380,P39526,0
P31380,P24280,0
P31380,P36096,0
P53061,Q05919,0
P53061,P25385,0
P53061,P38166,0
P53061,P20606,0
P53061,P38153,0
P53061,Q08754,0
P53061,P25365,0
P53061,P16664,0
P53061,P53622,0
P53061,P38736,0
P32558,Q12246,0
P32558,Q99394,0
P32558,P38301,0
P32558,P17065,0
P32558,P23642,0
P32558,Q08951,0
P32558,P22214,0
P32558,Q06541,0
P32558,P25385,0
P32558,P40009,0
P32908,Q08484,0
P32908,Q04632,0
P32908,P53079,0
P32908,Q04632,0
P32908,Q03630,0
P32908,Q92331,0
P32908,P47818,0
P32908,P40107,0
P32908,P13586,0
P32908,Q04338,0
P47037,Q04651,0
P47037,P38153,0
P47037,P38334,0
P47037,Q12096,0
P47037,P41806,0
P47037,Q12067,0
P47037,P47124,0
P47037,P38555,0
P47037,P53600,0
P47037,P40395,0
P02309,P47160,0
P02309,Q03697,0
P02309,Q99394,0
P02309,P23642,0
P02309,P16664,0
P02309,Q04183,0
P02309,Q04767,0
P02309,P38962,0
P02309,P38873,0
P02309,P40955,0
P02293,P38334,0
P02293,Q03784,0
P02293,P53314,0
P02293,P37296,0
P02293,P38182,0
P02293,P34237,0
P02293,Q08951,0
P02293,P32913,0
P02293,P25365,0
P02293,P24280,0
P40161,Q12114,0
P40161,Q03337,0
P40161,P36116,0
P40161,P38153,0
P40161,Q08951,0
P40161,P34237,0
P40161,Q06704,0
P40161,Q04632,0
P40161,Q03337,0
P40161,Q12142,0
P09119,Q12402,0
P09119,P38962,0
P09119,Q03630,0
P09119,P25385,0
P09119,P38069,0
P09119,P38555,0
P09119,P32319,0
P09119,P39526,0
P09119,P38334,0
P09119,P38817,0
Q12749,P47166,0
Q12749,P43621,0
Q12749,P53195,0
Q12749,P35181,0
Q12749,P43555,0
Q12749,P38736,0
Q12749,P25365,0
Q12749,P40509,0
Q12749,Q03337,0
Q12749,P53192,0
P29539,P40071,0
P29539,P53079,0
P29539,Q06704,0
P29539,P20606,0
P29539,P32629,0
P29539,P53039,0
P29539,P39904,0
P29539,P16664,0
P29539,P36029,0
P29539,P25641,0
P38766,P40529,0
P38766,P38682,0
P38766,P40549,0
P38766,P39106,0
P38766,Q12071,0
P38766,P35845,0
P38766,Q02896,0
P38766,P36149,0
P38766,P38221,0
P38766,P39524,0
Q06163,P38682,0
Q06163,P25386,0
Q06163,Q08280,0
Q06163,P38814,0
Q06163,P43621,0
Q06163,P38166,0
Q06163,Q12142,0
Q06163,P38069,0
Q06163,Q12382,0
Q06163,P53079,0
P17214,P47818,0
P17214,P40107,0
P17214,P38301,0
P17214,P40094,0
P17214,P25365,0
P17214,P38995,0
P17214,Q03921,0
P17214,Q12114,0
P17214,P38301,0
P17214,P25365,0
P21691,P39010,0
P21691,P31755,0
P21691,P38995,0
P21691,Q03660,0
P21691,P32913,0
P21691,P54837,0
P21691,Q06346,0
P21691,P38810,0
P21691,P40529,0
P21691,P50108,0
P35203,P32613,0
P35203,P46989,0
P35203,P47160,0
P35203,P46682,0
P35203,P53845,0
P35203,P32319,0
P35203,P53622,0
P35203,P53173,0
P35203,P11655,0
P35203,P43682,0
P35201,P36051,0
P35201,P40509,0
P35201,P41811,0
P35201,P54837,0
P35201,P22804,0
P35201,Q06096,0
P35201,P47818,0
P35201,P36116,0
P35201,P53951,0
P35201,Q03697,0
P36012,Q03921,0
P36012,Q04396,0
P36012,Q12270,0
P36012,P38873,0
P36012,P36107,0
P36012,P40527,0
P36012,P36107,0
P36012,P38873,0
P36012,P41318,0
P36012,Q06815,0
P40568,P36164,0
P40568,P25385,0
P40568,P40107,0
P40568,Q07878,0
P40568,P17065,0
P40568,P53037,0
P40568,P39904,0
P40568,P47064,0
P40568,P47061,0
P40568,P47064,0
P16522,P39524,0
P16522,Q03860,0
P16522,P50108,0
P16522,Q07878,0
P16522,Q08951,0
P16522,Q12239,0
P16522,Q04651,0
P16522,P25385,0
P16522,Q08754,0
P16522,P53192,0
Q12262,Q12028,0
Q12262,P15303,0
Q12262,P40094,0
Q12262,P40529,0
Q12262,P53173,0
Q12262,P38182,0
Q12262,P22803,0
Q12262,P13586,0
Q12262,Q04396,0
Q12262,P13586,0
P47167,P38166,0
P47167,P47160,0
P47167,P38555,0
P47167,P37296,0
P47167,P15303,0
P47167,Q12270,0
P47167,Q07878,0
P47167,P22214,0
P47167,Q12246,0
P47167,P43682,0
P38265,P31755,0
P38265,P42223,0
P38265,P31755,0
P38265,P32803,0
P38265,P46982,0
P38265,Q06096,0
P38265,P41811,0
P38265,P40009,0
P38265,Q12154,0
P38265,P40009,0
Q06675,Q04767,0
Q06675,P38069,0
Q06675,Q04338,0
Q06675,P40529,0
Q06675,P43621,0
Q06675,P47124,0
Q06675,P39524,0
Q06675,P43682,0
Q06675,P47064,0
Q06675,P53192,0
Q02732,P42223,0
Q02732,P32600,0
Q02732,Q08280,0
Q02732,P36125,0
Q02732,P11655,0
Q02732,Q03630,0
Q02732,P36096,0
Q02732,Q08144,0
Q02732,P22211,0
Q02732,Q03554,0
P33895,P11075,0
P33895,P38873,0
P33895,P39526,0
P33895,Q04651,0
P33895,P32600,0
P33895,P11076,0
P33895,P38810,0
P33895,P32803,0
P33895,Q08921,0
P33895,P43621,0
P40460,P47818,0
P40460,P40955,0
P40460,P50108,0
P40460,P40527,0
P40460,P53173,0
P40460,P39727,0
P40460,P53039,0
P40460,P31755,0
P40460,Q02804,0
P40460,P53959,0
Q12748,P16664,0
Q12748,P53093,0
Q12748,P36116,0
Q12748,P38182,0
Q12748,P38334,0
Q12748,P36116,0
Q12748,Q04767,0
Q12748,P39904,0
Q12748,P38182,0
P46995,P53173,0
P46995,P40527,0
P46995,P25365,0
P46995,P38069,0
P46995,P25385,0
P46995,P13586,0
P46995,P53600,0
P46995,P38810,0
P46995,P53271,0
P46995,P35181,0
P32790,P38745,0
P32790,P40955,0
P32790,P38814,0
P32790,P40529,0
P32790,Q03554,0
P32790,P40955,0
P32790,P47818,0
P32790,P22804,0
P32790,P32893,0
P32790,Q12067,0
P54999,P36029,0
P54999,P22804,0
P54999,P47166,0
P54999,P22214,0
P54999,Q12191,0
P54999,Q04651,0
P54999,P38334,0
P54999,P40955,0
P54999,P32621,0
P54999,P24280,0
P40089,Q99394,0
P40089,Q06541,0
P40089,P47124,0
P40089,P38817,0
P40089,P36051,0
P40089,P43555,0
P40089,P24280,0
P40089,P40549,0
P40089,P16664,0
P40089,Q03784,0
Q06217,P47166,0
Q06217,P32629,0
Q06217,P40955,0
Q06217,P31109,0
Q06217,Q04767,0
Q06217,P40009,0
Q06217,P13134,0
Q06217,P11076,0
Q06217,Q06385,0
Q06217,P53271,0
P40567,P36107,0
P40567,P26725,0
P40567,P36107,0
P40567,Q12191,0
P40567,P38153,0
P40567,P39702,0
P40567,Q12246,0
P40567,P41318,0
P40567,P35197,0
P40567,P25386,0
P52553,P16664,0
P52553,P38301,0
P52553,Q03784,0
P52553,P36029,0
P52553,P23642,0
P52553,Q04767,0
P52553,Q05919,0
P52553,Q03322,0
P52553,Q04767,0
P52553,P38182,0
P38902,P32621,0
P38902,P11075,0
P38902,P53622,0
P38902,P53951,0
P38902,P47166,0
P38902,Q12402,0
P38902,P32893,0
P38902,P53093,0
P38902,Q04410,0
P38902,P40527,0
P26755,Q04338,0
P26755,P37020,0
P26755,P43682,0
P26755,P22804,0
P26755,P53271,0
P26755,Q01590,0
P26755,Q02896,0
P26755,P41806,0
P26755,P41318,0
P26755,P36051,0
Q06819,Q07878,0
Q06819,P38334,0
Q06819,Q04632,0
Q06819,Q03660,0
Q06819,P43621,0
Q06819,P47064,0
Q06819,P40529,0
Q06819,Q06704,0
Q06819,P38814,0
Q06819,P17065,0
P13434,P31755,0
P13434,P22543,0
P13434,Q03660,0
P13434,P39702,0
P13434,P53093,0
P13434,P17065,0
P13434,Q03337,0
P13434,P38962,0
P13434,Q05919,0
P13434,P40071,0
Q02260,P40482,0
Q02260,P46982,0
Q02260,P53951,0
Q02260,P11075,0
Q02260,P38334,0
Q02260,P32629,0
Q02260,P32629,0
Q02260,P53622,0
Q02260,P36051,0
Q02260,P40527,0
P38210,P53173,0
P38210,P53039,0
P38210,Q05919,0
P38210,P35181,0
P38210,P25386,0
P38210,P47818,0
P38210,P39107,0
P38210,Q03697,0
P38210,P47064,0
P38210,P39904,0
P34232,Q08484,0
P34232,Q12096,0
P34232,P32803,0
P34232,P22543,0
P34232,P36149,0
P34232,P22214,0
P34232,P39106,0
P34232,P39727,0
P34232,P53195,0
P34232,Q02804,0
P26188,P53951,0
P26188,Q06704,0
P26188,P47061,0
P26188,Q06385,0
P26188,Q07878,0
P26188,P41810,0
P26188,Q12239,0
P26188,Q02804,0
P26188,Q12071,0
P26188,P41810,0
P40958,Q12402,0
P40958,P38334,0
P40958,P47160,0
P40958,Q05919,0
P40958,P36029,0
P40958,P39727,0
P40958,P39727,0
P40958,P47124,0
P40958,P36125,0
P40958,P38182,0
P40018,P15303,0
P40018,P32600,0
P40018,P40509,0
P40018,P36164,0
P40018,Q12071,0
P40018,P13586,0
P40018,P40071,0
P40018,P38221,0
P40018,P39010,0
P40018,P46982,0
Q12030,P53079,0
Q12030,P53622,0
Q12030,P40395,0
Q12030,P41318,0
Q12030,P38682,0
Q12030,P39010,0
Q12030,Q12402,0
Q12030,Q06815,0
Q12030,P53633,0
Q12030,P31755,0
P06838,P36125,0
P06838,P13134,0
P06838,P13586,0
P06838,P22804,0
P06838,Q01590,0
P06838,P47064,0
P06838,P11075,0
P06838,P23642,0
P06838,Q99394,0
P06838,P40509,0
Q00453,P31109,0
Q00453,P40509,0
Q00453,P53600,0
Q00453,P32893,0
Q00453,P53951,0
Q00453,P34237,0
Q00453,P39524,0
Q00453,P40009,0
Q00453,Q06704,0
Q00453,P38166,0
P35718,P43555,0
P35718,Q12154,0
P35718,P53622,0
P35718,P35197,0
P35718,P53633,0
P35718,P53622,0
P35718,P22804,0
P35718,P39904,0
P35718,P32621,0
P35718,Q12239,0
P20434,P40482,0
P20434,P32629,0
P20434,P23642,0
P20434,Q03784,0
P20434,P42223,0
P20434,P37296,0
P20434,P53039,0
P20434,P38814,0
P20434,P32893,0
P20434,Q99394,0
P32836,P53039,0
P32836,Q06385,0
P32836,Q06346,0
P32836,Q01590,0
P32836,P38873,0
P32836,P54837,0
P32836,P41811,0
P32836,P24280,0
P32836,Q03337,0
P32836,Q12142,0
P15315,P40071,0
P15315,P11076,0
P15315,P36116,0
P15315,P35845,0
P15315,Q04396,0
P15315,Q12071,0
P15315,Q12028,0
P15315,P43621,0
P15315,Q03660,0
P15315,P53195,0
Q12159,P39106,0
Q12159,P40527,0
Q12159,P36149,0
Q12159,P36164,0
Q12159,Q04651,0
Q12159,Q04338,0
Q12159,P53622,0
Q12159,P53600,0
Q12159,P11075,0
Q12159,P32613,0
Q12223,Q05919,0
Q12223,Q04338,0
Q12223,P47166,0
Q12223,P47166,0
Q12223,P36116,0
Q12223,P43682,0
Q12223,P41544,0
Q12223,P38221,0
Q12223,P38555,0
Q12223,Q03322,0
P13393,P32621,0
P13393,P39702,0
P13393,P38069,0
P13393,Q12028,0
P13393,P25386,0
P13393,Q04651,0
P13393,P39524,0
P13393,P43682,0
P13393,Q03322,0
P13393,P38736,0
Q02516,P38873,0
Q02516,P32913,0
Q02516,P47061,0
Q02516,P41810,0
Q02516,P32600,0
Q02516,P31109,0
Q02516,P47166,0
Q02516,P36029,0
Q02516,Q12096,0
P35189,P41806,0
P35189,P40549,0
P35189,P22543,0
P35189,P25385,0
P35189,P37020,0
P35189,P39727,0
P35189,P39904,0
P35189,P39727,0
P35189,P36116,0
P35189,P43682,0
P33411,Q12382,0
P33411,Q03630,0
P33411,Q04183,0
P33411,Q06385,0
P33411,P53951,0
P33411,P32074,0
P33411,Q02896,0
P33411,P11076,0
P33411,P40955,0
P33411,Q03322,0
P17890,P53845,0
P17890,P38962,0
P17890,Q12402,0
P17890,P53037,0
P17890,P32621,0
P17890,P38873,0
P17890,Q07878,0
P17890,P46982,0
P17890,P43682,0
P17890,P38301,0
P15873,P39904,0
P15873,Q12402,0
P15873,P25365,0
P15873,Q06385,0
P15873,P53079,0
P15873,Q06385,0
P15873,P39904,0
P15873,P46989,0
P15873,Q06704,0
P15873,P39904,0
P06774,P50108,0
P06774,Q08951,0
P06774,Q12246,0
P06774,P40482,0
P06774,P22219,0
P06774,P22543,0
P06774,P32319,0
P06774,P38069,0
P06774,Q08754,0
P06774,P13586,0
P26343,Q12270,0
P26343,Q06815,0
P26343,P37020,0
P26343,P32629,0
P26343,P41318,0
P26343,P22543,0
P26343,P50108,0
P26343,P38873,0
P26343,Q08144,0
P26343,P31755,0
P26754,P41806,0
P26754,P38166,0
P26754,Q06815,0
P26754,P17065,0
P26754,Q08921,0
P26754,P39904,0
P26754,P22803,0
P26754,Q07878,0
P26754,P38810,0
P26754,P26725,0
P32524,P32893,0
P32524,P40527,0
P32524,P11655,0
P32524,Q12114,0
P32524,P53093,0
P32524,Q06096,0
P32524,P46985,0
P32524,P32893,0
P32524,P53037,0
P32524,Q07878,0
P03069,P41811,0
P03069,Q03322,0
P03069,P53600,0
P03069,Q01590,0
P03069,P11076,0
P03069,Q08280,0
P03069,Q12096,0
P03069,P42223,0
P03069,Q12114,0
P03069,Q08280,0
P11746,P23642,0
P11746,P15303,0
P11746,P36164,0
P11746,P53845,0
P11746,P39010,0
P11746,P46982,0
P11746,Q04651,0
P11746,P53951,0
P11746,P38166,0
P11746,Q08280,0
P25299,P53037,0
P25299,P37020,0
P25299,Q04396,0
P25299,P35844,0
P25299,Q08144,0
P25299,P40009,0
P25299,Q02896,0
P25299,P40094,0
P25299,P38069,0
P25299,P36096,0
P10962,P40056,0
P10962,P38555,0
P10962,P40527,0
P10962,P24280,0
P10962,P41810,0
P10962,Q02804,0
P10962,P40395,0
P10962,P35845,0
P10962,P35845,0
P10962,P53039,0
P07273,P38817,0
P07273,P11076,0
P07273,P32629,0
P07273,P38736,0
P07273,Q01590,0
P07273,P31109,0
P07273,P46985,0
P07273,P25365,0
P07273,Q92331,0
P07273,Q12382,0
Q12192,P50108,0
Q12192,Q03784,0
Q12192,P36107,0
Q12192,Q04410,0
Q12192,P32621,0
Q12192,Q03322,0
Q12192,P32913,0
Q12192,P22211,0
Q12192,P22543,0
Q12192,P38334,0
P32910,Q12028,0
P32910,P38555,0
P32910,P53951,0
P32910,Q05919,0
P32910,P40482,0
P32910,P38334,0
P32910,P37296,0
P32910,P37020,0
P32910,P32803,0
P32910,P36107,0
P16370,P47061,0
P16370,P38555,0
P16370,Q12402,0
P16370,P38301,0
P16370,P37296,0
P16370,P53192,0
P16370,P38745,0
P16370,P47166,0
P16370,P47124,0
P16370,P53951,0
Q03373,Q12114,0
Q03373,P39526,0
Q03373,Q03921,0
Q03373,Q12191,0
Q03373,Q06385,0
Q03373,P39702,0
Q03373,P36107,0
Q03373,P38334,0
Q03373,P38736,0
Q03373,P13586,0
P18888,P36125,0
P18888,P40009,0
P18888,P25386,0
P18888,P38995,0
P18888,P53959,0
P18888,P38810,0
P18888,Q12071,0
P18888,P11655,0
P18888,P35181,0
P18888,P53622,0
P25583,Q04410,0
P25583,P11075,0
P25583,P38069,0
P25583,Q08144,0
P25583,P32629,0
P25583,Q08484,0
P25583,P23642,0
P25583,P54837,0
P25583,P38745,0
P25583,P53271,0
P29055,P53039,0
P29055,P53039,0
P29055,P35181,0
P29055,P17065,0
P29055,Q92331,0
P29055,P35181,0
P29055,Q12246,0
P29055,P38995,0
P29055,P38682,0
P29055,Q07878,0
Q04226,P43682,0
Q04226,Q06541,0
Q04226,P38817,0
Q04226,P32600,0
Q04226,Q12239,0
Q04226,P53951,0
Q04226,P43621,0
Q04226,P39904,0
Q04226,Q12239,0
Q04226,Q12154,0
P21190,P40107,0
P21190,P38555,0
P21190,P39702,0
P21190,Q03697,0
P21190,P25641,0
P21190,P38166,0
P21190,P53195,0
P21190,Q12142,0
P21190,P32319,0
P21190,Q08280,0
P36093,P38810,0
P36093,Q08144,0
P36093,Q12028,0
P36093,P25365,0
P36093,P22214,0
P36093,Q03337,0
P36093,Q01590,0
P36093,P35845,0
P36093,P38153,0
P36093,P53192,0
P22936,P38153,0
P22936,P53093,0
P22936,Q08280,0
P22936,P38736,0
P22936,P47124,0
P22936,P22211,0
P22936,P22543,0
P22936,Q12096,0
P22936,P37020,0
P22936,Q08484,0
P25042,P38745,0
P25042,P25641,0
P25042,P39106,0
P25042,P38817,0
P25042,Q03660,0
P25042,P53079,0
P25042,P11655,0
P25042,Q04183,0
P25042,P53173,0
P25042,P36164,0
P28519,P47124,0
P28519,P40094,0
P28519,P39010,0
P28519,P46989,0
P28519,P38221,0
P28519,P38873,0
P28519,P39106,0
P28519,P35181,0
P28519,Q03630,0
P28519,P36116,0
P53397,Q08144,0
P53397,Q03921,0
P53397,P41811,0
P53397,P38817,0
P53397,P39107,0
P53397,P36116,0
P53397,P32913,0
P53397,Q08754,0
P53397,P53037,0
P53397,Q08951,0
Q08932,P53959,0
Q08932,P34237,0
Q08932,Q12142,0
Q08932,Q12067,0
Q08932,P11076,0
Q08932,P40071,0
Q08932,P39524,0
Q08932,P41810,0
Q08932,P43621,0
Q08932,P32803,0
P22148,P37296,0
P22148,P16664,0
P22148,P53600,0
P22148,P13586,0
P22148,P32803,0
P22148,P24280,0
P22148,Q04410,0
P22148,P38745,0
P22148,P40527,0
P22148,Q08280,0
P34161,P43555,0
P34161,P38995,0
P34161,P39524,0
P34161,P50108,0
P34161,P38334,0
P34161,Q08484,0
P34161,Q03697,0
P34161,Q04632,0
P34161,Q08484,0
P34161,P38182,0
P41896,P36051,0
P41896,P43555,0
P41896,Q03660,0
P41896,Q06346,0
P41896,P41544,0
P41896,P38962,0
P41896,P39106,0
P41896,P46985,0
P41896,P53192,0
P41896,P41806,0
P35192,P35845,0
P35192,P41544,0
P35192,P40071,0
P35192,P38555,0
P35192,P22214,0
P35192,P53951,0
P35192,P11076,0
P35192,P41811,0
P35192,P46989,0
P35192,P47166,0
Q02336,P38810,0
Q02336,P53039,0
Q02336,P40529,0
Q02336,P20606,0
Q02336,Q07878,0
Q02336,P32600,0
Q02336,P50108,0
Q02336,Q12382,0
Q02336,P53622,0
Q02336,Q04632,0
P38826,Q06346,0
P38826,P53079,0
P38826,P47061,0
P38826,P36164,0
P38826,P36051,0
P38826,P32913,0
P38826,P32600,0
P38826,P38873,0
P38826,P39526,0
P38826,P39727,0
Q03330,Q07878,0
Q03330,P53093,0
Q03330,P35197,0
Q03330,P32629,0
Q03330,P32629,0
Q03330,P53959,0
Q03330,Q04651,0
Q03330,P40527,0
Q03330,P41806,0
Q03330,P36125,0
P31115,P38555,0
P31115,P23642,0
P31115,P22804,0
P31115,Q04651,0
P31115,P38817,0
P31115,P39526,0
P31115,P40509,0
P31115,P53600,0
P31115,P40094,0
P31115,P13586,0
P49960,P39526,0
P49960,P34237,0
P49960,P22214,0
P49960,P39107,0
P49960,P20606,0
P49960,Q12071,0
P49960,P36096,0
P49960,P38334,0
P49960,Q03322,0
P49960,P37020,0
Q03063,Q12071,0
Q03063,P47061,0
Q03063,P53622,0
Q03063,P39107,0
Q03063,P16664,0
Q03063,P40107,0
Q03063,Q06541,0
Q03063,P47124,0
Q03063,P25641,0
Q03063,Q08754,0
P53096,P37296,0
P53096,Q06346,0
P53096,P54837,0
P53096,P25386,0
P53096,Q08144,0
P53096,Q01590,0
P53096,Q03784,0
P53096,P25641,0
P53096,Q06704,0
P53096,P38682,0
P40968,P40056,0
P40968,Q12402,0
P40968,P40529,0
P40968,P22543,0
P40968,P22543,0
P40968,P11076,0
P40968,P39107,0
P40968,Q06541,0
P40968,P26725,0
P40968,P41806,0
Q01159,P36029,0
Q01159,P40107,0
Q01159,P39526,0
Q01159,P38736,0
Q01159,P32613,0
Q01159,P38166,0
Q01159,P35181,0
Q01159,Q06385,0
Q01159,Q02896,0
Q01159,Q02804,0
Q04199,Q08144,0
Q04199,P46682,0
Q04199,P38221,0
Q04199,P38166,0
Q04199,P53959,0
Q04199,P53633,0
Q04199,P32803,0
Q04199,P22214,0
Q04199,P38745,0
Q04199,P38962,0
Q03338,P53195,0
Q03338,Q06385,0
Q03338,Q12028,0
Q03338,P24280,0
Q03338,P41544,0
Q03338,P39727,0
Q03338,P23642,0
Q03338,P38736,0
Q03338,P38814,0
Q03338,P40509,0
P06778,P23642,0
P06778,P50108,0
P06778,P32913,0
P06778,Q12067,0
P06778,P39010,0
P06778,P40509,0
P06778,P43555,0
P06778,P36051,0
P06778,Q12071,0
P06778,P36164,0
P50874,Q12402,0
P50874,P40482,0
P50874,P41544,0
P50874,P13586,0
P50874,Q12191,0
P50874,P38555,0
P50874,P53039,0
P50874,P38995,0
P50874,Q12402,0
P50874,Q12154,0
P18412,P41810,0
P18412,P32600,0
P18412,P35845,0
P18412,Q12114,0
P18412,P53195,0
P18412,P25385,0
P18412,P25365,0
P18412,P38810,0
P18412,P54837,0
P18412,P53195,0
P49704,P38873,0
P49704,P40482,0
P49704,P22219,0
P49704,Q92331,0
P49704,P37020,0
P49704,P11075,0
P49704,P40395,0
P49704,Q01590,0
P49704,Q08921,0
P49704,P25385,0
P27705,P40529,0
P27705,P43621,0
P27705,P23642,0
P27705,P25365,0
P27705,P38736,0
P27705,Q06815,0
P27705,P43555,0
P27705,P47818,0
P27705,P53600,0
P27705,P40107,0
P32566,Q12096,0
P32566,P53633,0
P32566,Q05919,0
P32566,P46982,0
P32566,P38810,0
P32566,P40071,0
P32566,P40529,0
P32566,P23642,0
P32566,P47166,0
P32566,P40056,0
Q04225,P26725,0
Q04225,P22214,0
Q04225,P53959,0
Q04225,P39904,0
Q04225,Q08921,0
Q04225,Q12382,0
Q04225,Q12154,0
Q04225,P46982,0
Q04225,P47160,0
Q04225,P46989,0
P39009,Q12382,0
P39009,P11075,0
P39009,P54837,0
P39009,Q06704,0
P39009,P25385,0
P39009,P38555,0
P39009,P47061,0
P39009,P40094,0
P39009,P41318,0
P39009,Q06096,0
P47074,P41318,0
P47074,Q01590,0
P47074,Q06815,0
P47074,P53079,0
P47074,P42223,0
P47074,Q12154,0
P47074,Q92331,0
P47074,P25385,0
P47074,P38873,0
P47074,P37020,0
P53040,Q12067,0
P53040,P36096,0
P53040,P53959,0
P53040,Q03921,0
P53040,P53039,0
P53040,P37296,0
P53040,P54837,0
P53040,P38069,0
P53040,Q06346,0
P53040,Q12239,0
P38207,P40009,0
P38207,P22211,0
P38207,P32319,0
P38207,P36149,0
P38207,P13586,0
P38207,P38301,0
P38207,P22211,0
P38207,P36164,0
P38207,P15303,0
