P21246 Q6IB77
P21673 Q96BY9
P42081 P16410
Q12834 Q13042
Q9H840 Q8WXD5
Q09472 Q13573
O60921 O60671
O14949 P0CAP2
Q16531 Q9NZJ0
Q9NSA3 P35222
Q13765 Q5T3J3
Q13077 P28908
Q99698 Q96DF8
Q9Y4H2 Q07817
Q15102 Q13432
Q99700 Q9P1U0
O43929 Q13416
Q13190 Q7L5N1
O75818 P78345
Q06495 O14745
Q9UL45 Q9NUP1
P49675 Q99689
P49356 P49454
Q8TD16 Q13561
P43351 P49736
P20366 P46379
P46777 Q14974
Q96QZ7 P98164
Q03013 Q96ID5
P38432 Q96HA8
P56589 P40855
P12004 P24385
P16473 P27824
O14717 Q9GZR7
P25208 Q07021
Q86VP1 P21580
Q9UMX1 Q15274
Q15078 P35222
Q5T5C0 O00161
O60383 P21673
Q9Y314 P29475
Q9GZN7 Q9P2H0
P17480 O15446
P52630 O60244
Q7L5N1 Q8N2I9
P56537 Q9P2H0
Q9H773 Q8NC60
Q9Y5Y5 P40855
O14777 Q9Y2J4
Q7L590 P24385
Q8TDC0 O15273
P09884 P06400
Q9H0Y0 Q9H1Y0
Q04637 P11940
P17480 P06400
Q12968 Q15361
P46977 O75534
O75419 Q9UBD5
Q92597 P13010
Q9NTK1 Q15834
P13667 P04114
Q01344 P32927
P29084 P19447
Q9P2H0 Q5UIP0
Q92908 Q15648
P51116 Q9HAF1
Q9NVC6 Q96HR3
Q15291 P06400
P07766 O15446
Q92994 P06400
Q9NP85 O60500
P27694 P12004
P54253 Q96RK0
O00264 Q12770
P51116 Q15041
Q5FBB7 P46779
Q8TCJ0 P63208
Q9H9Q4 P49917
Q7L590 Q13416
P54253 O75935
O75506 Q9Y3C0
Q16619 P42702
O43395 Q969Y2
Q9C0J8 Q5RL73
O95373 P62081
P68400 Q16665
P68400 P10451
Q14181 Q8IW50
P03372 P51843
P13686 P50591
Q09472 Q9H3D4
Q9H981 Q13873
O75381 Q96G25
Q2TAA8 Q99598
P19438 O14920
Q9Y5N6 Q13416
P06213 Q13480
Q14974 P21246
Q08999 P24385
Q12929 Q15154
Q6PJP8 Q12888
O15379 O14980
