Q13610 Q6V1X1
Q92759 O15091
P49736 Q8NFG4
P13010 P54136
Q9C0J8 O15091
Q00577 Q9UI17
P18074 Q9BYC8
Q9BV90 Q5TCY1
Q53HV7 P29144
Q96T37 Q93088
O60508 Q92598
Q01459 Q16719
Q9UIF7 P54098
Q9Y5Q9 Q9Y238
Q9UI36 Q6P1L8
Q03181 O75891
Q9Y618 O75936
Q5THR3 P27708
Q13029 P49902
P62805 Q13867
Q14181 O75891
P12004 Q9P0J6
Q9H582 P21673
P38571 P30838
Q00577 Q9BYC8
P52701 O95361
Q9NPI8 Q2VPK5
Q53GS9 Q9NP97
Q9NVR2 P13693
Q96KF2 P46952
Q9HAW0 P53396
P50897 P31937
Q99967 Q9UPY3
Q12996 P21695
Q5TB30 Q9NZD4
P06280 Q9Y3B7
P52657 Q9NX20
Q5THR3 Q9NYK5
Q9UM82 Q8WWV3
Q8TCJ0 Q9Y3D3
Q9H4Z2 O60783
P63272 P50135
O60508 O75936
P15848 Q6XE24
Q16594 P15559
Q9H611 Q9P0J6
O14497 P48147
Q15562 Q7L3B6
P51946 P82930
Q13029 P13693
Q9UGU0 O95361
O60315 Q14204
Q5TB30 Q9NVV4
P61587 Q8WU20
Q9H0E9 P47874
O00311 P32929
Q7L775 P48147
P62805 P82909
Q01081 P34897
Q9Y675 Q9H5Q4
P09012 Q04837
Q15583 Q6P1L8
O43148 Q9H9J2
Q9UKF6 P31350
Q03828 Q7L0Y3
Q9NWT8 O43182
O95990 Q7L3B6
B2CW77 Q6UB35
Q8TF76 O75570
Q9NX01 P06132
Q05952 Q9HBU6
O00628 P56589
P26368 P53396
P10412 Q9NX20
Q0VD86 P07741
O75528 O95361
Q12857 Q9NX18
P09430 P49753
Q86U86 Q9NZD4
Q9Y294 P34897
O96020 Q6P1L8
O94906 P78540
Q92759 Q15185
Q9UJC5 Q14442
Q13243 Q9H0U6
O60762 Q8N427
Q9Y535 Q9H7D7
Q86WQ0 P07741
Q9H4Z2 P51580
Q9UM82 P61970
P78527 P31350
Q53GS9 Q9P032
Q15291 P13995
Q6ZYL4 Q96EK5
Q15291 O75570
P15848 P29144
P15848 P47874
Q9Y5N6 O60783
Q9H0E9 Q8WUN7
P36954 Q92837
P62487 Q92844
O75506 Q9NRN7
Q92989 Q9HD40
Q6ZYL4 Q9NP97
Q9C002 Q14204
Q09666 Q13794
Q13416 P49789
Q96T37 P09132
Q01538 Q9UJM3
Q9H147 P00558
P41002 Q9NPB1
Q8WUA4 Q92837
Q7Z5Q5 Q6V1X1
Q9UPV9 Q9NP92
Q86WB0 Q93088
Q00403 Q8WUN7
Q92560 Q9BU02
O96019 P33402
Q9P2W1 Q13162
Q92989 Q7RTR2
Q96D98 P10155
Q6UXN9 O60551
Q15596 P13798
O94864 P31937
O00311 Q07617
O95248 Q8N983
Q9NX01 Q9Y238
Q9H2F5 Q16698
Q6ZYL4 Q03013
P42695 Q8N427
Q8TCJ0 Q8WWV3
Q96AV8 Q07617
Q6PL18 P34897
Q14696 P62917
P62805 Q9Y676
Q9BX63 Q9BYN0
Q8TF76 Q8N4E7
O60671 Q9NZJ9
Q64ET8 Q96RP9
Q9H4Z3 Q9H7D7
Q15542 P30838
P17480 O00471
Q8NB91 P62269
O43543 Q9NX18
Q9UFW8 O75534
Q5U623 Q9NX18
Q6P1J9 O60477
Q12857 Q7Z2X4
Q9Y294 P20807
O00623 O96011
O43365 Q9P0J6
Q14186 P0C7P0
Q9BQ83 Q16851
O43543 Q8WXI4
P09012 Q9HCY8
Q9H9Q4 Q9Y234
P54278 Q9BYC9
Q9H611 O75170
O75446 Q9UN86
Q02363 Q16854
Q9Y535 Q8TCS8
P09884 Q9UI17
Q9NV56 Q8N427
Q86WB0 Q9NYK5
Q92989 P07195
O60315 P40261
Q9BV90 P06132
P25208 P47874
P78549 Q15102
Q969F1 Q2VPK5
Q9H2F5 Q7L3B6
Q16656 P29144
O43913 P13995
P13984 Q2VPK5
Q9H0E9 Q9BTM9
Q9H8M7 O75891
P35244 Q9BZL1
Q00577 Q8NFG4
Q92989 Q12882
P49917 P49753
Q9HAW4 Q9UN86
Q8IYD8 Q8WUN7
O96019 Q9P2W6
P30876 P40925
P19447 P82933
Q86WQ0 P54136
Q9GZP8 O95848
Q9H2F5 Q9UDX5
Q9UNI6 Q9Y3B7
P38571 P0C7P0
Q8IXF0 P78540
O00623 P28328
Q9HAW0 P51580
P63272 P82663
Q05048 Q9Y2J8
Q9UGU0 Q9Y3E5
Q9NVU0 Q9UD71
P26368 Q92598
O94782 Q9BYD6
O75506 O14713
Q13610 Q9NP97
Q96T37 P49753
B2CW77 P46952
P13686 Q8N3C0
Q5U623 Q9H6S1
P06280 Q9NYK5
A6H8Y1 Q9P2R7
Q00403 Q5JY77
Q8TCJ0 P41252
Q9UNI6 Q8N427
O43543 Q9BXL7
P10827 Q12882
Q9UK76 P61970
P19532 Q9UDX5
Q9UBU8 P21673
P62304 Q9P032
Q9UBU7 Q8TE02
Q15543 Q9NP97
Q9UDW3 Q9UD71
P49005 P21695
P62487 O75394
Q16533 Q9H9J2
Q8TAE8 Q08257
Q13243 Q9UHN1
