O15344 Q8WWB3
Q5I7T1 Q12809
P09104 Q5JVS0
O43924 Q9NXU5
O75888 Q9Y275
P68104 P51159
Q99986 P04637
P55103 P08476
Q13330 P51948
O75533 Q15797
Q9NPB9 P80075
P59780 Q92572
Q8TAI7 Q15796
P63244 P32927
O15259 Q14315
P17252 P20700
P49841 Q9Y2T1
O75791 Q9BQ66
O14641 O60504
O14745 P35222
Q9NP94 Q13303
Q04864 Q8NFZ5
P14784 P62993
P21673 Q9H8M9
Q9H840 Q8WXD5
Q8N114 P04637
Q13618 Q15843
Q02878 P47914
P0DP25 P47872
P56537 Q9NWY4
Q12904 P25705
Q99962 Q15560
P54253 Q6V0I7
P07237 Q99689
O43432 P11940
Q9NY99 O60941
Q06787 P19338
P48059 Q96KQ7
P07585 Q05707
O95219 P16234
P78559 P46821
P17028 Q15047
P14672 P07339
Q969H0 P49768
Q12933 Q5T124
Q12929 P12931
O15127 O15126
Q9UHB7 P50750
O95359 O95619
Q9H0H5 Q9Y6R4
P52701 P43246
Q8TEQ8 Q07326
P11226 P04264
Q96RK0 Q9HC77
O75943 P55769
Q9UHD2 P08238
Q9UJX6 Q12834
P48059 Q13418
P49335 P20264
P84022 P51587
Q8N8U9 P22004
O00482 O15514
Q9HD67 P27482
Q99570 Q8NEB9
P09917 P60709
Q12959 Q9ULV1
Q07890 P01112
P29074 O43149
Q12866 P62993
Q8IWB1 Q14643
P00749 P11717
P29323 P20936
P61981 P27348
Q96AD5 O15198
Q14847 P68133
P08514 P16671
P12931 Q06124
Q15811 Q8WXE9
P35222 Q09472
P15927 Q04724
Q16828 Q99750
Q12933 P48552
Q16594 Q15544
P61289 Q9BXC9
P35527 P27348
Q14140 Q13263
P19793 P57727
P11362 P55075
Q9Y5K6 Q07890
Q9Y2R2 P43403
P48736 P46531
P05362 P01589
Q99613 P47813
P31751 P31749
P38570 P12830
P55212 P15924
P54920 Q9BV40
O95968 O75556
Q15645 Q86UW9
P60953 Q14155
P15172 P40763
P42226 P19838
P19012 Q9P2K3
Q15797 P55316
Q13257 P11226
P31150 Q9NRR5
Q9Y6Q9 P24385
O60494 P02774
O75821 P55010
Q9NR33 Q9NRF9
Q9UMX1 Q9Y297
Q15466 P10275
P05771 P06127
P61586 P36897
Q92793 Q9UER7
O14745 P13569
Q13873 P00540
O43921 O14672
P13236 P10147
Q09472 P04637
O96007 Q9NUQ8
P36894 P22004
O15379 Q9UIS9
Q9NZQ3 O00401
P62837 Q99942
P28482 Q9BY84
P23258 P38398
Q13469 P27348
Q5RKV6 Q96B26
P38398 P40763
P26368 Q9UHX1
Q9NRI5 P35609
P01127 P01023
O14578 O15399
Q05516 O75376
Q15014 P06400
O75886 P52333
O60508 Q9HCE7
Q15800 P54253
P35813 Q14832
P10586 Q9Y4H2
P07384 P08670
O75509 Q15628
O95460 O00339
Q13148 Q15047
P83876 P52597
Q5HYJ3 Q9BQ66
P01282 Q9NRR5
P78536 P26045
P41220 Q8N6T3
P14859 P12956
P52294 Q06455
Q15393 P61981
P48436 Q12933
P17612 P01100
P07951 P55042
O00459 P04626
Q9Y6W5 P60953
P54253 Q99700
Q4VX76 Q9ULB1
Q9H4L4 Q09472
P33552 P61024
P07339 P01266
Q06141 P34741
Q9H1D9 Q5T3J3
P15173 P41134
Q12816 Q93009
P34932 P15976
Q9P2W3 P16520
Q15102 Q9NPI1
P05106 P02679
P0CG47 O94972
Q9UKS7 Q13422
P49715 P35222
P61956 O96020
O15151 P48729
Q9UQB9 O95359
P60953 Q96RU3
P17600 P23297
Q9HB75 Q8WXG6
P08047 P06729
P36896 P08476
P07384 Q9UBI6
Q155Q3 Q9Y6R4
P42702 P26441
P52272 Q8TAP4
P56559 Q9NRR5
Q15761 P01303
Q96T23 O60264
Q9HCE7 Q70EL2
O15111 P21580
P52798 P45985
Q7L2E3 O15379
O14964 Q8N6Y0
Q8TAA9 O14641
Q9NR33 Q07864
P01579 P38484
Q9UQF0 Q15758
Q09472 Q13469
Q9UJ83 Q96E35
P18031 P42229
P49815 P84022
P41218 P06493
P21246 P67775
Q71SY5 P49336
P00533 P35222
Q15911 P10242
P45984 P84022
O95622 P17252
Q15102 Q5RL73
Q9NQT4 P14618
P50570 Q14247
P24928 Q13526
P43235 P09486
O43561 P15498
Q9Y6Q6 Q13191
P14598 Q01130
P06401 Q9UBZ4
Q5JY77 Q9BTY7
Q12933 Q9NRR5
P11831 P17676
P51610 P08047
Q12959 P48050
P50613 P19447
P50548 P48729
Q13315 Q99638
P56597 Q8WWB3
Q9NQC7 Q9Y6K9
P05771 Q5JVS0
Q6AI14 Q99653
O75376 O60907
O95793 P10636
P40424 P14653
O00422 Q13547
P35968 P06241
P78545 Q09472
Q15427 Q13435
P45983 Q9ULV5
O60711 P13612
P06241 P14784
Q9NRA8 P06730
Q12959 Q92796
P13569 P27824
Q15366 P67809
O95747 P36897
Q9NPQ8 Q5JWF2
P29373 P30281
Q96S53 P31946
P62826 P02686
Q9UIV1 P24941
Q9Y2T1 P25054
Q8WWW0 P10114
P23297 P08133
P01040 P21246
P31944 P49662
Q13137 Q8TCX5
Q16514 P21675
Q9UKR5 Q9Y2M5
P12270 P27348
P17252 Q9Y624
O43908 P78406
Q99741 P62979
P05060 Q14151
P26368 Q01081
P43364 Q96T60
P49427 Q13464
Q9Y6H5 Q7L5D6
Q9Y6Q5 P15151
Q00403 Q04864
P05026 Q5T3J3
Q8IXJ6 Q92830
Q96QZ7 P08887
Q13367 Q92572
P15927 Q5T3J3
O15392 P11802
P68400 Q9UBF6
Q16539 P84022
P19012 Q9NTK1
Q9UN74 P78509
P01130 P02649
P61981 Q02241
P12931 P33151
P00533 P61925
Q05655 P40189
Q53H80 Q15834
Q9H204 Q96HR3
O00471 P11233
P01344 P14735
Q08495 P62316
P06454 P24941
O15143 P42768
O14964 Q96KQ7
O94806 P49840
Q9Y2S7 P12004
Q5TCY1 P11137
O60315 Q15796
P16144 Q9UMD9
O95967 Q96FE5
O75581 Q9H6X2
Q14055 Q8NC60
Q96GW7 P09238
P06239 P09326
Q86W92 P28827
P29350 Q07889
Q9HAU4 Q15428
Q6EEV6 P04040
Q5JVS0 Q9UER7
P04637 P25963
O94941 Q969T4
P10599 P02452
P35462 P26641
Q01344 O60674
P10827 P29590
P09104 P27816
Q13547 Q15014
Q12933 P41279
P07948 Q01362
P06454 P20248
P02751 P14210
P49901 O15162
P08670 Q92956
P78314 P27348
Q86X95 Q13573
Q13112 P24941
P25092 P12931
P04233 P04440
Q9BQI3 P05198
Q9Y6C2 Q96QG7
P11309 P29320
P09619 Q9BQ66
Q9Y618 P03372
P00749 P00747
Q02156 P05556
P54257 Q15388
P57105 Q07954
P39748 P52565
P07737 Q04724
P98170 Q96FJ2
P45379 P09493
P27824 P23945
Q92597 Q00839
Q8N556 Q02156
P07910 Q86SE5
Q9Y2Z0 P25815
P51114 O95084
P46531 Q06330
P51449 Q13541
O15259 Q7Z494
Q9UQB8 Q12929
Q09472 P12004
O60885 P35249
P27361 P19235
Q9Y294 P50502
Q8IZJ6 O75600
Q9NY61 Q13315
Q9H4G0 P35462
P27986 P12318
P19793 P19838
Q9Y2I6 Q7Z3B3
P08238 Q9GZR7
O14964 Q96LR2
P06396 P02751
P62258 P54253
Q13838 Q13509
Q15700 Q9ULK0
Q92597 P35222
Q8WTR2 O14733
Q9UPR5 P63104
P21246 Q9Y657
Q8WXF8 Q92851
Q9BQ95 Q9Y4K3
Q99728 Q05048
Q9Y2H9 Q13425
O00148 Q13838
Q99459 P33991
P63165 Q99497
Q96AE4 Q13155
O75460 P49768
Q9Y4H2 P19174
Q16581 P01024
P68400 P18858
Q9HBA0 Q9UKS6
O00303 O00165
Q04759 P26038
P21731 P62491
P31946 O43521
P62942 P21817
P68104 P57727
Q04637 O95405
P04406 Q8WY54
P10721 P22681
P25098 P41143
P21810 P15502
P17028 Q5T3J3
P12757 Q96RL1
P16473 P50148
Q9H422 P25445
P68400 O43896
O60894 P30988
Q9NZC7 P04637
P67775 P49023
Q9H3C7 Q86UU5
Q99726 Q92572
P61981 Q01844
P41218 Q08999
P25054 P35222
P48039 O14654
P19174 P10721
Q8NI22 P49257
P12931 O14746
P98164 P02649
Q9P2W1 P17980
Q9NY61 P10636
P25788 P38936
Q9Y285 O43390
O75909 Q7Z6G3
Q92889 P07992
P31749 Q15910
O95630 O15105
O75943 O60921
Q13330 P03372
O00463 O43734
P19022 Q9UQB3
P54257 O95295
Q96C92 Q9Y2X7
Q03181 P12931
Q15102 Q9UKR5
P02751 P12757
P28360 P14859
P04637 P32745
P09661 P08579
P25098 P49407
Q96QU8 O60610
Q96SZ6 Q00535
O14777 Q9UL45
Q02410 O14936
Q12929 Q9BYC9
P54253 Q9Y4E1
Q96FX2 Q9UGK8
Q12955 Q9UJC3
Q53QZ3 P36897
Q92831 Q04206
P46937 O14745
P39687 Q9UNZ2
Q93062 Q9H0I2
Q9UIA9 O43592
O14964 Q92783
O43747 P61966
P07101 P31946
P46109 P12314
Q99418 Q8WWN9
P06733 P19875
P25054 P14923
Q12913 P14923
P31749 P51617
P06731 Q9P2K9
Q9Y3C5 P0CG47
P30556 P25098
P09104 O00762
O43318 O95999
Q5QJE6 Q92731
Q5JY77 P41594
Q9UJA2 Q14566
P23471 P21741
Q92831 Q15672
Q9Y333 P62316
P05023 P35611
Q99627 Q9UNS2
P60033 Q9C086
Q8N9H8 Q15038
P13010 P09884
P48039 P27824
P18621 O95149
P29466 P42858
Q9NX47 Q9Y3D6
P35611 P22670
Q99653 O94768
P05129 Q8TD31
O00220 P51398
Q99750 P13349
Q92902 Q9NQG7
Q9HAV4 P49790
P28223 Q16288
P03372 P78317
Q14247 O75146
P08514 P05106
Q9NWF9 O14933
P02778 P13611
O60674 P62937
P54259 Q9H0M0
P62879 Q9H1X3
Q8WZ19 P12004
P98160 P28799
P98170 P36897
Q9P289 P04049
P61289 O75689
Q14112 P11047
Q7L590 Q9UBD5
O00161 P51116
P61981 Q9UKF6
P08754 P09326
P98170 Q96HA8
Q92793 P04637
Q13347 P37173
P29350 Q9BXR5
Q9NPF5 Q99816
O95832 O15551
Q9UPT6 Q07866
P25788 P62306
Q9Y5Q9 Q92994
P15408 P05412
P41279 Q13546
P17612 P49841
P42575 P15924
P27986 O14512
Q8NE01 Q9BQ66
P55212 P46934
Q96JB6 P02458
P04406 P50453
P62195 Q00403
Q8N4C8 P46821
O60573 Q9NRA8
P49796 P29992
Q7L5N1 Q9BT78
O43390 Q16637
Q12959 P11171
Q9NQS1 O14727
Q9C0C4 Q15700
Q8TD08 P12931
Q15833 P62316
Q5PSV4 Q9HCU9
P05129 P14867
Q15910 Q15834
Q92904 Q96EP5
P34925 P04628
P36894 Q15427
Q9NRD5 Q9Y3R0
Q99689 Q96PY6
P61764 Q16623
Q9Y3C7 P42858
P00533 P04626
Q99618 P63208
P61981 Q05655
Q9GZT8 Q9H773
Q8N5S9 P0DP25
P00747 P06733
Q14134 Q96F44
P31946 P49815
Q9UPT5 P17081
P63167 P00338
O14746 P19338
O75293 Q03181
Q86YP4 Q92831
Q9Y371 P49418
P36873 P04637
Q14112 P15502
P04183 Q15047
P11047 Q9Y3C0
P37231 Q92905
Q15796 Q14204
P63104 O96013
Q13573 P12755
Q9UHD8 P61026
Q08999 P20248
O43318 Q9C0K7
Q8WYK2 Q92831
P01135 Q96CC6
O14492 Q9NR12
P48552 Q8NHQ1
P31946 Q96Q42
Q0D2I5 Q13426
P13010 Q00613
O14678 Q96BY9
P06400 P15336
Q13445 Q01638
Q14831 Q9NRD5
P06239 Q05655
O75689 Q00577
P31152 Q9UQC2
Q8TEW0 P60953
O15539 P09471
Q00534 P12004
P63208 Q9UKT4
P14859 P51692
Q15121 Q13393
Q14005 O95967
Q9HB75 Q13158
Q8WUY3 Q96D15
P08246 P19320
Q15700 P29475
P38398 Q9Y4A5
O00716 P20248
O75962 P61586
Q14689 P98082
O00459 P07333
O43298 Q8TAP4
Q96MP8 P62979
O94953 Q9BTT4
P04637 P19338
Q92934 Q13163
Q13547 P06454
O75582 P18846
P13984 P27540
P24941 P23511
Q15723 P25791
O95373 P62081
P50150 P16520
Q86YN6 P62508
P01112 Q02750
Q96RU8 O14733
Q96ST3 Q05195
P27361 P42229
O95835 Q13043
Q15406 O75376
P14091 P14138
Q9P2D0 Q06187
O43493 Q9ULJ8
Q15788 P33076
P52565 P14923
O75618 P05783
P51811 P68400
P20151 P10275
O43464 P47710
O94812 O14514
Q9BUH8 Q12959
P68402 P43034
Q13177 Q15052
Q7L804 P25025
P14780 P08123
Q05209 P46379
Q12959 P11274
Q9NR80 P61586
P41182 Q03181
P20248 P24941
P35499 Q13425
P05556 Q9UKP3
Q16611 P04637
O00206 O60602
P54253 Q9P2G9
P08670 Q96C92
O95071 P28482
P14209 P02794
Q12805 P10398
P09012 P26599
P68400 Q96HZ4
O14593 O00287
P68400 P09497
P27707 Q8NBJ4
Q9Y2N7 Q96KS0
Q13393 P61586
P49810 P07384
P08648 P02751
Q8NHY5 Q99638
P08246 P55085
P51681 P25098
Q96EB6 Q14469
P33993 Q7L590
Q8WUP2 Q96AC1
Q9HB71 P80511
Q14135 Q06413
Q03052 P17096
Q05655 Q13887
Q9UDY2 P11171
P29590 O15379
Q86Y82 O00161
O14939 P09972
O60921 P12004
Q9Y4K3 Q7Z434
Q9H0E3 Q4LE39
Q8NE01 Q93062
P32241 P63096
P17612 P05204
O60765 P63167
Q10567 P84077
Q92729 P35222
O43173 P13591
P08047 Q6W2J9
Q02447 Q01094
P29350 P52333
O43837 Q99700
Q96C24 Q15834
Q8N3R9 Q8NI35
Q9BY84 Q15759
Q14449 Q05513
Q15797 Q9HCE7
O94985 O60318
P48454 P36897
P68400 P49795
Q07889 P19174
Q8N2H9 Q9Y4K3
P12931 P23634
Q92736 Q14643
Q8IU60 Q14181
P35900 Q53FD0
O43914 O00241
Q96CV9 Q13045
P24666 P43403
O14974 P61586
O60566 P63010
Q9UNK0 Q9H270
P48643 Q13371
P46379 O95163
P38936 P40763
P08670 P17612
Q9NZQ3 P42768
Q9NPD3 Q9HAU5
P07738 P04406
Q9HCU9 Q5T3J3
Q04206 Q13526
P43405 Q14247
Q86YM7 Q9NSC5
O00204 P49888
P63165 P28360
O14836 Q9Y4K3
P54259 Q9HC77
Q9H4P4 P40818
O14917 Q9NRR5
O60443 P21246
P10415 Q08209
Q13045 P60709
Q14680 P30305
O00590 P13501
O75533 O15198
P55199 P04637
O60508 Q15796
P31946 P30307
P62805 Q9NPI1
O00311 P38936
Q15645 P67775
Q99933 P03372
P31946 P08069
P16871 P23458
P35606 P48444
Q99612 Q14181
P54725 P54252
O75791 O15156
P36897 Q12931
P61952 Q9Y2J4
P35606 P53621
P67870 P38432
P04156 P62993
Q13444 Q15052
P22681 Q9Y4K3
Q9UHC3 Q96QZ7
P55008 P68133
Q93052 Q149N8
P03372 P08069
Q92793 P03372
Q7Z6G3 Q9BVI4
Q9UHB4 P99999
O43561 Q13239
P14210 P80188
Q86UW6 P46934
Q99547 Q9NP97
P46777 P12081
Q9Y383 Q9BQD7
O43918 Q92793
Q9NRG4 P04637
Q92731 P03372
Q01658 Q9NRF9
Q86VE0 P07737
P23469 P07947
P09466 Q5T3J3
Q6GQQ9 Q9Y4K3
P09486 P00750
P04792 Q04637
Q00403 P13984
Q86U90 O75884
Q13330 P04637
P55212 P49768
Q15796 Q5XPI4
Q15596 Q969G3
P01024 Q07954
O14508 P08069
Q13444 P08631
P36894 Q13873
O15265 Q92830
Q12802 P62258
O43924 P61586
Q7Z6J2 P41594
Q9HC98 Q13485
Q9BYV6 Q92995
Q01844 Q9Y467
Q96GM5 Q13137
P61981 Q9BZE4
Q14164 P08238
Q9NQS1 Q9HCE7
P05129 Q5JVS0
P08254 P05121
P42574 P40692
Q9Y3C5 Q96BQ5
Q9NZN3 O95721
P20338 P27361
Q9UH65 P09874
P53778 O60239
Q8N6I1 Q13485
Q99683 P35754
P56524 Q02078
O43187 Q9Y4K3
Q13621 O95747
Q8WWI1 Q8NBM4
P09429 Q5T3J3
P00918 Q9P2K9
Q9UBP0 Q16799
Q02383 P04279
Q9UIF9 Q15361
Q14982 P04156
Q13224 P35609
A1A4S6 Q13177
O15226 P19838
Q9BQ66 Q08E93
Q00403 P35269
Q8N5C8 Q9Y4K3
P06401 Q9H467
Q15642 P12931
P46109 P51692
P56817 P49768
Q9Y6Q9 P05412
O95150 O95407
P06241 P16144
Q9Y3D0 O76071
P50991 P60709
P31751 P98177
P23471 P35222
Q16778 P52294
P35269 P21246
P20290 P30876
Q8N6T3 P24390
Q16236 O60675
O75534 Q14103
Q12962 Q15542
Q96RL1 Q9C086
Q8IWL1 Q8IWL2
P17612 Q05209
Q9UBP0 O43805
P29375 P10276
O43439 O75376
P00742 P12259
Q13017 P05556
P19784 P04156
P27707 A0JLT2
Q9NPI1 P0C0S8
Q01844 Q9NQA5
Q969H4 P36507
Q9Y2D8 Q16385
P68400 P11473
P30926 Q15822
P23760 P50221
Q9Y613 P63261
Q9NYB0 Q92878
P10114 Q15797
Q92667 P31321
O94972 Q9UBZ4
Q15797 P02462
O94829 P47813
Q9UPY6 O00459
Q9UNE7 Q86WG3
Q16558 P00395
P24522 Q9Y6R4
O95452 P29033
Q8NFH4 P36897
Q15274 Q9BQ66
Q9UBU9 Q07955
O75081 Q06455
P63279 P55854
Q8N4C8 P62736
Q9H1H9 P32780
Q9NRD5 Q9P2M1
P24928 Q16637
Q86XR7 Q9Y4K3
P50148 P21731
Q14831 P21333
P11362 Q13239
Q9UIF7 P12004
O15554 P0DP25
Q92835 P08631
Q14416 P50148
P98161 P17661
P38159 Q5VWX1
Q9UJA3 P33991
P04004 P01344
O15169 P39687
O75031 Q03933
P0DML2 Q13485
P36897 P62987
O43747 Q63HQ0
Q13255 P25098
Q99750 Q8WUT4
P11474 Q15788
P27361 P19419
Q8NCP5 Q15797
Q9Y5S1 Q9BRV3
P67775 Q13362
Q13370 P31946
O75923 P04083
P09238 P10915
Q9NR82 Q9NRI5
Q9UGM3 P35247
P68104 Q96IZ7
P11940 P15170
Q15389 Q02763
P43250 P35243
P35638 P53567
P28221 P08908
Q12979 P35348
Q9UKR5 Q9NTW7
Q05513 Q08209
Q13885 P04075
Q9H3D4 Q9UER7
Q58WW2 P10275
P04049 P15056
O00273 Q7Z6G3
Q14012 P0DP25
P53778 P28562
P51948 P19447
P29323 P34741
P21246 Q9BX70
P42566 O14964
Q6WBX8 Q99638
P78368 P16333
Q14203 P62993
P84022 P10071
Q9Y6D9 Q9UGJ1
P36543 P12956
P35125 P10916
P50616 P29966
P49354 P32455
P30307 Q04917
P45983 Q16539
Q9UI36 P84022
P08670 P35900
P57073 Q13516
Q96RF0 Q07890
P29350 P29475
Q13765 Q9BWH2
O60496 Q96EK5
Q9NXR7 Q9NWV8
P29466 P09874
P07948 P46527
P51397 Q15047
Q13367 Q00610
P19256 Q15011
P01730 P28907
Q969L4 P83369
Q9Y3C5 Q03468
P20340 Q14203
P28065 Q15788
Q9Y6Q9 Q13133
Q5VV63 P32245
P54296 Q8WZ42
Q9NS28 P50148
P56945 O15357
Q8N8S7 Q6XZF7
O00231 Q15262
Q96CN9 Q9Y2I6
P42768 P19174
Q13191 P00533
P60520 Q9Y4P1
Q13485 Q8IZD4
P27348 P20807
Q15843 Q13616
Q15596 P41235
O43298 Q7L590
Q9UMX1 Q9NPA3
Q9H159 P55285
O75182 Q9Y6D9
P19338 P12544
Q01094 P20248
P09467 Q9H1I8
P46821 P26368
O95967 Q9NRR5
Q16539 Q06413
P19388 Q92804
O14786 P49765
P61968 O15198
P30419 P12931
Q8N9N5 P04637
Q9H5X1 O76071
Q9ULH0 P46109
P14174 Q9H8Y8
P25788 P14678
O43422 Q13217
P57059 Q9P0L0
Q13045 O96019
Q13671 P61020
P08631 P10721
Q5FBB7 P62714
Q9H446 Q9Y295
Q15185 P08235
P49841 P24385
P54253 Q9UKJ3
Q96RR1 O15198
Q15078 P35222
Q96MP8 Q9UJY4
Q04844 P02708
P07339 P04278
Q9HBM1 P60468
P60763 P20823
O95886 O14490
Q92841 Q15788
Q13094 Q08881
Q04759 P31749
P25685 Q00613
Q92643 O43292
Q7L5N1 Q8IYL3
P06756 P10451
Q8WX92 P18615
Q99961 Q7L190
P16473 P27986
Q05513 Q04206
O60706 P26641
Q03135 P08138
P52799 Q86YM7
Q05086 P62253
P07951 Q9NR12
Q8TBN0 P20336
Q13315 P38398
Q9NPC2 P63104
Q92624 Q4U2R8
Q9H165 P24468
P04049 P11142
O43426 O00499
Q12906 Q9HAV4
O75525 Q07666
O43572 Q5T2W1
P62495 Q8IYD1
Q15717 Q92688
Q13352 Q9GZR7
O75582 Q09472
Q9NWA0 O75448
P42229 P43405
Q9HCL0 O75553
Q96T60 Q13426
P02766 Q7L5D6
Q9BX66 P49023
Q7Z7C8 Q6P1X5
P36543 Q9Y4K3
Q9NP79 Q7Z6G3
Q96AX1 Q9H270
Q04695 P08729
Q8N5M1 P06576
Q8TDC0 P35609
P36543 O75348
P54253 O00154
Q13227 P04637
Q9NWA0 Q9Y2X0
Q14209 P08047
Q6UX01 P31025
Q7Z7C8 Q12962
Q93009 Q2M1K9
Q8TEL6 Q13546
Q14161 Q9Y2X7
O75830 Q9NRR5
P61981 O14744
Q14289 P07948
Q92918 P62993
Q9H237 P56705
P23760 P28360
P39748 P09651
Q99728 P43246
O15530 Q96BR1
Q9Y2Y4 P23769
P16473 P02751
P00533 Q9NYD6
P01344 P24592
P05198 P19525
P40818 Q92783
Q9NQW7 Q6NUQ1
P32246 P13500
Q04724 Q14469
Q13191 O15117
Q9H2K2 O95271
Q92597 P14618
Q9H8Y5 Q9GZP1
O60381 Q96ST3
Q7L5N1 Q13616
Q12933 O43566
P43364 P30048
P56279 Q7L7L0
Q9Y2Z0 P06703
O60331 P98164
P18827 P10145
Q9UGI8 P12814
Q06124 P27361
Q13113 Q5T2W1
Q9UBU9 P35658
Q0VD86 P78396
P41219 Q9Y4I1
P52292 P04637
P10144 P78527
P15153 P31150
P38435 P02818
P29084 P19447
Q14500 Q02410
Q99650 P40189
Q13443 P23229
Q9H9D4 Q13868
P60896 Q5JVF3
P25791 Q15796
P15509 P32927
Q00534 P30281
Q04724 Q8N5U6
Q00534 P38936
P51153 Q9HAU4
Q8WZA2 P78559
Q1MX18 Q8TEW0
Q8IW41 P02686
Q14520 P02462
Q9UKX7 P62826
P43304 P04075
Q9ULH1 Q8NFH8
P52790 P41222
Q9BYG5 Q8TEW8
O75582 P07101
Q15052 P84022
P17612 Q96SB3
Q15024 Q13868
P21246 P05386
Q8N8U9 P12643
O60941 P46939
Q9H461 P34925
Q13765 P20226
P45983 P12956
P54920 Q03113
O94973 P49418
P48995 Q03135
P08047 P23511
P84022 Q14974
Q9Y4Z0 Q16637
Q9Y6R4 Q02750
P46977 Q9NQX7
Q9NQU5 P10275
P78314 P15498
Q86YF9 Q86SG3
P08727 Q9NTK1
Q92843 Q13323
O15492 P09471
P50570 P62993
Q92796 P0DP25
P15336 Q5T230
O95239 Q9UNY4
Q13561 P49006
Q13185 P11309
Q96F07 Q9Y2A7
Q9ULJ8 P63261
Q08211 Q07666
Q15181 Q5MNZ9
Q9Y6B7 Q9UPM8
Q9UNK0 P53621
P29350 P13688
Q9HBI0 Q13418
P14174 P04233
O95988 P31749
P54253 P48634
O60674 P16885
P41143 P19086
P35221 P49768
Q12879 P49796
P41143 P63096
Q9NPC2 P31947
Q9BSL1 Q13571
P00533 P68133
O75366 P46108
Q8N668 Q9UBI1
Q01780 Q9H7Z7
P50613 P10827
P51825 O43255
P09619 P32119
P57678 Q13137
Q00532 Q9HCE7
Q05048 P38398
Q13485 P49711
P33402 Q12959
Q13330 P62993
O60934 P38398
P32856 P61764
P10644 Q92667
P22607 P62993
P05556 P15529
P11362 P05230
O75925 O15105
Q15561 Q9GZV5
O94941 P55072
Q99959 P15924
P78347 P25490
P24071 P11912
P12931 P30530
P62917 Q9BVJ7
O95251 P08670
Q13310 P54257
P40763 P09619
Q14192 P06732
O14920 P19525
P10275 P06396
P52907 P04271
P13598 P15311
Q9NR61 Q99466
P12270 Q16666
Q15796 Q07666
Q16760 Q96ID5
P52799 P54760
P29350 P11274
P53350 P28074
P13631 P28702
P02787 P22692
O95218 P08621
P35968 P50148
P41236 Q96SB3
Q9Y5X1 Q13444
P62805 Q9BZK7
Q9GZZ8 P02751
Q12934 P08670
O15530 P17612
P35240 O14745
P07948 P30419
Q96B97 P42336
P49366 Q9GZT8
Q04912 P27986
P35232 O14980
Q14289 P20936
O00587 O00548
P04156 P00747
Q9NWQ8 P43405
O76031 Q16740
P41240 Q99704
Q6P0Q8 Q9NRP7
Q9UKR5 P56282
Q13332 Q15047
P16333 P00533
P11362 O60258
Q14680 P05198
Q05209 Q14289
Q13309 P24941
P33076 Q2QGD7
Q96LW7 O95999
O95793 Q92900
P49842 Q99808
P46695 Q13362
P16870 P01308
Q9BXS0 P05067
P12931 Q13224
P23469 P28482
P31749 Q16584
O94973 P61966
P61981 Q9UQB8
O00255 Q9BXW9
P61088 P0CG47
Q8N668 Q13616
Q15052 O75914
Q969N2 O43292
P14384 P69905
Q9UPM9 Q01780
P02462 P05067
Q14203 O15020
Q8WUH2 P37173
Q8N6Q3 P04278
P53350 O94762
Q15276 P17677
P16333 P42768
P36542 P06576
Q9Y6J0 P48454
P46527 P14635
Q9H4E5 P60953
P12757 O43149
Q03135 Q14451
Q96FN4 P12757
Q13449 P04156
Q13432 P36404
O14757 Q13619
Q9Y4Y9 Q16637
P10721 P42229
Q16206 Q8TC92
Q9UHD2 P25963
Q96CS4 P52597
Q14108 P07996
P32456 Q12972
P42229 Q9NRG1
O60907 P35222
Q7Z7C8 Q15542
Q86XS8 P36897
Q9Y3M8 O60333
P49771 P21583
Q9NPI1 Q9BUJ2
Q9ULB1 Q8NFZ4
O75771 O43543
Q92851 P06400
P49354 P49454
O75925 Q05193
P68400 P09629
O95751 Q9H5V7
Q02763 P27986
P48552 P19793
O43172 Q07955
P37198 P06454
Q99717 P52948
Q9UMX0 P01703
P45984 O60239
P54253 Q96RK0
P42858 P20936
P52179 Q8WZ42
Q16825 Q92667
Q9NRS6 Q96BY9
P32239 Q06124
P17252 Q06124
P49767 P35968
Q9BYG4 Q8TEW0
Q15257 P12931
Q13547 P12004
Q8TAD8 P61244
P08670 Q8NC51
P17174 Q9BXJ8
Q15047 Q14181
Q9Y3C5 Q9H0M0
P51808 P15151
P10323 P05154
O95219 O00499
P21673 Q96BY9
P31947 Q14258
Q92908 Q03014
P35221 P22223
P49841 P49023
Q96N67 P61981
P35269 Q99689
Q6WKZ4 P62491
Q9NQX3 Q96FJ2
Q96MN2 Q9NPP4
Q99717 P21333
O43929 P25205
P04637 P22736
Q99062 P62993
O00303 Q7L2H7
Q15645 O60269
Q9NY61 Q99816
O75791 P10721
Q96J92 O15551
Q16637 P04637
P49023 P06241
P49023 P23229
P28066 O14818
P10244 P09874
P19525 Q9NYJ8
Q8NDI1 Q9H4M9
Q96FJ2 Q9P2Z0
Q9HAP2 Q9UH92
P16519 P10997
P07948 P67870
P57078 Q05655
Q15464 P62993
P43489 Q13077
Q03135 P06213
P10599 Q92905
P16333 P20936
Q15811 Q9BYC9
Q99627 Q9UBW8
P55854 P49715
P51116 Q93062
P08069 O60674
P35968 P35222
O00560 Q16623
Q8IYB5 Q9HAU4
P62807 P21980
P61981 Q8TEW0
O75558 O00161
Q9GZV1 Q8WZ42
P10515 Q15118
P11473 Q15466
Q96A73 Q9UGY1
Q15572 P20226
O95832 Q8NI35
Q16665 P10275
Q8NDB2 Q14643
P55211 Q13489
P49796 P27348
P54253 Q9UKY1
P54259 P98095
