O95747 P55011
Q9Y3F4 P62304
P51003 Q9UKF6
Q9BVK8 O95870
P62495 Q8IYD1
P78345 Q99575
Q13285 P35222
O15130 P01303
Q9NYG5 Q9UM13
Q99627 P60228
Q8TAA9 P27701
Q96RK0 Q969Y2
Q9NQX3 P42345
P43351 P19447
P06213 O14544
O95425 O43294
P20742 Q96IY4
P49755 Q96BI3
O43823 P24385
P35222 Q9NSC2
P78346 O95707
Q99558 O95163
P51946 P29084
Q6ZYL4 P19447
P49675 Q99689
P05060 Q13724
P01579 P01375
P15509 P08865
P08133 Q6P1J9
Q9BXY8 Q9BQ66
Q9NY61 P06400
P08697 P59665
Q9Y5Y5 P40855
Q8NHV4 Q09472
O15145 Q86YJ6
P06731 Q9P2K9
Q09472 Q15596
Q16665 P51398
O14544 Q15370
O95163 Q9NX18
Q12929 Q15154
Q7L590 Q8NHQ1
P14866 P26599
O43929 Q13416
O00165 Q13563
Q12923 Q9HB21
P14222 Q9GZR7
P18428 P49913
Q8N1I8 O00453
Q9NPF4 P15941
Q9NQW7 Q14181
Q86VP6 Q13620
Q9BQ66 Q5T681
Q96G25 Q6P2C8
Q86SG3 Q86YF9
O94777 P37287
O75943 O60671
Q13873 P22004
O15514 P62875
Q9UHX1 Q05519
Q9Y2Q5 Q9UHA4
Q13569 Q01831
Q03167 P08476
O15085 P78559
Q9NX18 Q9GZT6
Q9NNW5 Q7L622
Q96RE7 O15379
O75940 Q14974
P05556 P98160
Q8IZH2 Q92925
P01579 P38484
P25208 Q14919
Q9Y6I8 P40855
P09693 P04437
P27824 O95990
Q9HBE4 Q9HBE5
Q09472 Q9GZR7
O60610 Q13563
P26368 Q9UHX1
Q12791 Q16558
P48552 Q15834
Q9Y5N6 Q99741
Q9BRJ6 Q15834
Q9UJX4 P11940
Q9P2H0 P0CAP2
Q13347 Q04637
O95219 O00499
Q99689 Q9H2M9
P04183 Q9GZT6
P35869 Q09472
Q92878 Q6NUQ1
Q92597 Q13200
P16150 P35222
Q01780 Q5RKV6
Q9GZN7 Q7L5N1
P55060 Q0P6H9
Q8WY41 Q05586
Q9UPY3 Q15633
O14980 P35658
Q07021 P38432
P46779 O95793
Q15650 P19838
O14777 Q9Y2J4
