Q9UKA4 P10644
P53350 Q7L5D6
Q96DU3 P29350
P43364 Q9BQP7
P13861 Q06455
P84022 P41235
Q9HAT8 Q99836
O00291 P05549
P31269 O14770
P00918 P10809
P35638 Q9BPX1
P26006 O00499
Q9BYG5 Q8N3R9
P46937 O15105
P35555 P27797
P18428 Q03591
P06239 Q08881
O75925 O15105
Q96FX2 Q9UGK8
O15392 P42574
Q9H6U8 P16104
Q16787 P13497
Q96DU3 O60880
Q05516 P50052
Q9UKV0 P61956
O75604 Q15834
P14780 P09341
P62328 P60709
Q92835 P09769
P28360 P14859
P62258 Q12809
P12931 P04049
Q96S37 Q5T2W1
Q9P1W9 Q9NTM9
Q92793 P20823
P06239 Q9UN19
Q9NYL2 Q06730
P49802 P31946
P19174 Q99704
P11802 P49715
Q9NQX3 P07737
Q6P2C8 Q96HR3
P19838 P14316
Q09472 Q15796
O15524 P06241
P07910 Q93100
Q01851 Q01844
Q14134 Q9BRK4
Q9UBY0 P12931
Q9ULB1 Q9NZ94
Q09472 Q13562
Q16539 P29590
Q05586 P36507
O75351 Q9UN37
P51610 P05412
P15884 P50553
Q14344 Q03113
Q13795 Q13485
Q15797 P36508
P40424 P55347
Q9NPF4 P07359
Q8TEU7 P10114
Q92574 P07196
Q969G3 P03372
Q14654 Q15842
P17612 P20941
P08670 Q6ZU52
P48729 P17931
Q13535 P13010
P04271 P17661
P50749 P01112
Q9BUL9 P78345
Q03135 P35243
Q14247 P62993
Q13309 P15923
P00734 P01008
P36897 Q15797
Q13535 O96017
O95376 P26641
O00238 Q7Z6B7
Q8TAX0 P37173
Q96FZ7 Q9H1A3
P50150 P62879
P29323 P01100
O43173 P13591
Q99558 Q12933
O75943 O60921
Q9UQM7 P10636
O14917 Q9NRR5
P17676 P06400
P29323 P29972
Q05655 P48048
Q15811 Q07889
P46531 Q9H488
P06213 P23458
O00178 Q07954
Q08999 Q6NUQ1
Q08881 P36897
Q8TAI7 Q15797
Q6P2C8 Q15528
Q14184 P63172
P30530 Q92569
P19838 O15111
Q9Y2L1 Q13868
P49593 Q14155
P49796 P03372
Q9HA65 Q9H1I8
P63162 P49703
Q6IAN0 A0JLT2
P63208 Q8IX29
Q15424 P03372
P50453 Q9UKY1
Q96HA8 Q9BPX1
P21802 Q9GZV9
P25963 Q15653
P16157 Q13813
P10415 P16615
P05060 P22607
P60953 Q9UKR5
Q13873 P41279
P04150 P12235
P40305 P24385
Q15642 P07948
Q15596 P35609
Q02818 P04899
Q8IU80 P02751
P25391 P14543
O00180 P63279
P04183 Q9GZT6
P98164 P04114
P12956 Q9H910
Q15750 O43318
Q8WV24 Q13310
Q15027 Q0D2I5
Q96PY6 Q04917
P61956 Q9UBT2
P10275 P14859
P49848 O00268
P36957 P35080
O15164 Q92731
Q969H0 P63208
Q86XP1 Q16760
P12830 P35222
P36897 P35222
P18825 Q14232
O60711 Q96BD5
P57073 Q5T230
Q9BUH8 Q9NTW7
Q06187 Q9UN19
P25774 P02818
P08047 P29590
P17252 P09429
P06400 P11388
Q9P209 Q6ZU52
P17275 P53539
O14893 Q16637
P31946 Q02241
Q7Z3Y8 P06213
P63167 P00338
O14745 P50148
P30419 P04637
P23246 P35637
Q8IYJ3 Q9ULB1
Q9NXU5 Q4V328
O60271 Q07866
P10912 P23458
Q5JVS0 P67809
Q13322 P04049
Q9UMX0 P30926
Q13547 Q16890
Q9UI32 Q9NWQ8
P04196 P02745
O75534 Q16549
P68400 P11831
Q969L4 Q14493
P31947 O43916
P20366 P29371
Q9UHD1 P08238
Q13137 Q8IZC7
P11532 P68032
Q14686 P11387
P28702 P48552
P31749 Q16778
P06241 O75056
Q12988 Q16082
P55884 O75821
Q14160 Q9UDY2
O43196 O15457
P00533 Q13393
O94887 P12931
Q92630 Q16695
P21741 Q9NRR5
Q8N6I1 P84022
Q05209 P06213
P35080 Q99719
P14921 O75376
Q9Y605 Q15014
P27361 Q15796
Q96RT1 O60716
P15509 O14920
Q9BQA1 P62306
P23458 Q92835
O43306 P54253
P31947 P68104
O14965 O14777
P50616 P04626
P40763 Q9UER7
Q9UNY4 Q15797
Q15842 Q09428
P21980 P05106
P25791 Q9UPY8
Q9Y262 Q9NYV6
P26641 P55316
P23409 P41134
Q14134 P36406
Q13136 O75145
Q13163 Q99759
Q9Y490 P26010
O94806 P52292
A0A5B6 P01889
P41159 P52790
Q01844 Q93009
P63104 P30291
P42574 P23588
Q9UBU9 P35658
P17028 P54257
Q16594 Q00403
Q13148 Q9UKY1
P61981 O60825
Q86XR7 Q9NWZ3
P04632 P62879
Q9Y6K9 P49841
Q92997 P35813
O15162 Q9BQ66
Q13503 Q92734
Q9NWA0 P49336
Q6PIU1 Q92953
Q5FBB7 P13010
Q15121 Q5TCS8
Q12929 P68133
Q9HBG4 P08237
O94989 P54764
Q9HCE7 P17480
P78536 Q15303
Q9NXB0 Q9GZR7
O14733 Q12852
P98160 P29279
P01584 P01023
P02511 P02489
Q9Y4H2 O00459
O75031 Q03933
Q00535 P10636
Q9Y496 Q16584
Q9UPV9 O15294
Q9NRR5 Q5VSY0
Q9UBN6 P50591
Q9BV73 Q6VMQ6
O95084 Q13387
Q9Y6Q9 P05412
O43768 Q09428
Q15645 Q9NTN9
P55060 P14866
P01375 P20333
A0A5B6 A0A1B0GX56
P19784 P09497
Q8N3L3 Q12846
Q9UKW4 P84095
P02545 P21333
P27361 P07101
Q9NY97 Q96EU7
P38432 Q96CN9
P33076 P25208
P56537 Q9BZI7
P14780 P53420
P31943 Q09161
Q13426 Q9H8G2
O14920 Q9UHD2
Q9NPC2 P27348
Q5JQC9 P10644
P25788 P62306
Q16849 P29475
Q99755 Q9ULU8
Q03113 P12830
Q9NY99 Q9Y4J8
Q70IA6 Q15208
Q9Y2U5 P62258
O60343 Q8NEY1
P21579 Q8NBJ4
P17252 P16455
P55287 P35222
Q6STE5 P03372
Q8N2W9 P12757
O60641 P19174
Q7Z419 O14933
Q00613 P49137
P21453 P63096
Q16778 P54198
P15822 P62820
P47901 P01185
Q99942 P49023
P17676 P19838
P50402 Q99962
P51843 P10275
P56817 P07602
P04350 O95793
Q96JH8 A0JLT2
O75928 P78347
Q13362 Q09472
Q13516 O95096
P29475 Q08AM6
Q8N2W9 P21246
Q96Q89 Q13526
Q16891 Q9H8T0
Q8NFW9 Q13402
P23468 P23469
O75916 O14775
Q92823 Q01484
P78314 P36888
Q15843 Q13620
P09486 P34741
P27701 Q99567
P51153 Q9HAU4
P31947 P23588
Q9BT78 Q9UNS2
P61981 Q13838
P41240 P07948
P45983 O43521
Q13158 P51398
Q24JP5 P11021
O00238 P48454
Q9H190 Q9ULB1
Q7L590 P49736
Q01968 Q00610
Q14213 P27824
Q9HCK4 Q08945
Q02094 P06028
Q9H4G0 P14416
P61296 P17612
P45877 Q9NRR5
P52799 Q9NRD5
Q96F07 Q92558
Q6EEV6 P52565
Q96FJ2 O60269
Q15102 Q9NPI1
P22681 P51692
P58546 P19838
Q03052 P26583
P35269 P29084
P35555 P98160
P98177 P03372
O14745 P35241
Q9H0F7 O75915
Q05516 Q9UKV0
P23511 P22415
P42229 P17676
Q9Y692 Q15797
Q12834 P20248
Q14676 P04637
O00186 P57678
Q15834 Q9BSW7
O95793 P19338
O14901 Q13547
Q92481 O95619
P17252 P60983
Q04724 Q9NTW7
O00444 P36897
P42229 P14784
P22670 Q13485
Q86UP2 Q14164
P25815 P26447
Q86XR7 O15455
Q8N488 Q99496
Q15797 Q13501
Q15596 P41235
Q04771 Q8TB52
P46109 P42768
Q12929 P00533
Q9NPC6 P16298
Q71DI3 P06454
O94972 Q6ZVK8
P06241 P22681
Q96MP8 P20338
P02008 P68871
P63244 P26010
Q9UKW4 P61586
Q7Z569 P49454
P54259 Q92824
Q13191 Q16526
Q96L34 Q15831
Q14966 Q9BQ66
P63279 Q9NR12
Q9Y696 P60709
Q9NZN8 Q9UFF9
Q8IUH5 P60880
Q5JY77 Q13255
P43358 P04439
Q9NPH3 Q99836
P05412 P15036
O95832 P08253
Q8WXG6 O00220
Q13363 Q09472
O75093 Q9Y6N7
Q13492 P53675
P08631 P11274
P08047 Q09472
P04626 P35222
P02768 P20933
O43426 P62993
P05107 Q14773
Q13224 Q13557
P45984 P04637
P28482 P84022
O43680 P61968
P21802 Q01668
P26641 Q9HC52
Q09472 Q13105
O95257 O60383
P27361 P06213
O43293 Q05513
Q03181 P30041
Q9NP55 Q9NRR5
P04637 P36405
Q92772 P22681
P06493 O00562
Q99750 Q8TC90
Q9GZY0 P27695
O43903 P68133
Q01844 Q96M83
Q9H0H5 P15498
Q8WUM4 Q96B97
P19525 Q9NYJ8
P61981 Q9Y6R0
P98161 P02458
P51681 P01730
Q99613 Q9NRX3
Q9NZR2 P05067
Q9H1H9 P32780
O75116 O95793
P52292 P48729
Q8N2H9 Q99558
P08758 P63272
O95059 O75818
P84090 Q9Y3C7
P46937 O14745
P42285 Q06265
P16144 P08670
P68400 P52952
Q92831 P30305
P20248 P54198
Q99719 Q16623
Q99547 Q9NY61
P43364 Q9Y6M9
P29372 P10828
P49703 Q14232
P62258 Q00536
P01024 Q02985
Q96IP4 Q9P287
Q13416 P24941
Q92834 Q14203
P14635 P30304
P50395 P61019
Q15714 Q9UQ03
Q06609 P38398
P58753 O43187
P54764 P21802
O15151 O15350
P10828 Q15642
P08235 Q92786
P0DML2 O15198
P17612 P35611
Q9UNL2 P48634
Q15788 P10828
Q9NRY6 O15162
P27361 Q07021
P00751 P0C0L5
Q04864 P24864
Q14134 P49773
P61601 Q86UW9
P30990 Q99523
Q15047 Q99728
Q16478 Q13003
P20963 P06241
P14866 P61978
Q12772 P41235
Q07954 P12757
Q13315 P04637
P24941 Q99741
Q92597 P62241
Q92793 Q9UKD1
Q04721 Q06330
O43581 P32856
O15360 Q6STE5
O15530 P31751
P20393 O75376
P32418 P62258
P48551 P29597
P04233 P07711
Q6VY07 O75379
P42574 P52566
O14939 Q05655
Q99952 Q13017
Q8N0Z2 P60709
P54253 Q9P1W9
P19784 P36897
P40763 P09619
Q13137 Q8N715
P42574 P21980
P08697 P00746
O00629 P21980
P10828 P61201
Q96KG7 P56524
Q9NQ87 P61296
O15151 P31947
Q92793 Q99961
P09429 P39880
P62191 P51665
P33991 Q13416
Q8IZX4 P20226
Q9Y337 P01009
Q96CW1 Q13422
Q15413 Q92736
Q59H18 P19429
P06239 Q9H400
P31947 P27448
Q9UER7 Q93009
P03372 Q04206
Q15796 O95071
P42574 P10415
O75925 P08235
P25800 Q16559
P61457 Q9GZT8
Q13158 Q9HAV5
Q9Y2X7 P34947
Q00653 Q9Y6K9
Q14289 P11166
O94972 Q96KB5
Q9UG01 Q969G2
P28482 Q96MX0
P42574 P38398
O43592 P62826
P11940 P23588
Q9HAW0 Q5SXM2
P52564 Q14765
P19438 Q9BXW9
Q14181 Q8IW50
O60765 P63167
Q5T5P2 O60504
Q04864 P46531
O15264 O00418
P06241 P14923
Q96S53 P23528
Q04771 P20337
Q13526 P11388
Q13361 O75095
P17612 Q08495
Q14008 O14965
Q08380 P02751
P51451 P31994
P08631 P20936
Q86Z02 P09016
O95819 P16333
Q13794 P02775
P18827 P21246
Q9Y2H1 Q9Y6E0
Q9H3Q1 P36897
P14784 P43405
Q9UMX1 P08151
Q16832 P02461
O75509 Q15628
P61981 Q14677
Q15654 Q12906
P56524 P46100
Q9H840 Q16637
P35658 Q13485
P31327 P04049
Q5VT52 Q92900
Q15366 Q16629
Q03167 P08476
Q99967 Q09472
O95400 O94906
Q12959 P98164
Q7L590 Q9UBD5
P26641 P61981
Q5T124 Q8IYR0
Q13535 Q01094
P27701 P01730
Q969P0 P21926
Q13432 P07766
Q9UKR5 Q9NRX3
Q15329 Q09472
Q9Y2H0 Q12959
P46060 P63165
Q15628 Q13490
P43364 Q9GZT8
Q07157 Q9Y6H8
P54253 Q9UBD0
P08235 Q9Y6X2
Q8WWW0 P01111
P51681 Q14289
O60244 P04150
Q9H1D9 Q96FK6
Q9NZN4 P14672
Q9NS28 P63096
Q15645 Q96HA8
P01100 P02545
Q9HBA0 Q96J02
Q14289 P23458
P18084 Q14192
P28223 P15104
P0DP25 P47872
P43250 P23945
Q9UK45 Q9UKX3
Q00535 P48681
O15111 P35222
P48147 P01042
P19784 O14958
Q12959 P48050
Q99504 Q9NPC8
Q9Y4J8 Q13474
Q9Y572 Q13546
O95180 Q12791
P10721 P62993
O14964 Q15038
Q5JY77 P55085
P56524 Q9Y618
Q9Y4K3 P21580
Q9UQB3 P49810
P06213 Q9UNA1
Q7Z7C8 O00268
Q5RKV6 Q96LL9
Q9Y233 P42574
P05771 Q06187
P35221 P55291
P27348 Q9NRR5
O14672 P20827
P07948 Q99062
O15020 Q9NYQ7
O43896 P63104
Q53EZ4 P53350
P63279 Q8NDC0
P06729 P19397
Q9UKI8 Q02539
P10646 P39900
Q96QZ7 P20936
P78504 Q9H488
Q96EB6 Q9UBP5
P31749 P15976
Q6VMQ6 P35269
Q14511 P56945
O15105 Q8NCP5
Q99598 Q96AQ6
P37173 P63010
P52434 P19388
Q08211 P57678
O75791 P62258
P56537 Q8TEY7
Q9H9E1 P98164
Q12933 Q9NRR5
P61981 O14639
P09104 O95873
O14649 Q04917
P54259 Q96PV6
Q8TAV4 Q03135
P49755 P84077
P08865 P63220
P22674 P15927
Q14802 Q8NC51
O14757 Q13619
P36507 P15056
P24522 P02792
Q9UNE7 P84022
P04637 Q13547
Q13326 Q14315
O95477 P50479
P27361 P16949
P53350 Q99640
Q92796 O60333
O95972 O60383
P07998 P13489
P05556 P27824
O94777 Q92535
P25942 P41279
Q01844 O60682
Q9HC98 Q9HAU4
Q9Y297 P49427
P63252 Q8NI35
P14316 Q09472
P13765 P28068
Q86UQ8 Q13547
Q05655 P05198
Q13332 P28827
P50914 Q8WV24
P56537 O76024
P17480 O15446
Q8WYH8 Q09472
Q9HC73 P16871
O94941 Q96LR5
P51692 P04150
P35462 P24534
Q12967 P32121
P49795 P63096
P15336 P49715
P30679 P21554
Q8NHQ8 Q96NE9
P16885 P30273
P43034 P11137
P12004 P67809
Q13571 P62987
P56693 Q03014
Q01844 Q9Y467
O14924 P04899
P51114 Q9Y383
Q07666 Q9UNE7
Q9GZQ8 Q9BQD3
P12956 Q9BXJ9
P19438 O14920
Q14344 P19022
P28482 P06239
Q13432 P84090
P84077 P26641
Q96AJ9 O14662
Q9NRI5 O15372
Q8N392 Q9NZW5
Q09028 P08047
O00451 Q99748
O75716 P02686
Q9HAV4 P35658
P55347 P09629
P55212 P42858
O15162 Q02218
P51149 P53611
Q9UFG5 Q15834
O75688 Q00534
O95832 O15551
P16150 P15311
P27540 Q09472
Q14966 Q14192
Q99496 P35226
Q8NEB9 Q00169
O95243 P67870
P21980 P08697
P10827 Q9Y618
Q96MU7 Q07666
Q8N5C8 Q9Y4K3
O43493 Q9ULJ8
P06733 P19875
Q9BVW5 Q9UNS1
P28482 O60504
P61604 Q9UKR5
Q9NZV8 Q14315
Q14677 Q00610
P48059 Q96KQ7
P50570 Q14247
P51114 O95084
Q12934 P08670
Q9Y4Y9 Q14103
P62312 Q9Y4Y9
Q12959 Q14168
P51532 O14497
Q14789 P35080
Q16821 P26678
P10828 O75376
Q93052 P12814
Q07869 P48443
P63167 Q9UKR5
O00587 P78504
Q02535 P36956
Q13111 Q9UBU7
O15061 P17661
Q13185 Q5T6C5
Q9NZV8 Q14005
Q16401 P35998
Q96JN8 Q9UJU6
Q9BSK4 P49593
P68104 O60333
Q09472 P17676
P21980 P42858
O15519 O43353
O00470 P52948
P14635 P38398
O60906 P48736
Q96PF2 Q92734
P28482 Q05469
P42768 Q14155
P59665 P02746
Q12933 Q16526
P49257 P00451
P49759 P18031
Q9H2K8 Q12933
P56537 P63244
P61088 Q15819
P54259 Q8N2S1
Q6EEV6 P21796
P12830 P26010
Q53T59 P14317
Q15149 Q13813
Q9UJJ9 Q92900
P84022 P35222
Q8WWW0 Q9NYB0
O00311 P49736
P68104 Q15811
Q9UKR5 P56282
P61981 O75643
P27361 P04637
P35080 P60709
O00231 Q15262
Q16594 Q9Y6J9
P18031 P29376
P46952 Q99259
P23246 Q15233
O43395 Q969Y2
Q96E35 Q99705
P17612 Q96SB3
P12931 P18206
P49771 P36888
Q7Z6J0 Q02779
P06729 P06241
Q16548 Q07812
P11473 P48443
P02787 P22692
Q96CS7 Q92900
O60674 P62993
Q15796 Q96GG9
O43257 P04637
P12236 Q9NRL3
P41220 P0DP25
O15350 P46934
Q5FBB7 P62424
Q14112 P98160
Q9UNN4 P52657
O15085 P46821
P12004 P40938
Q01844 P43005
O95870 P35354
Q10567 P84085
Q96PU4 P24941
Q92918 Q16584
P27635 P07947
P68104 P0C0L5
Q15796 O60664
P05162 P01374
P49840 P61981
P54753 P55196
Q9Y219 Q04721
P61981 Q13009
O14543 P20936
O96004 P22303
Q9UBU3 P41159
P16144 A8K7I4
Q9H165 P10589
P20226 P05412
P04233 P04440
P43686 P35998
Q02543 P05412
Q08211 P05412
P04183 P04637
P23443 Q96SB3
P04150 P49715
P51116 Q5VSY0
Q01718 P01189
O43572 P13861
Q9Y5X1 Q00610
P21579 P0DP25
Q5PSV4 P09455
P32238 P06307
O43914 O00241
P02751 P19883
Q33E94 P03372
P27986 P12318
O75293 Q07869
Q15700 O75084
P45984 Q9NQW7
Q13237 Q15746
Q9UHC3 Q9HD26
P17612 O95295
P01100 P68400
P15056 P62834
Q03135 P29033
Q07866 Q6UWE0
P45984 Q00613
P11277 P11171
Q96ST3 Q05195
P49903 Q96ID5
P56693 Q9H161
Q13526 Q9Y2M5
O00238 O95747
Q8WXF8 O75618
Q13115 P28482
P36404 O43924
Q16602 O60895
Q9P2S2 P55196
Q9NYV4 P02686
P19419 O75928
P49674 O14543
Q9NPB6 Q8TEW0
Q01892 Q15306
P00533 P04626
Q15796 Q99615
Q71U36 O14512
Q16891 Q8NCD3
P02452 P16070
Q9NP99 O43914
Q9UGJ0 O43741
P49674 O15055
O15259 Q14289
P15153 Q13485
P21796 P68366
Q16363 Q5T3J3
O60941 Q15834
P26599 Q13137
Q9NQP4 P68366
Q96RT1 P16144
P26022 P02745
Q99832 P17987
P0CG47 O14920
Q9UKC9 P63208
Q9Y4Y9 P62310
P05771 P17677
Q12840 P33176
P06400 P29590
O43502 O75771
Q8WX92 P01100
Q9Y4Y9 Q16637
Q04941 P04278
O95807 Q8WVR3
P30305 P06493
P51617 P63165
P26641 Q9P2J5
O43395 Q15834
P15056 Q04917
P40189 Q04724
P61981 Q15052
P53778 Q13424
O75445 P05783
P24043 P08865
Q8N8S7 Q6XZF7
O75153 Q9NYQ7
P06493 P52926
Q13480 P46109
P36888 P62993
Q9H078 Q9UNY4
P50148 P21731
P11362 O00459
P08651 Q9P0L1
P78560 Q5T3J3
Q969R2 P08670
P25791 P23771
O00161 P13569
Q13432 O43252
O60880 Q9HBG7
Q9Y264 Q02763
Q92887 P27824
Q14451 Q02763
Q9NP94 Q13303
P98161 Q6VMQ6
Q9P2W1 P19793
Q13868 Q9NQT4
Q6EEV6 P12268
Q9UGP8 Q99442
Q9Y6H5 Q8N5H7
P46976 O15488
Q9NPD3 Q9BZI7
O14594 P21246
O15162 Q16526
P55212 P42574
Q96GW7 P22894
Q9Y4K3 P45983
Q7Z7A1 Q15628
Q9NV31 O00566
Q9H0Y0 O95352
O95477 Q9Y566
Q9BT92 P13647
P06239 Q92731
Q13526 P14635
P42575 P06400
P78396 P63244
P29400 P02751
P49703 Q9HC35
Q15006 Q9Y3B6
P10599 P02452
Q9C000 Q07817
O15530 Q05513
P52292 Q9H213
P12931 Q05193
P07949 P45983
Q7Z7C8 Q6P1X5
O95409 P10071
Q96RU2 Q12888
Q9UIV8 P08311
P00533 P51692
P12931 P16671
P11171 Q92503
P61981 P12931
Q9UJY5 Q96MP8
P42345 Q13541
P28562 P34932
P56539 P08237
Q8IU57 Q8IU54
Q9BUE0 Q70CQ1
Q12929 Q9UKN7
Q12846 P63027
P33240 Q9NRR5
O43763 Q04917
Q92997 Q8TBE0
O14713 O00522
Q5JVL4 Q15878
Q9H461 P04628
P20585 P43246
P12259 P27797
Q99750 Q9BT49
O60934 P38398
P10275 P04049
P09619 P51692
O15116 P28074
P36894 P12643
Q8TDR0 Q9NRI5
P10721 P21926
Q8WXE1 Q8IY31
Q6IE81 P40337
Q13057 P23443
P51692 P67775
O76070 P27361
Q96SD1 Q12888
P33992 P42224
Q14686 P49715
Q13387 P98164
P11171 P04921
P38432 Q9NRD5
Q9UIS9 Q15797
Q96KG7 Q86YR7
O75449 Q05469
P15036 P51532
Q5JVS0 Q07021
Q13315 Q15382
Q9UJA2 P33993
Q9UKL3 P23497
Q13485 Q49AG3
O00214 P05556
P17252 P11388
Q8IZJ4 P01112
Q9Y6Q5 P01130
P10827 O15164
Q9Y5K8 Q15785
Q5T2W1 P48764
Q14160 Q14155
O15264 P15336
P54619 O43741
P60484 Q15831
O60229 P19021
Q9Y6M9 O95163
P09693 A0A5B6
Q6VMQ6 Q9UIS9
P05154 Q02383
P51681 P41597
P36507 P27361
P51959 Q00535
P33240 P26641
Q5T3J3 O43379
P63244 P29597
P19784 P21673
P32004 Q96S59
P56539 P29475
Q9Y3F4 P37173
P61158 P60953
P30154 P11802
P45983 P78527
Q9Y6K1 O43463
Q9Y230 P15336
P25440 Q01094
P20264 O75807
Q08629 P50281
O96006 P63279
Q00597 P14625
Q6ZUJ8 P27986
Q9H633 P78345
P42229 P31785
Q96C92 Q9Y2X7
O00268 Q15545
P30154 Q9NP72
Q9Y6X2 Q6VMQ6
Q9Y240 P21583
P23511 Q13285
O96017 P43246
P16389 Q14247
P68400 P20042
P55072 Q92890
P54253 P04406
P19174 P20273
P24928 P49336
Q9Y446 Q02487
O14967 Q99965
Q13444 P12931
P00533 P15514
Q12967 P01116
P51168 Q12955
O95070 Q969M3
P52566 P15153
O43323 Q96QV1
Q9UQ90 Q9UKM9
Q15596 P56178
P00451 P27797
P09874 P14859
Q8WYA1 Q99814
Q86YV9 Q9UPZ3
P09237 Q96GW7
O75409 P42858
O60260 Q15645
Q99828 P49768
P11802 P28749
Q99828 Q14596
Q8NEC5 Q9UKJ5
Q9UBD9 P26992
P27361 P31994
Q14318 P10415
Q05655 P02686
O15399 P21359
P11831 P19419
P43364 P42772
P08603 P01024
Q6P0Q8 Q13425
P16591 P0DP25
P61952 Q9Y2J4
O00233 P15923
P54257 Q15154
Q8NI35 Q13224
Q14919 Q92569
Q9UQC2 P62993
Q9Y5A7 Q9NZN9
P35222 Q09472
Q9NRR5 Q96AQ6
Q9Y210 Q14573
Q9UKV8 Q9UPY3
Q8TEQ6 Q9UHI6
P13569 Q02156
O43791 Q13077
P11940 O95793
P57721 Q9UKA9
Q9H0H5 Q02779
Q9Y6Q5 P15151
Q8N2W9 P08670
Q15649 P41235
O14893 P62318
Q969G3 Q15788
P54253 O94842
P31749 Q9H4A3
P21462 P63261
Q92997 Q8WVP5
P01135 Q15303
Q9NZW5 P02792
Q96KG7 Q86UW7
O75928 Q8IVL1
P12004 P28715
P03956 O14788
P29350 Q12918
P17096 Q92793
Q14749 Q9H8W4
Q15366 Q96PU8
Q9GZV1 P29590
Q96DW6 Q9H4T2
Q9UER7 P48023
Q12802 Q07869
P35348 Q14315
P51531 P03372
Q5T2W1 Q16348
P29317 O14493
O95429 P41238
P62995 P08138
Q15843 P04637
Q96D46 O14980
P58062 O15235
Q9Y272 P62873
Q9UHB9 O76094
P11047 O95295
O14544 O14654
Q07812 Q07817
Q09472 Q12772
Q15233 Q9P1U0
P14859 P48431
Q8N556 P05771
P41279 Q13546
Q99836 Q13568
P45983 P40763
Q06124 P19174
Q9UN36 Q70IA6
O95059 Q96B26
Q9UHV7 Q93074
P48443 Q6UWE0
Q99819 P62745
P30626 Q13698
Q13347 P37173
P46109 P08069
P37173 P29590
Q9UQ07 P05412
P24864 P0DP25
P48380 P22670
Q969J5 Q9GZX6
P05106 P09619
P14902 Q9GZR7
Q99816 Q8ND30
Q9Y3C5 O00308
P10244 P09874
P14780 P02462
P57678 P17931
Q9UHQ1 P02545
P51654 P56704
O43255 Q9GZU2
Q92831 P24385
Q9H307 Q13363
P41231 P18084
Q9Y2T3 Q12959
P63104 Q9Y2J2
Q9Y6I3 O94973
Q14108 P07996
O60674 P38484
Q86SJ2 Q86WK6
Q9UPT5 Q9Y6D5
Q9P2A4 Q07889
P48059 Q9HCE7
Q14526 Q13547
Q13042 P30260
O15372 Q15834
P06401 Q9Y6X2
P04406 P50453
Q14209 P06400
P46100 Q9P2H0
Q7Z6G8 P98164
P30307 Q04917
P78344 P60842
Q9UJA3 Q14566
Q92614 Q8IWL2
P15408 P05412
Q93062 Q9P0T4
P0C0S8 P02741
Q14582 Q9UH92
P34947 P30518
P60953 Q9BYG5
Q13438 Q16820
Q9BQY4 Q93062
Q6RW13 P63244
Q13535 P17948
Q9BST9 P61586
P28482 Q8WU20
Q14683 P43246
Q92783 O60220
O96020 P38936
P62380 Q9NWZ3
Q9UKI2 P17081
O43491 Q14980
P62834 P55196
Q12983 Q09161
Q8NBJ4 Q9BQ52
P49716 Q15744
P17482 Q99750
P49427 P0CG47
Q9UKV0 Q13547
Q99612 Q9NRX1
Q8IZD4 Q8IZH2
Q96CW1 Q59EK9
Q8N998 Q13873
P63165 P35712
Q5VWX1 Q96MU7
P56279 P31749
O95551 P28908
P08684 P16662
O75569 P06400
P84022 P21333
P50402 Q7L5N1
P10828 P04637
P41236 Q96SB3
O00755 Q13467
P49841 P31751
Q14296 P31483
P63208 Q9UK99
P49427 P25963
Q86VW2 P61586
P51681 P08754
Q07666 P27986
P48436 Q13285
P28482 Q9NQ66
Q86YT6 P53355
Q13387 P61328
Q15544 P28702
Q9HAU5 Q04637
Q99856 Q14209
Q86SQ0 Q14315
P04637 P25208
Q969H0 P05412
P22681 Q9Y4K3
Q9NV56 Q15014
Q5VWK5 P40763
P27540 Q9HBZ2
Q9C000 Q9ULZ3
Q9UKV0 P41182
P35240 Q12967
Q07960 P27986
Q7Z7M9 Q93063
P35916 Q6VMQ6
P04406 Q9BX70
P51812 P16220
P49902 Q9Y5B8
Q05655 P06241
P59998 Q86XS8
Q9Y5Z0 P05067
P32927 P04141
P00533 O43147
Q99558 O14920
P07359 P40197
Q92793 Q9Y2Y9
P04637 Q06609
Q04724 O00231
P54284 Q00975
Q12824 P17676
O75593 Q14919
Q06187 P16885
P07948 P20273
P41273 Q07011
Q92973 Q9UBU9
P46934 P37088
P04180 P01023
Q9NP79 Q8WZ19
O14908 P35462
P35916 Q92529
Q12802 P31946
P42229 P51681
Q15813 Q9BTW9
O43815 P0DP25
O43353 P25942
Q9UK53 Q04917
Q14289 Q05655
Q14114 P02749
Q9UL40 Q12906
Q04206 Q9UHD2
P14868 Q13155
Q9Y3P8 P06239
P49023 P46109
Q9NS15 P10600
Q16236 Q8TD26
O15503 Q12770
O95219 O00499
Q9P0W2 Q15834
P54132 O75771
Q8TEQ8 Q07326
Q9P296 P0C0L4
Q09472 P29372
P49902 Q9BVI4
Q01469 P31151
P32856 Q6PUV4
Q99689 Q6PGQ7
O75674 O14777
O43525 P56696
Q13315 Q13541
Q6P0Q8 P63167
Q9NPC3 P68036
Q969E3 Q08334
P17252 P15172
Q9Y6Q9 P22004
P62805 Q09028
Q08722 P63096
Q96SD1 Q13315
P16284 P19174
P49703 P31689
O60641 O94973
P30793 P11142
P11274 Q13432
O15162 Q9NQX5
Q13315 P78527
O14763 Q13158
P68400 P10451
Q9NRP7 Q9UMX1
P27361 P17480
P53708 P04004
Q9NQ29 Q9BQD7
O00623 P50542
P0DP25 P10275
P62834 O00499
Q9Y3F4 Q9H840
P02749 P08519
Q92922 P04150
P12757 Q15916
Q99965 P21926
